Date,Open,High,Low,Close,Volume
"Mar 31, 2017","7,450.00","7,458.00","7,241.00","7,241.00","982,600"
"Mar 30, 2017","7,517.00","7,557.00","7,392.00","7,393.00","454,900"
"Mar 29, 2017","7,517.00","7,549.00","7,459.00","7,519.00","859,700"
"Mar 28, 2017","7,505.00","7,563.00","7,459.00","7,528.00","1,812,100"
"Mar 27, 2017","7,550.00","7,567.00","7,422.00","7,450.00","1,157,400"
"Mar 24, 2017","7,444.00","7,533.00","7,432.00","7,519.00","829,400"
"Mar 23, 2017","7,287.00","7,417.00","7,287.00","7,408.00","718,200"
"Mar 22, 2017","7,330.00","7,356.00","7,289.00","7,319.00","844,400"
"Mar 21, 2017","7,409.00","7,450.00","7,375.00","7,427.00","764,500"
"Mar 17, 2017","7,505.00","7,551.00","7,474.00","7,505.00","712,100"
"Mar 16, 2017","7,532.00","7,582.00","7,524.00","7,567.00","570,100"
"Mar 15, 2017","7,548.00","7,567.00","7,520.00","7,556.00","358,900"
"Mar 14, 2017","7,600.00","7,612.00","7,541.00","7,541.00","444,100"
"Mar 13, 2017","7,560.00","7,614.00","7,560.00","7,597.00","376,300"
"Mar 10, 2017","7,467.00","7,578.00","7,460.00","7,557.00","748,200"
"Mar 9, 2017","7,470.00","7,489.00","7,427.00","7,462.00","395,100"
"Mar 8, 2017","7,457.00","7,474.00","7,430.00","7,453.00","506,100"
"Mar 7, 2017","7,413.00","7,486.00","7,405.00","7,475.00","668,400"
"Mar 6, 2017","7,379.00","7,413.00","7,336.00","7,403.00","547,200"
"Mar 3, 2017","7,460.00","7,474.00","7,360.00","7,382.00","1,006,000"
"Mar 2, 2017","7,559.00","7,592.00","7,478.00","7,517.00","619,500"
"Mar 1, 2017","7,466.00","7,524.00","7,462.00","7,488.00","605,300"
"Feb 28, 2017","7,526.00","7,526.00","7,432.00","7,437.00","571,700"
"Feb 27, 2017","7,423.00","7,453.00","7,379.00","7,422.00","409,100"
"Feb 24, 2017","7,451.00","7,526.00","7,431.00","7,462.00","513,900"
"Feb 23, 2017","7,441.00","7,455.00","7,393.00","7,455.00","416,300"
"Feb 22, 2017","7,426.00","7,438.00","7,388.00","7,423.00","353,400"
"Feb 21, 2017","7,357.00","7,426.00","7,346.00","7,420.00","418,500"
"Feb 20, 2017","7,300.00","7,373.00","7,291.00","7,350.00","464,400"
"Feb 17, 2017","7,324.00","7,366.00","7,305.00","7,314.00","481,100"
"Feb 16, 2017","7,355.00","7,417.00","7,340.00","7,368.00","654,500"
"Feb 15, 2017","7,360.00","7,378.00","7,325.00","7,331.00","577,500"
"Feb 14, 2017","7,398.00","7,400.00","7,316.00","7,321.00","390,900"
"Feb 13, 2017","7,385.00","7,424.00","7,346.00","7,384.00","513,300"
"Feb 10, 2017","7,285.00","7,373.00","7,237.00","7,363.00","761,000"
"Feb 9, 2017","7,180.00","7,210.00","7,153.00","7,167.00","428,400"
"Feb 8, 2017","7,179.00","7,224.00","7,162.00","7,201.00","459,200"
"Feb 7, 2017","7,151.00","7,226.00","7,151.00","7,159.00","454,300"
"Feb 6, 2017","7,191.00","7,210.00","7,140.00","7,172.00","556,700"
"Feb 3, 2017","7,289.00","7,289.00","7,122.00","7,149.00","872,000"
"Feb 2, 2017","7,389.00","7,422.00","7,239.00","7,250.00","676,900"
"Feb 1, 2017","7,318.00","7,387.00","7,260.00","7,374.00","553,600"
"Jan 31, 2017","7,400.00","7,407.00","7,294.00","7,360.00","1,176,200"
"Jan 30, 2017","7,269.00","7,300.00","7,235.00","7,297.00","556,700"
"Jan 27, 2017","7,318.00","7,368.00","7,266.00","7,276.00","723,000"
"Jan 26, 2017","7,210.00","7,272.00","7,185.00","7,264.00","588,500"
"Jan 25, 2017","7,236.00","7,279.00","7,139.00","7,163.00","486,000"
"Jan 24, 2017","7,179.00","7,189.00","7,091.00","7,154.00","779,400"
"Jan 23, 2017","7,299.00","7,299.00","7,190.00","7,250.00","539,600"
"Jan 20, 2017","7,379.00","7,380.00","7,299.00","7,318.00","739,000"
"Jan 19, 2017","7,310.00","7,410.00","7,298.00","7,347.00","779,200"
"Jan 18, 2017","7,275.00","7,280.00","7,170.00","7,237.00","714,600"
"Jan 17, 2017","7,362.00","7,363.00","7,254.00","7,280.00","489,500"
"Jan 16, 2017","7,393.00","7,423.00","7,311.00","7,345.00","458,900"
"Jan 13, 2017","7,335.00","7,396.00","7,306.00","7,387.00","588,400"
"Jan 12, 2017","7,371.00","7,379.00","7,270.00","7,330.00","1,037,200"
"Jan 11, 2017","7,390.00","7,409.00","7,353.00","7,368.00","551,000"
"Jan 10, 2017","7,394.00","7,443.00","7,316.00","7,352.00","726,600"
"Jan 6, 2017","7,324.00","7,442.00","7,310.00","7,398.00","705,800"
"Jan 5, 2017","7,325.00","7,387.00","7,322.00","7,365.00","669,700"
"Jan 4, 2017","7,232.00","7,328.00","7,212.00","7,306.00","753,800"
"Dec 30, 2016","7,239.00","7,239.00","7,157.00","7,173.00","520,800"
"Dec 29, 2016","7,290.00","7,308.00","7,194.00","7,240.00","490,700"
"Dec 28, 2016","7,300.00","7,302.00","7,244.00","7,264.00","357,600"
"Dec 27, 2016","7,237.00","7,287.00","7,210.00","7,250.00","477,800"
"Dec 26, 2016","7,257.00","7,306.00","7,201.00","7,288.00","599,000"
"Dec 22, 2016","7,280.00","7,301.00","7,240.00","7,297.00","664,400"
"Dec 21, 2016","7,340.00","7,360.00","7,267.00","7,297.00","709,600"
"Dec 20, 2016","7,231.00","7,368.00","7,165.00","7,348.00","988,200"
"Dec 19, 2016","7,174.00","7,212.00","7,143.00","7,194.00","570,000"
"Dec 16, 2016","7,220.00","7,223.00","7,132.00","7,161.00","584,600"
"Dec 15, 2016","7,150.00","7,189.00","7,092.00","7,151.00","537,700"
"Dec 14, 2016","7,141.00","7,195.00","7,104.00","7,107.00","592,600"
"Dec 13, 2016","7,091.00","7,130.00","7,070.00","7,125.00","626,300"
"Dec 12, 2016","6,998.00","7,181.00","6,986.00","7,131.00","1,008,600"
"Dec 9, 2016","6,751.00","6,944.00","6,751.00","6,934.00","1,078,400"
"Dec 8, 2016","6,847.00","6,895.00","6,807.00","6,895.00","865,900"
"Dec 7, 2016","6,736.00","6,785.00","6,706.00","6,779.00","522,600"
"Dec 6, 2016","6,774.00","6,785.00","6,688.00","6,696.00","984,400"
"Dec 5, 2016","6,781.00","6,835.00","6,734.00","6,743.00","666,800"
"Dec 2, 2016","6,870.00","6,914.00","6,796.00","6,812.00","1,020,800"
"Dec 1, 2016","6,974.00","6,985.00","6,875.00","6,909.00","959,800"
"Nov 30, 2016","6,915.00","6,957.00","6,892.00","6,957.00","892,900"
"Nov 29, 2016","6,818.00","6,944.00","6,798.00","6,940.00","1,218,900"
"Nov 28, 2016","6,780.00","6,845.00","6,754.00","6,818.00","1,004,700"
"Nov 25, 2016","6,700.00","6,776.00","6,694.00","6,759.00","626,800"
"Nov 24, 2016","6,687.00","6,698.00","6,652.00","6,678.00","458,400"
"Nov 22, 2016","6,596.00","6,678.00","6,591.00","6,642.00","556,600"
"Nov 21, 2016","6,628.00","6,639.00","6,563.00","6,618.00","442,700"
"Nov 18, 2016","6,544.00","6,608.00","6,509.00","6,600.00","1,107,600"
"Nov 17, 2016","6,444.00","6,517.00","6,426.00","6,488.00","698,100"
"Nov 16, 2016","6,444.00","6,461.00","6,345.00","6,457.00","828,800"
"Nov 15, 2016","6,440.00","6,440.00","6,327.00","6,365.00","908,300"
"Nov 14, 2016","6,413.00","6,465.00","6,372.00","6,459.00","556,500"
"Nov 11, 2016","6,457.00","6,474.00","6,357.00","6,376.00","894,600"
"Nov 10, 2016","6,393.00","6,435.00","6,304.00","6,421.00","1,046,800"
"Nov 9, 2016","6,333.00","6,418.00","6,066.00","6,169.00","1,136,300"
"Nov 8, 2016","6,367.00","6,397.00","6,310.00","6,328.00","603,400"
"Nov 7, 2016","6,398.00","6,425.00","6,318.00","6,367.00","673,100"
"Nov 4, 2016","6,229.00","6,318.00","6,194.00","6,302.00","1,120,300"
"Nov 2, 2016","6,299.00","6,326.00","6,207.00","6,228.00","1,180,500"
"Nov 1, 2016","6,394.00","6,397.00","6,297.00","6,344.00","1,587,800"
"Oct 31, 2016","6,606.00","6,637.00","6,443.00","6,472.00","1,453,400"
"Oct 28, 2016","6,560.00","6,663.00","6,534.00","6,660.00","1,282,900"
"Oct 27, 2016","6,577.00","6,659.00","6,554.00","6,575.00","1,064,000"
"Oct 26, 2016","6,595.00","6,595.00","6,476.00","6,529.00","1,027,700"
"Oct 25, 2016","6,520.00","6,623.00","6,516.00","6,577.00","1,049,200"
"Oct 24, 2016","6,469.00","6,518.00","6,455.00","6,501.00","1,025,700"
"Oct 21, 2016","6,462.00","6,505.00","6,402.00","6,443.00","1,451,100"
"Oct 20, 2016","6,295.00","6,424.00","6,270.00","6,362.00","1,092,700"
"Oct 19, 2016","6,183.00","6,291.00","6,183.00","6,288.00","657,400"
"Oct 18, 2016","6,162.00","6,259.00","6,104.00","6,254.00","926,700"
"Oct 17, 2016","6,200.00","6,266.00","6,191.00","6,245.00","468,400"
"Oct 14, 2016","6,221.00","6,261.00","6,200.00","6,222.00","612,900"
"Oct 13, 2016","6,286.00","6,309.00","6,204.00","6,234.00","743,500"
"Oct 12, 2016","6,260.00","6,356.00","6,251.00","6,274.00","551,800"
"Oct 11, 2016","6,275.00","6,327.00","6,245.00","6,297.00","546,000"
"Oct 7, 2016","6,332.00","6,334.00","6,241.00","6,275.00","547,900"
"Oct 6, 2016","6,330.00","6,379.00","6,299.00","6,348.00","750,600"
"Oct 5, 2016","6,268.00","6,326.00","6,235.00","6,285.00","602,300"
"Oct 4, 2016","6,296.00","6,311.00","6,217.00","6,247.00","770,700"
"Oct 3, 2016","6,281.00","6,363.00","6,276.00","6,325.00","400,300"
"Sep 30, 2016","6,210.00","6,320.00","6,141.00","6,238.00","768,000"
"Sep 29, 2016","6,370.00","6,372.00","6,307.00","6,347.00","507,100"
"Sep 28, 2016","6,322.00","6,371.00","6,251.00","6,335.00","1,031,600"
"Sep 27, 2016","6,236.00","6,439.00","6,230.00","6,439.00","1,225,000"
"Sep 26, 2016","6,471.00","6,472.00","6,377.00","6,396.00","563,500"
"Sep 23, 2016","6,417.00","6,480.00","6,382.00","6,479.00","1,097,600"
"Sep 21, 2016","6,234.00","6,429.00","6,202.00","6,417.00","938,100"
"Sep 20, 2016","6,166.00","6,257.00","6,128.00","6,228.00","811,400"
"Sep 16, 2016","6,098.00","6,216.00","6,074.00","6,214.00","1,014,600"
"Sep 15, 2016","6,080.00","6,097.00","6,008.00","6,037.00","654,000"
"Sep 14, 2016","6,039.00","6,166.00","6,009.00","6,131.00","1,045,300"
"Sep 13, 2016","5,993.00","6,066.00","5,980.00","6,039.00","857,600"
