Date,Open,High,Low,Close,Volume
"Mar 31, 2017",19.02,19.25,19.02,19.20,"33,962,346"
"Mar 30, 2017",19.09,19.15,18.96,19.02,"25,726,855"
"Mar 29, 2017",18.99,19.16,18.98,19.08,"44,934,719"
"Mar 28, 2017",19.25,19.31,18.91,18.98,"42,027,343"
"Mar 27, 2017",18.79,19.32,18.79,19.09,"80,019,192"
"Mar 24, 2017",18.77,18.79,18.63,18.77,"32,781,646"
"Mar 23, 2017",18.52,18.81,18.48,18.65,"40,943,140"
"Mar 22, 2017",18.74,18.75,18.48,18.52,"46,907,976"
"Mar 21, 2017",18.75,18.83,18.65,18.75,"40,184,805"
"Mar 20, 2017",18.89,18.95,18.61,18.75,"33,463,011"
"Mar 17, 2017",19.17,19.21,18.78,18.90,"35,535,357"
"Mar 16, 2017",19.10,19.25,19.02,19.06,"31,185,472"
"Mar 15, 2017",19.10,19.13,18.96,19.03,"21,828,414"
"Mar 14, 2017",19.04,19.19,19.02,19.09,"18,159,274"
"Mar 13, 2017",18.89,19.05,18.81,19.03,"17,056,107"
"Mar 10, 2017",19.02,19.05,18.83,18.90,"20,905,258"
"Mar 9, 2017",19.25,19.25,18.92,19.03,"23,195,322"
"Mar 8, 2017",19.12,19.35,19.08,19.31,"19,486,576"
"Mar 7, 2017",19.10,19.29,18.97,19.23,"25,247,832"
"Mar 6, 2017",19.01,19.39,19.00,19.06,"23,808,114"
"Mar 3, 2017",19.07,19.17,18.95,18.99,"16,972,146"
"Mar 2, 2017",19.38,19.45,19.07,19.11,"24,151,335"
"Mar 1, 2017",19.45,19.51,19.28,19.35,"23,983,933"
"Feb 28, 2017",19.40,19.58,19.36,19.45,"16,595,374"
"Feb 27, 2017",19.38,19.57,19.26,19.43,"25,452,155"
"Feb 24, 2017",19.38,19.50,19.27,19.43,"20,702,260"
"Feb 23, 2017",19.41,19.44,19.27,19.38,"15,656,602"
"Feb 22, 2017",19.43,19.57,19.30,19.41,"22,550,262"
"Feb 21, 2017",19.43,19.81,19.39,19.40,"30,056,784"
"Feb 20, 2017",19.03,19.50,18.98,19.43,"44,635,085"
"Feb 17, 2017",19.19,19.23,18.98,19.02,"17,980,608"
"Feb 16, 2017",19.19,19.34,19.04,19.13,"35,223,424"
"Feb 15, 2017",18.97,19.23,18.90,19.12,"59,684,478"
"Feb 14, 2017",19.00,19.03,18.81,18.86,"23,787,741"
"Feb 13, 2017",18.90,19.09,18.89,18.96,"25,330,996"
"Feb 10, 2017",18.86,18.97,18.73,18.91,"39,642,813"
"Feb 9, 2017",18.59,18.93,18.59,18.75,"22,249,868"
"Feb 8, 2017",18.55,18.60,18.48,18.60,"19,710,326"
"Feb 7, 2017",18.63,18.68,18.55,18.58,"22,941,249"
"Feb 6, 2017",18.88,18.90,18.54,18.60,"24,044,319"
"Feb 3, 2017",19.08,19.08,18.66,18.71,"23,307,310"
"Jan 26, 2017",18.90,19.25,18.82,19.00,"27,318,666"
"Jan 25, 2017",18.81,18.95,18.68,18.88,"15,272,178"
"Jan 24, 2017",18.59,18.88,18.50,18.86,"25,543,630"
"Jan 23, 2017",18.68,18.76,18.41,18.50,"19,879,818"
"Jan 20, 2017",18.54,18.65,18.47,18.57,"21,739,051"
"Jan 19, 2017",18.55,18.74,18.51,18.52,"13,117,422"
"Jan 18, 2017",18.49,18.61,18.47,18.59,"17,879,565"
"Jan 17, 2017",18.50,18.59,18.43,18.45,"23,566,010"
"Jan 16, 2017",18.18,18.59,18.16,18.56,"75,104,666"
"Jan 13, 2017",18.00,18.38,17.98,18.22,"25,117,871"
"Jan 12, 2017",17.95,18.13,17.94,18.00,"14,095,858"
"Jan 11, 2017",18.03,18.07,17.93,17.95,"13,428,968"
