Date,Open,High,Low,Close,Volume
"Mar 31, 2017",19.20,19.54,19.07,19.37,"34,741,272"
"Mar 30, 2017",19.30,19.57,19.10,19.19,"35,147,701"
"Mar 29, 2017",19.09,19.33,19.04,19.15,"31,444,929"
"Mar 28, 2017",19.02,19.18,18.92,19.08,"28,519,932"
"Mar 27, 2017",19.35,19.44,19.05,19.09,"37,661,911"
"Mar 24, 2017",19.30,19.43,19.05,19.29,"45,523,500"
"Mar 23, 2017",19.53,19.55,19.13,19.35,"51,754,395"
"Mar 22, 2017",19.43,19.55,19.23,19.50,"76,439,944"
"Mar 21, 2017",19.50,20.19,19.18,19.90,"166,940,524"
"Mar 20, 2017",18.36,18.36,18.36,18.36,"10,543,646"
"Mar 17, 2017",16.91,16.95,16.66,16.71,"16,813,252"
"Mar 16, 2017",16.81,16.91,16.73,16.81,"13,651,193"
"Mar 15, 2017",16.57,16.79,16.49,16.79,"21,197,849"
"Mar 14, 2017",16.51,16.56,16.40,16.48,"13,383,044"
"Mar 13, 2017",16.38,16.54,16.21,16.50,"15,687,451"
"Mar 10, 2017",16.51,16.59,16.30,16.40,"12,907,519"
"Mar 9, 2017",16.74,16.75,16.29,16.62,"25,445,591"
"Mar 8, 2017",16.85,16.89,16.75,16.80,"6,820,123"
"Mar 7, 2017",16.87,16.90,16.76,16.86,"8,257,357"
"Mar 6, 2017",16.70,16.95,16.70,16.84,"13,512,495"
"Mar 3, 2017",16.79,16.79,16.60,16.65,"10,989,777"
"Mar 2, 2017",16.97,17.00,16.79,16.80,"12,949,979"
"Mar 1, 2017",16.92,17.01,16.85,16.87,"13,907,524"
"Feb 28, 2017",16.93,16.98,16.82,16.94,"9,009,208"
"Feb 27, 2017",16.96,17.11,16.85,16.90,"10,990,840"
"Feb 24, 2017",16.95,17.02,16.78,16.94,"14,260,379"
"Feb 23, 2017",17.20,17.30,16.95,17.05,"13,154,318"
"Feb 22, 2017",17.24,17.29,17.09,17.17,"13,691,720"
"Feb 21, 2017",17.30,17.38,17.17,17.27,"16,749,909"
"Feb 20, 2017",17.13,17.30,17.05,17.28,"16,147,365"
"Feb 17, 2017",17.43,17.48,17.09,17.12,"16,974,718"
