Date,Open,High,Low,Close,Volume
"Mar 31, 2017",7.31,7.51,7.31,7.43,"196,138,790"
"Mar 30, 2017",7.36,7.39,7.22,7.23,"101,549,592"
"Mar 29, 2017",7.34,7.44,7.30,7.37,"130,507,219"
"Mar 28, 2017",7.33,7.38,7.30,7.32,"71,308,343"
"Mar 27, 2017",7.30,7.39,7.29,7.33,"106,716,212"
"Mar 24, 2017",7.19,7.35,7.14,7.34,"130,364,563"
"Mar 23, 2017",7.22,7.25,7.14,7.20,"98,562,539"
"Mar 22, 2017",7.26,7.29,7.18,7.22,"103,053,655"
"Mar 21, 2017",7.29,7.31,7.25,7.30,"65,260,015"
"Mar 20, 2017",7.29,7.34,7.23,7.28,"69,838,241"
"Mar 17, 2017",7.41,7.43,7.27,7.28,"88,256,353"
"Mar 16, 2017",7.33,7.40,7.33,7.40,"81,480,829"
"Mar 15, 2017",7.38,7.38,7.30,7.33,"69,216,120"
"Mar 14, 2017",7.35,7.45,7.34,7.37,"98,652,347"
"Mar 13, 2017",7.32,7.37,7.25,7.35,"80,352,970"
"Mar 10, 2017",7.36,7.40,7.30,7.32,"75,168,937"
"Mar 9, 2017",7.53,7.53,7.35,7.36,"146,217,206"
"Mar 8, 2017",7.54,7.61,7.51,7.55,"96,537,539"
"Mar 7, 2017",7.60,7.61,7.48,7.54,"125,252,749"
"Mar 6, 2017",7.55,7.62,7.53,7.61,"83,004,193"
"Mar 3, 2017",7.56,7.64,7.53,7.57,"90,168,264"
"Mar 2, 2017",7.74,7.76,7.58,7.61,"130,599,309"
"Mar 1, 2017",7.66,7.79,7.65,7.74,"140,124,648"
"Feb 28, 2017",7.65,7.69,7.63,7.69,"67,180,246"
"Feb 27, 2017",7.70,7.77,7.62,7.65,"104,835,195"
"Feb 24, 2017",7.61,7.75,7.60,7.72,"128,740,003"
"Feb 23, 2017",7.70,7.71,7.57,7.63,"162,505,723"
"Feb 22, 2017",7.74,7.76,7.68,7.71,"129,372,526"
"Feb 21, 2017",7.77,7.78,7.69,7.77,"128,853,907"
"Feb 20, 2017",7.76,7.80,7.71,7.78,"161,452,025"
"Feb 17, 2017",7.71,7.81,7.64,7.74,"218,078,683"
"Feb 16, 2017",7.65,7.74,7.62,7.73,"131,729,262"
