Date,Open,High,Low,Close,Volume
"Mar 31, 2017",8.18,8.24,8.09,8.11,"31,261,648"
"Mar 30, 2017",8.20,8.34,8.15,8.22,"32,575,989"
"Mar 29, 2017",8.24,8.37,8.17,8.22,"25,569,090"
"Mar 28, 2017",8.41,8.41,8.20,8.24,"23,905,551"
"Mar 27, 2017",8.34,8.47,8.28,8.40,"43,829,245"
"Mar 24, 2017",8.22,8.38,8.14,8.34,"51,694,296"
"Mar 23, 2017",8.13,8.27,8.10,8.21,"31,841,518"
"Mar 22, 2017",8.21,8.24,8.05,8.11,"37,717,259"
"Mar 21, 2017",8.33,8.33,8.18,8.23,"31,685,612"
"Mar 20, 2017",8.35,8.38,8.21,8.32,"39,125,936"
"Mar 17, 2017",8.66,8.71,8.32,8.33,"67,410,107"
"Mar 16, 2017",8.55,8.75,8.51,8.63,"60,791,517"
"Mar 15, 2017",8.57,8.60,8.48,8.50,"30,069,835"
"Mar 14, 2017",8.51,8.67,8.49,8.56,"39,645,256"
"Mar 13, 2017",8.59,8.59,8.45,8.54,"33,746,512"
"Mar 10, 2017",8.47,8.67,8.45,8.58,"53,124,768"
"Mar 9, 2017",8.44,8.50,8.25,8.49,"45,609,407"
"Mar 8, 2017",8.58,8.60,8.42,8.48,"33,091,675"
"Mar 7, 2017",8.41,8.66,8.31,8.54,"73,310,606"
"Mar 6, 2017",8.01,8.50,7.96,8.44,"68,344,662"
"Mar 3, 2017",8.08,8.22,7.90,8.01,"91,333,409"
"Feb 16, 2017",8.27,8.49,8.24,8.49,"73,689,674"
"Feb 15, 2017",8.30,8.40,8.24,8.30,"53,700,063"
"Feb 14, 2017",8.24,8.37,8.20,8.32,"42,483,964"
"Feb 13, 2017",8.22,8.41,8.18,8.25,"77,955,053"
"Feb 10, 2017",8.20,8.34,8.13,8.29,"79,172,031"
"Feb 9, 2017",8.04,8.38,8.01,8.23,"176,853,206"
"Feb 8, 2017",7.75,8.13,7.73,8.10,"106,255,668"
"Feb 7, 2017",7.77,7.81,7.70,7.76,"26,568,564"
"Feb 6, 2017",7.77,7.82,7.71,7.77,"37,330,925"
"Feb 3, 2017",7.75,7.82,7.74,7.79,"27,299,880"
"Jan 26, 2017",7.77,7.81,7.73,7.75,"30,637,771"
"Jan 25, 2017",7.71,7.77,7.69,7.74,"20,445,973"
"Jan 24, 2017",7.82,7.83,7.72,7.73,"19,279,476"
"Jan 23, 2017",7.83,7.92,7.78,7.81,"36,056,852"
"Jan 20, 2017",7.66,7.86,7.65,7.85,"61,085,451"
"Jan 19, 2017",7.62,7.72,7.61,7.69,"33,408,112"
"Jan 18, 2017",7.53,7.71,7.51,7.66,"60,600,524"
"Jan 17, 2017",7.48,7.56,7.43,7.55,"25,646,861"
"Jan 16, 2017",7.44,7.61,7.25,7.57,"95,541,814"
"Jan 13, 2017",7.47,7.53,7.39,7.49,"39,033,032"
"Jan 12, 2017",7.48,7.55,7.45,7.46,"28,709,094"
"Jan 11, 2017",7.60,7.65,7.48,7.50,"43,705,107"
"Jan 10, 2017",7.65,7.67,7.61,7.65,"36,965,426"
"Jan 9, 2017",7.60,7.68,7.60,7.65,"26,713,739"
"Jan 6, 2017",7.71,7.72,7.60,7.62,"31,244,135"
"Jan 5, 2017",7.74,7.78,7.68,7.70,"28,165,906"
"Jan 4, 2017",7.71,7.77,7.67,7.75,"32,317,783"
"Jan 3, 2017",7.59,7.74,7.57,7.72,"45,041,329"
"Dec 30, 2016",7.56,7.61,7.49,7.60,"33,402,362"
"Dec 29, 2016",7.55,7.64,7.53,7.55,"27,517,232"
"Dec 28, 2016",7.62,7.64,7.51,7.57,"29,916,526"
"Dec 27, 2016",7.67,7.72,7.58,7.62,"36,541,329"
"Dec 26, 2016",7.55,7.72,7.50,7.71,"44,922,647"
"Dec 23, 2016",7.81,7.82,7.60,7.63,"54,118,311"
"Dec 22, 2016",7.90,7.90,7.79,7.81,"37,769,523"
"Dec 21, 2016",7.88,8.01,7.83,7.92,"55,759,268"
"Dec 20, 2016",7.81,7.89,7.77,7.87,"38,091,755"
"Dec 19, 2016",7.95,7.96,7.79,7.82,"56,644,934"
"Dec 16, 2016",8.03,8.07,7.95,7.99,"50,796,452"
