Date,Open,High,Low,Close,Volume
"Mar 31, 2017",14.72,14.78,14.67,14.69,"8,098,401"
"Mar 30, 2017",14.78,14.86,14.66,14.69,"12,026,970"
"Mar 29, 2017",14.94,15.00,14.77,14.79,"10,195,879"
"Mar 28, 2017",15.03,15.03,14.90,14.91,"6,452,300"
"Mar 27, 2017",15.06,15.12,14.99,15.01,"7,952,763"
"Mar 24, 2017",14.92,15.15,14.89,15.07,"10,335,661"
"Mar 23, 2017",14.95,15.11,14.87,14.94,"10,353,260"
"Mar 22, 2017",14.98,15.08,14.95,14.96,"11,981,846"
"Mar 21, 2017",15.13,15.19,15.07,15.08,"11,623,812"
"Mar 20, 2017",15.22,15.29,15.08,15.16,"17,480,336"
"Mar 17, 2017",15.55,15.57,15.25,15.30,"15,561,377"
"Mar 16, 2017",15.24,15.52,15.23,15.51,"29,354,278"
"Mar 15, 2017",15.21,15.24,15.15,15.22,"6,814,056"
"Mar 14, 2017",15.27,15.30,15.18,15.21,"8,673,752"
"Mar 13, 2017",15.25,15.29,15.08,15.26,"10,397,021"
"Mar 10, 2017",15.39,15.41,15.21,15.23,"9,017,770"
"Mar 9, 2017",15.40,15.43,15.19,15.39,"9,958,295"
"Mar 8, 2017",15.40,15.44,15.33,15.39,"8,083,385"
"Mar 7, 2017",15.38,15.48,15.32,15.40,"9,607,412"
"Mar 6, 2017",15.28,15.39,15.23,15.34,"8,441,988"
"Mar 3, 2017",15.29,15.30,15.19,15.30,"10,367,767"
"Mar 2, 2017",15.32,15.55,15.30,15.31,"14,705,100"
"Mar 1, 2017",15.27,15.36,15.23,15.28,"8,359,300"
"Feb 28, 2017",15.27,15.36,15.23,15.27,"8,207,329"
"Feb 27, 2017",15.37,15.41,15.26,15.27,"9,911,890"
"Feb 24, 2017",15.34,15.41,15.31,15.36,"10,868,800"
"Feb 23, 2017",15.48,15.49,15.28,15.37,"12,327,264"
"Feb 22, 2017",15.54,15.57,15.38,15.45,"16,253,121"
"Feb 21, 2017",15.58,15.73,15.46,15.60,"20,197,178"
"Feb 20, 2017",15.43,15.60,15.33,15.60,"17,276,641"
"Feb 17, 2017",15.51,15.93,15.46,15.49,"32,460,667"
"Feb 16, 2017",15.26,15.53,15.20,15.48,"19,669,189"
"Feb 15, 2017",15.31,15.49,15.23,15.28,"16,268,814"
"Feb 14, 2017",15.50,15.75,15.36,15.43,"32,756,516"
"Feb 3, 2017",15.18,15.30,15.12,15.16,"4,246,441"
"Jan 26, 2017",15.17,15.22,15.14,15.21,"5,244,097"
"Jan 25, 2017",15.14,15.20,15.10,15.14,"4,961,205"
"Jan 24, 2017",15.29,15.31,15.15,15.16,"4,757,101"
"Jan 23, 2017",15.25,15.32,15.21,15.27,"6,508,959"
"Jan 20, 2017",15.16,15.30,15.13,15.26,"6,503,334"
"Jan 19, 2017",15.09,15.27,15.08,15.18,"6,330,912"
"Jan 18, 2017",15.18,15.31,15.12,15.19,"6,676,094"
"Jan 17, 2017",15.29,15.30,15.04,15.26,"9,247,730"
"Jan 16, 2017",15.15,15.52,14.62,15.45,"48,550,277"
"Jan 13, 2017",15.05,15.24,14.93,15.21,"16,003,325"
"Jan 12, 2017",15.11,15.19,15.05,15.06,"9,198,402"
"Jan 11, 2017",15.23,15.29,15.11,15.13,"9,828,852"
"Jan 10, 2017",15.28,15.34,15.24,15.24,"8,074,953"
"Jan 9, 2017",15.21,15.32,15.20,15.27,"8,685,359"
"Jan 6, 2017",15.45,15.46,15.26,15.27,"14,430,820"
"Jan 5, 2017",15.62,15.62,15.42,15.44,"13,888,394"
