Date,Open,High,Low,Close,Volume
"Mar 31, 2017",3.65,3.71,3.64,3.70,"198,988,036"
"Mar 30, 2017",3.64,3.66,3.61,3.65,"202,802,717"
"Mar 29, 2017",3.64,3.66,3.63,3.65,"137,898,008"
"Mar 28, 2017",3.66,3.66,3.63,3.64,"78,928,272"
"Mar 27, 2017",3.62,3.66,3.61,3.65,"128,981,463"
"Mar 24, 2017",3.61,3.63,3.60,3.62,"92,676,368"
"Mar 23, 2017",3.61,3.63,3.60,3.61,"95,835,965"
"Mar 22, 2017",3.64,3.65,3.59,3.60,"130,629,085"
"Mar 21, 2017",3.66,3.67,3.64,3.65,"137,801,129"
"Mar 20, 2017",3.64,3.67,3.64,3.67,"108,287,885"
"Mar 17, 2017",3.68,3.69,3.63,3.64,"135,292,170"
"Mar 16, 2017",3.66,3.69,3.65,3.68,"138,318,657"
"Mar 15, 2017",3.65,3.66,3.64,3.66,"78,618,515"
"Mar 14, 2017",3.67,3.68,3.65,3.66,"82,873,980"
"Mar 13, 2017",3.63,3.67,3.62,3.67,"112,788,560"
"Mar 10, 2017",3.63,3.65,3.62,3.63,"73,392,456"
"Mar 9, 2017",3.63,3.65,3.62,3.63,"129,545,077"
"Mar 8, 2017",3.63,3.64,3.62,3.64,"72,319,218"
"Mar 7, 2017",3.62,3.64,3.61,3.64,"128,481,570"
"Mar 6, 2017",3.65,3.66,3.60,3.63,"288,361,920"
"Mar 3, 2017",3.66,3.66,3.64,3.65,"85,394,210"
"Mar 2, 2017",3.68,3.69,3.66,3.67,"105,515,399"
"Mar 1, 2017",3.69,3.71,3.65,3.66,"232,019,299"
"Feb 28, 2017",3.68,3.70,3.67,3.69,"84,489,776"
"Feb 27, 2017",3.71,3.72,3.67,3.69,"123,488,062"
"Feb 24, 2017",3.73,3.74,3.70,3.72,"113,659,840"
"Feb 23, 2017",3.71,3.75,3.71,3.73,"151,276,087"
"Feb 22, 2017",3.71,3.72,3.68,3.72,"116,528,532"
"Feb 21, 2017",3.70,3.76,3.69,3.70,"228,405,638"
"Feb 20, 2017",3.64,3.72,3.63,3.70,"326,416,112"
"Feb 17, 2017",3.69,3.69,3.63,3.63,"140,586,052"
"Feb 16, 2017",3.68,3.70,3.66,3.68,"169,618,720"
"Feb 15, 2017",3.62,3.68,3.61,3.66,"263,292,729"
"Feb 14, 2017",3.63,3.63,3.60,3.62,"112,422,480"
"Feb 13, 2017",3.60,3.64,3.59,3.63,"164,878,163"
"Feb 10, 2017",3.57,3.60,3.57,3.60,"138,918,124"
"Feb 9, 2017",3.54,3.58,3.54,3.57,"103,917,629"
"Feb 8, 2017",3.53,3.55,3.51,3.55,"78,148,421"
"Feb 7, 2017",3.55,3.56,3.52,3.53,"109,941,968"
"Feb 6, 2017",3.55,3.57,3.54,3.55,"111,730,798"
"Feb 3, 2017",3.58,3.58,3.54,3.54,"70,948,131"
"Jan 26, 2017",3.54,3.59,3.53,3.58,"154,662,324"
"Jan 25, 2017",3.53,3.54,3.52,3.53,"82,123,520"
"Jan 24, 2017",3.51,3.54,3.50,3.54,"183,042,760"
"Jan 23, 2017",3.52,3.52,3.50,3.51,"100,233,539"
"Jan 20, 2017",3.51,3.52,3.50,3.51,"76,477,073"
"Jan 19, 2017",3.51,3.55,3.50,3.51,"143,853,940"
"Jan 18, 2017",3.50,3.52,3.49,3.51,"108,266,531"
"Jan 17, 2017",3.49,3.51,3.48,3.50,"102,395,858"
"Jan 16, 2017",3.45,3.53,3.43,3.50,"376,921,924"
"Jan 13, 2017",3.42,3.46,3.42,3.45,"154,088,929"
"Jan 12, 2017",3.43,3.44,3.42,3.44,"111,484,426"
"Jan 11, 2017",3.43,3.45,3.42,3.44,"109,660,585"
"Jan 10, 2017",3.44,3.44,3.42,3.42,"116,026,900"
"Jan 9, 2017",3.43,3.44,3.42,3.44,"85,815,824"
