Date,Open,High,Low,Close,Volume
"Mar 31, 2017",16.07,16.14,16.00,16.12,"38,650,423"
"Mar 30, 2017",16.13,16.19,15.99,16.05,"70,522,577"
"Mar 29, 2017",16.23,16.25,16.12,16.14,"36,554,081"
"Mar 28, 2017",16.30,16.33,16.17,16.19,"30,903,378"
"Mar 27, 2017",16.26,16.39,16.23,16.26,"42,286,651"
"Mar 24, 2017",16.13,16.37,16.06,16.30,"74,546,641"
"Mar 23, 2017",16.07,16.20,16.05,16.15,"45,538,968"
"Mar 22, 2017",16.15,16.20,16.03,16.07,"58,682,799"
"Mar 21, 2017",16.30,16.34,16.18,16.23,"50,697,241"
"Mar 20, 2017",16.36,16.36,16.22,16.30,"47,066,225"
"Mar 17, 2017",16.59,16.64,16.30,16.31,"62,631,441"
"Mar 16, 2017",16.36,16.60,16.35,16.57,"96,128,252"
"Mar 15, 2017",16.36,16.37,16.26,16.31,"37,111,807"
"Mar 14, 2017",16.34,16.41,16.31,16.36,"34,460,568"
"Mar 13, 2017",16.24,16.35,16.12,16.35,"47,268,572"
"Mar 10, 2017",16.31,16.36,16.23,16.24,"24,907,768"
"Mar 9, 2017",16.35,16.38,16.22,16.33,"48,945,646"
"Mar 8, 2017",16.44,16.44,16.33,16.37,"33,280,627"
"Mar 7, 2017",16.41,16.47,16.35,16.46,"42,030,758"
"Mar 6, 2017",16.34,16.44,16.31,16.43,"38,429,348"
"Mar 3, 2017",16.43,16.45,16.29,16.38,"56,690,939"
"Mar 2, 2017",16.61,16.77,16.45,16.46,"63,644,825"
"Mar 1, 2017",16.55,16.66,16.52,16.54,"40,324,254"
"Feb 28, 2017",16.52,16.60,16.49,16.55,"33,324,703"
"Feb 27, 2017",16.65,16.72,16.50,16.54,"60,497,117"
"Feb 24, 2017",16.67,16.73,16.59,16.72,"51,481,022"
"Feb 23, 2017",16.80,16.81,16.62,16.66,"54,082,440"
"Feb 22, 2017",16.88,16.93,16.71,16.81,"61,725,349"
"Feb 21, 2017",16.88,17.10,16.83,16.91,"89,535,428"
"Feb 20, 2017",16.67,16.92,16.58,16.90,"94,261,932"
"Feb 17, 2017",16.77,17.08,16.62,16.67,"121,073,121"
"Feb 16, 2017",16.56,16.74,16.51,16.74,"66,838,949"
"Feb 15, 2017",16.63,16.77,16.53,16.56,"60,140,353"
"Feb 14, 2017",16.75,16.81,16.57,16.63,"60,529,946"
"Feb 13, 2017",16.69,16.83,16.65,16.70,"74,956,790"
"Feb 10, 2017",16.51,16.76,16.51,16.67,"80,278,442"
"Feb 9, 2017",16.47,16.66,16.45,16.51,"64,766,663"
