Date,Open,High,Low,Close,Volume
"Mar 31, 2017",6.61,6.73,6.59,6.70,"34,936,868"
"Mar 30, 2017",6.58,6.64,6.56,6.63,"18,346,277"
"Mar 29, 2017",6.64,6.67,6.55,6.60,"26,360,638"
"Mar 28, 2017",6.72,6.73,6.61,6.64,"21,210,307"
"Mar 27, 2017",6.68,6.76,6.67,6.73,"25,010,573"
"Mar 24, 2017",6.64,6.72,6.58,6.70,"29,143,187"
"Mar 23, 2017",6.58,6.70,6.57,6.65,"29,903,255"
"Mar 22, 2017",6.65,6.65,6.54,6.54,"28,716,334"
"Mar 21, 2017",6.65,6.69,6.61,6.67,"18,596,956"
"Mar 20, 2017",6.73,6.74,6.62,6.65,"25,677,782"
"Mar 17, 2017",6.78,6.81,6.71,6.73,"29,875,964"
"Mar 16, 2017",6.75,6.85,6.75,6.78,"36,875,382"
"Mar 15, 2017",6.79,6.83,6.71,6.76,"21,310,602"
"Mar 14, 2017",6.74,6.82,6.71,6.82,"27,849,521"
"Mar 13, 2017",6.70,6.76,6.67,6.76,"18,455,503"
"Mar 10, 2017",6.76,6.78,6.68,6.69,"18,399,480"
"Mar 9, 2017",6.80,6.81,6.75,6.75,"13,431,649"
"Mar 8, 2017",6.80,6.83,6.76,6.82,"14,025,075"
"Mar 7, 2017",6.79,6.83,6.78,6.82,"11,741,905"
"Mar 6, 2017",6.82,6.84,6.74,6.81,"33,078,269"
"Mar 3, 2017",6.83,6.87,6.80,6.84,"13,297,191"
"Mar 2, 2017",6.93,6.94,6.85,6.86,"29,330,285"
"Mar 1, 2017",6.89,6.97,6.86,6.91,"31,226,080"
"Feb 28, 2017",6.89,6.94,6.85,6.90,"24,552,788"
"Feb 27, 2017",6.94,6.96,6.88,6.91,"33,192,957"
"Feb 24, 2017",7.05,7.06,6.92,6.95,"33,783,898"
"Feb 23, 2017",7.06,7.12,7.01,7.04,"18,430,543"
"Feb 22, 2017",7.08,7.11,6.99,7.08,"28,417,761"
"Feb 21, 2017",7.04,7.13,7.01,7.06,"45,633,782"
"Feb 20, 2017",6.88,7.07,6.88,7.06,"55,067,336"
"Feb 17, 2017",7.04,7.04,6.89,6.90,"24,455,620"
"Feb 16, 2017",7.08,7.10,6.96,7.05,"35,922,462"
"Feb 15, 2017",6.93,7.08,6.91,7.04,"60,084,710"
"Feb 14, 2017",6.97,6.98,6.90,6.93,"25,950,894"
"Feb 13, 2017",6.85,6.99,6.85,6.97,"41,801,287"
"Feb 10, 2017",6.84,6.92,6.82,6.86,"34,805,262"
"Feb 9, 2017",6.81,6.87,6.78,6.85,"31,135,013"
"Feb 8, 2017",6.79,6.83,6.75,6.82,"23,765,352"
"Feb 7, 2017",6.81,6.84,6.74,6.81,"25,161,518"
"Feb 6, 2017",6.89,6.91,6.73,6.82,"26,730,808"
"Feb 3, 2017",6.97,7.00,6.86,6.87,"16,981,626"
"Jan 26, 2017",6.92,7.02,6.90,6.97,"28,835,194"
"Jan 25, 2017",6.91,6.95,6.86,6.93,"19,225,348"
"Jan 24, 2017",6.91,6.97,6.87,6.95,"24,045,549"
"Jan 23, 2017",6.91,6.93,6.85,6.91,"15,310,043"
"Jan 20, 2017",6.84,6.94,6.82,6.93,"26,822,976"
"Jan 19, 2017",6.89,6.95,6.84,6.88,"26,186,498"
"Jan 18, 2017",6.78,6.89,6.78,6.89,"31,533,573"
"Jan 17, 2017",6.80,6.90,6.74,6.82,"29,151,187"
"Jan 16, 2017",6.78,6.92,6.60,6.87,"71,828,013"
"Jan 13, 2017",6.66,6.96,6.63,6.78,"51,085,280"
"Jan 12, 2017",6.68,6.69,6.61,6.66,"12,084,707"
"Jan 11, 2017",6.72,6.80,6.64,6.66,"13,766,305"
"Jan 10, 2017",6.83,6.84,6.69,6.70,"16,899,175"
"Jan 9, 2017",6.75,6.85,6.72,6.84,"25,537,597"
"Jan 6, 2017",6.75,6.85,6.62,6.79,"26,949,231"
"Jan 5, 2017",6.75,6.90,6.69,6.79,"22,945,492"
"Jan 4, 2017",6.75,6.99,6.72,6.76,"50,979,135"
"Jan 3, 2017",6.44,6.76,6.42,6.76,"69,857,877"
"Dec 30, 2016",6.35,6.46,6.35,6.41,"22,253,911"
"Dec 29, 2016",6.32,6.42,6.30,6.36,"20,256,276"
"Dec 28, 2016",6.43,6.45,6.29,6.33,"27,122,051"
"Dec 27, 2016",6.51,6.51,6.41,6.44,"19,578,353"
"Dec 26, 2016",6.48,6.52,6.38,6.52,"17,830,600"
"Dec 23, 2016",6.55,6.55,6.43,6.51,"19,723,245"
"Dec 22, 2016",6.56,6.57,6.49,6.56,"16,783,971"
"Dec 21, 2016",6.46,6.60,6.45,6.56,"25,647,999"
"Dec 20, 2016",6.63,6.63,6.40,6.45,"49,605,755"
"Dec 19, 2016",6.67,6.68,6.58,6.64,"26,451,868"
"Dec 16, 2016",6.62,6.74,6.61,6.72,"36,505,909"
"Dec 15, 2016",6.91,6.97,6.65,6.68,"84,151,150"
"Dec 14, 2016",6.97,7.21,6.93,7.00,"53,533,749"
"Dec 13, 2016",7.06,7.08,6.90,7.03,"35,115,470"
"Dec 12, 2016",7.19,7.32,6.90,7.16,"76,615,130"
"Dec 9, 2016",6.90,7.52,6.84,7.18,"113,772,362"
"Dec 8, 2016",6.68,6.95,6.66,6.93,"53,111,002"
"Dec 7, 2016",6.68,6.76,6.55,6.68,"50,938,393"
"Dec 6, 2016",6.68,6.79,6.67,6.69,"35,794,113"
"Dec 5, 2016",6.67,6.73,6.61,6.71,"50,066,410"
"Dec 2, 2016",6.74,6.75,6.63,6.71,"41,201,644"
"Dec 1, 2016",6.72,6.82,6.65,6.75,"44,236,057"
"Nov 30, 2016",6.88,6.90,6.61,6.72,"60,424,840"
"Nov 29, 2016",6.96,7.01,6.83,6.93,"48,330,813"
"Nov 28, 2016",6.94,7.20,6.90,6.98,"81,150,331"
"Nov 25, 2016",6.90,7.08,6.79,6.92,"54,704,978"
"Nov 24, 2016",6.81,6.93,6.73,6.90,"46,030,232"
"Nov 23, 2016",6.57,7.22,6.57,6.89,"149,282,086"
"Nov 22, 2016",6.43,6.74,6.41,6.61,"60,188,315"
"Nov 21, 2016",6.31,6.53,6.27,6.45,"38,150,460"
"Nov 18, 2016",6.33,6.36,6.30,6.32,"17,786,430"
"Nov 17, 2016",6.31,6.35,6.27,6.35,"16,389,150"
"Nov 16, 2016",6.34,6.35,6.29,6.33,"15,558,158"
"Nov 15, 2016",6.40,6.44,6.30,6.35,"23,358,633"
"Nov 14, 2016",6.30,6.56,6.28,6.42,"59,233,306"
"Nov 11, 2016",6.21,6.39,6.20,6.33,"52,251,803"
"Nov 10, 2016",6.16,6.29,6.15,6.23,"42,647,305"
"Nov 9, 2016",6.16,6.18,6.09,6.13,"24,146,004"
"Nov 8, 2016",6.08,6.21,6.06,6.18,"50,929,051"
"Nov 7, 2016",6.03,6.09,6.03,6.06,"16,234,904"
"Nov 4, 2016",6.00,6.14,6.00,6.06,"45,978,886"
"Nov 3, 2016",5.95,6.03,5.95,6.00,"32,147,874"
"Nov 2, 2016",6.06,6.07,5.95,5.97,"41,767,143"
"Nov 1, 2016",6.08,6.09,6.04,6.08,"24,641,097"
"Oct 31, 2016",6.10,6.11,6.04,6.07,"14,585,955"
"Oct 28, 2016",6.05,6.19,6.04,6.12,"26,243,149"
"Oct 27, 2016",6.07,6.08,6.01,6.04,"17,801,691"
"Oct 26, 2016",6.15,6.17,6.08,6.09,"19,039,593"
"Oct 25, 2016",6.15,6.19,6.14,6.17,"18,277,606"
"Oct 24, 2016",6.16,6.27,6.11,6.15,"52,329,163"
"Oct 21, 2016",6.07,6.12,6.06,6.10,"18,030,561"
"Oct 20, 2016",6.06,6.10,6.03,6.08,"20,583,233"
"Oct 19, 2016",6.03,6.09,6.00,6.06,"26,470,010"
"Oct 18, 2016",5.95,6.05,5.95,6.02,"39,897,616"
"Oct 17, 2016",5.96,6.02,5.93,5.97,"25,521,706"
"Oct 14, 2016",5.96,5.97,5.92,5.96,"17,331,778"
"Oct 13, 2016",5.98,5.99,5.96,5.98,"14,082,289"
"Oct 12, 2016",5.97,6.00,5.96,5.97,"13,624,323"
"Oct 11, 2016",6.01,6.02,5.95,6.00,"23,563,935"
"Oct 10, 2016",5.98,6.02,5.95,6.01,"29,317,385"
"Sep 30, 2016",5.92,6.03,5.92,5.98,"23,654,509"
"Sep 29, 2016",5.90,5.97,5.89,5.94,"21,430,518"
"Sep 28, 2016",5.91,5.92,5.87,5.88,"10,762,959"
"Sep 27, 2016",5.86,5.91,5.80,5.90,"17,080,879"
"Sep 26, 2016",5.95,5.95,5.86,5.87,"23,361,180"
"Sep 23, 2016",5.96,5.97,5.93,5.95,"16,268,266"
"Sep 22, 2016",5.96,5.98,5.93,5.94,"28,242,111"
"Sep 21, 2016",5.89,5.96,5.88,5.95,"21,612,638"
"Sep 20, 2016",5.89,5.92,5.87,5.90,"20,421,734"
"Sep 19, 2016",5.87,5.95,5.87,5.88,"56,724,212"
"Sep 14, 2016",5.94,5.94,5.84,5.87,"43,180,586"
"Sep 13, 2016",6.01,6.02,5.94,5.94,"26,210,184"
"Sep 12, 2016",6.08,6.08,5.96,5.99,"47,042,436"
"Sep 9, 2016",6.22,6.22,6.12,6.13,"25,808,000"
"Sep 8, 2016",6.22,6.23,6.18,6.22,"30,107,780"
"Sep 7, 2016",6.26,6.27,6.20,6.22,"42,958,571"
"Sep 6, 2016",6.30,6.34,6.23,6.27,"30,572,221"
"Sep 5, 2016",6.28,6.33,6.27,6.31,"19,441,917"
"Sep 2, 2016",6.34,6.37,6.26,6.29,"26,053,376"
"Sep 1, 2016",6.34,6.41,6.29,6.35,"29,287,464"
"Aug 31, 2016",6.30,6.44,6.29,6.35,"26,455,321"
"Aug 30, 2016",6.28,6.34,6.26,6.32,"21,271,856"
"Aug 29, 2016",6.33,6.35,6.25,6.28,"29,777,993"
"Aug 26, 2016",6.30,6.38,6.26,6.35,"36,138,767"
"Aug 25, 2016",6.30,6.35,6.25,6.34,"24,249,438"
"Aug 24, 2016",6.40,6.41,6.28,6.31,"37,514,126"
"Aug 23, 2016",6.43,6.48,6.34,6.39,"25,085,876"
"Aug 22, 2016",6.44,6.49,6.37,6.44,"15,649,787"
"Aug 19, 2016",6.48,6.49,6.43,6.43,"21,843,652"
"Aug 18, 2016",6.46,6.63,6.43,6.47,"37,903,963"
"Aug 17, 2016",6.51,6.60,6.45,6.50,"42,412,282"
"Aug 16, 2016",6.65,6.71,6.41,6.58,"94,019,589"
"Aug 15, 2016",6.43,6.75,6.38,6.68,"91,009,295"
"Aug 12, 2016",6.21,6.49,6.20,6.43,"65,585,684"
"Aug 11, 2016",6.04,6.45,6.02,6.23,"89,878,174"
"Aug 10, 2016",6.05,6.08,6.01,6.04,"19,949,176"
"Aug 9, 2016",6.00,6.07,6.00,6.05,"24,140,871"
"Aug 8, 2016",5.94,6.02,5.91,6.00,"22,311,124"
"Aug 5, 2016",5.89,6.01,5.86,5.96,"37,058,759"
"Aug 4, 2016",5.90,5.92,5.82,5.89,"20,812,077"
"Aug 3, 2016",5.92,5.94,5.89,5.91,"14,652,117"
"Aug 2, 2016",5.99,6.04,5.91,5.94,"25,392,726"
"Aug 1, 2016",6.02,6.14,5.95,6.01,"49,960,213"
"Jul 29, 2016",5.86,6.02,5.86,5.98,"38,635,507"
"Jul 28, 2016",5.86,5.92,5.84,5.88,"26,418,776"
"Jul 27, 2016",5.89,5.94,5.80,5.92,"47,081,319"
"Jul 26, 2016",5.82,5.94,5.81,5.90,"25,517,850"
"Jul 25, 2016",5.88,5.89,5.77,5.86,"38,998,534"
"Jul 22, 2016",6.12,6.15,6.09,6.13,"23,377,343"
"Jul 21, 2016",6.12,6.16,6.07,6.15,"22,434,899"
"Jul 20, 2016",6.17,6.20,6.07,6.13,"25,428,731"
"Jul 19, 2016",6.23,6.25,6.11,6.18,"32,715,627"
"Jul 18, 2016",6.07,6.35,6.06,6.26,"70,385,602"
"Jul 15, 2016",6.03,6.11,6.00,6.06,"38,781,397"
"Jul 14, 2016",5.96,6.10,5.94,6.01,"41,528,650"
"Jul 13, 2016",5.85,6.20,5.85,5.96,"86,397,058"
"Jul 12, 2016",5.72,5.85,5.70,5.83,"46,241,795"
"Jul 11, 2016",5.72,5.75,5.71,5.72,"25,600,507"
"Jul 8, 2016",5.76,5.76,5.71,5.71,"18,405,409"
"Jul 7, 2016",5.75,5.78,5.72,5.76,"33,749,465"
"Jul 6, 2016",5.74,5.77,5.71,5.74,"26,885,110"
"Jul 5, 2016",5.73,5.77,5.72,5.76,"28,611,937"
"Jul 4, 2016",5.67,5.76,5.65,5.73,"37,201,800"
"Jul 1, 2016",5.67,5.69,5.65,5.67,"22,886,745"
"Jun 30, 2016",5.68,5.69,5.65,5.66,"24,018,347"
"Jun 29, 2016",5.61,5.70,5.59,5.70,"36,795,981"
"Jun 28, 2016",5.59,5.60,5.55,5.60,"17,033,467"
"Jun 27, 2016",5.56,5.62,5.53,5.61,"20,942,034"
"Jun 24, 2016",5.63,5.70,5.50,5.60,"34,244,601"
"Jun 23, 2016",5.60,5.68,5.59,5.64,"24,217,721"
"Jun 22, 2016",5.57,5.61,5.54,5.60,"16,233,818"
"Jun 21, 2016",5.55,5.62,5.54,5.57,"23,909,318"
"Jun 20, 2016",5.57,5.58,5.51,5.55,"22,433,235"
"Jun 17, 2016",5.57,5.61,5.53,5.55,"26,577,869"
"Jun 16, 2016",5.57,5.63,5.53,5.57,"17,899,167"
"Jun 15, 2016",5.51,5.70,5.50,5.61,"32,323,648"
"Jun 14, 2016",5.52,5.58,5.51,5.56,"17,494,737"
"Jun 13, 2016",5.66,5.66,5.50,5.51,"26,140,369"
"Jun 8, 2016",5.69,5.70,5.67,5.69,"13,728,140"
"Jun 7, 2016",5.69,5.71,5.66,5.71,"20,026,641"
"Jun 6, 2016",5.72,5.73,5.66,5.69,"20,257,789"
"Jun 3, 2016",5.73,5.75,5.69,5.73,"25,130,657"
"Jun 2, 2016",5.77,5.79,5.69,5.73,"28,832,233"
"Jun 1, 2016",5.78,5.81,5.73,5.77,"25,490,174"
"May 31, 2016",5.59,5.83,5.58,5.80,"43,619,135"
"May 30, 2016",5.53,5.60,5.52,5.60,"22,400,607"
"May 27, 2016",5.49,5.58,5.48,5.54,"20,031,285"
"May 26, 2016",5.47,5.51,5.45,5.48,"13,603,206"
"May 25, 2016",5.51,5.54,5.47,5.50,"13,874,462"
"May 24, 2016",5.53,5.54,5.47,5.48,"12,821,816"
"May 23, 2016",5.51,5.55,5.51,5.53,"10,815,810"
"May 20, 2016",5.48,5.53,5.48,5.53,"10,469,012"
"May 19, 2016",5.50,5.54,5.49,5.49,"14,467,452"
"May 18, 2016",5.50,5.55,5.45,5.53,"27,640,782"
"May 17, 2016",5.55,5.56,5.47,5.52,"23,260,795"
"May 16, 2016",5.49,5.57,5.48,5.56,"17,321,583"
"May 13, 2016",5.55,5.59,5.49,5.52,"21,340,913"
"May 12, 2016",5.59,5.60,5.53,5.58,"21,573,396"
"May 11, 2016",5.60,5.66,5.53,5.63,"29,351,035"
"May 10, 2016",5.59,5.62,5.56,5.57,"18,160,753"
"May 9, 2016",5.82,5.82,5.54,5.61,"37,737,931"
"May 6, 2016",5.96,5.98,5.81,5.81,"25,713,580"
"May 5, 2016",5.97,6.00,5.92,5.97,"21,494,405"
"May 4, 2016",6.00,6.00,5.94,5.96,"19,177,892"
"May 3, 2016",5.85,5.98,5.85,5.97,"41,912,527"
"Apr 29, 2016",5.86,5.90,5.85,5.87,"24,190,366"
"Apr 28, 2016",5.89,5.97,5.85,5.91,"36,997,696"
"Apr 27, 2016",5.90,5.92,5.86,5.86,"17,215,760"
"Apr 26, 2016",5.85,5.93,5.83,5.89,"25,011,420"
"Apr 25, 2016",5.89,5.93,5.79,5.87,"23,231,469"
"Apr 22, 2016",5.87,5.93,5.85,5.91,"24,810,679"
"Apr 21, 2016",5.86,5.99,5.82,5.89,"38,828,586"
"Apr 20, 2016",6.00,6.01,5.76,5.90,"56,577,577"
"Apr 19, 2016",6.07,6.07,5.96,5.99,"32,469,333"
"Apr 18, 2016",6.11,6.11,6.02,6.03,"31,215,885"
"Apr 15, 2016",6.12,6.19,6.10,6.14,"41,481,469"
"Apr 14, 2016",6.15,6.18,6.08,6.12,"32,643,260"
"Apr 13, 2016",6.03,6.22,6.00,6.12,"83,323,426"
"Apr 12, 2016",6.03,6.04,5.96,6.00,"18,932,782"
"Apr 11, 2016",5.96,6.08,5.96,6.03,"36,021,339"
"Apr 8, 2016",5.96,6.02,5.92,5.98,"32,473,107"
"Apr 7, 2016",6.04,6.06,5.96,5.97,"36,116,990"
"Apr 6, 2016",6.07,6.09,6.00,6.04,"40,434,730"
"Apr 5, 2016",6.04,6.12,6.01,6.11,"59,266,863"
"Apr 1, 2016",6.06,6.11,5.95,6.09,"48,848,510"
"Mar 31, 2016",6.11,6.13,6.02,6.07,"47,885,030"
"Mar 30, 2016",5.95,6.09,5.93,6.08,"57,719,736"
"Mar 29, 2016",5.92,5.97,5.87,5.91,"32,160,660"
"Mar 28, 2016",6.00,6.04,5.89,5.90,"34,841,945"
"Mar 25, 2016",5.96,6.02,5.93,5.97,"29,818,699"
