Date,Open,High,Low,Close,Volume
"Mar 31, 2017",7.32,7.53,7.32,7.47,"125,692,309"
"Mar 30, 2017",7.40,7.55,7.32,7.35,"153,207,268"
"Mar 29, 2017",7.40,7.58,7.36,7.44,"160,833,555"
"Mar 28, 2017",7.52,7.54,7.30,7.44,"179,087,574"
"Mar 27, 2017",7.65,7.71,7.51,7.53,"175,580,529"
"Mar 24, 2017",7.83,7.85,7.62,7.66,"254,915,560"
"Mar 23, 2017",7.66,7.82,7.61,7.79,"254,643,777"
"Mar 22, 2017",7.62,7.74,7.42,7.66,"231,212,796"
"Mar 21, 2017",7.71,7.74,7.62,7.67,"147,347,470"
"Mar 20, 2017",7.78,7.90,7.62,7.78,"239,122,482"
"Mar 17, 2017",7.66,7.96,7.58,7.78,"422,079,211"
"Mar 16, 2017",7.50,7.74,7.45,7.69,"311,226,056"
"Mar 15, 2017",7.38,7.57,7.32,7.49,"244,810,915"
"Mar 14, 2017",7.36,7.48,7.36,7.38,"178,510,978"
"Mar 13, 2017",7.73,7.74,7.35,7.42,"426,665,464"
"Mar 10, 2017",7.75,7.84,7.55,7.77,"300,778,023"
"Mar 9, 2017",7.61,7.85,7.59,7.75,"407,913,942"
"Mar 8, 2017",7.17,7.88,7.11,7.70,"677,357,336"
"Mar 7, 2017",7.37,7.55,7.14,7.17,"363,822,127"
"Mar 6, 2017",7.05,7.29,6.99,7.21,"175,698,996"
"Mar 3, 2017",7.06,7.18,6.98,7.08,"169,184,814"
"Mar 2, 2017",7.19,7.34,7.08,7.12,"201,578,789"
"Mar 1, 2017",6.99,7.40,6.97,7.20,"370,078,678"
"Feb 28, 2017",7.03,7.06,6.84,7.03,"212,496,616"
"Feb 27, 2017",7.00,7.13,6.93,7.03,"255,205,146"
"Feb 24, 2017",6.55,7.20,6.53,7.08,"477,607,989"
"Feb 23, 2017",6.58,6.61,6.52,6.55,"84,847,924"
"Feb 22, 2017",6.57,6.64,6.53,6.60,"94,923,070"
"Feb 21, 2017",6.52,6.68,6.50,6.58,"132,291,567"
"Feb 20, 2017",6.45,6.59,6.41,6.55,"125,281,173"
"Feb 17, 2017",6.69,6.71,6.48,6.51,"210,522,605"
"Feb 16, 2017",6.74,6.78,6.66,6.73,"130,121,487"
"Feb 15, 2017",6.83,6.83,6.71,6.73,"127,693,669"
"Feb 14, 2017",6.83,6.88,6.75,6.82,"123,748,001"
"Feb 13, 2017",6.72,6.87,6.70,6.85,"140,567,513"
"Feb 10, 2017",6.78,6.95,6.74,6.78,"204,197,412"
"Feb 9, 2017",6.75,6.82,6.72,6.80,"189,759,117"
"Feb 8, 2017",6.49,6.84,6.45,6.79,"332,572,977"
"Feb 7, 2017",6.48,6.60,6.42,6.50,"133,645,619"
"Feb 6, 2017",6.51,6.54,6.35,6.52,"173,138,635"
"Feb 3, 2017",6.51,6.62,6.51,6.53,"107,866,825"
"Jan 26, 2017",6.50,6.61,6.45,6.54,"172,325,201"
"Jan 25, 2017",6.30,6.63,6.25,6.58,"270,571,827"
"Jan 24, 2017",6.34,6.39,6.30,6.33,"125,220,090"
"Jan 23, 2017",6.30,6.39,6.28,6.35,"132,429,737"
"Jan 20, 2017",6.25,6.39,6.15,6.32,"187,092,114"
"Jan 19, 2017",6.55,6.60,6.22,6.28,"267,173,546"
"Jan 18, 2017",6.58,6.74,6.57,6.62,"172,841,505"
"Jan 17, 2017",6.50,6.60,6.41,6.57,"192,415,186"
"Jan 16, 2017",6.59,6.68,6.20,6.59,"424,163,796"
"Jan 13, 2017",6.60,6.80,6.58,6.64,"204,052,786"
"Jan 12, 2017",6.78,6.87,6.53,6.68,"355,840,469"
"Jan 11, 2017",7.48,7.52,6.79,6.91,"495,884,855"
"Jan 10, 2017",7.67,7.80,7.52,7.55,"215,227,388"
"Jan 9, 2017",7.66,7.78,7.51,7.71,"226,365,421"
"Jan 6, 2017",7.75,7.87,7.62,7.68,"281,331,645"
"Jan 5, 2017",7.39,7.86,7.37,7.85,"360,215,383"
"Jan 4, 2017",7.40,7.48,7.30,7.44,"200,961,390"
"Jan 3, 2017",7.25,7.56,7.22,7.44,"242,309,682"
"Dec 30, 2016",7.60,7.60,7.22,7.30,"294,062,173"
"Dec 29, 2016",7.62,7.72,7.47,7.55,"219,205,638"
"Dec 28, 2016",7.51,7.70,7.40,7.69,"283,246,727"
"Dec 27, 2016",7.84,7.91,7.44,7.55,"428,036,438"
"Dec 26, 2016",7.70,7.96,7.61,7.82,"337,864,773"
"Dec 23, 2016",7.70,8.05,7.60,7.79,"612,022,035"
"Dec 22, 2016",7.32,7.70,7.26,7.69,"508,453,603"
"Dec 21, 2016",7.15,7.70,7.07,7.37,"704,067,805"
"Dec 20, 2016",6.87,7.12,6.70,7.10,"398,704,242"
"Dec 19, 2016",6.94,7.09,6.82,6.86,"258,966,578"
"Dec 16, 2016",6.70,6.95,6.70,6.80,"264,593,091"
"Dec 15, 2016",6.65,6.84,6.56,6.74,"371,336,587"
"Dec 14, 2016",7.13,7.42,6.83,6.84,"668,827,681"
"Dec 13, 2016",6.72,7.26,6.68,7.23,"515,162,776"
"Dec 12, 2016",7.00,7.28,6.73,6.80,"483,017,114"
"Dec 9, 2016",6.94,7.08,6.75,7.02,"403,342,602"
"Dec 8, 2016",6.65,7.07,6.60,7.02,"545,165,171"
"Dec 7, 2016",6.60,6.63,6.38,6.57,"321,373,900"
"Dec 6, 2016",6.78,6.89,6.50,6.64,"348,154,635"
"Dec 5, 2016",6.55,7.06,6.45,6.78,"548,972,153"
"Dec 2, 2016",7.30,7.37,6.79,6.84,"726,423,404"
"Dec 1, 2016",6.76,7.33,6.60,7.33,"1,025,380,937"
"Nov 30, 2016",6.07,6.77,6.05,6.69,"770,163,920"
"Nov 29, 2016",6.02,6.29,5.97,6.15,"328,607,478"
"Nov 28, 2016",5.96,6.15,5.92,6.05,"225,597,507"
"Nov 25, 2016",5.80,5.93,5.77,5.92,"172,742,052"
"Nov 24, 2016",5.80,5.85,5.75,5.82,"125,958,467"
