Date,Open,High,Low,Close,Volume
"Mar 31, 2017",15.43,15.46,15.25,15.33,"13,073,112"
"Mar 30, 2017",15.44,15.53,15.34,15.43,"15,732,333"
"Mar 29, 2017",15.53,15.62,15.42,15.46,"10,727,392"
"Mar 28, 2017",15.59,15.66,15.54,15.56,"6,137,173"
"Mar 27, 2017",15.64,15.75,15.56,15.61,"11,676,646"
"Mar 24, 2017",15.57,15.78,15.42,15.66,"17,944,837"
"Mar 23, 2017",15.50,15.67,15.47,15.54,"12,097,646"
"Mar 22, 2017",15.60,15.68,15.46,15.50,"15,377,347"
"Mar 21, 2017",15.78,15.81,15.65,15.69,"14,791,275"
"Mar 20, 2017",15.85,15.85,15.65,15.77,"16,708,590"
"Mar 17, 2017",16.00,16.09,15.78,15.80,"17,523,988"
"Mar 16, 2017",15.83,16.13,15.82,16.03,"31,976,489"
"Mar 15, 2017",15.73,15.83,15.71,15.78,"7,750,680"
"Mar 14, 2017",15.82,15.87,15.68,15.73,"10,896,369"
"Mar 13, 2017",15.74,15.84,15.60,15.83,"13,095,582"
"Mar 10, 2017",15.89,15.91,15.77,15.78,"9,502,632"
"Mar 9, 2017",15.89,15.92,15.79,15.88,"14,619,825"
"Mar 8, 2017",16.00,16.04,15.88,15.90,"9,305,435"
"Mar 7, 2017",16.06,16.08,15.95,16.02,"8,885,291"
"Mar 6, 2017",15.89,16.09,15.87,16.06,"11,285,923"
"Mar 3, 2017",15.99,15.99,15.83,15.95,"13,416,995"
"Mar 2, 2017",16.02,16.22,15.97,15.99,"29,957,230"
"Mar 1, 2017",15.91,16.11,15.87,15.97,"18,679,574"
"Feb 28, 2017",15.82,16.02,15.82,15.91,"11,436,757"
"Feb 27, 2017",15.97,15.98,15.82,15.84,"13,089,947"
"Feb 24, 2017",15.92,15.99,15.87,15.97,"12,431,235"
"Feb 23, 2017",16.13,16.16,15.85,15.93,"32,059,341"
"Feb 22, 2017",16.18,16.21,16.05,16.15,"18,694,028"
"Feb 21, 2017",16.15,16.36,16.11,16.24,"29,876,310"
"Feb 20, 2017",15.95,16.15,15.83,16.15,"38,001,894"
"Feb 17, 2017",16.10,16.43,15.88,15.92,"56,614,878"
"Feb 16, 2017",15.95,16.05,15.89,15.96,"27,761,845"
"Feb 15, 2017",16.06,16.15,15.91,15.94,"26,227,057"
"Feb 14, 2017",16.19,16.24,16.03,16.07,"22,116,916"
"Feb 13, 2017",16.06,16.24,16.06,16.13,"16,505,292"
"Feb 10, 2017",16.03,16.19,15.96,16.08,"18,752,219"
"Feb 9, 2017",15.97,16.08,15.91,15.99,"13,522,672"
"Feb 8, 2017",15.70,15.98,15.61,15.97,"15,408,415"
"Feb 7, 2017",15.80,15.82,15.63,15.71,"9,469,631"
"Feb 6, 2017",15.77,15.85,15.73,15.82,"9,885,548"
"Feb 3, 2017",16.00,16.01,15.75,15.77,"7,628,561"
"Jan 26, 2017",15.95,16.04,15.95,16.00,"8,920,369"
"Jan 25, 2017",15.92,15.98,15.88,15.92,"6,056,071"
"Jan 24, 2017",16.03,16.03,15.91,15.96,"5,637,828"
"Jan 23, 2017",15.96,16.11,15.95,16.00,"9,013,948"
"Jan 20, 2017",15.83,16.03,15.79,16.01,"11,291,201"
