Date,Open,High,Low,Close,Volume
"Mar 31, 2017",14.59,14.65,14.43,14.60,"27,621,395"
"Mar 30, 2017",14.60,14.73,14.55,14.64,"24,622,339"
"Mar 29, 2017",14.82,14.94,14.63,14.64,"33,403,781"
"Mar 28, 2017",14.99,14.99,14.83,14.87,"20,211,743"
"Mar 27, 2017",15.08,15.12,14.92,14.97,"23,108,247"
"Mar 24, 2017",14.97,15.15,14.92,15.06,"26,368,615"
"Mar 23, 2017",14.91,15.08,14.86,14.95,"24,860,303"
"Mar 22, 2017",15.16,15.19,14.83,14.89,"38,303,542"
"Mar 21, 2017",15.31,15.36,15.13,15.18,"27,211,942"
"Mar 20, 2017",15.46,15.52,15.22,15.33,"32,453,611"
"Mar 17, 2017",15.81,15.85,15.43,15.54,"45,557,534"
"Mar 16, 2017",15.65,15.92,15.65,15.79,"43,942,507"
"Mar 15, 2017",15.61,15.66,15.52,15.64,"18,543,794"
"Mar 14, 2017",15.57,15.62,15.53,15.61,"12,687,804"
"Mar 13, 2017",15.50,15.57,15.43,15.55,"11,673,089"
"Mar 10, 2017",15.55,15.63,15.49,15.51,"16,135,084"
"Mar 9, 2017",15.56,15.62,15.40,15.61,"20,028,109"
"Mar 8, 2017",15.61,15.68,15.54,15.60,"12,828,863"
"Mar 7, 2017",15.63,15.68,15.56,15.66,"12,157,458"
"Mar 6, 2017",15.54,15.66,15.47,15.64,"17,366,583"
"Mar 3, 2017",15.50,15.59,15.46,15.52,"22,881,101"
"Mar 2, 2017",15.64,15.75,15.52,15.53,"36,095,941"
"Mar 1, 2017",15.70,15.72,15.60,15.62,"39,443,487"
"Feb 28, 2017",15.72,15.83,15.64,15.68,"23,211,858"
"Feb 27, 2017",15.77,15.90,15.65,15.72,"32,636,956"
"Feb 24, 2017",15.72,15.92,15.72,15.82,"22,615,274"
"Feb 23, 2017",15.89,15.94,15.73,15.76,"22,336,584"
"Feb 22, 2017",15.90,15.98,15.83,15.91,"22,437,342"
"Feb 21, 2017",15.86,16.10,15.84,15.89,"40,813,749"
"Feb 20, 2017",15.78,15.86,15.61,15.85,"44,598,143"
"Feb 17, 2017",15.88,16.13,15.80,15.82,"54,736,407"
"Feb 16, 2017",15.90,15.93,15.78,15.84,"30,213,642"
"Feb 15, 2017",15.95,16.02,15.86,15.88,"22,073,714"
"Feb 14, 2017",16.08,16.08,15.90,15.94,"25,150,686"
"Feb 13, 2017",16.05,16.11,15.97,16.06,"38,111,977"
"Feb 10, 2017",16.02,16.11,15.93,16.03,"27,158,180"
"Feb 9, 2017",16.05,16.11,15.97,16.00,"25,099,345"
"Feb 8, 2017",16.00,16.15,15.82,16.07,"24,513,574"
"Feb 7, 2017",16.10,16.16,15.91,15.97,"10,916,856"
"Feb 6, 2017",16.14,16.27,16.04,16.11,"13,035,955"
"Feb 3, 2017",16.35,16.35,16.06,16.09,"7,939,600"
"Jan 26, 2017",16.30,16.40,16.22,16.25,"7,899,352"
"Jan 25, 2017",16.28,16.40,16.19,16.28,"14,799,522"
"Jan 24, 2017",16.56,16.63,16.26,16.28,"13,531,823"
"Jan 23, 2017",16.63,16.76,16.54,16.56,"12,354,188"
"Jan 20, 2017",16.56,16.63,16.45,16.61,"21,716,190"
"Jan 19, 2017",16.51,16.64,16.38,16.51,"21,388,240"
"Jan 18, 2017",16.54,16.66,16.36,16.59,"17,424,414"
"Jan 17, 2017",16.50,16.56,16.36,16.51,"15,732,161"
"Jan 16, 2017",16.22,16.67,16.14,16.57,"59,296,187"
"Jan 13, 2017",16.11,16.47,16.09,16.31,"29,518,267"
"Jan 12, 2017",15.94,16.26,15.91,16.12,"23,730,675"
"Jan 11, 2017",15.72,16.03,15.72,15.95,"25,495,665"
"Jan 10, 2017",15.55,15.83,15.55,15.81,"13,882,481"
"Jan 9, 2017",15.41,15.63,15.41,15.58,"10,098,426"
