Date,Open,High,Low,Close,Volume
"Mar 31, 2017",16.85,16.89,16.71,16.80,"17,634,526"
"Mar 30, 2017",16.80,16.91,16.63,16.81,"26,720,975"
"Mar 29, 2017",17.03,17.09,16.80,16.83,"27,714,670"
"Mar 28, 2017",17.07,17.18,16.93,17.03,"28,921,017"
"Mar 27, 2017",17.05,17.22,17.00,17.02,"31,488,748"
"Mar 24, 2017",17.01,17.21,16.83,17.04,"43,602,031"
"Mar 23, 2017",16.91,17.13,16.80,16.96,"28,108,049"
"Mar 22, 2017",17.30,17.30,16.80,16.92,"53,232,885"
"Mar 21, 2017",17.65,17.68,17.30,17.39,"43,458,662"
"Mar 20, 2017",17.82,17.84,17.55,17.65,"30,157,199"
"Mar 17, 2017",18.09,18.13,17.74,17.81,"28,294,596"
"Mar 16, 2017",17.82,18.12,17.80,18.08,"44,664,473"
"Mar 15, 2017",17.82,17.82,17.70,17.77,"16,891,378"
"Mar 14, 2017",17.86,17.93,17.76,17.82,"14,775,789"
"Mar 13, 2017",17.75,17.89,17.58,17.86,"23,379,282"
"Mar 10, 2017",17.96,18.05,17.74,17.78,"25,958,765"
"Mar 9, 2017",18.10,18.11,17.86,18.03,"25,933,666"
"Mar 8, 2017",18.12,18.18,18.03,18.12,"19,379,747"
"Mar 7, 2017",18.16,18.18,17.98,18.11,"17,565,909"
"Mar 6, 2017",18.03,18.19,17.93,18.16,"22,337,688"
"Mar 3, 2017",18.06,18.11,17.91,17.99,"24,929,304"
"Mar 2, 2017",18.20,18.43,18.05,18.09,"44,025,880"
"Mar 1, 2017",18.15,18.25,18.07,18.13,"26,048,529"
"Feb 28, 2017",18.19,18.29,18.05,18.16,"24,170,099"
"Feb 27, 2017",18.43,18.52,18.15,18.19,"34,596,840"
"Feb 24, 2017",18.47,18.58,18.35,18.49,"26,233,301"
"Feb 23, 2017",18.79,18.94,18.34,18.45,"45,136,737"
"Feb 22, 2017",18.80,18.89,18.67,18.84,"27,126,046"
"Feb 21, 2017",18.59,19.04,18.56,18.86,"77,292,693"
"Feb 20, 2017",18.30,18.53,18.15,18.51,"47,443,354"
"Feb 17, 2017",18.49,18.88,18.29,18.30,"72,387,155"
"Feb 16, 2017",18.31,18.49,18.20,18.39,"33,105,928"
"Feb 15, 2017",18.39,18.54,18.28,18.31,"32,693,249"
"Feb 14, 2017",18.52,18.63,18.35,18.40,"25,137,269"
"Feb 13, 2017",18.34,18.62,18.30,18.51,"60,691,621"
"Feb 10, 2017",18.24,18.45,18.02,18.32,"46,673,453"
"Feb 9, 2017",18.21,18.42,18.18,18.24,"29,650,255"
"Feb 8, 2017",17.97,18.33,17.82,18.27,"30,869,293"
"Feb 7, 2017",18.10,18.11,17.83,17.96,"18,864,260"
"Feb 6, 2017",18.23,18.23,18.00,18.11,"22,148,830"
"Feb 3, 2017",18.52,18.52,18.13,18.14,"17,290,774"
"Jan 26, 2017",18.42,18.60,18.39,18.47,"16,773,706"
"Jan 25, 2017",18.37,18.46,18.24,18.40,"11,541,737"
"Jan 24, 2017",18.37,18.49,18.22,18.36,"20,032,071"
"Jan 23, 2017",18.45,18.68,18.36,18.40,"18,800,933"
"Jan 20, 2017",18.13,18.50,18.10,18.45,"28,460,289"
"Jan 19, 2017",18.12,18.27,18.05,18.18,"17,407,300"
"Jan 18, 2017",18.05,18.27,17.93,18.14,"18,078,088"
"Jan 17, 2017",18.06,18.16,17.85,18.06,"17,152,057"
"Jan 16, 2017",17.81,18.24,17.65,18.15,"60,872,340"
"Jan 13, 2017",17.67,17.96,17.66,17.88,"21,452,796"
"Jan 12, 2017",17.85,17.97,17.72,17.74,"18,201,907"
"Jan 11, 2017",18.05,18.12,17.80,17.82,"22,836,120"
"Jan 10, 2017",18.23,18.24,17.99,18.04,"18,406,550"
"Jan 9, 2017",18.13,18.25,18.07,18.14,"23,064,790"
"Jan 6, 2017",18.37,18.41,18.07,18.16,"24,394,716"
"Jan 5, 2017",18.41,18.54,18.32,18.36,"23,907,977"
"Jan 4, 2017",18.19,18.50,18.16,18.44,"35,758,846"
"Jan 3, 2017",17.92,18.29,17.92,18.19,"32,313,226"
"Dec 30, 2016",17.87,17.99,17.67,17.87,"25,495,431"
"Dec 29, 2016",17.98,18.08,17.86,17.87,"17,883,565"
"Dec 28, 2016",18.00,18.13,17.95,18.05,"14,746,418"
"Dec 27, 2016",18.00,18.28,17.93,18.05,"20,741,155"
"Dec 26, 2016",17.69,18.07,17.58,18.03,"32,014,973"
"Dec 23, 2016",18.10,18.10,17.70,17.79,"22,030,421"
"Dec 22, 2016",18.15,18.18,18.01,18.08,"15,963,772"
"Dec 21, 2016",18.00,18.42,17.98,18.20,"50,761,859"
"Dec 20, 2016",17.85,17.93,17.69,17.89,"25,377,491"
"Dec 19, 2016",18.03,18.04,17.86,17.91,"16,309,176"
"Dec 16, 2016",18.08,18.16,17.95,18.07,"22,147,979"
"Dec 15, 2016",17.96,18.18,17.88,18.07,"34,931,627"
"Dec 14, 2016",18.34,18.35,17.99,18.06,"24,637,532"
"Dec 13, 2016",18.45,18.55,18.24,18.35,"26,888,074"
"Dec 12, 2016",18.80,18.83,18.12,18.47,"71,860,509"
"Dec 9, 2016",18.53,19.05,18.50,18.90,"64,486,370"
"Dec 8, 2016",18.85,18.87,18.48,18.52,"28,049,538"
"Dec 7, 2016",18.62,18.83,18.51,18.82,"27,033,979"
"Dec 6, 2016",18.94,19.03,18.62,18.66,"37,221,350"
"Dec 5, 2016",19.38,19.40,18.79,18.93,"62,241,605"
"Dec 2, 2016",19.90,19.92,19.31,19.57,"51,340,043"
"Dec 1, 2016",19.82,20.01,19.73,19.91,"33,946,477"
"Nov 30, 2016",19.94,20.20,19.80,19.83,"42,499,860"
"Nov 29, 2016",20.00,20.32,19.81,20.05,"60,522,364"
"Nov 28, 2016",20.50,20.60,20.01,20.19,"67,426,067"
"Nov 25, 2016",20.27,20.38,19.80,20.36,"45,891,823"
"Nov 24, 2016",20.11,20.60,20.07,20.33,"59,375,668"
"Nov 23, 2016",20.31,20.51,20.08,20.18,"51,553,409"
"Nov 22, 2016",20.28,20.57,20.16,20.25,"87,988,747"
"Nov 21, 2016",20.30,20.79,20.03,20.25,"64,939,466"
"Nov 18, 2016",20.78,20.89,20.29,20.42,"35,823,888"
"Nov 17, 2016",20.90,20.99,20.68,20.93,"31,960,613"
"Nov 16, 2016",21.10,21.18,20.70,20.98,"42,989,895"
"Nov 15, 2016",21.34,21.68,20.94,21.00,"51,663,437"
"Nov 14, 2016",21.29,22.16,21.12,21.42,"100,595,666"
"Nov 11, 2016",20.68,21.52,20.65,21.33,"93,357,698"
"Nov 10, 2016",20.61,21.08,20.50,20.71,"52,490,557"
"Nov 9, 2016",20.75,20.77,20.00,20.24,"57,069,825"
"Nov 8, 2016",20.78,21.21,20.61,20.74,"40,395,702"
"Nov 7, 2016",20.54,20.73,20.34,20.60,"33,315,313"
"Nov 4, 2016",21.09,21.38,20.41,20.55,"58,391,503"
"Nov 3, 2016",20.50,21.55,20.47,21.06,"101,554,613"
"Nov 2, 2016",20.52,21.06,20.35,20.67,"58,975,834"
"Nov 1, 2016",20.38,20.95,20.32,20.51,"58,495,956"
"Oct 31, 2016",19.70,20.76,19.70,20.54,"67,645,515"
"Oct 28, 2016",20.00,21.41,19.89,20.07,"95,428,598"
"Oct 27, 2016",19.50,19.70,19.33,19.56,"26,895,137"
"Oct 26, 2016",19.43,19.75,19.38,19.52,"26,579,260"
"Oct 25, 2016",19.49,19.67,19.29,19.49,"30,829,300"
"Oct 24, 2016",18.71,19.93,18.65,19.59,"96,464,552"
"Oct 21, 2016",18.59,19.05,18.53,18.72,"36,238,013"
"Oct 20, 2016",18.59,18.67,18.52,18.60,"14,819,030"
"Oct 19, 2016",18.77,18.77,18.53,18.57,"20,223,958"
"Oct 18, 2016",18.11,18.79,18.11,18.78,"40,559,128"
"Oct 17, 2016",18.51,18.57,18.10,18.11,"22,946,743"
"Oct 14, 2016",18.60,18.64,18.30,18.50,"19,835,545"
"Oct 13, 2016",18.62,18.73,18.53,18.68,"19,591,887"
"Oct 12, 2016",18.52,18.67,18.43,18.56,"19,279,528"
"Oct 11, 2016",18.63,18.82,18.50,18.65,"26,604,178"
"Oct 10, 2016",18.13,18.70,18.00,18.61,"37,767,261"
"Sep 30, 2016",17.88,18.04,17.86,17.96,"13,513,148"
"Sep 29, 2016",17.94,18.20,17.84,17.98,"28,069,186"
"Sep 28, 2016",17.80,17.98,17.71,17.82,"18,844,011"
"Sep 27, 2016",17.67,17.97,17.66,17.82,"27,838,397"
"Sep 26, 2016",18.41,18.42,17.65,17.67,"37,969,962"
"Sep 23, 2016",18.69,18.69,18.42,18.43,"15,379,625"
"Sep 22, 2016",18.77,18.80,18.58,18.62,"23,326,497"
"Sep 21, 2016",18.51,18.79,18.40,18.65,"27,828,999"
"Sep 20, 2016",18.72,18.72,18.49,18.53,"19,243,661"
"Sep 19, 2016",18.58,18.82,18.55,18.69,"19,306,870"
"Sep 14, 2016",18.72,18.85,18.55,18.59,"25,374,838"
"Sep 13, 2016",19.00,19.07,18.66,18.92,"31,625,264"
"Sep 12, 2016",19.64,19.69,18.50,19.06,"83,693,630"
"Sep 9, 2016",20.11,20.39,19.98,20.05,"36,041,140"
"Sep 8, 2016",20.07,20.17,19.92,20.09,"19,900,939"
"Sep 7, 2016",20.01,20.40,19.96,20.10,"40,346,043"
"Sep 6, 2016",19.92,20.10,19.63,20.01,"37,786,859"
"Sep 5, 2016",20.06,20.21,19.87,19.99,"30,150,842"
"Sep 2, 2016",19.81,20.19,19.76,20.02,"33,166,496"
"Sep 1, 2016",20.38,20.47,19.85,19.89,"39,640,972"
"Aug 31, 2016",20.18,20.51,20.03,20.43,"44,143,629"
"Aug 30, 2016",20.06,20.35,19.91,20.25,"40,254,388"
"Aug 29, 2016",19.80,20.12,19.80,20.03,"23,902,925"
"Aug 26, 2016",20.26,20.30,19.85,19.93,"36,765,464"
"Aug 25, 2016",20.02,20.33,19.85,20.19,"48,123,423"
"Aug 24, 2016",20.60,20.67,19.95,20.14,"56,846,529"
"Aug 23, 2016",20.42,20.81,20.20,20.60,"47,120,624"
"Aug 22, 2016",20.52,20.68,20.29,20.46,"46,861,794"
"Aug 19, 2016",20.50,20.84,20.35,20.73,"67,923,089"
"Aug 18, 2016",21.11,21.55,20.21,20.61,"152,086,427"
"Aug 17, 2016",21.69,22.05,20.88,21.23,"107,468,043"
"Aug 16, 2016",21.50,22.35,21.33,21.70,"166,312,208"
"Aug 15, 2016",19.69,21.43,19.69,21.43,"137,578,215"
"Aug 12, 2016",19.06,19.49,19.02,19.49,"24,072,215"
"Aug 11, 2016",18.99,19.36,18.96,19.09,"30,803,874"
"Aug 10, 2016",19.09,19.25,18.90,18.93,"20,052,829"
"Aug 9, 2016",18.71,19.19,18.71,19.04,"20,979,150"
"Aug 8, 2016",18.65,18.78,18.33,18.78,"15,794,070"
"Aug 5, 2016",18.60,18.86,18.43,18.70,"21,209,049"
"Aug 4, 2016",19.15,19.25,18.89,19.13,"19,483,741"
"Aug 3, 2016",18.75,19.27,18.75,19.24,"23,042,914"
"Aug 2, 2016",18.86,18.98,18.72,18.92,"11,829,718"
"Aug 1, 2016",18.84,18.98,18.48,18.76,"19,530,383"
"Jul 29, 2016",19.31,19.32,18.70,18.85,"25,189,588"
"Jul 28, 2016",19.68,19.68,18.66,19.29,"49,635,662"
"Jul 27, 2016",20.35,20.43,19.00,19.94,"47,274,598"
"Jul 26, 2016",19.95,20.39,19.87,20.36,"23,218,075"
"Jul 25, 2016",20.20,20.28,19.90,20.03,"16,448,553"
"Jul 22, 2016",20.48,20.48,20.02,20.19,"25,438,880"
"Jul 21, 2016",20.08,20.80,20.08,20.47,"32,614,901"
"Jul 20, 2016",20.28,20.47,20.07,20.09,"17,961,520"
"Jul 19, 2016",20.03,20.36,19.80,20.29,"26,508,124"
"Jul 18, 2016",20.50,20.67,19.82,20.03,"41,495,972"
"Jul 15, 2016",21.10,21.28,20.75,20.83,"23,755,201"
"Jul 14, 2016",21.30,21.48,20.96,21.16,"30,721,427"
"Jul 13, 2016",20.86,21.90,20.86,21.21,"60,295,179"
"Jul 12, 2016",20.15,20.98,19.89,20.77,"53,603,662"
"Jul 11, 2016",20.20,21.00,20.04,20.18,"54,332,276"
"Jul 8, 2016",19.90,20.30,19.82,20.10,"30,397,809"
"Jul 7, 2016",20.30,20.32,19.65,19.89,"42,464,560"
"Jul 6, 2016",20.36,20.55,20.00,20.19,"42,241,199"
"Jul 5, 2016",20.16,21.10,20.14,20.45,"61,991,340"
"Jul 4, 2016",18.80,20.77,18.63,20.40,"87,327,199"
"Jul 1, 2016",18.98,19.28,18.81,18.90,"25,012,557"
"Jun 30, 2016",18.71,19.40,18.71,18.93,"50,012,306"
"Jun 29, 2016",18.80,19.01,18.51,18.61,"36,725,068"
"Jun 28, 2016",18.20,18.88,17.99,18.68,"41,712,206"
"Jun 27, 2016",17.88,18.40,17.86,18.32,"24,553,805"
"Jun 24, 2016",18.19,18.65,17.51,17.97,"35,573,125"
"Jun 23, 2016",18.09,18.33,18.00,18.17,"19,299,226"
"Jun 22, 2016",17.80,18.40,17.64,18.26,"26,302,617"
"Jun 21, 2016",17.90,18.67,17.76,17.82,"49,781,631"
"Jun 20, 2016",17.84,17.97,17.52,17.64,"17,350,512"
"Jun 17, 2016",17.35,17.78,17.34,17.52,"28,171,082"
"Jun 16, 2016",17.47,17.70,17.21,17.33,"18,717,682"
"Jun 15, 2016",16.94,18.12,16.85,17.55,"39,192,701"
"Jun 14, 2016",17.11,17.55,16.92,17.29,"22,660,605"
"Jun 13, 2016",17.60,18.06,17.20,17.23,"25,638,066"
"Jun 8, 2016",18.49,18.50,17.68,18.00,"39,877,923"
"Jun 7, 2016",18.62,19.12,18.55,18.59,"20,299,885"
