Date,Open,High,Low,Close,Volume
31-Mar-17,34.31,34.71,33.92,34.34,4417019
30-Mar-17,34.96,35.00,34.30,34.31,7355474
29-Mar-17,34.06,34.91,34.05,34.75,5327064
28-Mar-17,32.92,34.22,32.89,34.15,5804669
27-Mar-17,32.36,32.93,32.33,32.85,2937713
24-Mar-17,33.13,33.19,32.71,32.82,3722723
23-Mar-17,33.32,33.38,32.91,32.97,6147227
22-Mar-17,33.17,33.64,33.06,33.51,3548139
21-Mar-17,34.00,34.09,33.12,33.33,3341002
20-Mar-17,33.59,34.02,33.34,33.92,2833709
17-Mar-17,34.12,34.27,33.68,33.86,6209915
16-Mar-17,34.43,34.59,33.75,33.91,3163260
15-Mar-17,34.14,34.49,33.70,34.41,4360633
14-Mar-17,33.57,33.88,33.24,33.69,5597101
13-Mar-17,34.07,34.45,33.85,34.05,5425237
10-Mar-17,34.90,34.93,33.93,34.07,3347922
9-Mar-17,33.90,34.73,33.57,34.63,5864137
8-Mar-17,35.62,35.75,34.07,34.09,5928436
7-Mar-17,36.86,36.97,35.84,35.88,3590605
6-Mar-17,36.50,36.96,36.34,36.81,3758393
3-Mar-17,36.92,37.23,36.65,36.71,2430343
2-Mar-17,37.00,37.26,36.78,36.82,3452640
1-Mar-17,36.87,37.33,36.67,37.27,3161249
28-Feb-17,36.42,36.67,36.20,36.41,4078386
27-Feb-17,36.92,37.10,36.55,36.75,3970368
24-Feb-17,37.20,37.70,36.50,36.78,3665335
23-Feb-17,37.37,37.78,37.02,37.42,5826344
22-Feb-17,37.16,37.33,36.64,36.67,2972344
21-Feb-17,37.55,37.82,37.31,37.54,3471943
17-Feb-17,37.16,37.40,37.00,37.05,2770058
16-Feb-17,37.66,37.91,37.13,37.21,3521864
15-Feb-17,37.47,37.81,37.19,37.47,4666100
14-Feb-17,39.50,39.60,36.93,37.65,6909725
13-Feb-17,38.70,38.72,38.04,38.46,4755861
10-Feb-17,38.95,39.29,38.40,38.87,3083591
9-Feb-17,38.67,39.08,38.24,38.39,3811126
8-Feb-17,38.47,38.70,37.66,38.25,4992779
7-Feb-17,39.52,39.72,38.44,38.80,3969544
6-Feb-17,40.29,40.52,39.61,39.86,2769844
3-Feb-17,39.69,40.57,39.31,40.30,3869113
2-Feb-17,39.52,39.84,38.80,39.73,4002814
1-Feb-17,39.96,40.23,39.14,39.46,3844629
31-Jan-17,39.72,39.91,39.15,39.76,4182985
30-Jan-17,40.14,40.15,38.84,39.52,5917460
27-Jan-17,40.10,40.47,39.95,40.27,5356632
26-Jan-17,40.07,40.50,39.75,40.23,4669283
25-Jan-17,40.02,40.29,39.52,39.79,5352984
24-Jan-17,39.99,40.60,39.71,40.03,4057511
23-Jan-17,39.78,40.38,39.66,39.77,3594875
20-Jan-17,40.71,40.89,40.16,40.21,4074287
19-Jan-17,39.75,40.60,39.57,40.27,5363657
18-Jan-17,39.69,40.54,39.40,39.79,6414852
17-Jan-17,38.33,40.84,38.30,40.05,17521487
13-Jan-17,36.97,37.57,36.80,37.39,4352400
12-Jan-17,37.67,37.67,36.94,37.18,3322073
11-Jan-17,37.60,37.60,36.94,37.34,3766926
10-Jan-17,37.57,37.63,36.97,36.99,2916844
9-Jan-17,37.77,37.89,37.24,37.40,4008518
6-Jan-17,38.31,38.38,37.71,38.14,2255369
5-Jan-17,38.38,38.69,37.88,38.16,3182882
4-Jan-17,38.30,38.54,37.57,38.33,3190734
3-Jan-17,38.64,39.28,37.71,38.43,3738612
30-Dec-16,38.18,38.70,37.89,38.06,2221089
29-Dec-16,38.73,38.88,38.13,38.27,2254133
28-Dec-16,39.31,39.49,38.70,38.80,2054217
27-Dec-16,39.35,39.61,39.11,39.31,2453987
23-Dec-16,39.36,39.53,39.14,39.19,1415022
