vaiable,corr
SHCOMP_PER,0.7820265323811967
SSEC_CLOSE,0.7770050310202596
VNI_CLOSE,0.7342568491614864
KOSPI_PER,0.6690412570464068
bIXNRAU,0.5740265024563663
bIXMSEM40R2,0.564706784091554
aGLRMLED3M_YoY,0.5475918897416396
bIXMLAAPF,0.5325588349947002
aGLOCL6IDN,0.5285728797546828
FCHI_CLOSE,0.525835931991691
aEUCIHPHF,0.5249656558547002
aGLREIME,0.5245900423304042
SHCOMP_CAPITAL,0.5204294279141499
DAX_CAPITAL,0.502539385448648
bIXMLEROP,0.5008178312274082
bIXMLEURO,0.49986349598304497
bIXMLPACF,0.4844854111131599
aGLREIMW,0.4621900112113967
aGLREIMA,0.46183820660763
aEUCIHPNW,0.4500605656606628
bIXMSEM40R2_YoY,0.44761859455194186
bIXNRNZ,0.4449254375198586
arKOFXJPDD,0.43406130650357877
bIXMSW40R2,0.43223413160710517
bIXNRJPTP,0.4248739699941575
bIXNRTW,0.4228681866579308
N225_CLOSE,0.41185092729841216
aCHCSSI,0.40599500791001175
bIXNRHKHS,0.40410478694291163
NKY_CAPITAL,0.40303016980745504
aGLRMLED3M,0.40290496291014655
bIXNRSP,0.3996033788993593
aCHCSCI,0.3952358440697514
arKOFXHKDD_YoY,0.3837398998306668
SPX_PER,0.37229460855286156
DAX_PER,0.37202484960177457
bIXMLACWF,0.3686716677805388
aGLRMLZZ3M,0.3635550036927805
bIXMLWRLD,0.3590973024771746
arKOFXHKDD,0.34631027313097557
SSEC_VOLUME,0.3385915576328202
bIXNRCN,0.332992055016085
aEUCIHPNW_YoY,0.33217453597830354
bIXMLEMKF,0.32181763934116847
aCHMBM2GR,0.3204409113920491
bIXMLEMFA,0.31697948670930237
aGLRMLTI3M_YoY,0.31352507988926087
aGLFUW1_YoY,0.30881207949460826
aEUCIHPHF_YoY,0.30829926164577537
aCHCSEI,0.30289800746744194
aCHMBM1GR,0.30078728510795294
aGLOCL6FRA,0.29873125814473506
arKOFXDUKD,0.28516369963590976
bIXMLEMEA,0.2785349049647962
BSE_VOLUME,0.27830607587790024
GDAXI_CLOSE,0.2772073798927447
aCHBSPM,0.27674206815890545
afUSFXBRIR,0.2752996392118557
aGLOCL6AUS,0.27180932791356305
KOSPI_CAPITAL,0.2611097477165373
bIXNRUK,0.25975809301130487
aaCHEITBM,0.25927523637383376
aGLREIDE,0.2506501634646841
aGLRMCRBGRNI_YoY,0.24102273156686096
aaCHBPG,0.2397843000965254
BSE_CLOSE,0.23939177639601344
afUSFXMCN,0.23920234687500688
afUSFXOTRR,0.23769466153573002
arKOFXSWDD,0.23512341553937857
aaCHBPGIM,0.22682918368878
afUSFXMCRR,0.22253335051663672
afUSFXBRI,0.22060252442000625
aGLFUS1_YoY,0.22040987876661564
bIXMLNAMR,0.21724775703265814
SPX_CLOSE,0.21462539271780615
aCHMBRA,0.21291954790822587
aCHFXRUS,0.20774492348367535
arKOFXCNDD,0.2016346786545878
bIXNRUSDW,0.19709693377676493
SPX_CAPITAL,0.1936639882345311
aTHCBLD,0.1924083747050195
afUSFXOTN,0.19171616238658873
bIXMLEFLA,0.18510139930975236
bIXNRAG,0.179970914024289
aCHCBLD,0.17936581633433757
aaCHBPCADE,0.17736165834511136
aGLOCL6CHN,0.17465533238212036
aGLFUHO1_YoY,-0.17326876890838797
aGLFUCRY,-0.1784595364171562
aGLFUNG1_YoY,-0.19117440572892475
aGLRMCRBENGY_YoY,-0.19771647153351385
Aglegofwti_YoY,-0.19973555190871073
aGLEGOFBRT_YoY,-0.20113318300835367
aGLFUCRY_YoY,-0.20426509566372755
aGLFULH1_YoY,-0.21675353565909167
aGLRMCRBGRNI,-0.22279025012700682
aCHMBRRR,-0.2246183422313504
arKOFXUSDD,-0.23243128616113973
aCHEIIM,-0.2360552033995243
arKOFXDAUD,-0.2392751554278552
aGLFUSB1_YoY,-0.26254720648151414
arKOFXEURD,-0.2669794662629683
aCHPRCPICR,-0.2678636488626381
aGLRMNYFECRB,-0.2847628509678886
aGLFUSI1,-0.285601189587665
aGLFUC1,-0.29714278749816064
aGLRMCRBPRMI,-0.3011964709867708
aGLFUS1,-0.30332354991343674
aGLFULH1,-0.3144092408269734
aGLRMRR1,-0.3475469464545101
aGLFUSB1,-0.34806247431786586
aGLFUXB1,-0.3590834341577108
aGLEGOFWTI,-0.36106568404070505
aGLRMCRBENGY,-0.37874407787970954
aGLFUHO1,-0.3807080254414713
arKOFXJPYD,-0.3917871755255788
aGLEGOFBRT,-0.39814961312230385
arKOFXTHDD_YoY,-0.43519050533728076
