vaiable,corr
SPX_CAPITAL,0.9601573837684868
GDAXI_CLOSE,0.9523522389731899
bIXMLNAMR,0.9515159259769012
SPX_CLOSE,0.9506524574682464
bIXNRUSDW,0.9487896836745011
bIXNRSA,0.9316822870443803
bIXNRPH,0.90383772949034
SPX_EPS,0.8937163867713003
BSE_CLOSE,0.8898191324992293
bIXMLACWF,0.8809094083396175
ahBDMAHS,0.8792307164988591
aGLRMPPRDRI,0.8791257787636848
bIXMLWRLD,0.8769689603844747
bIXNRTH,0.8546443381117865
aEUCIHPNW,0.8537197225069066
bIXNRAG,0.8491750287488103
bIXNRTK,0.8273345840266593
abBDCE,0.8239690593434749
bIXNRMX,0.8122943844499666
bIXNRUK,0.8085133644995629
bIXNRID,0.8081270003746351
bIXNRMY,0.8039855386272522
KOSPI_CAPITAL,0.7904532811811384
afBDPRCCO,0.7852492081974041
aGLFULC1,0.784840002816693
aGLREIDE,0.7728810184901475
aBDLWJV,0.7714952264951852
SPX_PER,0.7638203687725912
SHCOMP_CAPITAL,0.7598421243656456
bIXNRCN,0.7578434300854027
bIXNRTW,0.7499888658276788
arKOFXINDD,0.7482555668997962
afBDPRC,0.7421697377636521
VNI_VOLUME,0.7414256632983529
afBDPRCN,0.7371183113218924
bIXMLEMFA,0.7365152960023998
DAX_CAPITAL,0.7038878917604712
aaBDEIEX,0.7021744438673173
