TimeLog,arKOFXUSDD,arKOFXJPYD,arKOFXEURD,arKOFXJPDD,arKOFXDERD,arKOFXDUKD,arKOFXDAUD,arKOFXCNDD,arKOFXSWDD,arKOFXHKDD,arKOFXTHDD,arKOFXINDD,afUSFXMCN,afUSFXBRI,afUSFXOTN,afUSFXMCRR,afUSFXBRIR,afUSFXOTRR,arKOFXUSDD_YoY,arKOFXJPYD_YoY,arKOFXEURD_YoY,arKOFXJPDD_YoY,arKOFXDERD_YoY,arKOFXDUKD_YoY,arKOFXDAUD_YoY,arKOFXCNDD_YoY,arKOFXSWDD_YoY,arKOFXHKDD_YoY,arKOFXTHDD_YoY,arKOFXINDD_YoY
2000.1.31,1122.10 ,1049.67 ,1097.08 ,106.90 ,0.98 ,1.62 ,0.64 ,1.45 ,1.64 ,7.78 ,37.56 ,7425.00 ,96.23 ,115.23 ,128.19 ,98.19 ,99.85 ,110.80 ,-4.51 ,3.93 ,-18.14 ,-8.12 ,-14.27 ,-1.55 ,1.64 ,-4.65 ,16.33 ,0.40 ,1.79 ,-18.63 
2000.2.29,1131.80 ,1034.36 ,1096.09 ,109.42 ,0.97 ,1.60 ,0.61 ,1.45 ,1.66 ,7.78 ,37.95 ,7420.00 ,98.45 ,116.68 ,128.10 ,100.71 ,101.25 ,110.72 ,-7.36 ,1.36 ,-18.69 ,-8.60 ,-12.23 ,-0.42 ,-1.24 ,-4.10 ,15.04 ,0.44 ,1.34 ,-15.30 
2000.3.31,1108.30 ,1046.95 ,1065.46 ,105.86 ,0.96 ,1.59 ,0.61 ,1.45 ,1.66 ,7.79 ,37.82 ,7585.00 ,98.83 ,116.67 ,127.44 ,101.51 ,101.72 ,110.78 ,-9.50 ,3.05 ,-18.94 ,-12.19 ,-10.43 ,-1.12 ,-2.12 ,-3.66 ,11.22 ,0.48 ,0.67 ,-12.56 
2000.4.28,1110.40 ,1042.43 ,1012.02 ,106.52 ,0.91 ,1.57 ,0.59 ,1.48 ,1.72 ,7.79 ,38.08 ,7890.00 ,99.52 ,117.33 ,127.94 ,102.34 ,102.25 ,110.93 ,-5.61 ,5.76 ,-19.00 ,-10.75 ,-14.18 ,-2.18 ,-11.00 ,0.87 ,13.63 ,0.49 ,1.95 ,-3.37 
2000.5.31,1133.80 ,1063.30 ,1053.64 ,106.63 ,0.93 ,1.50 ,0.58 ,1.51 ,1.69 ,7.79 ,39.22 ,8640.00 ,102.65 ,119.93 ,129.25 ,105.64 ,104.54 ,112.01 ,-4.43 ,9.10 ,-14.98 ,-12.40 ,-11.05 ,-6.50 ,-11.54 ,2.37 ,10.68 ,0.49 ,5.80 ,6.67 
2000.6.30,1114.80 ,1060.00 ,1061.40 ,105.17 ,0.95 ,1.52 ,0.60 ,1.48 ,1.64 ,7.80 ,39.16 ,8725.00 ,100.04 ,118.70 ,130.51 ,103.15 ,103.64 ,113.25 ,-3.56 ,11.00 ,-11.03 ,-13.11 ,-7.75 ,-3.53 ,-8.81 ,0.37 ,5.47 ,0.48 ,6.41 ,31.10 
2000.7.31,1116.20 ,1018.38 ,1031.03 ,109.61 ,0.92 ,1.50 ,0.59 ,1.48 ,1.68 ,7.80 ,41.38 ,8920.00 ,101.00 ,119.03 ,129.74 ,104.20 ,103.87 ,112.36 ,-7.07 ,-1.94 ,-19.85 ,-5.23 ,-13.75 ,-7.01 ,-9.79 ,-1.83 ,12.51 ,0.47 ,11.75 ,31.15 
2000.8.31,1108.80 ,1039.27 ,992.27 ,106.69 ,0.89 ,1.46 ,0.58 ,1.48 ,1.73 ,7.80 ,40.95 ,8335.00 ,102.55 ,119.82 ,129.15 ,105.73 ,104.39 ,111.53 ,-6.42 ,-2.95 ,-20.25 ,-3.58 ,-14.77 ,-8.33 ,-9.52 ,-1.08 ,13.24 ,0.45 ,6.89 ,8.05 
2000.9.29,1114.70 ,1033.76 ,983.72 ,107.83 ,0.88 ,1.46 ,0.54 ,1.50 ,1.73 ,7.80 ,42.48 ,8800.00 ,104.27 ,121.29 ,130.00 ,107.84 ,105.88 ,112.30 ,-8.53 ,-9.09 ,-24.08 ,0.62 ,-17.00 ,-11.01 ,-16.62 ,2.36 ,15.13 ,0.37 ,2.96 ,5.50 
2000.10.31,1136.70 ,1042.65 ,954.32 ,109.02 ,0.84 ,1.45 ,0.52 ,1.53 ,1.81 ,7.80 ,43.74 ,9415.00 ,105.88 ,123.02 ,131.64 ,109.57 ,107.35 ,113.54 ,-5.21 ,-8.71 ,-24.40 ,3.83 ,-20.24 ,-11.50 ,-19.77 ,3.97 ,18.88 ,0.38 ,12.94 ,36.45 
2000.11.30,1195.30 ,1073.46 ,1024.73 ,111.35 ,0.86 ,1.42 ,0.52 ,1.54 ,1.76 ,7.80 ,43.82 ,9475.00 ,106.79 ,123.97 ,132.51 ,110.33 ,108.00 ,114.11 ,3.27 ,-4.68 ,-12.33 ,8.33 ,-15.10 ,-11.40 ,-17.98 ,4.75 ,10.92 ,0.38 ,12.27 ,29.34 
2000.12.29,1252.00 ,1093.16 ,1163.55 ,114.53 ,0.93 ,1.49 ,0.55 ,1.50 ,1.64 ,7.80 ,43.16 ,9610.00 ,104.83 ,122.99 ,133.27 ,108.40 ,107.13 ,114.59 ,9.31 ,-2.56 ,1.13 ,12.17 ,-7.48 ,-7.73 ,-14.85 ,3.25 ,2.40 ,0.35 ,15.43 ,35.33 
2001.1.31,1265.50 ,1093.78 ,1172.68 ,115.70 ,0.93 ,1.46 ,0.55 ,1.50 ,1.65 ,7.80 ,42.67 ,9390.00 ,103.69 ,122.85 ,134.81 ,107.77 ,107.46 ,116.27 ,12.78 ,4.20 ,6.89 ,8.23 ,-5.22 ,-9.88 ,-14.22 ,3.89 ,0.13 ,0.24 ,13.60 ,26.46 
2001.2.28,1245.70 ,1071.48 ,1144.05 ,116.26 ,0.92 ,1.44 ,0.53 ,1.53 ,1.68 ,7.80 ,42.75 ,9810.00 ,105.00 ,123.54 ,134.34 ,109.27 ,108.30 ,116.27 ,10.06 ,3.59 ,4.38 ,6.25 ,-5.17 ,-9.56 ,-14.50 ,5.49 ,1.04 ,0.22 ,12.65 ,32.21 
2001.3.30,1314.00 ,1064.27 ,1159.41 ,123.47 ,0.88 ,1.43 ,0.49 ,1.57 ,1.73 ,7.80 ,44.70 ,10380.00 ,107.51 ,125.56 ,135.25 ,111.83 ,109.88 ,116.67 ,18.56 ,1.65 ,8.82 ,16.63 ,-8.22 ,-10.42 ,-19.86 ,8.07 ,4.37 ,0.17 ,18.19 ,36.85 
2001.4.30,1324.70 ,1067.70 ,1179.98 ,124.07 ,0.89 ,1.43 ,0.51 ,1.54 ,1.73 ,7.80 ,45.68 ,11750.00 ,108.66 ,126.53 ,135.76 ,112.83 ,110.48 ,116.77 ,19.30 ,2.42 ,16.60 ,16.48 ,-2.26 ,-8.86 ,-13.43 ,4.46 ,0.12 ,0.14 ,19.96 ,48.92 
2001.5.31,1292.90 ,1073.39 ,1106.21 ,120.45 ,0.86 ,1.43 ,0.51 ,1.54 ,1.78 ,7.80 ,45.37 ,11370.00 ,108.72 ,126.39 ,135.31 ,113.04 ,110.56 ,116.69 ,14.03 ,0.95 ,4.99 ,12.96 ,-7.93 ,-4.71 ,-11.22 ,2.55 ,5.70 ,0.09 ,15.67 ,31.60 
2001.6.29,1302.30 ,1043.51 ,1099.79 ,124.80 ,0.84 ,1.41 ,0.51 ,1.52 ,1.80 ,7.80 ,45.26 ,11440.00 ,109.75 ,127.24 ,135.75 ,114.27 ,111.38 ,117.03 ,16.82 ,-1.56 ,3.62 ,18.67 ,-11.30 ,-7.41 ,-15.73 ,2.69 ,10.14 ,0.06 ,15.58 ,31.12 
2001.7.31,1301.40 ,1039.46 ,1137.23 ,125.20 ,0.87 ,1.43 ,0.51 ,1.53 ,1.73 ,7.80 ,45.71 ,9650.00 ,109.81 ,127.67 ,136.70 ,114.26 ,111.49 ,117.30 ,16.59 ,2.07 ,10.30 ,14.23 ,-5.39 ,-5.07 ,-13.80 ,3.62 ,3.10 ,0.02 ,10.46 ,8.18 
2001.8.31,1283.80 ,1074.53 ,1176.15 ,119.48 ,0.92 ,1.46 ,0.53 ,1.54 ,1.65 ,7.80 ,44.20 ,8900.00 ,107.36 ,125.57 ,135.50 ,111.62 ,109.55 ,116.12 ,15.78 ,3.39 ,18.53 ,11.98 ,2.38 ,-0.12 ,-7.66 ,4.53 ,-4.24 ,0.00 ,7.94 ,6.78 
2001.9.28,1305.90 ,1090.98 ,1197.84 ,119.70 ,0.92 ,1.47 ,0.49 ,1.58 ,1.62 ,7.80 ,44.46 ,9645.00 ,106.91 ,125.93 ,137.13 ,111.53 ,110.15 ,117.72 ,17.15 ,5.54 ,21.77 ,11.01 ,3.94 ,0.73 ,-10.54 ,5.27 ,-6.79 ,0.03 ,4.66 ,9.60 
2001.10.31,1296.10 ,1061.29 ,1173.49 ,122.13 ,0.91 ,1.45 ,0.50 ,1.58 ,1.62 ,7.80 ,44.62 ,10375.00 ,107.85 ,126.77 ,137.67 ,112.30 ,110.50 ,117.53 ,14.02 ,1.79 ,22.97 ,12.02 ,7.84 ,0.15 ,-2.66 ,3.09 ,-10.30 ,0.00 ,2.01 ,10.20 
2001.11.30,1274.00 ,1027.96 ,1129.72 ,123.94 ,0.89 ,1.43 ,0.52 ,1.58 ,1.66 ,7.80 ,44.04 ,10402.00 ,109.20 ,127.29 ,136.74 ,113.86 ,111.01 ,116.66 ,6.58 ,-4.24 ,10.25 ,11.30 ,3.44 ,0.31 ,-0.56 ,2.49 ,-5.95 ,-0.01 ,0.50 ,9.78 
2001.12.31,1326.10 ,1009.40 ,1172.60 ,131.38 ,0.88 ,1.45 ,0.51 ,1.59 ,1.67 ,7.80 ,44.15 ,10450.00 ,109.71 ,127.36 ,136.10 ,114.12 ,110.94 ,116.15 ,5.92 ,-7.66 ,0.78 ,14.71 ,-4.85 ,-2.79 ,-7.70 ,6.04 ,2.40 ,-0.02 ,2.29 ,8.74 
2002.1.31,1314.80 ,989.65 ,1133.29 ,132.86 ,0.86 ,1.41 ,0.51 ,1.59 ,1.71 ,7.80 ,43.93 ,10315.00 ,111.42 ,128.95 ,137.26 ,115.70 ,112.15 ,117.01 ,3.90 ,-9.52 ,-3.36 ,14.83 ,-6.98 ,-3.27 ,-7.33 ,5.64 ,3.77 ,0.01 ,2.95 ,9.85 
