c0,c1,DTW
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,acKOFINBXDD,57.59705979340904
KOSPI,aaKOCIOO,47.183917408905096
KOSPI,afKOCIHPP0,10.636043481850457
KOSPI,afKOCIHJP0,11.880149908772069
KOSPI,afKOCIAJR0,28.923454346197342
KOSPI,arKOCIBSBP,41.65403521472882
KOSPI,cCNNSKOPT,42.00833706729527
KOSPI,aoKOLWNUR,69.38720424235551
KOSPI,aaKOMBM2A,51.96044171233142
KOSPI,aaKOMBLFA,42.36799192648581
KOSPI,auKOMBRDB0,108.41971323474209
KOSPI,aaKOEIEX,47.257323193622256
KOSPI,aaKOEIIM,52.690537699343544
KOSPI,aaKOEIEXD,53.311303899184374
KOSPI,aaKOEIIMD,52.65674516912101
KOSPI,bKOSMDM_YoY,35.7876366383728
KOSPI,bKOSMDM,11.554322516163483
KOSPI,bKODYKS,82.33317132450084
KOSPI,bKOIVVK,62.205546461225964
KOSPI,arKOIRCR,86.39943668908234
KOSPI,arKOIRKSDACD,85.18835419557968
KOSPI,arKOIRKSDATB3,83.16812375047894
KOSPI,arKOIRKSDATB5,82.73766876421972
KOSPI,arKOIRKSDATB10,67.89935234678063
KOSPI,arKOIRKSDAMSB,84.31764529489284
KOSPI,arKOIRMSAAA3Y,48.963551926557685
KOSPI,arKOIRMFBAAA3Y,51.811667618246624
KOSPI,arKOIRMCPNAA33Y,52.11628885650044
KOSPI,arKOIRKSDATB5_YSR,61.27956457599549
KOSPI,arKOIRKSDATB10_YSR,71.78669235709695
KOSPI,arKOIRMSAAA3Y_YSR,72.26269338508196
KOSPI,arKOIRMFBAAA3Y_YSR,73.5160390027442
KOSPI,arKOIRMCPNAA33Y_YSR,69.63565458915699
KOSPI,ahKOPPDD,14.361890938599396
KOSPI,ahKOPPDD_YoY,60.23137291507752
KOSPI,cBKCFBLCL,63.99853299111026
KOSPI,aGLOCL6KOR,56.45073509014872
KOSPI,aKONA10RGDPGDP,53.20402703145574
KOSPI,aKONA10RGDPNA,52.8019811554854
KOSPI,aKONA10RGDPA,60.536106841195696
KOSPI,aKONA10RGDPC,55.58871707345555
KOSPI,aKONA10RGDPF,51.757248459519914
KOSPI,aKONA10RGDPS,57.45937992643193
KOSPI,aKONA10RGDPICT,70.63225416595851
KOSPI,aKONA10RGDPOICT,53.9203513249756
KOSPI,aKONA10RGDPPEI,53.710842355049024
KOSPI,aKONA10RGDPFI,49.87263817415839
KOSPI,aKONA10RGDPCC,52.52661779521949
KOSPI,aKONA10RGDPEG,50.84078317315311
KOSPI,aKONA10RGDPIG,47.619649457799724
KOSPI,aKONA10RGDPDDEI,50.459835347696576
KOSPI,aKONA10GRGNINGNI,68.61967484396752
KOSPI,aKONA10GRGNIRGNI,41.49949730898341
KOSPI,aKONA10GRGNIGDPDF,62.15997209699677
KOSPI,aKONA10GS,24.441024614435026
KOSPI,aKONA10GSGIR,62.49513137410216
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,arKOBSNFKP,45.29752938134439
KOSPI,acKOFINBXDD,57.59705979340904
KOSPI,acKOFINBXDD,57.59705979340904
KOSPI,acKOFINBXDD,57.59705979340904
KOSPI,acKOFINBXDD,57.59705979340904
KOSPI,acKOFINBXDD,57.59705979340904
KOSPI,acKOFINBXDD,57.59705979340904
KOSPI,acKOFINBXDD,57.59705979340904
KOSPI,acKOFINBXDD,57.59705979340904
KOSPI,acKOFINBXDD,57.59705979340904
KOSPI,acKOFINBXDD,57.59705979340904
KOSPI,acKOFINBXDD,57.59705979340904
KOSPI,acKOFINBXDD,57.59705979340904
KOSPI,acKOFINBXDD,57.59705979340904
KOSPI,acKOFINBXDD,57.59705979340904
