TimeLog,aGLOCL6CHN,aCHCBLD,apCHMAIP,aaCHWRRTT,aCHMBLFL,aCHPRCPI,aCHPRCPICR,aCHPRPPI,apCHMBM2YOY,aCHIRHSDT1Y,aCHMBRRR,aaCHEIEXM,aaCHEIIMM,aaCHEITBM,aaCHFIFDIUT,aCHNAGDYT,aaCHFIET,aCHBSPM,aCHMBM1GR,aCHCIRECI,aaCHCIRIYNI,aaCHBPCAC,aaCHBPCADE,aaCHBPG,aaCHBPGEX,aaCHBPGIM,aaCHBPDIA,aaCHBPDIL,aCHEIEX,aCHEIIM,aCHPREX,aCHPRIM,aCHPRTT,aCHLWUEMP,aCHCBCO,aCHCBLG,aCHCBSG,aCHBSBSIT,aCHCSCI,aCHCSSI,aCHCSEI,aCHMBRA,aaCHMBM1,aaCHMBM2,aaCHMBM3,aCHMBM2GR,aCHIRDR,aCHIRIBO7D,aaCHFXFRM,aCHFXRUS,apCHEGCNT,aCHEGSCCO,cpAMSACHT,cpAMSACHCAR,SPX_CLOSE,SSEC_CLOSE,GDAXI_CLOSE,N225_CLOSE,KOSPI_CLOSE,FCHI_CLOSE,BVSP_CLOSE,BSE_CLOSE,RTS_CLOSE,VNI_CLOSE,SPX_VOLUME,SSEC_VOLUME,GDAXI_VOLUME,N225_VOLUME,KOSPI_VOLUME,FCHI_VOLUME,BVSP_VOLUME,BSE_VOLUME,RTS_VOLUME,VNI_VOLUME,SPX_CAPITAL,SHCOMP_CAPITAL,NKY_CAPITAL,DAX_CAPITAL,KOSPI_CAPITAL,SPX_EPS,SHCOMP_EPS,NKY_EPS,DAX_EPS,KOSPI_EPS,SPX_PER,SHCOMP_PER,NKY_PER,DAX_PER,KOSPI_PER,bIXMLACWF,bIXMLWRLD,bIXMLEMKF,bIXMLEURO,bIXMLAAPF,bIXMLNAMR,bIXNRCN,bIXNRUSDW,bIXMLEROP,bIXNRUK,bIXMLPACF,bIXNRAU,bIXNRHKHS,bIXNRJPTP,bIXNRNZ,bIXNRSP,bIXMLEFLA,bIXNRAG,bIXNRCL,bIXNRMX,bIXMLEMEA,bIXNRSA,bIXNRTK,bIXMLEMFA,bIXNRKOKS,bIXNRID,bIXNRMY,bIXNRPH,bIXNRTW,bIXNRTH,aGLEGOFWTI,aGLEGOFBRT,aGLFUNG1,aGLFUXB1,aGLFUHO1,aGLRMLED3M,aGLRMLTI3M,aGLRMLZZ3M,aGLRMLMEX,aGLRMLMEX,aGLFUSI1,aGLFUW1,aGLFUC1,aGLFUS1,aGLRMRR1,aGLFUSB1,aGLFUKC1,aGLFUJO1,aGLFULH1,aGLFULC1,bIXMSW40R2,bIXMSEM40R2,aEUCIHPHF,aEUCIHPNW,aCHCIHPB,aCHCIHPT,aCHCIHPSH,aCHCIHPK,aCHCIHPSZ,aGLREIDE,aGLREIMW,aGLREIMA,aGLREIME,aGLRMCRBGRNI,aGLRMNYFECRB,aGLRMCRBENGY,aGLRMCRBINDS,aGLRMCRBPRMI,aGLFUCRY,Aglegofwti_YoY,aGLEGOFBRT_YoY,aGLFUNG1_YoY,aGLFUXB1_YoY,aGLFUHO1_YoY,aGLRMLED3M_YoY,aGLRMLTI3M_YoY,aGLRMLZZ3M_YoY,aGLRMLMEX_YoY,aGLFUSI1_YoY,aGLFUW1_YoY,aGLFUC1_YoY,aGLFUS1_YoY,aGLRMRR1_YoY,aGLFUSB1_YoY,aGLFUKC1_YoY,aGLFUJO1_YoY,aGLFULH1_YoY,aGLFULC1_YoY,bIXMSW40R2_YoY,bIXMSEM40R2_YoY,aEUCIHPHF_YoY,aEUCIHPNW_YoY,aCHCIHPB_YoY,aCHCIHPT_YoY,aCHCIHPSH_YoY,aCHCIHPK_YoY,aCHCIHPSZ_YoY,aGLREIDE_YoY,aGLREIMW_YoY,aGLREIMA_YoY,aGLREIME_YoY,aGLRMCRBGRNI_YoY,aGLRMNYFECRB_YoY,aGLRMCRBENGY_YoY,aGLRMCRBINDS_YoY,aGLRMCRBPRMI_YoY,aGLFUCRY_YoY,aGLRMNRFTK,aGLRMPPRDRI,arKOFXUSDD,arKOFXJPYD,arKOFXEURD,arKOFXJPDD,arKOFXDERD,arKOFXDUKD,arKOFXDAUD,arKOFXCNDD,arKOFXSWDD,arKOFXHKDD,arKOFXTHDD,arKOFXINDD,afUSFXMCN,afUSFXBRI,afUSFXOTN,afUSFXMCRR,afUSFXBRIR,afUSFXOTRR,arKOFXUSDD_YoY,arKOFXJPYD_YoY,arKOFXEURD_YoY,arKOFXJPDD_YoY,arKOFXDERD_YoY,arKOFXDUKD_YoY,arKOFXDAUD_YoY,arKOFXCNDD_YoY,arKOFXSWDD_YoY,arKOFXHKDD_YoY,arKOFXTHDD_YoY,arKOFXINDD_YoY,aGLOCL6OTO,aGLOCL6OEU,aGLOCL6ONM,aGLOCL6GBR,aGLOCL6FRA,aGLOCL6AUS,aGLOCL6MEX,aTWCBLD,aGLOCL6IDN,aTHCBLD
2006-01-31,15.76,102.71,16.5,7.47,12.98,1.6,1.21,3.22,17.57,2.25,7.5,18.23,22.18,11016.0,19.42,15.74,28.11,52.1,11.78,100.61,877978.0,2421.03,-1964.77,399.37,1962.45,-1563.07,-91.78,325.45,754.12,643.96,101.4,98.8,102.63,4.2,102.06,94.89,104.0,131.7,110.0,109.51,110.48,1.89,10727.88,8324.39,29875.57,11.74,3.24,1.78,818871.7,8.06,2613.69,72.4,620885.0,331036.0,1280.1,1258.0,5674.2,16649.8,1399.8,4948.0,38382.8,9919.9,1316.0,312.3,31243.6151,44867.97786,2527.43472,26806.85018,10209.70797,2613.475192,254804.7882,1571.591044,1233.21348,5.0294,12128784,341392,3135370,947157,679953,88.522,13.749,0.762,572.183,0.148,14.705,13.328,19.764,13.382,10.225,368.3,1000.2,33951.8,472.4,124.5,1369.9,11945.6,10864.9,1329.1,5760.3,942.2,4880.2,15753.1,1710.8,2736.2,2348.9,4957460.0,1794.0,2118.5,18907.1,4092.3,19745.2,44590.2,447.8,1399.8,1232.3,914.0,2145.4,6532.2,762.6,67.9,66.0,9.3,1.8,1.8,1322.0,7855.0,2306.0,2676.7,2676.7,9.9,343.3,218.8,594.3,8.5,18.0,118.2,124.7,56.0,93.6,175.4,115.7,553.0,320.6,108.4,105.5,96.9,105.2,110.0,261.8,0.0,0.0,0.0,196.8,363.3,607.6,323.6,531.4,348.7,40.9,43.7,47.4,0.0,35.4,41.4,-1.9,77.8,41.5,46.2,18.0,11.0,15.4,27.3,95.4,12.2,51.6,-24.2,2.8,24.4,29.9,4.3,4.4,0.0,0.0,0.0,0.0,0.0,25.1,0.0,0.0,0.0,16.0,27.6,40.6,40.8,35.5,22.0,251.4,3119.0,971.0,824.94,1173.79,117.7,1.21,1.77,0.75,1.15,1.29,7.76,39.11,9375.0,84.43,110.16,136.07,91.76,97.27,113.62,-5.4,-16.68,-12.15,13.53,-7.14,-6.22,-3.26,-7.46,8.19,-0.56,1.66,2.5,2.4,2.4,4.5,1.9,1.7,3.1,3.4,8.1,0.0,0.0
2006-02-28,15.84,103.15,12.6,15.55,13.8,1.9,1.02,3.05,19.21,2.25,7.5,28.04,25.39,9489.0,10.99,15.74,25.4,52.1,10.63,100.76,75860.0,2421.03,-1964.77,399.37,1962.45,-1563.07,-91.78,325.45,651.44,554.93,101.9,99.8,102.1,4.2,101.85,94.45,104.0,131.7,110.3,110.1,110.36,1.89,10725.07,7794.03,30357.17,6.87,3.24,1.69,845179.99,8.04,2613.69,72.4,530077.0,295503.0,1280.7,1299.0,5796.0,16205.4,1371.6,5000.5,38610.4,10370.2,1453.4,390.7,28987.3376,46441.9072,2132.34772,27673.4985,7212.304992,2408.62286,260565.5916,1425.982,1129.839681,16.00481,11764412,385692,2920499,894510,630208,89.709,14.109,0.786,605.246,0.148,14.029,14.9,17.921,12.05,9.495,368.9,1002.0,33902.1,481.4,123.2,1366.2,11688.3,10993.4,1352.9,5791.5,928.7,4878.4,15918.5,1660.4,2763.1,2416.9,4891393.0,1714.1,2166.8,18706.3,4231.4,19085.4,47015.9,448.8,1371.6,1230.7,928.9,2123.0,6561.6,744.1,61.4,61.8,6.7,1.5,1.7,1182.0,7750.0,2359.0,2626.0,2626.0,9.7,370.3,228.0,580.3,8.2,16.7,111.8,134.0,61.5,90.2,177.7,120.5,560.2,320.5,107.3,105.8,95.9,104.9,111.3,265.8,0.0,0.0,0.0,206.7,353.3,551.0,318.2,521.7,324.4,18.7,23.4,-0.2,0.0,14.8,23.8,-7.7,69.8,32.0,32.1,9.8,6.3,-5.7,24.9,82.6,-6.2,62.2,-17.2,3.4,23.5,27.2,6.5,3.7,0.0,0.0,0.0,0.0,0.0,23.6,0.0,0.0,0.0,4.9,15.8,20.5,25.7,28.0,6.4,246.5,3021.2,969.0,833.8,1147.88,116.21,1.18,1.74,0.74,1.14,1.32,7.76,39.2,9230.0,85.21,110.41,135.43,92.65,97.47,113.0,-3.88,-12.93,-13.98,10.39,-10.51,-9.24,-6.16,-7.92,13.79,-0.53,2.22,-0.37,2.6,2.6,4.7,1.9,1.8,3.0,3.5,8.7,-0.7,1.2
2006-03-31,16.0,103.16,20.1,9.37,14.1,0.9,0.7,3.01,18.82,2.25,7.5,22.21,29.48,2425.0,7.78,15.74,25.4,55.3,12.44,101.05,75860.0,2421.03,-1964.77,399.37,1962.45,-1563.07,-91.78,325.45,541.07,515.74,100.9,102.9,98.06,4.2,101.64,94.42,101.3,131.7,109.2,107.96,110.48,1.89,10435.71,7987.51,30451.63,13.88,3.24,1.75,853671.79,8.02,2613.69,72.4,479953.0,234936.0,1294.8,1298.3,5970.1,17059.7,1359.6,5220.9,37952.0,11280.0,1435.0,503.6,35223.16237,49935.49555,2783.293192,23894.51674,7134.077056,2853.510832,278938.9041,1711.881412,922.070424,39.82263,11768313,389113,2903379,886125,618746,90.82,15.226,0.778,623.815,0.147,13.719,14.159,17.42,11.19,8.929,376.8,1024.1,34329.9,494.9,127.3,1384.3,12110.6,11109.3,1392.8,5964.6,964.1,5087.2,15805.0,1728.2,2979.0,2465.8,4875200.0,1800.6,2182.0,19272.6,4161.2,20351.7,42911.3,456.6,1359.6,1323.0,926.6,2196.0,6614.0,733.3,66.6,65.9,7.2,2.1,1.9,1185.0,8150.0,2645.0,2826.0,2826.0,11.5,347.8,236.0,571.5,8.6,17.9,107.0,148.2,57.4,79.5,184.6,136.6,565.8,324.5,107.0,106.6,94.0,107.3,109.9,278.0,0.0,0.0,0.0,200.3,361.9,609.3,330.9,558.7,333.2,20.3,21.4,-5.8,0.0,12.3,19.8,0.3,92.4,39.8,60.1,5.1,10.8,-8.9,21.1,105.7,-15.3,48.8,-16.5,-13.6,32.7,63.3,7.2,5.4,0.0,0.0,0.0,0.0,0.0,32.2,0.0,0.0,0.0,3.1,15.4,17.2,28.2,39.1,5.4,250.1,2999.0,975.9,831.72,1187.13,117.33,1.22,1.75,0.72,1.16,1.3,7.76,38.84,9110.0,85.17,110.58,135.91,92.7,97.66,113.37,-4.73,-12.68,-10.3,9.11,-5.86,-7.03,-7.25,-4.75,8.16,-0.51,-1.03,-4.16,2.7,2.7,4.9,1.9,1.9,3.0,3.6,9.0,-0.9,1.0
2006-04-28,16.21,103.09,17.8,13.55,14.7,0.8,0.8,2.49,18.76,2.25,7.5,28.22,21.26,11189.0,6.41,16.38,28.46,58.1,12.67,101.46,118666.0,2184.2,-1844.63,299.06,1803.9,-1504.84,-40.21,255.69,780.17,668.42,100.6,99.9,100.7,4.2,101.69,94.06,101.3,131.5,109.9,107.49,111.4,1.89,10673.71,8326.51,31049.07,13.29,3.24,1.84,875069.52,8.02,2864.67,72.4,721464.0,324869.0,1310.6,1440.2,6009.9,16906.2,1419.7,5188.4,40363.4,12042.6,1657.3,595.5,29670.51392,82431.86355,2110.33836,21454.2953,6887.209984,2011.01804,222179.9869,1706.263618,635.735231,45.75417,11801666,438497,2887914,885678,617451,91.922,16.194,0.779,618.317,0.143,13.799,13.73,17.225,11.487,9.36,380.8,1031.7,36038.4,497.1,129.1,1400.3,12204.2,11367.1,1395.9,6023.1,968.3,5207.0,16661.3,1716.4,3047.9,2548.4,5146939.0,1908.6,2201.6,20646.2,4424.6,21135.5,43880.4,480.1,1419.7,1464.4,949.2,2270.5,7171.8,768.3,71.9,72.0,6.6,2.2,2.0,1210.0,9450.0,3175.0,3462.0,3462.0,13.5,346.3,238.3,587.3,8.2,17.1,107.2,144.4,68.0,79.2,184.5,135.6,577.2,324.7,108.2,106.7,93.8,108.2,113.6,267.0,1000.0,1000.0,1000.0,205.8,379.5,660.8,378.9,631.2,349.9,44.6,41.0,-0.5,0.0,40.2,27.4,17.4,144.4,78.8,95.7,8.9,16.4,-5.2,10.8,99.0,-14.3,52.8,-13.0,-15.7,28.8,70.6,9.5,4.7,0.0,0.0,0.0,0.0,0.0,20.7,0.0,0.0,0.0,7.6,25.0,40.7,43.0,58.4,17.9,242.1,3249.4,945.7,828.29,1184.91,114.17,1.25,1.8,0.76,1.12,1.26,7.75,37.5,8775.0,84.04,109.8,135.82,91.66,97.16,113.5,-5.67,-12.33,-8.41,7.6,-2.91,-5.61,-2.87,-10.28,5.7,-0.57,-5.37,-8.36,2.8,2.9,5.0,1.9,2.0,3.0,3.7,8.9,-0.7,2.2
2006-05-31,16.43,102.69,16.6,13.65,15.5,1.2,0.89,1.87,18.92,2.25,7.5,23.81,15.52,10457.0,5.76,16.38,28.39,54.8,12.48,101.61,165334.0,2184.2,-1844.63,299.06,1803.9,-1504.84,-40.21,255.69,768.19,664.63,101.0,99.5,101.51,4.2,102.03,94.75,104.0,131.5,109.4,106.89,111.05,1.89,10638.91,8223.34,31370.23,12.77,3.24,1.88,895039.71,8.02,2864.67,72.4,672947.0,350877.0,1270.1,1641.3,5692.9,15467.3,1317.7,4930.2,36530.0,10398.6,1461.2,538.9,35948.04083,115436.6359,3336.654464,23377.2007,5300.459008,3250.04504,354427.6196,2219.260692,750.866129,32.20374,12002165,457473,2931278,917709,644014,92.785,17.104,0.772,632.162,0.141,14.057,12.76,17.84,11.84,9.944,361.9,983.3,33100.3,467.9,119.6,1354.7,11744.5,11168.3,1316.7,5723.8,896.0,4972.3,15857.9,1579.9,2888.1,2338.1,4696427.0,1653.7,2156.5,18677.9,3940.2,20565.5,38132.2,445.5,1317.7,1330.0,927.8,2296.1,6847.0,709.4,71.3,70.4,6.4,2.3,2.0,1071.0,8295.0,3670.0,3732.1,3732.1,12.4,393.5,251.3,579.5,9.1,15.5,99.0,150.8,68.1,79.7,176.6,125.0,577.5,326.0,109.0,107.3,93.8,109.7,113.7,258.6,970.3,969.2,941.2,211.4,379.8,653.8,402.3,627.1,344.9,37.2,38.8,0.1,0.0,35.0,11.3,4.7,185.6,98.7,66.6,18.6,13.2,-14.8,24.3,76.5,-16.4,58.4,-5.5,-11.4,22.2,63.6,9.7,4.6,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,5.3,26.3,39.1,64.7,56.0,18.1,307.2,3337.3,947.4,842.21,1208.03,112.49,1.28,1.86,0.76,1.11,1.22,7.76,38.24,9215.0,80.77,107.56,135.6,88.21,95.24,113.33,-5.5,-9.28,-3.46,4.18,2.16,1.95,-0.2,-11.99,-1.11,-0.29,-5.27,-2.8,3.0,3.1,5.2,2.0,2.1,3.0,4.0,8.9,-0.1,2.4
2006-06-30,16.61,102.63,17.9,14.2,16.0,1.4,1.09,2.43,19.05,2.25,7.5,25.14,21.58,13004.0,2.79,16.38,29.03,54.1,14.01,101.87,205298.0,2184.2,-1844.63,299.06,1803.9,-1504.84,-40.21,255.69,730.56,601.29,100.0,98.9,101.11,4.2,102.17,95.53,106.7,131.5,109.4,107.13,110.94,1.89,10921.92,8575.39,31670.98,14.36,3.24,2.19,925019.64,8.0,2864.67,72.4,567466.0,297054.0,1270.2,1672.2,5683.3,15505.2,1295.2,4966.0,36630.7,10609.3,1494.6,515.6,34619.35411,97921.79226,2855.007208,25263.51443,4457.226032,3111.149872,254420.8701,2169.399205,659.652953,17.0827,12295091,485323,2873333,923797,665191,93.097,17.561,0.774,625.117,0.143,14.357,12.96,16.947,12.079,9.91,363.1,986.8,33046.7,471.9,120.3,1353.7,11612.9,11150.2,1327.6,5833.4,904.4,5034.0,16267.6,1587.0,2853.9,2398.4,4733433.0,1711.1,2126.0,19147.2,3907.9,21237.9,35453.3,442.7,1295.2,1310.3,914.7,2178.8,6704.4,678.1,73.9,73.5,6.1,2.4,2.0,1015.0,8100.0,3220.0,3513.6,3513.6,10.8,371.5,235.5,594.8,9.2,15.8,99.5,165.1,72.6,84.6,181.9,117.6,573.1,327.0,111.2,107.4,94.6,110.0,114.6,270.7,1005.6,1003.7,971.8,213.6,385.6,673.9,391.6,588.3,346.4,30.8,32.3,-12.6,0.0,21.3,13.4,11.0,161.8,85.9,54.1,15.6,11.0,-8.7,43.8,69.1,-4.9,71.3,10.7,2.1,22.5,50.3,8.6,5.1,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,7.4,25.6,30.9,48.0,45.5,15.5,322.9,3361.8,960.3,834.03,1215.93,115.14,1.27,1.83,0.74,1.11,1.24,7.77,38.44,9362.0,81.66,108.83,137.32,89.34,96.49,114.85,-6.26,-10.06,-1.76,4.23,4.8,1.2,-3.12,-9.57,-3.45,-0.04,-6.91,-3.58,3.1,3.2,5.4,2.1,2.2,3.1,4.4,8.4,0.5,2.3
2006-07-31,16.76,102.39,19.5,13.87,15.24,1.5,1.2,3.52,18.43,2.25,8.0,23.27,18.7,14503.0,-0.47,17.02,30.04,52.4,13.94,102.93,265346.0,2578.12,-2104.08,454.98,2127.08,-1672.1,-23.33,220.11,812.53,668.7,101.9,99.8,102.1,4.2,102.19,96.08,106.7,135.9,109.8,107.01,111.51,1.89,11234.24,8887.33,32275.64,14.31,3.24,2.43,941115.0,7.97,2864.67,72.4,557597.0,300616.0,1276.7,1612.7,5682.0,15456.8,1297.8,5009.4,37077.1,10743.9,1551.1,422.4,30064.73306,85062.27814,2087.46796,20856.9712,3763.922976,2259.364648,186991.2468,1639.315948,521.29525,24.85808,12652025,488190,2964686,976317,665127,93.321,18.167,0.788,633.415,0.145,14.759,13.248,18.002,12.589,9.997,364.9,991.5,33289.4,478.2,119.7,1358.4,11831.0,11185.7,1343.9,5928.3,899.2,4957.1,16971.3,1572.0,2849.4,2401.8,4822083.0,1701.6,2131.6,20095.9,4041.8,20885.6,36067.9,442.4,1297.8,1351.6,935.9,2390.8,6454.6,691.5,74.4,75.2,8.2,2.3,2.0,1092.0,8425.0,3415.0,3743.2,3743.2,11.3,397.5,239.0,579.5,9.2,14.9,99.4,169.3,68.6,83.7,188.2,119.0,575.3,330.4,111.1,107.5,96.5,109.0,113.6,279.0,1050.3,1048.3,1035.6,211.7,391.5,676.6,409.6,605.3,349.8,22.8,26.6,4.1,0.0,20.3,27.6,17.8,170.0,88.8,56.5,21.3,1.1,-13.7,36.8,51.7,-3.7,72.9,1.0,3.1,20.9,41.9,8.8,6.0,4.6,0.7,-10.1,1.3,6.3,9.8,0.0,0.0,0.0,2.9,24.2,23.9,52.7,47.8,12.1,278.6,3517.0,953.1,830.23,1216.39,114.8,1.28,1.86,0.77,1.13,1.23,7.77,37.92,9085.0,82.08,108.56,135.93,90.16,96.65,114.19,-7.31,-9.34,-2.47,2.24,5.22,6.1,0.9,-8.08,-4.14,-0.01,-9.15,-7.58,3.2,3.4,5.5,2.3,2.3,3.1,4.8,7.7,1.2,1.3
2006-08-31,16.85,102.33,16.7,13.69,16.3,1.0,1.24,3.58,18.4,2.52,8.5,22.49,19.4,14624.0,-1.16,17.02,29.26,53.1,15.34,103.51,327344.0,2578.12,-2104.08,454.98,2127.08,-1672.1,-23.33,220.11,803.25,657.06,102.5,102.5,100.0,4.2,101.96,96.81,106.7,135.9,109.7,107.13,111.28,1.89,11265.3,8890.05,32401.08,16.21,3.24,2.46,954549.95,7.96,2864.67,72.4,467086.0,263910.0,1303.8,1658.6,5859.6,16140.8,1352.7,5165.0,36232.2,11699.1,1626.7,491.2,26725.34278,62217.73107,2540.402064,22781.52442,4513.43,2056.493436,236274.2702,1326.044328,477.041917,42.26199,12842217,705971,2973559,1020447,709760,94.445,17.036,0.805,671.736,0.148,14.818,16.053,16.698,12.395,10.289,373.5,1014.8,34146.7,487.9,124.1,1387.6,12073.8,11381.2,1371.4,5906.1,932.3,5079.8,17392.3,1634.5,2777.0,2452.5,4821870.0,1662.8,2206.4,21049.4,4126.8,21953.8,37285.9,457.6,1352.7,1431.3,958.1,2312.2,6611.8,690.9,70.3,70.3,6.0,1.8,2.0,1210.0,8855.0,3450.0,3730.2,3730.2,12.9,404.0,232.0,542.3,8.5,11.8,104.0,181.0,66.9,90.2,193.8,126.9,582.1,332.9,111.4,107.6,97.8,107.3,112.8,288.6,1077.0,1075.1,1070.9,212.6,391.0,624.9,403.7,631.2,329.0,1.9,4.8,-47.3,0.0,-4.8,40.2,27.0,152.6,84.8,90.2,34.0,15.1,-7.6,26.0,17.2,6.4,102.2,5.0,8.4,25.3,50.6,8.5,6.7,4.9,1.2,-7.2,2.8,6.3,18.5,0.0,0.0,0.0,12.6,22.6,-5.6,56.1,57.1,-0.1,230.5,3954.3,959.6,820.28,1232.27,116.98,1.28,1.9,0.76,1.11,1.23,7.78,37.59,9101.0,81.31,107.84,135.41,89.56,96.22,113.93,-6.93,-11.38,-2.14,5.03,5.14,6.73,2.25,-6.91,-3.38,0.09,-9.06,-11.64,3.2,3.5,5.6,2.5,2.4,3.1,5.0,6.9,1.8,1.5
2006-09-29,16.85,102.27,15.7,13.8,16.1,1.3,1.28,3.4,17.94,2.52,8.5,32.7,24.5,18796.0,-2.11,17.02,27.81,57.0,15.57,103.31,377326.0,2578.12,-2104.08,454.98,2127.08,-1672.1,-23.33,220.11,907.62,718.97,103.7,100.6,103.08,4.2,101.76,97.23,100.0,135.9,110.2,107.6,111.86,1.89,11484.57,9066.03,32788.57,16.2,3.24,2.4,972039.04,7.91,2864.67,72.4,528087.0,297389.0,1335.9,1752.4,6004.3,16127.6,1371.4,5250.0,36449.4,12454.4,1550.0,526.7,25800.66797,76773.65888,2478.189176,20623.18675,5243.385984,2380.13768,242585.4275,1205.107472,492.251573,45.26762,13019741,899115,3047640,1061159,710587,94.618,16.916,0.788,671.275,0.149,15.08,19.754,17.804,12.775,10.333,379.7,1031.9,34573.5,497.4,124.2,1416.3,11761.3,11679.1,1402.2,5960.8,924.5,5113.0,17543.1,1610.7,2816.8,2523.0,4906718.0,1637.3,2280.5,21937.1,3945.3,22374.6,36924.9,472.6,1371.4,1534.6,967.6,2556.7,6883.1,686.1,62.9,62.5,5.6,1.6,1.7,1380.0,8850.0,3330.0,3718.8,3718.8,11.5,443.0,262.5,547.5,9.7,10.9,107.7,170.3,63.6,90.7,197.3,134.4,588.4,337.0,110.3,107.7,98.7,108.7,110.6,292.6,1101.3,1099.0,1145.5,219.4,370.1,553.8,387.5,578.5,305.6,-5.0,-1.6,-59.6,0.0,-18.5,47.1,35.0,134.5,82.4,53.5,27.9,27.7,-4.5,33.1,-0.9,15.2,66.5,-5.3,1.7,25.0,49.7,8.5,8.2,-4.3,0.5,-7.1,0.7,-5.1,20.2,0.0,0.0,0.0,15.9,11.0,-14.0,40.4,34.2,-8.2,208.3,4372.4,945.2,802.21,1200.64,117.82,1.27,1.88,0.75,1.11,1.25,7.79,37.53,9207.0,81.74,108.11,135.38,89.69,95.9,113.0,-8.94,-12.41,-3.75,3.96,5.7,6.73,-1.37,-5.11,-3.73,0.39,-8.6,-10.74,3.1,3.5,5.6,2.6,2.4,3.2,4.8,5.9,2.4,2.3
2006-10-31,16.81,102.61,16.1,13.9,15.23,1.5,1.06,3.45,16.83,2.52,8.5,30.55,21.91,15287.0,-1.52,16.9,26.96,54.7,15.7,103.14,432929.0,2877.56,-2272.21,564.9,2407.07,-1842.16,-75.37,203.8,915.53,762.92,103.6,105.2,98.48,4.17,101.55,97.57,102.7,136.7,111.7,108.67,113.59,1.89,11681.41,9112.67,33186.54,15.81,3.24,2.58,987927.69,7.88,2864.67,72.4,634993.0,345770.0,1377.9,1838.0,6268.9,16399.4,1364.6,5348.7,39262.8,12961.9,1613.6,511.5,28766.66547,73580.70016,2425.853832,22071.29043,4807.185008,2517.796544,255436.521,1174.882723,503.664714,43.12501,13220222,1074807,3070667,1071091,664786,94.689,17.382,0.79,671.788,0.147,15.209,22.924,18.12,12.919,9.844,391.3,1063.1,35755.4,512.2,126.4,1464.9,12344.6,12080.7,1443.4,6129.2,940.3,5352.9,18324.4,1617.4,2961.5,2646.4,5192064.0,1781.7,2380.3,23047.0,4090.1,23338.2,40582.3,483.2,1364.6,1582.6,988.3,2708.5,7021.3,722.5,58.7,59.0,7.5,1.4,1.6,1617.0,10250.0,4220.0,3912.9,3912.9,12.2,483.0,320.8,630.3,9.5,11.6,108.3,199.4,65.0,90.4,208.8,150.5,598.0,339.0,110.7,107.7,99.4,108.8,109.9,310.2,1164.5,1162.4,1169.8,253.6,383.9,519.6,378.2,582.5,305.9,-1.7,1.6,-38.3,-8.5,-10.3,67.9,63.2,173.1,84.7,61.7,52.4,63.4,11.6,33.3,1.9,12.0,70.9,5.3,2.1,36.4,73.7,10.0,7.9,-6.0,0.4,-8.2,0.9,-5.9,30.7,0.0,0.0,0.0,39.9,17.5,-5.4,34.6,34.6,-3.3,208.4,4356.4,944.2,803.47,1200.79,117.51,1.27,1.9,0.77,1.13,1.25,7.78,36.7,9090.0,82.5,108.38,134.8,90.13,95.62,111.81,-9.45,-10.76,-4.45,1.48,5.52,7.12,2.79,-4.32,-2.54,0.3,-9.86,-9.33,3.0,3.5,5.6,2.7,2.4,3.3,4.4,5.2,3.2,2.7
