source,target,weight,type
n0,n5,0.17825610143151555,undirected
n0,n6,0.3718650993675979,undirected
n0,n8,0.14109126511535516,undirected
n0,n10,0.36338379661269016,undirected
n0,n11,0.4877931862430315,undirected
n0,n12,0.265955166616971,undirected
n0,n13,0.22405504210682228,undirected
n0,n14,0.4658596860456355,undirected
n0,n15,0.1931417293817118,undirected
n0,n17,0.3056887801189562,undirected
n0,n18,0.17100626796522989,undirected
n0,n19,0.24167349983990905,undirected
n0,n20,0.16353533548917382,undirected
n0,n22,0.4630629333731912,undirected
n0,n23,0.4026595254595489,undirected
n0,n24,0.5565922139772264,undirected
n0,n25,0.4522824748445496,undirected
n0,n26,0.3950276297242738,undirected
n0,n27,0.3925486955695369,undirected
n0,n28,0.4188807952058558,undirected
n0,n29,0.4613317508947494,undirected
n0,n30,0.4093375841118917,undirected
n0,n32,0.2119325037097301,undirected
n0,n33,0.2942747314960679,undirected
n0,n36,0.19205539707496988,undirected
n0,n40,0.25319610778395263,undirected
n0,n42,0.32656519218567026,undirected
n0,n43,0.44002302324726544,undirected
n0,n44,0.4394709683541766,undirected
n0,n45,0.42007776626736615,undirected
n0,n46,0.2292047271845751,undirected
n0,n48,0.2738439587446453,undirected
n0,n49,0.44390397409406346,undirected
n0,n50,0.4850472760769458,undirected
n0,n51,0.4921267690720533,undirected
n0,n53,0.4461729804908864,undirected
n0,n54,0.4386537184073348,undirected
n1,n2,0.9077077116792536,undirected
n1,n3,0.8195349115106882,undirected
n1,n4,0.16701641691030591,undirected
n1,n5,0.34410824642944315,undirected
n1,n6,0.17948204501959306,undirected
n1,n8,0.5111560800693082,undirected
n1,n9,0.5945894585707696,undirected
n1,n11,0.3763228251941802,undirected
n1,n12,0.6343414988412303,undirected
n1,n13,0.6830456564028697,undirected
n1,n14,0.4778635256328386,undirected
n1,n15,0.20655727826360232,undirected
n1,n16,0.4844888990294587,undirected
n1,n17,0.5883546360303995,undirected
n1,n19,0.5036840641053479,undirected
n1,n20,0.6871067098993007,undirected
n1,n21,0.4117182713734711,undirected
n1,n22,0.4525863475523928,undirected
n1,n23,0.4662090288238108,undirected
n1,n24,0.5034883307830829,undirected
n1,n25,0.44849820096746856,undirected
n1,n26,0.4078791557793895,undirected
n1,n27,0.5743498617224058,undirected
n1,n28,0.2625125060111048,undirected
n1,n29,0.4091648417265789,undirected
n1,n30,0.34569769386391314,undirected
n1,n32,0.3563746404960371,undirected
n1,n33,0.43270774723179145,undirected
n1,n35,0.8670269547367048,undirected
n1,n36,0.4243135731089208,undirected
n1,n37,0.8651951066793409,undirected
n1,n38,0.7066656331470663,undirected
n1,n39,0.3437257800516685,undirected
n1,n40,0.4247223263177243,undirected
n1,n41,0.1648853105440849,undirected
n1,n42,0.30047097516872506,undirected
n1,n43,0.5063563287146042,undirected
n1,n44,0.5043840360896371,undirected
n1,n45,0.5631173846726505,undirected
n1,n46,0.4601871843667062,undirected
n1,n47,0.3819123182768972,undirected
n1,n48,0.21791704057022251,undirected
n1,n49,0.44757740211812586,undirected
n1,n50,0.4398736296177875,undirected
n1,n51,0.3580741939982827,undirected
n1,n52,0.6997302210983171,undirected
n1,n53,0.4391315343780773,undirected
n1,n54,0.3864012945430892,undirected
n2,n3,0.7828260856189108,undirected
n2,n4,0.16331265401515815,undirected
n2,n5,0.4763576195152669,undirected
n2,n7,0.2067025566884687,undirected
n2,n8,0.4334981072190422,undirected
n2,n9,0.7008061983368773,undirected
n2,n11,0.3782815919017716,undirected
n2,n12,0.4974726424986762,undirected
n2,n13,0.6190396035421594,undirected
n2,n14,0.5029009249432613,undirected
n2,n16,0.3984267812029015,undirected
n2,n17,0.5526031923706564,undirected
n2,n19,0.6210077673629778,undirected
n2,n20,0.7003580125256554,undirected
n2,n21,0.4561068776123009,undirected
n2,n22,0.5030089766519341,undirected
n2,n23,0.5213690334752842,undirected
n2,n24,0.5310504672038339,undirected
n2,n25,0.5050314505114929,undirected
n2,n26,0.4706636651661479,undirected
n2,n27,0.5561189034076274,undirected
n2,n28,0.33641931919694834,undirected
n2,n29,0.4608327872426311,undirected
n2,n30,0.3998074897872773,undirected
n2,n32,0.2543604860665941,undirected
n2,n33,0.345715878920199,undirected
n2,n35,0.7919115789025664,undirected
n2,n36,0.29645135587840826,undirected
n2,n37,0.8273872771974784,undirected
n2,n38,0.5889967416360881,undirected
n2,n39,0.389022607031628,undirected
n2,n40,0.4859672060826609,undirected
n2,n41,0.17899605828849813,undirected
n2,n42,0.3332614714065712,undirected
n2,n43,0.5239880673104582,undirected
n2,n44,0.5188673753708704,undirected
n2,n45,0.5866152663362845,undirected
n2,n46,0.5791084917146085,undirected
n2,n47,0.3208702903346038,undirected
n2,n48,0.300899753409147,undirected
n2,n49,0.4732315557510939,undirected
n2,n50,0.44269029168153656,undirected
n2,n51,0.4017680800419716,undirected
n2,n52,0.6858037332788475,undirected
n2,n53,0.4563578492710999,undirected
n2,n54,0.41330290453385504,undirected
n3,n4,0.1711584231718321,undirected
n3,n5,0.2406885176425883,undirected
n3,n6,0.25955894074741936,undirected
n3,n8,0.6085771697820112,undirected
n3,n9,0.4646907002068695,undirected
n3,n10,0.21856386999069455,undirected
n3,n11,0.3791672083912172,undirected
n3,n12,0.6538690857816016,undirected
n3,n13,0.744182941244037,undirected
n3,n14,0.5374405598151646,undirected
n3,n15,0.2352779282624421,undirected
n3,n16,0.5905114527255771,undirected
n3,n17,0.6028640217047427,undirected
n3,n19,0.3692689300894181,undirected
n3,n20,0.6623048778970515,undirected
n3,n21,0.4405981070107867,undirected
