count,id,label
37,n0,SSEC
48,n1,aGLOCL6CHN
47,n2,aCHCBLD
50,n3,apCHMAIP
24,n4,aaCHWRRTT
25,n5,aCHMBLFL
43,n6,aCHPRCPI
44,n7,aCHPRCPICR
48,n8,aCHPRPPI
36,n9,apCHMBM2YOY
37,n10,aCHIRHSDT1Y
48,n11,aCHMBRRR
49,n12,aaCHEIEXM
49,n13,aaCHEIIMM
46,n14,aaCHEITBM
32,n15,aaCHFIFDIUT
44,n16,aCHNAGDYT
49,n17,aaCHFIET
40,n18,aCHBSPM
42,n19,aCHMBM1GR
50,n20,aCHCIRECI
46,n21,aaCHCIRIYNI
50,n22,aaCHBPCAC
49,n23,aaCHBPCADE
48,n24,aaCHBPG
50,n25,aaCHBPGEX
50,n26,aaCHBPGIM
48,n27,aaCHBPDIA
46,n28,aaCHBPDIL
50,n29,aCHEIEX
48,n30,aCHEIIM
32,n31,aCHPREX
49,n32,aCHPRIM
51,n33,aCHPRTT
39,n34,aCHLWUEMP
49,n35,aCHCBCO
37,n36,aCHCBLG
48,n37,aCHCBSG
46,n38,aCHBSBSIT
46,n39,aCHCSCI
50,n40,aCHCSSI
43,n41,aCHCSEI
49,n42,aCHMBRA
50,n43,aaCHMBM1
50,n44,aaCHMBM2
49,n45,aaCHMBM3
42,n46,aCHMBM2GR
45,n47,aCHIRDR
43,n48,aCHIRIBO7D
49,n49,aaCHFXFRM
50,n50,aCHFXRUS
48,n51,apCHEGCNT
48,n52,aCHEGSCCO
50,n53,cpAMSACHT
50,n54,cpAMSACHCAR
