source,target,weight,type
n0,n1,0.7647418164123034,undirected
n0,n3,0.7321921869372475,undirected
n0,n5,0.8324149990671316,undirected
n0,n6,0.6636996790480741,undirected
n0,n7,0.6722025334247119,undirected
n0,n8,0.26341526788074393,undirected
n0,n9,0.440401964578948,undirected
n0,n10,0.7982933138319971,undirected
n0,n11,0.798672220828801,undirected
n0,n12,0.6358073022731446,undirected
n0,n13,0.7875213385478058,undirected
n0,n14,0.7871350539122268,undirected
n0,n15,0.4750339026012438,undirected
n0,n16,0.6740367486256966,undirected
n0,n17,0.7965743771777609,undirected
n0,n18,0.6071189896722485,undirected
n0,n19,0.7306122750903227,undirected
n0,n20,0.8293949325494075,undirected
n0,n21,0.747399849946444,undirected
n0,n22,0.3910657642643104,undirected
n0,n24,0.690182937193304,undirected
n0,n25,0.6549017536003336,undirected
n0,n26,0.38697381547213466,undirected
n0,n27,0.6981352131217157,undirected
n0,n28,0.29743833671179004,undirected
n0,n29,0.7813433245851811,undirected
n0,n32,0.6351978199332812,undirected
n0,n33,0.5106154994591235,undirected
n1,n2,0.2196697222489433,undirected
n1,n3,0.7840771660111243,undirected
n1,n4,0.2169210664986857,undirected
n1,n5,0.7447090896403321,undirected
n1,n6,0.7185697329749068,undirected
n1,n7,0.7126738284287276,undirected
n1,n8,0.2571728853307905,undirected
n1,n9,0.4886797774309617,undirected
n1,n10,0.8564804836719547,undirected
n1,n11,0.8493295540684676,undirected
n1,n12,0.7108569070931334,undirected
n1,n13,0.7476833047497456,undirected
n1,n14,0.7518462741318627,undirected
n1,n15,0.741319898433977,undirected
n1,n16,0.7706908437003291,undirected
n1,n17,0.7720152555725346,undirected
n1,n18,0.7427498453057889,undirected
n1,n19,0.5936689307750055,undirected
n1,n20,0.6146298206549465,undirected
n1,n21,0.6106904241316765,undirected
n1,n22,0.3739354810603239,undirected
n1,n23,0.4978635027804302,undirected
n1,n24,0.5558774315311671,undirected
n1,n25,0.7843791186663406,undirected
n1,n26,0.38959470907485466,undirected
n1,n27,0.8840077214835256,undirected
n1,n28,0.4252623683097157,undirected
n1,n29,0.8245519558386869,undirected
n1,n30,0.39239929840929455,undirected
n1,n31,0.4243009625463214,undirected
n1,n32,0.6402250715359239,undirected
n1,n33,0.3451769026403347,undirected
n1,n34,0.21613277552311094,undirected
n2,n3,0.4196473867986992,undirected
n2,n5,0.2895877441961002,undirected
n2,n6,0.39226318535725657,undirected
n2,n7,0.2151178381413304,undirected
n2,n8,0.33878364637460656,undirected
n2,n9,0.4037588515604617,undirected
n2,n10,0.3100922462856457,undirected
n2,n11,0.305211365772558,undirected
n2,n12,0.2641109738164059,undirected
n2,n13,0.3863032275546686,undirected
n2,n14,0.38757987705206,undirected
n2,n15,0.5650640079333262,undirected
n2,n16,0.4974563237400486,undirected
n2,n17,0.2838701529733773,undirected
n2,n18,0.29014604010778,undirected
n2,n20,0.3411123421256362,undirected
n2,n22,0.1760920451082244,undirected
n2,n23,0.8009249952822892,undirected
n2,n28,0.19938414725877304,undirected
n2,n32,0.229372234629888,undirected
n2,n33,0.41770609441816337,undirected
n3,n5,0.8566125443787305,undirected
n3,n6,0.7729447765613532,undirected
n3,n7,0.6510800362556444,undirected
n3,n8,0.398891418931592,undirected
n3,n9,0.6352149479514156,undirected
n3,n10,0.8676713952865671,undirected
n3,n11,0.8868150849141645,undirected
n3,n12,0.6425307717177174,undirected
n3,n13,0.8887986086824524,undirected
n3,n14,0.8923073796105192,undirected
n3,n15,0.5636391926315087,undirected
n3,n16,0.9180492603453384,undirected
n3,n17,0.8428546978384306,undirected
n3,n18,0.7519506963190395,undirected
n3,n19,0.7073386281650111,undirected
n3,n20,0.5564867006264439,undirected
n3,n21,0.7251143934040922,undirected
n3,n22,0.4525199881460687,undirected
n3,n23,0.5985726986601672,undirected
n3,n24,0.6880135073923442,undirected
n3,n25,0.5581320784702145,undirected
n3,n26,0.2463063256232591,undirected
n3,n27,0.6480502979528064,undirected
n3,n29,0.6371042940034899,undirected
n3,n30,0.2946792334215439,undirected
n3,n31,0.29668748941041945,undirected
n3,n32,0.3449276374526734,undirected
n3,n33,0.5825306250553856,undirected
n4,n6,0.2343269967983941,undirected
n4,n9,0.2536459475073261,undirected
n4,n10,0.19413496713097467,undirected
n4,n11,0.20229475001883315,undirected
n4,n16,0.1407168354241146,undirected
n4,n17,0.1640964290530725,undirected
n4,n18,0.1952213614427488,undirected
n4,n22,0.328795454730709,undirected
n4,n24,0.149990489094398,undirected
n4,n25,0.1683016903082294,undirected
n4,n27,0.16213035515383198,undirected
n4,n32,0.14502865810837226,undirected
n4,n34,0.252354892208804,undirected
n5,n6,0.8294126444726527,undirected
n5,n7,0.7799114980963886,undirected
n5,n8,0.3949135458540062,undirected
n5,n9,0.5955540610107714,undirected
n5,n10,0.9266562610348072,undirected
n5,n11,0.9226404130375224,undirected
n5,n12,0.7581562499167416,undirected
n5,n13,0.98433983485368,undirected
n5,n14,0.9826267435923364,undirected
n5,n15,0.7864157109325518,undirected
n5,n16,0.8914387497797603,undirected
n5,n17,0.9528372531142988,undirected
n5,n18,0.7185394333943611,undirected
n5,n19,0.8081822379980359,undirected
n5,n20,0.6779322465054869,undirected
n5,n21,0.8344455898957696,undirected
n5,n22,0.5174384995825702,undirected
