count,id,label
27,n0,N225
24,n1,afJPMAAL
31,n2,agJPMAORM
16,n3,ahJPMANRC
23,n4,afJPCIST
19,n5,afJPCISAT
22,n6,afJPCISAON
24,n7,afJPCISART
25,n8,aaJPBPCA
22,n9,aaJPBPG
28,n10,aaJPEIEX
26,n11,aaJPEIIM
27,n12,afJPTINTT
14,n13,afJPPRCNT
28,n14,aJPCBLD
30,n15,aJPCBCO
29,n16,aJPCBLG
25,n17,aJPCS
28,n18,aJPBSTKA
27,n19,aJPBSTKAM
28,n20,aJPBSTKAMS
27,n21,aJPBSTKANM
29,n22,aJPBSTKANML
30,n23,aJPBSTKF
27,n24,aJPBSTKFM
27,n25,aJPBSTKFNM
25,n26,aaJPMBM1
28,n27,aaJPMBM2
26,n28,arJPFXER
11,n29,aaJPPFSDQ
28,n30,aaJPFSAIA
19,n31,aGLIRPCJP
20,n32,aGLOCL6JPN
20,n33,aJPCBLD_YoY
