count,id,label
38,n0,KOSPI
40,n1,arKOBSNFKP
32,n2,acKOFINBXDD
24,n3,aaKOCIOO
42,n4,afKOCIHPP0
37,n5,afKOCIHJP0
35,n6,afKOCIAJR0
40,n7,arKOCIBSBP
39,n8,cCNNSKOPT
29,n9,aoKOLWNUR
22,n10,aaKOMBM2A
21,n11,aaKOMBLFA
31,n12,auKOMBRDB0
37,n13,aaKOEIEX
39,n14,aaKOEIIM
40,n15,aaKOEIEXD
40,n16,aaKOEIIMD
25,n17,bKOSMDM_YoY
38,n18,bKOSMDM
39,n19,bKODYKS
39,n20,bKOIVVK
38,n21,arKOIRCR
37,n22,arKOIRKSDACD
39,n23,arKOIRKSDATB3
40,n24,arKOIRKSDATB5
25,n25,arKOIRKSDATB10
40,n26,arKOIRKSDAMSB
27,n27,arKOIRMSAAA3Y
27,n28,arKOIRMFBAAA3Y
29,n29,arKOIRMCPNAA33Y
32,n30,arKOIRKSDATB5_YSR
25,n31,arKOIRKSDATB10_YSR
32,n32,arKOIRMSAAA3Y_YSR
32,n33,arKOIRMFBAAA3Y_YSR
37,n34,arKOIRMCPNAA33Y_YSR
33,n35,ahKOPPDD
36,n36,ahKOPPDD_YoY
26,n37,cBKCFBLCL
39,n38,aGLOCL6KOR
40,n39,aKONA10RGDPGDP
41,n40,aKONA10RGDPNA
3,n41,aKONA10RGDPA
35,n42,aKONA10RGDPC
23,n43,aKONA10RGDPF
45,n44,aKONA10RGDPS
34,n45,aKONA10RGDPICT
38,n46,aKONA10RGDPOICT
39,n47,aKONA10RGDPPEI
30,n48,aKONA10RGDPFI
20,n49,aKONA10RGDPCC
32,n50,aKONA10RGDPEG
31,n51,aKONA10RGDPIG
38,n52,aKONA10RGDPDDEI
38,n53,aKONA10GRGNINGNI
29,n54,aKONA10GRGNIRGNI
23,n55,aKONA10GRGNIGDPDF
29,n56,aKONA10GS
41,n57,aKONA10GSGIR
