TimeLog,SPX,SHCOMP,NKY,DAX,KOSPI
2001-10-31,10271261 ,286446 ,1343374 ,576910 ,199661 
2001-11-30,10069698 ,293990 ,1405321 ,569275 ,219258 
2001-12-31,10449477 ,312383 ,1498998 ,610504 ,259824 
2002-01-31,9814802 ,325071 ,1595886 ,587390 ,237295 
2002-02-28,9753521 ,324730 ,1708702 ,573907 ,238165 
2002-03-28,9052722 ,373890 ,1607332 ,556265 ,225389 
2002-04-30,8320599 ,358808 ,1509403 ,471904 ,221293 
2002-05-31,8356671 ,365644 ,1483342 ,471676 ,225535 
2002-06-28,7432600 ,349155 ,1420499 ,352796 ,197069 
2002-07-31,8076203 ,339054 ,1332264 ,410688 ,203790 
2002-08-30,8514288 ,322022 ,1364546 ,431788 ,225810 
2002-09-30,8000174 ,306114 ,1344105 ,402065 ,199524 
2002-10-31,7781142 ,340953 ,1299762 ,391412 ,189051 
2002-11-29,7650309 ,343961 ,1308180 ,365282 ,181458 
2002-12-31,7720703 ,344577 ,1250286 ,349402 ,162236 
2003-01-31,8344079 ,347313 ,1238232 ,435512 ,187969 
2003-02-28,8771426 ,359537 ,1299048 ,465307 ,201868 
2003-03-31,8871921 ,339859 ,1406024 ,487091 ,216334 
2003-04-30,9027369 ,341696 ,1464306 ,514131 ,233060 
2003-05-30,9196429 ,331241 ,1633981 ,503086 ,248035 
2003-06-30,9094661 ,321430 ,1725531 ,502529 ,237118 
2003-07-31,9589787 ,318991 ,1789086 ,563178 ,258296 
2003-08-29,9669187 ,335142 ,1748395 ,596955 ,265595 
2003-09-30,10159210 ,359521 ,1875034 ,660305 ,276150 
2003-10-31,10335044 ,382810 ,1894424 ,670147 ,293674 
2003-11-28,10481829 ,403120 ,1890479 ,666520 ,305010 
2003-12-31,10351009 ,420780 ,2140802 ,634800 ,312672 
2004-01-30,10187789 ,385036 ,2025279 ,633054 ,303405 
2004-02-27,10310679 ,376185 ,1961346 ,631079 ,285182 
2004-03-31,10506356 ,340807 ,2044411 ,650590 ,280657 
2004-04-30,10170175 ,340112 ,1932834 ,615721 ,265324 
2004-05-28,10204696 ,330243 ,1956714 ,606262 ,298207 
2004-06-30,10290169 ,343586 ,1883176 ,632273 ,310743 
2004-07-30,10406749 ,324953 ,1966059 ,659475 ,319663 
2004-08-31,10769687 ,329719 ,2047854 ,712614 ,358827 
2004-09-30,11169733 ,313744 ,2163286 ,751293 ,372841 
2004-10-29,10890534 ,295457 ,2107063 ,719419 ,391422 
2004-11-30,11088132 ,323062 ,2146186 ,743234 ,438101 
2004-12-31,10899135 ,294292 ,2120982 ,727740 ,412982 
2005-01-31,10680488 ,288413 ,2076506 ,686095 ,396855 
2005-02-28,10976470 ,266713 ,2054183 ,692928 ,418859 
2005-03-31,10973047 ,271792 ,2055174 ,697795 ,423592 
2005-04-29,11375411 ,277831 ,2085046 ,744542 ,471111 
2005-05-31,11241295 ,293685 ,2218811 ,745245 ,456596 
2005-06-30,11314511 ,292105 ,2474758 ,757633 ,510038 
2005-07-29,11067354 ,273755 ,2505471 ,737884 ,484326 
2005-08-31,11533647 ,272603 ,2607050 ,766012 ,547195 
2005-09-30,11533776 ,285848 ,2835285 ,806598 ,601359 
2005-10-31,11818286 ,308510 ,2972876 ,867304 ,640241 
2005-11-30,11817564 ,316533 ,2948853 ,868010 ,638912 
2005-12-30,11947349 ,313008 ,3015994 ,913165 ,629931 
2006-01-31,12128784 ,341392 ,3135370 ,947157 ,679953 
2006-02-28,11764412 ,385692 ,2920499 ,894510 ,630208 
2006-03-31,11768313 ,389113 ,2903379 ,886125 ,618746 
2006-04-28,11801666 ,438497 ,2887914 ,885678 ,617451 
2006-05-31,12002165 ,457473 ,2931278 ,917709 ,644014 
2006-06-30,12295091 ,485323 ,2873333 ,923797 ,665191 
2006-07-31,12652025 ,488190 ,2964686 ,976317 ,665127 
2006-08-31,12842217 ,705971 ,2973559 ,1020447 ,709760 
2006-09-29,13019741 ,899115 ,3047640 ,1061159 ,710587 
2006-10-31,13220222 ,1074807 ,3070667 ,1071091 ,664786 
2006-11-30,12905318 ,1139460 ,3204379 ,1078560 ,690205 
2006-12-29,13010322 ,1294756 ,3150724 ,1119223 ,709914 
2007-01-31,13547272 ,1589983 ,3074108 ,1212822 ,763962 
2007-02-28,13935818 ,1742049 ,3131509 ,1244502 ,847869 
2007-03-30,13679931 ,1677396 ,3118986 ,1280515 ,884103 
2007-04-30,13221008 ,1971079 ,3084751 ,1230401 ,992576 
2007-05-31,13332391 ,2380380 ,3005931 ,1243535 ,944191 
2007-06-29,13775142 ,2580476 ,3058016 ,1335100 ,1015532 
2007-07-31,13954542 ,2799237 ,3060961 ,1394513 ,1090026 
2007-08-31,13294451 ,3266588 ,3004330 ,1388330 ,986120 
2007-09-28,13194983 ,3665649 ,2896690 ,1404515 ,971071 
2007-10-31,12386011 ,3113039 ,2754297 ,1219784 ,824255 
2007-11-30,11888821 ,3123387 ,2776622 ,1227658 ,873663 
2007-12-31,11816318 ,2554153 ,2605115 ,1231012 ,830816 
2008-01-31,12371508 ,2733839 ,2826866 ,1264651 ,876511 
2008-02-29,12489570 ,2608675 ,2908258 ,1268025 ,873270 
2008-03-31,11468572 ,2107877 ,2701259 ,1165764 ,774701 
2008-04-30,11368888 ,2146347 ,2635141 ,1166235 ,764577 
2008-05-30,11486889 ,1856845 ,2524168 ,1087768 ,654823 
2008-06-30,10552102 ,1775794 ,2218400 ,979562 ,588499 
2008-07-31,8763353 ,1340501 ,1887199 ,805234 ,410886 
2008-08-29,8073153 ,1447881 ,1857704 ,710563 ,368685 
2008-09-30,8129483 ,1415014 ,2016727 ,803133 ,449578 
2008-10-31,7444831 ,1542330 ,1868792 ,671265 ,420304 
2008-11-28,6632488 ,1619256 ,1639863 ,583005 ,350656 
2008-12-31,7200431 ,1846402 ,1645250 ,654506 ,446619 
2009-01-30,7867171 ,1932096 ,1824224 ,740064 ,542743 
2009-02-27,8329304 ,2057968 ,2027239 ,793966 ,566021 
2009-03-31,8348264 ,2315126 ,2077325 ,783629 ,553116 
2009-04-30,8988107 ,2675155 ,2183850 ,878764 ,646945 
2009-05-29,9311825 ,2142680 ,2261151 ,874447 ,648937 
2009-06-30,9683125 ,2239293 ,2206946 ,917669 ,725048 
2009-07-31,9467620 ,2431316 ,2174897 ,883094 ,680333 
2009-08-31,10007215 ,2599867 ,2128546 ,921504 ,685279 
2009-09-30,10286812 ,2687773 ,2185914 ,905497 ,748291 
2009-10-30,9882809 ,2461029 ,2249472 ,824607 ,713744 
2009-11-30,10213278 ,2538250 ,2272027 ,804999 ,713283 
2009-12-31,10852512 ,2598728 ,2341084 ,879406 ,781012 
2010-01-29,11022813 ,2427813 ,2356317 ,860784 ,819390 
2010-02-26,10125732 ,2192539 ,2167513 ,763401 ,733075 
2010-03-31,9571975 ,2046928 ,2121347 ,768428 ,749046 
2010-04-30,10208681 ,2384264 ,2215404 ,842404 ,803189 
2010-05-28,9738058 ,2380758 ,2163891 ,788975 ,786695 
2010-06-30,10596403 ,2469606 ,2262773 ,908961 ,893721 
2010-07-30,10970286 ,2801993 ,2311013 ,981112 ,908214 
2010-08-31,10948498 ,2678299 ,2361679 ,930776 ,894033 
2010-09-30,11696927 ,2696348 ,2521183 ,985285 ,991181 
2010-10-29,11996539 ,2703120 ,2526832 ,1036137 ,1009239 
2010-11-30,12344782 ,2858118 ,2655808 ,1072122 ,942932 
2010-12-31,12357583 ,2892070 ,2371568 ,1070950 ,1051466 
2011-01-31,12733199 ,2918915 ,2398494 ,1188206 ,1125186 
2011-02-28,12544838 ,2765243 ,2365535 ,1103406 ,1089165 
2011-03-31,12322265 ,2802714 ,2403987 ,1127448 ,1084192 
2011-04-29,12093627 ,2759491 ,2496781 ,1085517 ,1117422 
2011-05-31,11374591 ,2655343 ,2280936 ,880928 ,976140 
