TimeLog,aGLOCL6OTO,aGLOCL6OEU,aGLOCL6ONM,aGLOCL6GBR,aGLOCL6FRA,aGLOCL6AUS,aGLOCL6MEX,aTWCBLD,aGLOCL6IDN,aTHCBLD
2000.4.28,4.9,5,6.1,4.3,4.2,4,5.2,11.6,9.5,0.7
2000.5.31,4.8,5.1,5.9,3.8,4.3,3.8,5.5,10.1,9.1,1
2000.6.30,4.6,5,5.7,3.2,4.5,3.6,5.7,8.2,8.4,-1.8
2000.7.31,4.3,4.8,5.3,2.7,4.5,3.3,5.7,6.4,7.4,-2.5
2000.8.31,4,4.6,5,2.4,4.5,3,5.3,4.5,6.3,-1.9
2000.9.29,3.7,4.4,4.6,2.1,4.3,2.7,4.7,2.7,5.1,-1
2000.10.31,3.4,4.1,4.3,2.1,4.1,2.5,4.1,0.5,4,-0.7
2000.11.30,3.1,3.8,3.9,2.1,3.8,2.3,3.6,-1.8,3.1,-0.1
2000.12.29,2.7,3.4,3.5,2.2,3.6,2.2,3.1,-4.2,2.3,-0.5
2001.1.31,2.3,3,3.2,2.4,3.4,2.1,2.4,-6.6,1.5,0.3
2001.2.28,1.9,2.6,2.7,2.6,3.2,2,1.7,-8.8,0.7,0.1
2001.3.30,1.4,2.1,2.3,2.8,3,2,1.1,-10.8,-0.1,1.5
2001.4.30,1,1.7,2,3.1,2.8,2,0.5,-12.3,-0.7,1.4
2001.5.31,0.7,1.2,1.7,3.3,2.5,2.1,0.1,-13.4,-1.2,-0.2
2001.6.29,0.5,0.9,1.5,3.5,2.1,2.3,0,-14.2,-1.3,2.2
2001.7.31,0.4,0.6,1.4,3.7,1.7,2.6,-0.1,-14.3,-1.2,3.3
2001.8.31,0.3,0.4,1.3,3.8,1.3,2.9,0,-14,-0.4,2.2
2001.9.28,0.3,0.3,1.3,3.8,0.9,3.3,0.3,-12.8,0.5,3.7
2001.10.31,0.3,0.1,1.4,3.6,0.5,3.7,0.7,-10.7,1.5,2.4
2001.11.30,0.4,0.1,1.5,3.4,0.2,4.1,1.1,-7.7,2.2,2.2
2001.12.31,0.5,0,1.6,3.2,0,4.4,1.5,-4.3,2.8,4.3
2002.1.31,0.7,0.1,1.9,2.9,-0.2,4.7,2,-0.3,3.1,3.6
2002.2.28,1.1,0.4,2.2,2.8,-0.3,4.9,2.6,3.7,3.4,2.6
