id,label,timeset,count,modularity_class
n1,aGLOCL6CHN,,48,0
n2,aCHCBLD,,47,0
n3,apCHMAIP,,50,0
n5,aCHMBLFL,,25,0
n6,aCHPRCPI,,43,0
n8,aCHPRPPI,,48,0
n9,apCHMBM2YOY,,36,0
n11,aCHMBRRR,,48,1
n12,aaCHEIEXM,,49,0
n13,aaCHEIIMM,,49,0
n14,aaCHEITBM,,46,1
n16,aCHNAGDYT,,44,0
n18,aCHBSPM,,40,1
n19,aCHMBM1GR,,42,0
n21,aaCHCIRIYNI,,46,1
n22,aaCHBPCAC,,50,1
n23,aaCHBPCADE,,49,1
n24,aaCHBPG,,48,1
n25,aaCHBPGEX,,50,1
n26,aaCHBPGIM,,50,1
n27,aaCHBPDIA,,48,1
n28,aaCHBPDIL,,46,1
n29,aCHEIEX,,50,1
n30,aCHEIIM,,48,1
n31,aCHPREX,,32,0
n32,aCHPRIM,,49,0
n33,aCHPRTT,,51,0
n34,aCHLWUEMP,,39,1
n35,aCHCBCO,,49,0
n36,aCHCBLG,,37,0
n37,aCHCBSG,,48,0
n38,aCHBSBSIT,,46,0
n39,aCHCSCI,,46,1
n40,aCHCSSI,,50,1
n41,aCHCSEI,,43,1
n42,aCHMBRA,,49,1
n43,aaCHMBM1,,50,1
n44,aaCHMBM2,,50,1
n45,aaCHMBM3,,49,1
n46,aCHMBM2GR,,42,0
n49,aaCHFXFRM,,49,1
n50,aCHFXRUS,,50,1
n51,apCHEGCNT,,48,1
n52,aCHEGSCCO,,48,0
n53,cpAMSACHT,,50,1
n54,cpAMSACHCAR,,50,1
