id,label,timeset,count,modularity_class
n0,KOSPI,,38,0
n4,afKOCIHPP0,,42,0
n5,afKOCIHJP0,,37,0
n6,afKOCIAJR0,,35,2
n10,aaKOMBM2A,,22,2
n11,aaKOMBLFA,,21,2
n13,aaKOEIEX,,37,1
n14,aaKOEIIM,,39,1
n15,aaKOEIEXD,,40,1
n16,aaKOEIIMD,,40,1
n18,bKOSMDM,,38,0
n19,bKODYKS,,39,0
n21,arKOIRCR,,38,0
n22,arKOIRKSDACD,,37,0
n23,arKOIRKSDATB3,,39,0
n24,arKOIRKSDATB5,,40,0
n26,arKOIRKSDAMSB,,40,0
n27,arKOIRMSAAA3Y,,27,2
n28,arKOIRMFBAAA3Y,,27,2
n29,arKOIRMCPNAA33Y,,29,2
n30,arKOIRKSDATB5_YSR,,32,0
n31,arKOIRKSDATB10_YSR,,25,0
n32,arKOIRMSAAA3Y_YSR,,32,2
n33,arKOIRMFBAAA3Y_YSR,,32,2
n34,arKOIRMCPNAA33Y_YSR,,37,2
n35,ahKOPPDD,,33,0
n39,aKONA10RGDPGDP,,40,3
n40,aKONA10RGDPNA,,41,3
n42,aKONA10RGDPC,,35,3
n43,aKONA10RGDPF,,23,1
n46,aKONA10RGDPOICT,,38,3
n47,aKONA10RGDPPEI,,39,3
n49,aKONA10RGDPCC,,20,1
n52,aKONA10RGDPDDEI,,38,3
