Source,Target,Type,id,label,timeset,weight
n0,n31,Undirected,23,,,0.8456720256976388
n0,n50,Undirected,40,,,0.8350821926504953
n0,n55,Undirected,44,,,0.7941773736571776
n0,n58,Undirected,47,,,0.8889013791891547
n0,n59,Undirected,48,,,0.8674323283399282
n0,n60,Undirected,49,,,0.8494335949263297
n0,n61,Undirected,50,,,0.7818551013366698
n0,n62,Undirected,51,,,0.8606660842884882
n1,n2,Undirected,58,,,0.8283090526160909
n1,n4,Undirected,60,,,0.7875173691288623
n1,n5,Undirected,61,,,0.774972131974747
n1,n7,Undirected,63,,,0.8359000500606746
n1,n8,Undirected,64,,,0.7626508751169333
n1,n11,Undirected,67,,,0.7953937991265528
n1,n16,Undirected,70,,,0.7572788529114604
n1,n47,Undirected,94,,,0.8001168337005419
n1,n63,Undirected,106,,,0.8152892991481469
n2,n8,Undirected,122,,,0.8505369449459146
n2,n9,Undirected,123,,,0.8141088553568904
n2,n16,Undirected,129,,,0.8081180929924456
n3,n17,Undirected,186,,,0.7977784242585858
n3,n43,Undirected,210,,,0.8321887764241751
n3,n44,Undirected,211,,,0.8625466875888801
n3,n51,Undirected,218,,,0.7815457667605039
n3,n52,Undirected,219,,,0.7831794726697145
n4,n5,Undirected,236,,,0.8791873950061636
n4,n6,Undirected,237,,,0.8520629281845248
n4,n38,Undirected,261,,,0.892693647229921
n4,n63,Undirected,279,,,0.9190794134908408
n4,n64,Undirected,280,,,0.7929349930463309
n4,n65,Undirected,281,,,0.7838808724083968
n4,n67,Undirected,283,,,0.9428018501122224
n4,n68,Undirected,284,,,0.7604033437915121
n4,n69,Undirected,285,,,0.8325269716688322
n5,n63,Undirected,327,,,0.8580961224731078
n5,n67,Undirected,331,,,0.8006066219459631
n6,n38,Undirected,360,,,0.8431189720871806
n6,n64,Undirected,379,,,0.7562980639410902
n6,n67,Undirected,382,,,0.8499373262826448
n6,n69,Undirected,384,,,0.7744153578591948
n7,n11,Undirected,391,,,0.8155337064517638
n7,n47,Undirected,422,,,0.9597884071980342
n8,n9,Undirected,447,,,0.8534954804718464
n8,n16,Undirected,453,,,0.7746614092258715
n10,n11,Undirected,533,,,0.7744902246255687
n10,n44,Undirected,562,,,0.785717418898067
n10,n49,Undirected,567,,,0.8617938748359018
n10,n51,Undirected,569,,,0.95663364087826
n11,n47,Undirected,621,,,0.7571123630294954
n12,n20,Undirected,654,,,0.8229331843332419
n12,n42,Undirected,672,,,0.9176544427555506
n12,n52,Undirected,680,,,0.8897150609538601
n13,n15,Undirected,698,,,0.8916328105448484
n14,n42,Undirected,765,,,0.7621083222195787
n16,n17,Undirected,827,,,0.8023269369783123
n17,n43,Undirected,892,,,0.8457054312030302
n17,n44,Undirected,893,,,0.8072848273921346
n17,n45,Undirected,894,,,0.7631948072550884
n17,n52,Undirected,901,,,0.7731400608763597
n19,n20,Undirected,960,,,0.9047269026385651
n19,n34,Undirected,972,,,0.7996354101916444
n19,n57,Undirected,990,,,0.9704719176773032
n20,n52,Undirected,1024,,,0.8007516537811309
n20,n57,Undirected,1029,,,0.8349710341456806
n21,n23,Undirected,1040,,,0.7960195472940679
n21,n24,Undirected,1041,,,0.8047213475476035
n21,n25,Undirected,1042,,,0.8241543455651824
n21,n56,Undirected,1067,,,0.8216225663638445
n23,n24,Undirected,1114,,,0.9716521053101684
n23,n25,Undirected,1115,,,0.9639698784519064
n23,n55,Undirected,1138,,,0.8890959924621135
n23,n60,Undirected,1143,,,0.769178750656895
n23,n73,Undirected,1152,,,0.9320769185547326
n23,n74,Undirected,1153,,,0.7945538121399568
n24,n25,Undirected,1154,,,0.9957183066142414
n24,n55,Undirected,1176,,,0.9029450836346268
n24,n60,Undirected,1181,,,0.7644124351379838
n24,n73,Undirected,1189,,,0.9535974139702448
n24,n74,Undirected,1190,,,0.8619617700114793
n25,n55,Undirected,1212,,,0.9019798103011712
n25,n73,Undirected,1225,,,0.9409819903758068
n25,n74,Undirected,1226,,,0.8680149044942039
n27,n29,Undirected,1271,,,0.9026262044204456
n27,n32,Undirected,1274,,,0.8546692629495528
n27,n33,Undirected,1275,,,0.8512205404040475
n27,n54,Undirected,1291,,,0.8546692629495528
n29,n32,Undirected,1338,,,0.9721407541052728
n29,n33,Undirected,1339,,,0.9694242967008052
