id,label,timeset,count,modularity_class
n0,SPX,,58,2
n1,Auscbld_YoY,,60,0
n2,agUSMAIPTOTP,,59,0
n3,aqUSMAIUTOT,,65,1
n4,aUSBSISMPUR,,58,0
n5,aqUSBSCHBB,,52,0
n6,aqUSBSPHIM,,55,0
n7,aqUSBSISNBA,,66,0
n8,aaUSMANOMDUR,,50,0
n9,aaUSMANOCPX,,51,0
n10,aqUSLWICUIC,,69,1
n11,aeUSLWECHNF,,67,0
n12,aeUSLWUR,,56,1
n13,aeUSPRCUSCONPRC,,57,1
n14,aeUSPRCXFDE,,60,1
n15,aeUSPRPFG,,46,0
n16,aaUSWRSRX,,58,0
n17,abUSCE,,65,1
n19,ahUSCSUMS,,53,1
n20,aqUSCSCF,,57,1
n21,aUSIRFDTRGD,,56,1
n23,aUSIRTCM10D,,53,2
n24,aUSIRFRM30W,,53,2
n25,aUSIRFRM15W,,53,2
n27,aUSCIMGAIP,,57,1
n29,aeUSCISHNO,,57,1
n30,aaUSCISEMP,,57,2
n31,aaUSCISNMP,,51,2
n32,aeUSCIPH,,58,1
n33,aeUSCISTPH,,58,1
n34,aUSCINAHBMI,,47,1
n35,bIXSP25HOM,,64,1
n36,afUSCIOFSP10,,55,2
n37,aaUSEITB,,52,2
n38,aUSBSISMNO,,54,0
n39,aUSBSISMIV,,56,0
n40,aUSMBCACI,,54,1
n41,aaUSMBCO,,57,1
n42,aaUSMBCORE,,60,1
n43,abUSPI,,66,1
n44,abUSPIWS,,68,1
n45,abUSPIDIC,,58,1
n46,adUSPIDIC,,52,1
n47,aqUSBSISNON,,59,0
n49,aUSCBLD,,68,1
n50,aUSCBLD1,,61,2
n51,aUSCBLD2,,68,1
n52,aUSCBLD3,,59,1
n54,aUSCBLD6,,58,1
n55,aUSCBLD8,,51,2
n56,aUSCBLD9,,61,1
n57,aUSCBLD10,,54,1
n58,aUSCBCO,,48,2
n59,aUSCBCO1,,50,2
n60,aUSCBCO2,,49,2
n61,aUSCBCO3,,53,2
n62,aUSCBCO4,,49,2
n63,aUSBSISMEM,,58,0
n64,aUSBSISMIM,,58,0
n65,aUSBSISMEO,,52,0
n66,aUSBSISMCP,,56,0
n67,aUSBSISMPR,,52,0
n68,aUSBSISMDL,,44,0
n69,aUSBSISMBO,,47,0
n73,aUSIRMAAA1020D,,61,2
n74,aUSIRMBAA1020D,,59,2
