Date,Open,High,Low,Close,Volume
31-Mar-17,103000.00,105000.00,103000.00,105000.00,54538
30-Mar-17,105000.00,105500.00,103000.00,103500.00,29580
29-Mar-17,105000.00,105500.00,103000.00,105000.00,37824
28-Mar-17,107500.00,108000.00,104000.00,104500.00,43191
27-Mar-17,105500.00,107000.00,105000.00,107000.00,49718
24-Mar-17,106500.00,108000.00,103500.00,106000.00,127004
23-Mar-17,103500.00,106000.00,103000.00,106000.00,78722
22-Mar-17,105000.00,107500.00,102500.00,103000.00,118602
21-Mar-17,104000.00,106500.00,102500.00,104000.00,161699
20-Mar-17,103500.00,105000.00,102000.00,103000.00,165435
17-Mar-17,100000.00,101500.00,100000.00,101500.00,125325
16-Mar-17,99000.00,99900.00,98300.00,98900.00,48097
15-Mar-17,98500.00,100500.00,98000.00,98600.00,73131
14-Mar-17,98300.00,99700.00,97500.00,98500.00,110194
13-Mar-17,99000.00,100500.00,97800.00,98500.00,95978
10-Mar-17,100000.00,100500.00,98300.00,99400.00,76666
9-Mar-17,99900.00,102000.00,99800.00,100500.00,71002
8-Mar-17,101000.00,101500.00,99100.00,99800.00,128529
7-Mar-17,103500.00,103500.00,100000.00,102000.00,101438
6-Mar-17,101500.00,104500.00,101500.00,104000.00,68859
3-Mar-17,101000.00,102500.00,100000.00,101500.00,61017
2-Mar-17,103500.00,104000.00,100500.00,101000.00,96954
28-Feb-17,106500.00,106500.00,101500.00,102000.00,149953
27-Feb-17,107000.00,107000.00,103000.00,106000.00,103421
24-Feb-17,103500.00,107500.00,102500.00,106500.00,239232
23-Feb-17,99200.00,104000.00,98900.00,104000.00,203651
22-Feb-17,99900.00,100500.00,97300.00,98600.00,145315
21-Feb-17,99900.00,100500.00,98600.00,99800.00,74713
20-Feb-17,100500.00,100500.00,99100.00,100500.00,59349
17-Feb-17,102500.00,102500.00,99800.00,100500.00,103452
16-Feb-17,102500.00,102500.00,101000.00,102500.00,140571
15-Feb-17,100500.00,103000.00,99900.00,101000.00,135330
14-Feb-17,100500.00,101000.00,98400.00,100500.00,148528
13-Feb-17,99300.00,100000.00,97600.00,99800.00,189404
10-Feb-17,94900.00,102000.00,94900.00,98700.00,640776
9-Feb-17,92000.00,92500.00,91300.00,91800.00,121733
8-Feb-17,91500.00,92800.00,91300.00,92000.00,65576
7-Feb-17,92000.00,92400.00,90900.00,91500.00,98235
6-Feb-17,90700.00,92700.00,90600.00,92400.00,146878
3-Feb-17,90400.00,90900.00,88500.00,89700.00,200935
2-Feb-17,89900.00,91500.00,89100.00,89900.00,124993
1-Feb-17,92400.00,92900.00,89900.00,90600.00,88723
31-Jan-17,91100.00,93400.00,91100.00,91700.00,92565
26-Jan-17,90600.00,91800.00,89500.00,91500.00,96110
25-Jan-17,92300.00,92500.00,90300.00,90300.00,66840
24-Jan-17,92800.00,92900.00,90300.00,91500.00,68505
23-Jan-17,91300.00,93600.00,90800.00,92500.00,90375
20-Jan-17,90300.00,94000.00,90300.00,91200.00,256632
19-Jan-17,87600.00,90400.00,87300.00,90300.00,151963
18-Jan-17,87800.00,88600.00,86700.00,88000.00,34515
