Date,Open,High,Low,Close,Volume
31-Mar-17,356000.00,358000.00,351500.00,353000.00,40446
30-Mar-17,354500.00,358500.00,352500.00,358000.00,35647
29-Mar-17,358000.00,358000.00,352500.00,353500.00,21809
28-Mar-17,355500.00,358500.00,354000.00,357500.00,34185
27-Mar-17,355000.00,358000.00,352500.00,356000.00,56546
24-Mar-17,349500.00,355500.00,349000.00,352500.00,43353
23-Mar-17,348000.00,353000.00,344500.00,349000.00,48149
22-Mar-17,347000.00,350500.00,345000.00,347000.00,23873
21-Mar-17,349000.00,351000.00,346500.00,347000.00,26557
20-Mar-17,350500.00,351000.00,346000.00,346500.00,21113
17-Mar-17,345000.00,351000.00,343500.00,351000.00,26506
16-Mar-17,351500.00,352500.00,340500.00,345000.00,61018
15-Mar-17,352000.00,353500.00,346000.00,347500.00,39031
14-Mar-17,352500.00,357000.00,352000.00,353000.00,29333
13-Mar-17,350000.00,355000.00,349500.00,353500.00,26071
10-Mar-17,349500.00,353000.00,349000.00,349000.00,23847
9-Mar-17,350500.00,353000.00,349000.00,349000.00,22926
8-Mar-17,351000.00,354000.00,349500.00,350500.00,28727
7-Mar-17,354000.00,355000.00,350500.00,353000.00,27353
6-Mar-17,353000.00,353500.00,347000.00,351000.00,48299
3-Mar-17,359500.00,360500.00,355000.00,355000.00,29720
2-Mar-17,366000.00,366000.00,358000.00,360000.00,63858
28-Feb-17,363500.00,364500.00,360000.00,364500.00,25448
27-Feb-17,364500.00,365500.00,359000.00,363500.00,21365
24-Feb-17,362000.00,364500.00,360500.00,364500.00,28651
23-Feb-17,359500.00,363500.00,358000.00,362000.00,38539
22-Feb-17,365500.00,365500.00,357000.00,357500.00,69737
21-Feb-17,370500.00,374500.00,364000.00,366000.00,63230
20-Feb-17,355500.00,370500.00,354000.00,370000.00,73510
17-Feb-17,356000.00,359500.00,354500.00,357000.00,21875
16-Feb-17,360000.00,360500.00,355500.00,356000.00,29331
15-Feb-17,363000.00,364500.00,357000.00,357500.00,63258
14-Feb-17,371000.00,372000.00,362000.00,363000.00,53768
13-Feb-17,369500.00,372500.00,366500.00,372000.00,34187
10-Feb-17,359000.00,370500.00,358000.00,370500.00,78693
9-Feb-17,353000.00,356000.00,352000.00,352500.00,41464
8-Feb-17,363000.00,364000.00,351500.00,357000.00,57016
7-Feb-17,369000.00,370000.00,362500.00,364000.00,51829
6-Feb-17,359500.00,371000.00,358000.00,371000.00,91873
3-Feb-17,360500.00,363500.00,351500.00,356000.00,44442
2-Feb-17,354500.00,361000.00,353000.00,358500.00,48286
1-Feb-17,356500.00,358000.00,350000.00,355500.00,33687
31-Jan-17,348500.00,356500.00,347500.00,354500.00,30018
26-Jan-17,348000.00,350000.00,344500.00,348500.00,19471
25-Jan-17,357500.00,357500.00,346000.00,348000.00,56984
24-Jan-17,356000.00,357000.00,353500.00,356000.00,14130
23-Jan-17,358000.00,359500.00,354500.00,356000.00,23643
20-Jan-17,355000.00,360500.00,354000.00,355000.00,20687
19-Jan-17,356000.00,359000.00,353000.00,354000.00,26280
18-Jan-17,352000.00,359500.00,352000.00,358000.00,33083
17-Jan-17,356000.00,357000.00,351000.00,351000.00,40518
16-Jan-17,360000.00,360500.00,355000.00,356500.00,27319
13-Jan-17,356000.00,364500.00,355500.00,360500.00,36430
12-Jan-17,355000.00,359000.00,353500.00,357500.00,36006
11-Jan-17,352000.00,355000.00,350000.00,351500.00,46219
10-Jan-17,354000.00,356000.00,350500.00,352500.00,30325
9-Jan-17,359500.00,360000.00,354500.00,357000.00,21540
6-Jan-17,360000.00,363500.00,358500.00,361000.00,24609
5-Jan-17,353000.00,362000.00,351500.00,360000.00,62168
4-Jan-17,351500.00,353500.00,350500.00,350500.00,42381
3-Jan-17,359000.00,359000.00,351000.00,351500.00,48364
2-Jan-17,359000.00,363000.00,355000.00,359000.00,23649
29-Dec-16,357000.00,358000.00,351500.00,357500.00,27318
28-Dec-16,352500.00,361000.00,352500.00,356000.00,32453
27-Dec-16,358000.00,359500.00,354000.00,358000.00,30878
26-Dec-16,365500.00,367000.00,357500.00,358500.00,43761
23-Dec-16,367000.00,369000.00,363000.00,365000.00,27148
22-Dec-16,367000.00,368000.00,364000.00,367000.00,27353
21-Dec-16,375000.00,375000.00,367000.00,367500.00,40956
20-Dec-16,376500.00,379000.00,373500.00,375000.00,20939
19-Dec-16,383000.00,383000.00,376000.00,376500.00,18436
16-Dec-16,380000.00,383000.00,378500.00,383000.00,25806
15-Dec-16,377000.00,382000.00,376000.00,382000.00,24628
14-Dec-16,381500.00,384000.00,377000.00,380500.00,27888
13-Dec-16,384000.00,385500.00,379000.00,384000.00,26258
12-Dec-16,385500.00,385500.00,380000.00,384000.00,22641
9-Dec-16,386000.00,388000.00,378500.00,383000.00,33048
