Date,Open,High,Low,Close,Volume
31-Mar-17,7300.00,7440.00,7290.00,7390.00,40140
30-Mar-17,7290.00,7380.00,7250.00,7300.00,47538
29-Mar-17,7370.00,7390.00,7300.00,7310.00,35308
28-Mar-17,7300.00,7390.00,7290.00,7340.00,32119
27-Mar-17,7490.00,7510.00,7280.00,7300.00,71978
24-Mar-17,7500.00,7510.00,7370.00,7490.00,75471
23-Mar-17,7280.00,7490.00,7210.00,7440.00,149053
22-Mar-17,7080.00,7290.00,6990.00,7290.00,165959
21-Mar-17,7100.00,7130.00,7060.00,7080.00,72782
20-Mar-17,7130.00,7150.00,7060.00,7100.00,31953
17-Mar-17,7050.00,7120.00,7020.00,7110.00,40505
16-Mar-17,7000.00,7130.00,6980.00,7040.00,47890
15-Mar-17,7100.00,7160.00,6990.00,7000.00,88624
14-Mar-17,7200.00,7240.00,7090.00,7100.00,41409
13-Mar-17,7220.00,7270.00,7190.00,7190.00,58844
10-Mar-17,7170.00,7270.00,7030.00,7210.00,91628
9-Mar-17,7180.00,7200.00,7090.00,7150.00,70264
8-Mar-17,7150.00,7200.00,7080.00,7150.00,63799
7-Mar-17,7010.00,7210.00,7010.00,7150.00,121563
6-Mar-17,7050.00,7170.00,6980.00,7000.00,63822
3-Mar-17,7270.00,7270.00,6970.00,7120.00,120670
2-Mar-17,7250.00,7350.00,7210.00,7270.00,86510
28-Feb-17,7240.00,7250.00,7130.00,7190.00,45975
27-Feb-17,7200.00,7250.00,7130.00,7180.00,60920
24-Feb-17,7310.00,7420.00,7220.00,7250.00,60418
23-Feb-17,7490.00,7490.00,7350.00,7350.00,59150
22-Feb-17,7260.00,7480.00,7230.00,7430.00,84166
21-Feb-17,7320.00,7330.00,7220.00,7240.00,84565
20-Feb-17,7490.00,7490.00,7300.00,7320.00,63583
17-Feb-17,7490.00,7510.00,7360.00,7450.00,57736
16-Feb-17,7530.00,7540.00,7430.00,7490.00,34947
15-Feb-17,7550.00,7600.00,7420.00,7510.00,51291
14-Feb-17,7540.00,7630.00,7400.00,7510.00,82898
13-Feb-17,7330.00,7600.00,7220.00,7540.00,103117
10-Feb-17,7330.00,7400.00,7270.00,7320.00,51904
9-Feb-17,7330.00,7380.00,7170.00,7350.00,143170
8-Feb-17,7430.00,7450.00,7280.00,7390.00,103518
7-Feb-17,7760.00,7770.00,7400.00,7430.00,161974
6-Feb-17,7440.00,7790.00,7430.00,7710.00,284152
3-Feb-17,7310.00,7480.00,7270.00,7340.00,117702
2-Feb-17,7400.00,7420.00,7230.00,7260.00,95567
1-Feb-17,7330.00,7410.00,7200.00,7370.00,86389
31-Jan-17,7610.00,7610.00,7310.00,7330.00,81565
26-Jan-17,7120.00,7570.00,7120.00,7570.00,185000
25-Jan-17,7210.00,7260.00,7080.00,7120.00,74281
24-Jan-17,7460.00,7530.00,7170.00,7180.00,193041
23-Jan-17,7390.00,7580.00,7350.00,7530.00,80995
20-Jan-17,7550.00,7590.00,7390.00,7470.00,112211
19-Jan-17,7600.00,7650.00,7490.00,7540.00,89031
18-Jan-17,7630.00,7720.00,7470.00,7530.00,107966
17-Jan-17,7860.00,7920.00,7630.00,7670.00,145465
16-Jan-17,7750.00,7910.00,7730.00,7860.00,197264
13-Jan-17,7560.00,7710.00,7530.00,7660.00,66075
12-Jan-17,7500.00,7730.00,7500.00,7630.00,157644
11-Jan-17,8010.00,8030.00,7550.00,7550.00,391730
10-Jan-17,7800.00,8060.00,7690.00,7980.00,331057
9-Jan-17,7540.00,7840.00,7530.00,7750.00,287570
6-Jan-17,7540.00,7560.00,7410.00,7520.00,87567
5-Jan-17,7400.00,7540.00,7370.00,7500.00,127271
4-Jan-17,7190.00,7440.00,7190.00,7400.00,184822
3-Jan-17,7180.00,7190.00,7080.00,7130.00,64442
