Date,Open,High,Low,Close,Volume
31-Mar-17,52700.00,53000.00,52200.00,52700.00,110761
30-Mar-17,52600.00,53000.00,52000.00,52600.00,141934
29-Mar-17,52000.00,52700.00,51200.00,52600.00,166842
28-Mar-17,51600.00,52400.00,51200.00,51800.00,133788
27-Mar-17,51000.00,52300.00,50600.00,52100.00,279180
24-Mar-17,50200.00,50900.00,50000.00,50900.00,123039
23-Mar-17,50400.00,51000.00,50100.00,50500.00,194150
22-Mar-17,50400.00,50500.00,49950.00,50100.00,94751
21-Mar-17,50400.00,50400.00,49600.00,50300.00,167837
20-Mar-17,50300.00,50400.00,49700.00,50100.00,80790
17-Mar-17,49600.00,50200.00,49400.00,50200.00,138705
16-Mar-17,49550.00,50100.00,49000.00,49350.00,126060
15-Mar-17,49300.00,50500.00,49150.00,49550.00,227243
14-Mar-17,50000.00,50400.00,48800.00,49000.00,291882
13-Mar-17,50600.00,51200.00,49800.00,49900.00,209175
10-Mar-17,50700.00,51200.00,50200.00,50600.00,84826
9-Mar-17,50800.00,51400.00,50800.00,50800.00,93691
8-Mar-17,51100.00,51400.00,50400.00,50800.00,186639
7-Mar-17,51500.00,51900.00,51100.00,51300.00,87745
6-Mar-17,50700.00,52000.00,50700.00,51600.00,150892
3-Mar-17,51400.00,51700.00,50600.00,51100.00,123190
2-Mar-17,52900.00,52900.00,51300.00,51500.00,185360
28-Feb-17,53700.00,54000.00,51800.00,52600.00,253954
27-Feb-17,53400.00,54200.00,53200.00,53800.00,410404
24-Feb-17,52600.00,53100.00,52000.00,52800.00,208757
23-Feb-17,51600.00,52800.00,51200.00,52600.00,266613
22-Feb-17,51700.00,51800.00,50800.00,51300.00,122327
21-Feb-17,51300.00,51900.00,51300.00,51600.00,126615
20-Feb-17,51900.00,51900.00,51300.00,51500.00,87736
17-Feb-17,52200.00,52500.00,51700.00,52100.00,77273
16-Feb-17,52800.00,52800.00,51500.00,52200.00,129596
15-Feb-17,52000.00,53400.00,51800.00,52400.00,176869
14-Feb-17,52400.00,52400.00,51200.00,52100.00,164670
13-Feb-17,53500.00,53500.00,51700.00,52200.00,180497
10-Feb-17,51600.00,53600.00,51200.00,53500.00,485752
9-Feb-17,51500.00,51800.00,50700.00,51100.00,143276
8-Feb-17,51900.00,52600.00,51300.00,51600.00,127604
7-Feb-17,53000.00,53200.00,51700.00,51900.00,154035
6-Feb-17,52200.00,54000.00,51900.00,53000.00,335902
3-Feb-17,49850.00,52200.00,49750.00,51900.00,341413
2-Feb-17,51800.00,52300.00,49150.00,49900.00,302484
1-Feb-17,52000.00,52200.00,51300.00,52000.00,120758
31-Jan-17,50900.00,52500.00,50900.00,52000.00,242414
26-Jan-17,49900.00,51200.00,49600.00,50900.00,146589
25-Jan-17,50600.00,50900.00,49550.00,50000.00,125303
24-Jan-17,50500.00,50500.00,49950.00,50400.00,86686
23-Jan-17,49650.00,50900.00,49650.00,50500.00,163879
20-Jan-17,48750.00,50000.00,48650.00,49650.00,189717
19-Jan-17,48700.00,49300.00,48500.00,48750.00,122997
18-Jan-17,49500.00,49550.00,48700.00,49100.00,76907
17-Jan-17,49500.00,49600.00,48450.00,49550.00,121458
16-Jan-17,49650.00,49800.00,49000.00,49350.00,96081
13-Jan-17,49300.00,49750.00,49000.00,49500.00,110577
12-Jan-17,49900.00,49900.00,48650.00,49350.00,116190
11-Jan-17,47850.00,50000.00,47850.00,49400.00,301098
10-Jan-17,47250.00,48450.00,46750.00,48000.00,175743
9-Jan-17,47800.00,48200.00,47200.00,47200.00,70138
6-Jan-17,47650.00,48300.00,47500.00,48200.00,105993
5-Jan-17,46500.00,47950.00,46500.00,47650.00,130756
4-Jan-17,46900.00,47050.00,46400.00,46550.00,149830
3-Jan-17,47000.00,47200.00,46500.00,46900.00,112348
2-Jan-17,47600.00,47750.00,46900.00,47000.00,71388
29-Dec-16,47400.00,47600.00,46950.00,47600.00,68779
28-Dec-16,47150.00,47700.00,47100.00,47200.00,74378
27-Dec-16,47700.00,48100.00,47400.00,47900.00,74185
26-Dec-16,47200.00,48000.00,47200.00,47700.00,63689
23-Dec-16,47050.00,47700.00,46950.00,47200.00,90883
22-Dec-16,47400.00,47600.00,46750.00,47050.00,108477
21-Dec-16,48400.00,48600.00,47500.00,47600.00,109197
20-Dec-16,48800.00,48900.00,48200.00,48700.00,69323
19-Dec-16,48600.00,48850.00,47900.00,48750.00,96940
16-Dec-16,48000.00,48750.00,48000.00,48600.00,87272
15-Dec-16,48200.00,48400.00,47900.00,48350.00,84374
14-Dec-16,47400.00,48400.00,47400.00,48250.00,137111
13-Dec-16,47500.00,47550.00,46950.00,47400.00,99271
12-Dec-16,47200.00,47850.00,47200.00,47450.00,80862
9-Dec-16,47150.00,47500.00,47000.00,47200.00,104530
8-Dec-16,47400.00,47700.00,47200.00,47450.00,132730
7-Dec-16,47000.00,47400.00,46850.00,47200.00,116271
6-Dec-16,47500.00,47500.00,46750.00,46950.00,90615
5-Dec-16,47100.00,47250.00,46200.00,46650.00,124461
2-Dec-16,47250.00,47900.00,47250.00,47450.00,82941
1-Dec-16,47000.00,48200.00,46650.00,47500.00,133800
30-Nov-16,47150.00,47600.00,46850.00,47300.00,169446
29-Nov-16,45950.00,47150.00,45850.00,47150.00,142487
28-Nov-16,46300.00,46300.00,45800.00,45950.00,77581
25-Nov-16,45750.00,46300.00,45400.00,46150.00,92770
24-Nov-16,45850.00,46050.00,45500.00,45950.00,120018
23-Nov-16,46100.00,46350.00,45700.00,45700.00,115820
22-Nov-16,46600.00,46900.00,46050.00,46300.00,121615
21-Nov-16,46700.00,46950.00,46300.00,46600.00,98067
18-Nov-16,46800.00,47050.00,46050.00,46250.00,130389
17-Nov-16,46850.00,47100.00,46750.00,46750.00,119400
16-Nov-16,47150.00,47400.00,46600.00,47050.00,195016
15-Nov-16,47700.00,47700.00,46800.00,46850.00,210337
14-Nov-16,48750.00,48750.00,47700.00,47750.00,156560
11-Nov-16,49750.00,49800.00,48300.00,48700.00,255003
10-Nov-16,49450.00,49700.00,48500.00,49650.00,255720
9-Nov-16,49900.00,49900.00,47250.00,49300.00,305686
8-Nov-16,49100.00,49900.00,49000.00,49500.00,165419
7-Nov-16,49350.00,49500.00,48600.00,49200.00,131767
4-Nov-16,48450.00,49400.00,48450.00,49050.00,199366
3-Nov-16,48200.00,48500.00,47450.00,48500.00,140201
2-Nov-16,47300.00,48500.00,46800.00,47750.00,152972
1-Nov-16,48200.00,48700.00,47250.00,47450.00,162107
31-Oct-16,48750.00,49000.00,48350.00,48800.00,253337
28-Oct-16,46500.00,48900.00,46500.00,48750.00,611362
27-Oct-16,44800.00,46000.00,44700.00,45950.00,130903
26-Oct-16,45200.00,45450.00,44350.00,44700.00,190246
25-Oct-16,45950.00,46000.00,45450.00,45500.00,98926
24-Oct-16,45700.00,46200.00,45700.00,46150.00,86063
21-Oct-16,46200.00,46750.00,45900.00,45950.00,98797
20-Oct-16,46600.00,46650.00,45950.00,46400.00,121506
19-Oct-16,46900.00,47500.00,46250.00,46500.00,219806
18-Oct-16,45600.00,46950.00,45250.00,46950.00,147350
17-Oct-16,46250.00,46350.00,45050.00,45900.00,249214
14-Oct-16,46800.00,47100.00,45650.00,46150.00,313498
13-Oct-16,48000.00,48300.00,46700.00,46950.00,172145
12-Oct-16,48250.00,48700.00,47750.00,48300.00,135764
11-Oct-16,47900.00,48300.00,47350.00,47650.00,100415
10-Oct-16,46900.00,47900.00,46750.00,47600.00,156914
7-Oct-16,48750.00,49000.00,46600.00,46900.00,324219
6-Oct-16,48950.00,49200.00,48750.00,48800.00,160621
5-Oct-16,49050.00,49500.00,48300.00,49250.00,172945
4-Oct-16,48750.00,49200.00,48600.00,49050.00,135874
30-Sep-16,49700.00,50200.00,48550.00,49200.00,200839
29-Sep-16,50400.00,50600.00,49750.00,49900.00,169150
28-Sep-16,49100.00,50700.00,49100.00,50300.00,401028
27-Sep-16,48800.00,49400.00,48300.00,48900.00,179700
26-Sep-16,49200.00,49500.00,48450.00,49350.00,220658
23-Sep-16,47500.00,49300.00,47350.00,49250.00,326495
22-Sep-16,46500.00,47200.00,46500.00,46950.00,146078
21-Sep-16,46150.00,46700.00,46000.00,46350.00,124617
20-Sep-16,45900.00,46600.00,45750.00,46450.00,129411
19-Sep-16,45600.00,46300.00,45250.00,46250.00,218072
13-Sep-16,45750.00,46500.00,45750.00,45950.00,128734
12-Sep-16,45850.00,46450.00,45350.00,45600.00,201286
9-Sep-16,47400.00,47400.00,46100.00,46450.00,455947
8-Sep-16,47850.00,48000.00,47150.00,47700.00,135493
7-Sep-16,47550.00,48200.00,47550.00,47700.00,159469
6-Sep-16,47900.00,48250.00,47700.00,47700.00,110070
5-Sep-16,47600.00,48200.00,47300.00,47700.00,117898
2-Sep-16,48000.00,48000.00,47100.00,47300.00,161590
1-Sep-16,47150.00,48100.00,47150.00,47750.00,152030
31-Aug-16,48650.00,48650.00,46850.00,47100.00,426177
30-Aug-16,49550.00,49900.00,48650.00,48650.00,122210
29-Aug-16,49100.00,49800.00,48750.00,49600.00,174439
26-Aug-16,48300.00,49400.00,48200.00,49100.00,152498
25-Aug-16,49100.00,49100.00,48150.00,48300.00,219373
24-Aug-16,48950.00,49150.00,48350.00,48750.00,140964
23-Aug-16,48300.00,48950.00,48000.00,48750.00,198737
22-Aug-16,49250.00,49250.00,47500.00,48000.00,310689
19-Aug-16,49400.00,50500.00,49100.00,49250.00,258646
18-Aug-16,49550.00,49700.00,49000.00,49200.00,120803
17-Aug-16,49850.00,50100.00,49350.00,49450.00,176415
16-Aug-16,50400.00,50700.00,49600.00,50300.00,217151
12-Aug-16,49000.00,50900.00,48450.00,50400.00,480992
11-Aug-16,50700.00,51000.00,49800.00,49900.00,141096
