Date,Open,High,Low,Close,Volume
31-Mar-17,136000.00,137500.00,134500.00,135500.00,158433
30-Mar-17,133000.00,137000.00,132000.00,135500.00,257056
29-Mar-17,132500.00,134000.00,130000.00,133500.00,202840
28-Mar-17,126500.00,131500.00,126500.00,130500.00,235892
27-Mar-17,128000.00,128000.00,125000.00,125500.00,112150
24-Mar-17,125000.00,128000.00,125000.00,127000.00,149858
23-Mar-17,123000.00,126500.00,122500.00,124500.00,169945
22-Mar-17,124500.00,125000.00,119000.00,123000.00,302161
21-Mar-17,126000.00,127500.00,124000.00,125000.00,181629
20-Mar-17,126000.00,127000.00,125000.00,126000.00,128977
17-Mar-17,129000.00,129000.00,125000.00,126000.00,217084
16-Mar-17,126500.00,129000.00,126500.00,129000.00,103290
15-Mar-17,128000.00,128500.00,126000.00,126000.00,113289
14-Mar-17,129000.00,130000.00,127000.00,128000.00,188970
13-Mar-17,129500.00,130000.00,126500.00,129000.00,100370
10-Mar-17,131000.00,132500.00,128500.00,129000.00,112947
9-Mar-17,130500.00,132500.00,130000.00,130500.00,94812
8-Mar-17,132000.00,132500.00,129500.00,131000.00,144578
7-Mar-17,131000.00,132500.00,129000.00,132000.00,115261
6-Mar-17,130000.00,131000.00,128500.00,130500.00,96184
3-Mar-17,130500.00,131500.00,129000.00,129000.00,89732
2-Mar-17,133000.00,133500.00,130000.00,131000.00,121439
28-Feb-17,129500.00,132500.00,128000.00,131500.00,122457
27-Feb-17,131000.00,131000.00,128500.00,129000.00,52275
24-Feb-17,133000.00,133500.00,129000.00,130500.00,138605
23-Feb-17,132500.00,134000.00,131500.00,132500.00,134573
22-Feb-17,133500.00,134000.00,131500.00,132000.00,121256
21-Feb-17,132000.00,134500.00,131000.00,134000.00,114190
20-Feb-17,133000.00,133500.00,131000.00,131500.00,112169
17-Feb-17,130000.00,133000.00,129000.00,131000.00,149436
16-Feb-17,132000.00,132000.00,128500.00,129500.00,194479
15-Feb-17,128500.00,131500.00,127500.00,130500.00,214105
14-Feb-17,130500.00,131000.00,128000.00,128000.00,151371
13-Feb-17,128500.00,131000.00,127500.00,130500.00,126397
10-Feb-17,128500.00,130000.00,126500.00,128000.00,187006
9-Feb-17,126500.00,129500.00,126000.00,128500.00,134082
8-Feb-17,127000.00,127000.00,124000.00,126000.00,286916
7-Feb-17,133000.00,133500.00,126500.00,128000.00,380466
6-Feb-17,133500.00,135000.00,132000.00,133000.00,154079
3-Feb-17,137500.00,137500.00,131000.00,133000.00,336750
2-Feb-17,135000.00,138000.00,134000.00,138000.00,169796
1-Feb-17,136000.00,138000.00,134000.00,134500.00,169686
31-Jan-17,137000.00,137500.00,134500.00,135500.00,102563
26-Jan-17,136000.00,139000.00,135500.00,138000.00,112954
25-Jan-17,139500.00,140500.00,135000.00,135500.00,197215
24-Jan-17,138500.00,140000.00,137500.00,139500.00,95377
23-Jan-17,139000.00,140500.00,137500.00,138500.00,142471
20-Jan-17,145000.00,145000.00,138500.00,139500.00,243464
19-Jan-17,143500.00,145500.00,142500.00,145000.00,135653
18-Jan-17,141500.00,144000.00,141500.00,144000.00,138782
17-Jan-17,142500.00,144500.00,141000.00,142500.00,150997
16-Jan-17,143500.00,144000.00,140500.00,142000.00,195499
13-Jan-17,143500.00,144000.00,142000.00,143500.00,105740
12-Jan-17,142500.00,144000.00,141500.00,144000.00,166117
11-Jan-17,139000.00,142000.00,138500.00,142000.00,185106
10-Jan-17,139500.00,140000.00,136000.00,138500.00,286547
9-Jan-17,140500.00,141000.00,138000.00,139500.00,194271
6-Jan-17,142500.00,145000.00,139500.00,141000.00,284885
5-Jan-17,144500.00,145000.00,141500.00,142000.00,188371
4-Jan-17,148000.00,149000.00,144500.00,145000.00,119086
3-Jan-17,147500.00,149500.00,146000.00,149000.00,99681
2-Jan-17,145000.00,148500.00,143500.00,146500.00,67078
29-Dec-16,144500.00,146000.00,141500.00,145500.00,129423
28-Dec-16,148000.00,148500.00,144500.00,145500.00,124622
27-Dec-16,147000.00,150500.00,146500.00,150000.00,136839
26-Dec-16,147500.00,148000.00,143000.00,146500.00,181957
23-Dec-16,148500.00,150000.00,147000.00,148500.00,90591
22-Dec-16,150000.00,150000.00,147500.00,148500.00,66903
21-Dec-16,148500.00,150000.00,148000.00,149500.00,79376
20-Dec-16,150000.00,150500.00,146500.00,148500.00,115309
19-Dec-16,151000.00,151000.00,149000.00,149500.00,74710
16-Dec-16,152000.00,152500.00,149000.00,150500.00,111098
15-Dec-16,151000.00,153500.00,150000.00,152000.00,97593
14-Dec-16,153000.00,153000.00,149000.00,151500.00,166826
13-Dec-16,151500.00,155000.00,150500.00,153000.00,143645
12-Dec-16,152000.00,152500.00,150000.00,151000.00,123887
9-Dec-16,151000.00,153500.00,150500.00,151000.00,108799
8-Dec-16,150500.00,155000.00,150000.00,153500.00,192018
7-Dec-16,149500.00,152000.00,148500.00,150000.00,117083
6-Dec-16,147500.00,151500.00,147000.00,149500.00,212266
5-Dec-16,143000.00,147500.00,141500.00,146000.00,234112
2-Dec-16,141500.00,143500.00,140500.00,142000.00,107135
1-Dec-16,139500.00,142000.00,137500.00,141000.00,101155
30-Nov-16,141500.00,142000.00,138500.00,139000.00,113695
29-Nov-16,141000.00,142000.00,140000.00,141000.00,68539
28-Nov-16,140000.00,142500.00,137000.00,140500.00,102133
25-Nov-16,141500.00,143000.00,139500.00,140000.00,81246
