Date,Open,High,Low,Close,Volume
31-Mar-17,354500.00,355000.00,351000.00,354000.00,21109
30-Mar-17,355500.00,355500.00,351000.00,354000.00,21549
29-Mar-17,356000.00,356000.00,351500.00,354000.00,11355
28-Mar-17,350000.00,356000.00,350000.00,355500.00,19003
27-Mar-17,354500.00,355000.00,349000.00,351000.00,16997
24-Mar-17,359000.00,359000.00,353000.00,355500.00,27317
23-Mar-17,356000.00,361000.00,355500.00,360000.00,23112
22-Mar-17,359000.00,359000.00,352000.00,352000.00,25895
21-Mar-17,355000.00,363000.00,352500.00,360000.00,44113
20-Mar-17,355500.00,355500.00,351000.00,352000.00,10828
17-Mar-17,355500.00,355500.00,353000.00,355000.00,21285
16-Mar-17,355500.00,356000.00,350500.00,351500.00,21716
15-Mar-17,354500.00,355000.00,349000.00,351000.00,39488
14-Mar-17,345500.00,357500.00,345000.00,353500.00,68547
13-Mar-17,344500.00,347000.00,343500.00,346000.00,16630
10-Mar-17,338500.00,346500.00,338500.00,343500.00,23306
9-Mar-17,341500.00,343500.00,339500.00,339500.00,14153
8-Mar-17,343500.00,344500.00,340000.00,343500.00,18334
7-Mar-17,336000.00,347500.00,334500.00,343000.00,33335
6-Mar-17,340500.00,342000.00,332000.00,336000.00,27415
3-Mar-17,340500.00,345500.00,339500.00,341500.00,19157
2-Mar-17,348000.00,348500.00,340500.00,341000.00,23344
28-Feb-17,347000.00,347500.00,341000.00,346500.00,29302
27-Feb-17,344000.00,346500.00,340500.00,346000.00,17855
24-Feb-17,341500.00,344500.00,340500.00,344500.00,12680
23-Feb-17,341000.00,343000.00,338500.00,341500.00,22794
22-Feb-17,344500.00,345000.00,340000.00,342000.00,16441
21-Feb-17,338500.00,345000.00,338000.00,344500.00,22732
20-Feb-17,339500.00,341000.00,334500.00,338500.00,11308
17-Feb-17,338000.00,340500.00,336000.00,339500.00,13898
16-Feb-17,338500.00,342500.00,337000.00,340500.00,33250
15-Feb-17,331500.00,338500.00,331500.00,337000.00,20501
14-Feb-17,335000.00,335500.00,328000.00,334000.00,20215
13-Feb-17,330000.00,335500.00,329000.00,334500.00,24361
10-Feb-17,328000.00,329500.00,326000.00,328000.00,22776
9-Feb-17,321000.00,328500.00,320500.00,326000.00,30673
8-Feb-17,327000.00,328500.00,318000.00,323000.00,39992
7-Feb-17,315000.00,328000.00,315000.00,327500.00,36489
6-Feb-17,324000.00,324500.00,308000.00,318000.00,71481
3-Feb-17,339500.00,339500.00,321000.00,322000.00,107171
2-Feb-17,347500.00,348500.00,343000.00,343000.00,21230
1-Feb-17,346000.00,348500.00,345000.00,347000.00,18055
31-Jan-17,345500.00,349000.00,343000.00,347500.00,29546
26-Jan-17,344000.00,348000.00,339500.00,345500.00,19953
25-Jan-17,345000.00,345000.00,341000.00,341500.00,14556
24-Jan-17,337500.00,346000.00,336500.00,344500.00,36068
