Date,Open,High,Low,Close,Volume
31-Mar-17,59000.00,60400.00,58900.00,59600.00,2113
30-Mar-17,59400.00,59900.00,58700.00,59500.00,3569
29-Mar-17,60700.00,60700.00,59500.00,59600.00,2386
28-Mar-17,59600.00,60800.00,58600.00,60700.00,3236
27-Mar-17,60100.00,60600.00,58900.00,59300.00,5074
24-Mar-17,61500.00,61500.00,60100.00,60100.00,6023
23-Mar-17,61000.00,62200.00,60800.00,61500.00,2008
22-Mar-17,61000.00,61800.00,60100.00,61800.00,5362
21-Mar-17,61600.00,62600.00,60700.00,61000.00,4216
20-Mar-17,62700.00,63000.00,61000.00,62600.00,1712
17-Mar-17,62000.00,63000.00,60400.00,62700.00,4742
16-Mar-17,61600.00,62900.00,60500.00,62000.00,4244
15-Mar-17,62000.00,62400.00,61200.00,61400.00,2503
14-Mar-17,63000.00,63100.00,61300.00,62000.00,3656
13-Mar-17,64600.00,64600.00,62400.00,62400.00,4972
10-Mar-17,63900.00,65100.00,62400.00,64700.00,7587
9-Mar-17,63900.00,64200.00,63300.00,63900.00,1885
8-Mar-17,63600.00,64800.00,63600.00,63900.00,2650
7-Mar-17,63900.00,64900.00,63400.00,64800.00,1171
6-Mar-17,63300.00,64500.00,63300.00,63900.00,916
3-Mar-17,64800.00,65000.00,64100.00,64100.00,3208
2-Mar-17,64600.00,65200.00,64600.00,64900.00,2616
28-Feb-17,65100.00,65400.00,64800.00,65200.00,776
27-Feb-17,65300.00,65800.00,64600.00,65100.00,2751
24-Feb-17,65000.00,65900.00,65000.00,65800.00,6493
23-Feb-17,65600.00,66100.00,64500.00,66000.00,4535
22-Feb-17,66100.00,66500.00,65500.00,66100.00,1889
21-Feb-17,66500.00,66500.00,65700.00,66300.00,2333
20-Feb-17,66700.00,66700.00,65400.00,66200.00,4221
17-Feb-17,65900.00,66000.00,65200.00,65900.00,2330
16-Feb-17,65300.00,65900.00,64800.00,65300.00,2459
15-Feb-17,65000.00,65600.00,64100.00,65300.00,2959
14-Feb-17,64900.00,65400.00,64200.00,64600.00,2767
13-Feb-17,64500.00,64800.00,64200.00,64800.00,2721
