Date,Open,High,Low,Close,Volume
31-Mar-17,97500.00,98000.00,97000.00,97500.00,498578
30-Mar-17,97000.00,97500.00,96500.00,97000.00,392059
29-Mar-17,96400.00,97300.00,96000.00,96600.00,295034
28-Mar-17,96500.00,96900.00,96100.00,96400.00,485828
27-Mar-17,95600.00,96400.00,95300.00,95900.00,554737
24-Mar-17,95600.00,96400.00,95600.00,96000.00,407076
23-Mar-17,95900.00,95900.00,94900.00,95600.00,465457
22-Mar-17,95700.00,96400.00,95500.00,95800.00,721464
21-Mar-17,96000.00,96600.00,95300.00,95500.00,826501
20-Mar-17,97500.00,97800.00,95900.00,96800.00,381123
17-Mar-17,97000.00,97500.00,95100.00,97500.00,974901
16-Mar-17,101000.00,101500.00,96500.00,97000.00,1342658
15-Mar-17,102000.00,102500.00,100500.00,101500.00,222088
14-Mar-17,102500.00,103500.00,101500.00,102000.00,331254
13-Mar-17,102000.00,103500.00,101500.00,102500.00,262479
10-Mar-17,102500.00,103500.00,101500.00,101500.00,251999
9-Mar-17,102500.00,104000.00,102000.00,102500.00,542632
8-Mar-17,102000.00,103000.00,101500.00,102000.00,287985
7-Mar-17,101500.00,102000.00,101000.00,102000.00,259237
6-Mar-17,102500.00,102500.00,101000.00,102000.00,275715
3-Mar-17,101500.00,102500.00,101500.00,102000.00,396410
2-Mar-17,102000.00,103000.00,100500.00,101000.00,491539
28-Feb-17,102000.00,103000.00,102000.00,102500.00,400827
27-Feb-17,102000.00,103000.00,101000.00,102500.00,365773
24-Feb-17,101500.00,102500.00,100500.00,101500.00,342655
23-Feb-17,102000.00,103000.00,101000.00,101500.00,411867
22-Feb-17,100500.00,102000.00,100000.00,102000.00,237669
21-Feb-17,101000.00,102000.00,100000.00,101000.00,282907
20-Feb-17,101500.00,102000.00,100500.00,100500.00,251552
17-Feb-17,102500.00,103000.00,101000.00,101000.00,311949
16-Feb-17,104000.00,104500.00,102500.00,103000.00,252026
15-Feb-17,103500.00,105500.00,103000.00,104000.00,325150
14-Feb-17,104000.00,104000.00,103000.00,103500.00,203504
13-Feb-17,103500.00,105000.00,102500.00,103500.00,234557
10-Feb-17,102000.00,103000.00,101500.00,103000.00,218963
9-Feb-17,102000.00,103000.00,101000.00,101000.00,215783
8-Feb-17,102500.00,103000.00,101000.00,102500.00,262990
7-Feb-17,103000.00,103000.00,101500.00,103000.00,314949
6-Feb-17,101000.00,102500.00,100000.00,102000.00,297922
3-Feb-17,97700.00,100000.00,97700.00,99800.00,343353
2-Feb-17,98900.00,99300.00,97100.00,97100.00,531452
1-Feb-17,100500.00,101000.00,99000.00,99600.00,284204
31-Jan-17,100000.00,101500.00,99600.00,100500.00,318334
26-Jan-17,101500.00,102000.00,100000.00,100500.00,233679
25-Jan-17,102500.00,103000.00,100000.00,101000.00,207130
24-Jan-17,102000.00,103000.00,101500.00,102500.00,261158
