Date,Open,High,Low,Close,Volume
31-Mar-17,32100.00,32100.00,31750.00,31900.00,237075
30-Mar-17,32000.00,32250.00,31700.00,32050.00,350776
29-Mar-17,32550.00,32550.00,31750.00,31900.00,882579
28-Mar-17,33100.00,33250.00,32100.00,32450.00,815486
27-Mar-17,33150.00,33400.00,32850.00,33100.00,459147
24-Mar-17,33350.00,33500.00,33100.00,33250.00,518349
23-Mar-17,32900.00,33550.00,32650.00,33250.00,1210792
22-Mar-17,32550.00,33000.00,32500.00,32800.00,533646
21-Mar-17,32600.00,32900.00,32500.00,32550.00,603580
20-Mar-17,32100.00,32650.00,32000.00,32400.00,400913
17-Mar-17,32500.00,32800.00,32050.00,32050.00,616658
16-Mar-17,32700.00,32900.00,32450.00,32650.00,743443
15-Mar-17,31750.00,32900.00,31600.00,32700.00,1304412
14-Mar-17,31850.00,32100.00,31500.00,31600.00,534702
13-Mar-17,32100.00,32300.00,31850.00,31850.00,474337
10-Mar-17,31950.00,32200.00,31700.00,32200.00,761399
9-Mar-17,32000.00,32300.00,31800.00,31800.00,1026850
8-Mar-17,30800.00,31900.00,30750.00,31600.00,1288474
7-Mar-17,30900.00,30950.00,30750.00,30750.00,323268
6-Mar-17,31200.00,31300.00,30700.00,30950.00,405923
3-Mar-17,30900.00,31100.00,30750.00,31050.00,729872
2-Mar-17,30600.00,31100.00,30550.00,30750.00,855768
28-Feb-17,30550.00,30550.00,30350.00,30450.00,384081
27-Feb-17,30500.00,30550.00,30300.00,30450.00,180244
24-Feb-17,30500.00,30550.00,30200.00,30450.00,353026
23-Feb-17,30500.00,30650.00,30300.00,30450.00,499463
22-Feb-17,30250.00,30550.00,30250.00,30350.00,477445
21-Feb-17,30350.00,30450.00,30050.00,30250.00,370552
20-Feb-17,30050.00,30500.00,30000.00,30350.00,442089
17-Feb-17,30000.00,30200.00,29850.00,30100.00,355315
16-Feb-17,30350.00,30450.00,29900.00,29950.00,381814
15-Feb-17,30600.00,30700.00,30250.00,30250.00,304065
14-Feb-17,30650.00,30750.00,30500.00,30650.00,282041
13-Feb-17,30400.00,30600.00,30200.00,30600.00,321616
10-Feb-17,30650.00,30650.00,30150.00,30200.00,492521
