Date,Open,High,Low,Close,Volume
31-Mar-17,31700.00,32500.00,31700.00,32200.00,279985
30-Mar-17,31700.00,32100.00,31350.00,31700.00,240770
29-Mar-17,31300.00,32150.00,31200.00,31600.00,593291
28-Mar-17,30950.00,31000.00,30600.00,30650.00,158540
27-Mar-17,30300.00,30750.00,29950.00,30600.00,136758
24-Mar-17,30850.00,30950.00,30100.00,30300.00,225892
23-Mar-17,29900.00,31200.00,29850.00,30900.00,428139
22-Mar-17,29900.00,30000.00,29450.00,29500.00,157003
21-Mar-17,30350.00,30350.00,29650.00,29850.00,147352
20-Mar-17,30550.00,30550.00,29900.00,30000.00,157865
17-Mar-17,30700.00,30950.00,30400.00,30600.00,196736
16-Mar-17,30450.00,30750.00,30150.00,30550.00,200428
15-Mar-17,30500.00,30750.00,29950.00,30050.00,264008
14-Mar-17,30750.00,30850.00,30300.00,30500.00,192309
13-Mar-17,31050.00,31300.00,30550.00,30650.00,239541
10-Mar-17,31300.00,31550.00,30800.00,31100.00,202631
9-Mar-17,32000.00,32150.00,31250.00,31450.00,207498
8-Mar-17,32550.00,32700.00,32000.00,32150.00,206179
7-Mar-17,32100.00,33200.00,31950.00,32850.00,241732
6-Mar-17,32000.00,32350.00,31400.00,32100.00,125646
3-Mar-17,31800.00,32400.00,31700.00,32250.00,106502
2-Mar-17,33100.00,33100.00,31900.00,32100.00,157224
28-Feb-17,31900.00,32900.00,31700.00,32600.00,190946
27-Feb-17,32200.00,32250.00,31650.00,31950.00,118497
24-Feb-17,32600.00,32850.00,31900.00,32000.00,198778
23-Feb-17,32700.00,32850.00,32200.00,32600.00,189867
22-Feb-17,33350.00,33400.00,32800.00,32800.00,160480
21-Feb-17,33200.00,33700.00,33100.00,33300.00,142996
20-Feb-17,33900.00,34150.00,32900.00,33200.00,154004
17-Feb-17,33950.00,34650.00,33800.00,34100.00,127584
16-Feb-17,34700.00,34700.00,33700.00,34550.00,135157
15-Feb-17,34600.00,34950.00,34350.00,34500.00,200442
14-Feb-17,35200.00,35200.00,34300.00,35050.00,143756
13-Feb-17,35000.00,35200.00,34600.00,35100.00,127691
10-Feb-17,34550.00,34950.00,34250.00,34900.00,119510
9-Feb-17,34850.00,34850.00,34200.00,34200.00,147624
8-Feb-17,34400.00,35250.00,34150.00,34800.00,207067
7-Feb-17,34100.00,34800.00,34000.00,34650.00,224409
6-Feb-17,33950.00,34300.00,33500.00,34250.00,293277
3-Feb-17,33100.00,34300.00,33100.00,33700.00,945970
2-Feb-17,32350.00,32600.00,32200.00,32350.00,198569
1-Feb-17,32300.00,32800.00,32250.00,32350.00,169730
31-Jan-17,31800.00,32300.00,31650.00,32300.00,124048
26-Jan-17,32600.00,32650.00,31800.00,31800.00,176168
25-Jan-17,32300.00,32750.00,31650.00,32650.00,160744
24-Jan-17,32650.00,32700.00,31750.00,32250.00,138824
23-Jan-17,32400.00,33100.00,32250.00,32700.00,120977
20-Jan-17,32200.00,32800.00,31850.00,32350.00,91702
19-Jan-17,32300.00,32900.00,31900.00,32200.00,148659
18-Jan-17,32600.00,32950.00,31850.00,32600.00,136044
17-Jan-17,31850.00,32850.00,31800.00,32650.00,177491
16-Jan-17,32100.00,32250.00,31650.00,32000.00,119666
13-Jan-17,31750.00,31900.00,31350.00,31900.00,100408
12-Jan-17,31550.00,31800.00,31000.00,31550.00,126933
11-Jan-17,30400.00,32000.00,30400.00,31500.00,334428
10-Jan-17,30450.00,30750.00,30350.00,30400.00,104574
9-Jan-17,30150.00,30700.00,29800.00,30700.00,88017
6-Jan-17,30200.00,30600.00,30150.00,30250.00,90770
5-Jan-17,30000.00,30500.00,29800.00,30350.00,80030
4-Jan-17,30000.00,30350.00,29900.00,30050.00,99859
3-Jan-17,29650.00,30200.00,29300.00,30000.00,95846
2-Jan-17,29450.00,29600.00,28950.00,29550.00,48398
29-Dec-16,29300.00,29500.00,29200.00,29250.00,49585
28-Dec-16,29450.00,29700.00,29200.00,29200.00,98757
27-Dec-16,29800.00,29850.00,29300.00,29750.00,97773
26-Dec-16,30150.00,30250.00,29650.00,29700.00,78213
23-Dec-16,30050.00,30300.00,29400.00,30050.00,202965
22-Dec-16,30600.00,30650.00,30250.00,30350.00,56806
21-Dec-16,30600.00,30650.00,30250.00,30550.00,79873
20-Dec-16,30550.00,30550.00,29950.00,30450.00,135530
19-Dec-16,30900.00,31250.00,30300.00,30500.00,145271
16-Dec-16,31500.00,31750.00,30850.00,31100.00,138211
15-Dec-16,30950.00,31750.00,30650.00,31700.00,151169
14-Dec-16,31600.00,31600.00,30400.00,31300.00,274292
13-Dec-16,32800.00,32850.00,31500.00,31600.00,230927
