Date,Open,High,Low,Close,Volume
27-Dec-16,65700.00,67500.00,65700.00,67500.00,269363
26-Dec-16,67500.00,67500.00,66500.00,67000.00,55880
23-Dec-16,67200.00,67800.00,66900.00,67500.00,103297
22-Dec-16,67300.00,67600.00,66500.00,67100.00,78204
21-Dec-16,66000.00,67200.00,65900.00,67200.00,121668
20-Dec-16,65400.00,66500.00,65400.00,65600.00,61578
19-Dec-16,63900.00,65900.00,63900.00,65300.00,94971
16-Dec-16,63400.00,64800.00,63400.00,64400.00,132027
15-Dec-16,62500.00,64400.00,62500.00,64100.00,108793
14-Dec-16,64000.00,64000.00,62300.00,62400.00,55481
13-Dec-16,63200.00,64000.00,63000.00,63700.00,63667
12-Dec-16,64000.00,64300.00,62700.00,62800.00,48657
9-Dec-16,63100.00,64200.00,62500.00,63300.00,76214
8-Dec-16,61800.00,64000.00,61600.00,64000.00,123780
7-Dec-16,61400.00,62000.00,61100.00,61800.00,70758
6-Dec-16,59300.00,61700.00,59300.00,61400.00,72329
5-Dec-16,59300.00,59400.00,58300.00,59200.00,23716
2-Dec-16,58100.00,59400.00,58100.00,58700.00,38910
1-Dec-16,58100.00,58500.00,57600.00,58100.00,36959
30-Nov-16,58200.00,58200.00,57100.00,58100.00,41583
29-Nov-16,57000.00,58200.00,57000.00,58000.00,72013
28-Nov-16,56400.00,57400.00,56100.00,57300.00,65636
25-Nov-16,55600.00,56300.00,55100.00,56100.00,68804
24-Nov-16,59800.00,59900.00,55300.00,55600.00,204648
23-Nov-16,58600.00,59800.00,58600.00,59600.00,75822
22-Nov-16,58500.00,59500.00,58400.00,59100.00,79921
21-Nov-16,59900.00,59900.00,58300.00,58300.00,61533
18-Nov-16,60600.00,60600.00,59500.00,59600.00,51394
17-Nov-16,61000.00,61200.00,60400.00,60600.00,32293
16-Nov-16,61700.00,62100.00,60800.00,61000.00,60249
15-Nov-16,60500.00,61800.00,59900.00,61800.00,78754
14-Nov-16,60100.00,61000.00,59400.00,60200.00,91593
11-Nov-16,61900.00,62000.00,60100.00,60500.00,102563
10-Nov-16,63100.00,63400.00,61700.00,62000.00,165329
9-Nov-16,64200.00,64500.00,60600.00,61800.00,98358
8-Nov-16,63400.00,64400.00,63400.00,64200.00,80350
7-Nov-16,62500.00,63300.00,61600.00,63000.00,65565
4-Nov-16,62400.00,62400.00,61500.00,61900.00,46190
3-Nov-16,60500.00,62400.00,60500.00,62100.00,52452
2-Nov-16,61500.00,62400.00,61000.00,61300.00,48659
1-Nov-16,61700.00,62500.00,61300.00,61700.00,51403
31-Oct-16,61000.00,62500.00,60000.00,62200.00,41373
28-Oct-16,61800.00,62200.00,61200.00,61600.00,40191
27-Oct-16,61400.00,62800.00,61300.00,62500.00,42397
26-Oct-16,61700.00,62500.00,60700.00,61500.00,78073
25-Oct-16,63000.00,63600.00,62300.00,62900.00,54473
24-Oct-16,64000.00,64400.00,63500.00,63600.00,65415
21-Oct-16,63700.00,64000.00,63200.00,63400.00,53658
20-Oct-16,62900.00,64600.00,62900.00,63600.00,179397
19-Oct-16,62100.00,62800.00,61500.00,61900.00,90467
18-Oct-16,60600.00,62100.00,60600.00,62100.00,103789
17-Oct-16,60000.00,60800.00,59500.00,60700.00,80612
14-Oct-16,59700.00,60200.00,59300.00,59400.00,47859
13-Oct-16,60200.00,60500.00,59500.00,59500.00,58053
12-Oct-16,59600.00,60900.00,59500.00,60500.00,51737
11-Oct-16,60500.00,60700.00,59800.00,60000.00,75208
10-Oct-16,59500.00,60600.00,59200.00,59800.00,50357
7-Oct-16,59800.00,60500.00,59200.00,59400.00,81354
6-Oct-16,60800.00,61000.00,59900.00,59900.00,97398
5-Oct-16,61000.00,61400.00,60700.00,61000.00,114323
4-Oct-16,61000.00,62000.00,60700.00,60900.00,145470
30-Sep-16,63800.00,64000.00,61900.00,62000.00,148112
29-Sep-16,64300.00,64500.00,63600.00,63800.00,85745
28-Sep-16,64900.00,65000.00,64000.00,64000.00,67694
27-Sep-16,64400.00,64700.00,63800.00,64400.00,77173
26-Sep-16,64100.00,64800.00,63700.00,64800.00,130194
23-Sep-16,64000.00,64200.00,63700.00,63800.00,111055
22-Sep-16,64200.00,64700.00,63500.00,63700.00,79028
21-Sep-16,63900.00,64300.00,63400.00,63600.00,100754
20-Sep-16,63600.00,64600.00,63500.00,63700.00,144049
19-Sep-16,65400.00,65900.00,63200.00,63500.00,312728
13-Sep-16,69400.00,69600.00,65000.00,66000.00,975636
12-Sep-16,67300.00,67700.00,65600.00,67400.00,996064
9-Sep-16,62500.00,64600.00,61700.00,64000.00,367145
8-Sep-16,66300.00,67400.00,62000.00,63400.00,838756
7-Sep-16,69000.00,69000.00,65900.00,66200.00,690959
6-Sep-16,72400.00,73500.00,69600.00,70100.00,1313098
5-Sep-16,67000.00,67900.00,66600.00,66700.00,69649
2-Sep-16,66200.00,66800.00,64900.00,66600.00,88290
1-Sep-16,64400.00,66300.00,64400.00,66000.00,101112
31-Aug-16,67100.00,67400.00,64100.00,64500.00,197529
30-Aug-16,66500.00,67700.00,66500.00,67100.00,93641
29-Aug-16,68900.00,68900.00,66200.00,66300.00,177443
26-Aug-16,69000.00,69400.00,68500.00,68700.00,81794
25-Aug-16,70500.00,70700.00,69000.00,69000.00,88800
24-Aug-16,70800.00,70900.00,69400.00,70500.00,74585
23-Aug-16,68700.00,70700.00,68700.00,70000.00,81623
22-Aug-16,69900.00,70000.00,68500.00,68700.00,139719
19-Aug-16,70400.00,70800.00,69700.00,70300.00,111725
18-Aug-16,71000.00,71400.00,69900.00,70600.00,99832
17-Aug-16,71100.00,71700.00,70500.00,70700.00,79973
16-Aug-16,71500.00,71800.00,71100.00,71200.00,89932
12-Aug-16,71400.00,72100.00,70500.00,71000.00,149292
11-Aug-16,72000.00,72700.00,71000.00,71100.00,115331
10-Aug-16,71800.00,72800.00,71700.00,72300.00,101199
9-Aug-16,70900.00,72900.00,70800.00,72200.00,152807
8-Aug-16,71700.00,72100.00,70100.00,70500.00,213438
5-Aug-16,74000.00,74000.00,72000.00,72100.00,107659
4-Aug-16,74200.00,74200.00,73000.00,74000.00,62575
3-Aug-16,72600.00,73900.00,71900.00,73200.00,86408
2-Aug-16,71500.00,73800.00,71500.00,72500.00,124120
1-Aug-16,73100.00,73300.00,71100.00,71200.00,116918
29-Jul-16,73700.00,74000.00,72600.00,72700.00,80334
28-Jul-16,74500.00,74700.00,73200.00,73300.00,92555
27-Jul-16,76300.00,76700.00,74300.00,74300.00,151355
26-Jul-16,75100.00,76600.00,75000.00,76300.00,132755
25-Jul-16,76200.00,77200.00,74600.00,75000.00,125784
22-Jul-16,75600.00,76400.00,74900.00,75700.00,387788
21-Jul-16,73700.00,73900.00,71300.00,73100.00,152099
20-Jul-16,73000.00,73500.00,72300.00,73200.00,67446
19-Jul-16,73200.00,73400.00,72200.00,73000.00,82576
18-Jul-16,71500.00,73300.00,70800.00,72700.00,129045
15-Jul-16,72700.00,73100.00,70700.00,71100.00,440453
14-Jul-16,77000.00,77200.00,75000.00,75000.00,118458
13-Jul-16,77000.00,78000.00,76000.00,76800.00,153047
12-Jul-16,75500.00,77500.00,75300.00,76800.00,186307
11-Jul-16,75800.00,75900.00,74300.00,74600.00,76692
8-Jul-16,76200.00,76400.00,73900.00,75200.00,129218
7-Jul-16,73700.00,76300.00,73400.00,76300.00,251552
6-Jul-16,72800.00,74000.00,72100.00,73000.00,124476
5-Jul-16,73200.00,73200.00,72100.00,72700.00,54393
4-Jul-16,73500.00,73800.00,72200.00,72800.00,98284
1-Jul-16,72900.00,74300.00,72600.00,73500.00,118357
30-Jun-16,72700.00,73300.00,71500.00,72000.00,87498
29-Jun-16,71800.00,73100.00,71200.00,72700.00,133745
28-Jun-16,67900.00,71600.00,67600.00,71000.00,147819
27-Jun-16,65900.00,69500.00,65800.00,68700.00,150183
24-Jun-16,72900.00,73000.00,66000.00,68000.00,424032
23-Jun-16,73300.00,73300.00,71000.00,72000.00,111982
22-Jun-16,73100.00,74500.00,73000.00,73800.00,67024
21-Jun-16,74000.00,74500.00,73300.00,73500.00,79488
20-Jun-16,72500.00,73600.00,72500.00,73500.00,89382
17-Jun-16,73900.00,74900.00,71500.00,71500.00,180948
16-Jun-16,77100.00,77700.00,72800.00,73500.00,258647
15-Jun-16,76400.00,79100.00,75500.00,77100.00,214001
14-Jun-16,78600.00,79200.00,75600.00,77100.00,238776
13-Jun-16,77000.00,79400.00,76800.00,78900.00,263261
10-Jun-16,73600.00,78800.00,72000.00,78000.00,369484
9-Jun-16,75700.00,77400.00,72200.00,73300.00,275822
8-Jun-16,74700.00,75600.00,73900.00,75600.00,152047
7-Jun-16,73700.00,75600.00,73300.00,75100.00,165186
3-Jun-16,75000.00,75100.00,72900.00,73600.00,164139
2-Jun-16,71500.00,75000.00,71000.00,74400.00,374715
1-Jun-16,70300.00,71000.00,69400.00,71000.00,99104
31-May-16,70800.00,71900.00,69800.00,69900.00,112623
30-May-16,68900.00,71500.00,68900.00,70700.00,91959
27-May-16,69300.00,70500.00,68700.00,69100.00,61539
26-May-16,69900.00,70600.00,68800.00,69600.00,71045
25-May-16,70900.00,71700.00,69400.00,69600.00,111925
24-May-16,71000.00,71900.00,70300.00,70400.00,104771
23-May-16,70200.00,71500.00,69600.00,70900.00,183849
20-May-16,65900.00,69800.00,65900.00,69600.00,199783
