Date,Open,High,Low,Close,Volume
31-Mar-17,817000.00,835000.00,811000.00,811000.00,32443
30-Mar-17,830000.00,831000.00,821000.00,823000.00,21101
29-Mar-17,821000.00,825000.00,812000.00,825000.00,16898
28-Mar-17,822000.00,834000.00,816000.00,821000.00,23237
27-Mar-17,821000.00,822000.00,808000.00,816000.00,16809
24-Mar-17,821000.00,845000.00,816000.00,821000.00,43484
23-Mar-17,806000.00,819000.00,805000.00,817000.00,25882
22-Mar-17,824000.00,824000.00,801000.00,805000.00,37602
21-Mar-17,823000.00,826000.00,817000.00,819000.00,22350
20-Mar-17,836000.00,838000.00,808000.00,812000.00,43620
17-Mar-17,824000.00,841000.00,822000.00,836000.00,23766
16-Mar-17,858000.00,865000.00,818000.00,820000.00,49112
15-Mar-17,851000.00,858000.00,846000.00,851000.00,45772
14-Mar-17,841000.00,844000.00,825000.00,844000.00,62398
13-Mar-17,804000.00,827000.00,804000.00,821000.00,49785
10-Mar-17,814000.00,820000.00,785000.00,800000.00,81116
9-Mar-17,795000.00,813000.00,790000.00,808000.00,47288
8-Mar-17,789000.00,793000.00,781000.00,785000.00,38614
7-Mar-17,786000.00,794000.00,778000.00,789000.00,66227
6-Mar-17,785000.00,793000.00,774000.00,782000.00,70703
3-Mar-17,830000.00,830000.00,781000.00,793000.00,114985
2-Mar-17,887000.00,890000.00,860000.00,864000.00,51011
28-Feb-17,878000.00,884000.00,860000.00,878000.00,37386
27-Feb-17,870000.00,885000.00,870000.00,878000.00,36695
24-Feb-17,835000.00,875000.00,835000.00,868000.00,61565
23-Feb-17,845000.00,845000.00,829000.00,835000.00,32198
22-Feb-17,850000.00,854000.00,838000.00,839000.00,26888
21-Feb-17,852000.00,855000.00,845000.00,849000.00,19523
20-Feb-17,852000.00,853000.00,842000.00,849000.00,15546
17-Feb-17,842000.00,850000.00,837000.00,850000.00,29753
16-Feb-17,837000.00,849000.00,831000.00,834000.00,27758
15-Feb-17,833000.00,848000.00,830000.00,844000.00,27066
14-Feb-17,815000.00,837000.00,815000.00,827000.00,29851
13-Feb-17,815000.00,833000.00,814000.00,820000.00,39782
10-Feb-17,833000.00,841000.00,823000.00,828000.00,37035
9-Feb-17,845000.00,848000.00,827000.00,827000.00,57751
8-Feb-17,866000.00,872000.00,840000.00,845000.00,48459
7-Feb-17,874000.00,876000.00,863000.00,873000.00,16856
6-Feb-17,865000.00,871000.00,847000.00,870000.00,28673
3-Feb-17,834000.00,861000.00,832000.00,855000.00,50793
2-Feb-17,857000.00,867000.00,833000.00,833000.00,79226
1-Feb-17,880000.00,880000.00,860000.00,862000.00,45291
31-Jan-17,865000.00,882000.00,865000.00,879000.00,41492
26-Jan-17,866000.00,880000.00,855000.00,859000.00,30565
25-Jan-17,865000.00,875000.00,843000.00,874000.00,45830
24-Jan-17,851000.00,868000.00,851000.00,863000.00,37630
23-Jan-17,865000.00,875000.00,846000.00,846000.00,25589
20-Jan-17,877000.00,886000.00,873000.00,875000.00,15168
19-Jan-17,860000.00,884000.00,857000.00,876000.00,23676
18-Jan-17,872000.00,875000.00,854000.00,857000.00,21486
17-Jan-17,873000.00,885000.00,858000.00,873000.00,21285
16-Jan-17,860000.00,879000.00,849000.00,873000.00,29683
13-Jan-17,845000.00,862000.00,831000.00,854000.00,59352
12-Jan-17,843000.00,849000.00,837000.00,845000.00,27087
11-Jan-17,850000.00,853000.00,840000.00,840000.00,33927
10-Jan-17,850000.00,855000.00,840000.00,848000.00,25282
9-Jan-17,839000.00,851000.00,835000.00,850000.00,33080
6-Jan-17,842000.00,855000.00,833000.00,850000.00,23016
5-Jan-17,843000.00,852000.00,829000.00,838000.00,39960
4-Jan-17,836000.00,852000.00,829000.00,851000.00,21222
3-Jan-17,822000.00,852000.00,818000.00,836000.00,32371
2-Jan-17,845000.00,848000.00,813000.00,817000.00,39575
29-Dec-16,852000.00,869000.00,840000.00,857000.00,20591
28-Dec-16,841000.00,863000.00,840000.00,851000.00,21906
27-Dec-16,853000.00,860000.00,846000.00,854000.00,13122
26-Dec-16,848000.00,867000.00,848000.00,858000.00,10857
23-Dec-16,827000.00,854000.00,826000.00,848000.00,18700
22-Dec-16,837000.00,847000.00,827000.00,839000.00,18625
21-Dec-16,851000.00,860000.00,838000.00,838000.00,24562
20-Dec-16,851000.00,863000.00,846000.00,851000.00,18389
19-Dec-16,865000.00,868000.00,838000.00,863000.00,35387
16-Dec-16,889000.00,889000.00,865000.00,869000.00,45282
15-Dec-16,878000.00,880000.00,863000.00,880000.00,42748
14-Dec-16,848000.00,872000.00,845000.00,866000.00,39403
13-Dec-16,859000.00,859000.00,841000.00,846000.00,30418
12-Dec-16,857000.00,862000.00,846000.00,851000.00,38192
9-Dec-16,845000.00,859000.00,828000.00,846000.00,68433
8-Dec-16,812000.00,838000.00,785000.00,838000.00,43914
7-Dec-16,818000.00,818000.00,807000.00,812000.00,39326
6-Dec-16,809000.00,818000.00,797000.00,812000.00,59636
5-Dec-16,810000.00,810000.00,791000.00,801000.00,34070
2-Dec-16,812000.00,812000.00,791000.00,802000.00,45696
1-Dec-16,789000.00,805000.00,770000.00,800000.00,42559
30-Nov-16,812000.00,819000.00,787000.00,787000.00,55144
29-Nov-16,790000.00,816000.00,785000.00,812000.00,73508
28-Nov-16,783000.00,788000.00,770000.00,784000.00,48198
25-Nov-16,745000.00,774000.00,742000.00,770000.00,63243
24-Nov-16,766000.00,773000.00,740000.00,741000.00,55600
23-Nov-16,763000.00,768000.00,757000.00,764000.00,87158
22-Nov-16,774000.00,783000.00,759000.00,760000.00,111295
21-Nov-16,805000.00,808000.00,772000.00,782000.00,80784
18-Nov-16,828000.00,830000.00,801000.00,807000.00,65853
17-Nov-16,831000.00,835000.00,823000.00,826000.00,23020
16-Nov-16,836000.00,843000.00,828000.00,829000.00,29662
15-Nov-16,835000.00,840000.00,823000.00,832000.00,41903
14-Nov-16,846000.00,861000.00,835000.00,839000.00,37893
11-Nov-16,870000.00,886000.00,855000.00,855000.00,38820
10-Nov-16,880000.00,894000.00,872000.00,888000.00,37182
9-Nov-16,865000.00,878000.00,834000.00,868000.00,52122
8-Nov-16,843000.00,863000.00,843000.00,858000.00,27663
7-Nov-16,854000.00,863000.00,841000.00,842000.00,42424
