Date,Open,High,Low,Close,Volume
31-Mar-17,68300.00,68700.00,66900.00,67900.00,1196391
30-Mar-17,70100.00,70200.00,66500.00,68100.00,2196532
29-Mar-17,70400.00,71000.00,69200.00,70100.00,1058573
28-Mar-17,72000.00,72100.00,69800.00,70700.00,929750
27-Mar-17,72600.00,72600.00,70400.00,71300.00,861918
24-Mar-17,73000.00,73900.00,71600.00,72200.00,1360859
23-Mar-17,70200.00,72200.00,70100.00,72000.00,2070660
22-Mar-17,67300.00,69600.00,67300.00,69200.00,1346282
21-Mar-17,67900.00,67900.00,66500.00,66900.00,1351276
20-Mar-17,68500.00,68600.00,66700.00,67200.00,1125271
17-Mar-17,67900.00,69700.00,67700.00,68900.00,1172791
16-Mar-17,68400.00,68500.00,67000.00,68100.00,913837
15-Mar-17,67300.00,67900.00,66800.00,67800.00,888346
14-Mar-17,66700.00,67400.00,66600.00,67100.00,1598407
13-Mar-17,65000.00,65700.00,64500.00,65300.00,730619
10-Mar-17,64200.00,64800.00,63800.00,64100.00,936963
9-Mar-17,65500.00,65800.00,64100.00,64800.00,1189395
8-Mar-17,63400.00,65400.00,63300.00,64900.00,1770957
7-Mar-17,61600.00,63300.00,61500.00,63300.00,1729968
6-Mar-17,61500.00,62000.00,59900.00,60300.00,954103
3-Mar-17,61300.00,62400.00,60600.00,62200.00,974083
2-Mar-17,60700.00,62200.00,60600.00,61600.00,1326283
28-Feb-17,58700.00,60000.00,58200.00,59800.00,1516142
27-Feb-17,63200.00,63200.00,58800.00,59000.00,2341808
24-Feb-17,63200.00,63600.00,62200.00,62700.00,777296
23-Feb-17,62900.00,63300.00,62200.00,63100.00,771349
22-Feb-17,62700.00,63000.00,62300.00,62900.00,697580
21-Feb-17,62100.00,62800.00,61900.00,62100.00,404861
20-Feb-17,61100.00,62100.00,60700.00,62000.00,480643
17-Feb-17,62600.00,62700.00,61200.00,61400.00,699026
16-Feb-17,62300.00,62700.00,61300.00,62700.00,725017
15-Feb-17,61700.00,62900.00,61700.00,62200.00,897628
14-Feb-17,61000.00,61600.00,60600.00,61600.00,715797
13-Feb-17,61600.00,62000.00,59600.00,60700.00,1004421
10-Feb-17,61800.00,61900.00,61200.00,61300.00,739325
9-Feb-17,60400.00,61900.00,60100.00,61500.00,1347128
8-Feb-17,59000.00,60400.00,58600.00,60400.00,1786126
7-Feb-17,58900.00,59300.00,58200.00,58800.00,754072
6-Feb-17,58800.00,59100.00,57700.00,58600.00,850282
3-Feb-17,58700.00,59100.00,57400.00,58200.00,775885
2-Feb-17,58500.00,59400.00,57300.00,58300.00,1818097
1-Feb-17,55800.00,58000.00,55800.00,57900.00,2276638
31-Jan-17,53500.00,55700.00,53400.00,55400.00,1368981
26-Jan-17,55000.00,55500.00,53200.00,53200.00,1222254
25-Jan-17,54300.00,55400.00,53500.00,54200.00,1111429
24-Jan-17,53300.00,54200.00,53300.00,54100.00,447973
23-Jan-17,54100.00,54500.00,53300.00,53400.00,339401
20-Jan-17,54400.00,54500.00,54000.00,54100.00,428492
19-Jan-17,53700.00,54700.00,53300.00,54500.00,1039516
18-Jan-17,52800.00,53900.00,52500.00,53700.00,934483
17-Jan-17,52300.00,53000.00,52300.00,52400.00,449956
16-Jan-17,52900.00,53300.00,51900.00,52800.00,679771
13-Jan-17,53100.00,53500.00,52500.00,52900.00,552190
12-Jan-17,52100.00,53400.00,52100.00,53300.00,790257
11-Jan-17,51700.00,52300.00,51200.00,52000.00,978072
10-Jan-17,53100.00,53200.00,51800.00,51800.00,951526
9-Jan-17,52300.00,53600.00,51200.00,53600.00,1531626
