Date,Open,High,Low,Close,Volume
31-Mar-17,101000.00,102000.00,100500.00,101500.00,34054
30-Mar-17,102500.00,103000.00,100500.00,100500.00,65173
29-Mar-17,106500.00,107000.00,102500.00,103000.00,67794
28-Mar-17,103500.00,106000.00,102500.00,105500.00,62366
27-Mar-17,104000.00,104000.00,102000.00,102500.00,39530
24-Mar-17,104000.00,104500.00,103000.00,104000.00,36946
23-Mar-17,101000.00,104000.00,101000.00,104000.00,60266
22-Mar-17,102000.00,102500.00,100500.00,101000.00,55727
21-Mar-17,104500.00,105000.00,102000.00,102000.00,57822
20-Mar-17,104000.00,104000.00,102500.00,104000.00,34477
17-Mar-17,102500.00,105000.00,102000.00,104000.00,70490
16-Mar-17,101000.00,104000.00,101000.00,102000.00,55404
15-Mar-17,101500.00,104000.00,100000.00,101000.00,72330
14-Mar-17,104000.00,104000.00,101500.00,101500.00,87805
13-Mar-17,106000.00,106000.00,103500.00,104000.00,45840
10-Mar-17,103500.00,106000.00,102500.00,104500.00,53653
9-Mar-17,107000.00,107000.00,103000.00,104000.00,99682
8-Mar-17,108000.00,109000.00,105000.00,107500.00,103601
7-Mar-17,103500.00,109000.00,103500.00,108000.00,138561
6-Mar-17,103500.00,104500.00,101500.00,102500.00,47463
3-Mar-17,104500.00,105500.00,102000.00,104000.00,57092
2-Mar-17,106500.00,109000.00,105000.00,105000.00,55924
28-Feb-17,106500.00,106500.00,103500.00,105000.00,46564
27-Feb-17,106000.00,108000.00,105000.00,106500.00,31226
24-Feb-17,106500.00,108500.00,105500.00,106000.00,45708
23-Feb-17,109000.00,109000.00,106500.00,106500.00,41127
22-Feb-17,107000.00,109000.00,105500.00,108500.00,41595
21-Feb-17,107000.00,108500.00,106000.00,106500.00,55102
20-Feb-17,109500.00,110500.00,106500.00,107000.00,41003
17-Feb-17,108000.00,109500.00,106500.00,108000.00,44611
16-Feb-17,110000.00,110500.00,107000.00,108000.00,71101
15-Feb-17,104000.00,110500.00,104000.00,110000.00,139707
14-Feb-17,106000.00,106500.00,103500.00,104500.00,51431
13-Feb-17,109000.00,109000.00,105500.00,106000.00,70130
10-Feb-17,105500.00,108000.00,105000.00,108000.00,85311
9-Feb-17,106500.00,106500.00,104000.00,105500.00,50784
8-Feb-17,107000.00,107000.00,104000.00,105500.00,76201
7-Feb-17,102000.00,106500.00,101000.00,106000.00,137829
6-Feb-17,98800.00,101500.00,98800.00,101000.00,56540
3-Feb-17,100500.00,101500.00,98300.00,98700.00,43790
2-Feb-17,101000.00,101500.00,99700.00,100500.00,40241
1-Feb-17,98600.00,101500.00,97600.00,100500.00,55317
31-Jan-17,98700.00,98700.00,97200.00,97500.00,26041
26-Jan-17,93400.00,99800.00,93300.00,98100.00,92809
25-Jan-17,93100.00,94500.00,91400.00,92000.00,58356
24-Jan-17,95500.00,95800.00,92500.00,93400.00,70005
23-Jan-17,95800.00,96400.00,95000.00,95500.00,35329
20-Jan-17,98200.00,99000.00,95800.00,96100.00,59883
19-Jan-17,100500.00,101500.00,97800.00,98200.00,42937
18-Jan-17,100000.00,101500.00,99900.00,100500.00,27938
17-Jan-17,102000.00,102000.00,99900.00,100500.00,31990
16-Jan-17,101000.00,102000.00,100500.00,101000.00,24959
13-Jan-17,101000.00,102500.00,100500.00,101000.00,43632
12-Jan-17,98600.00,102000.00,98600.00,101500.00,51008
11-Jan-17,97700.00,99500.00,97700.00,98600.00,22452
10-Jan-17,98200.00,98700.00,97000.00,98100.00,29741
9-Jan-17,100000.00,100500.00,98500.00,98600.00,45721
6-Jan-17,99200.00,101500.00,98300.00,100500.00,43123
5-Jan-17,99500.00,101000.00,99000.00,99400.00,40568
4-Jan-17,97800.00,99800.00,97100.00,99300.00,62066
3-Jan-17,95000.00,97700.00,94500.00,97700.00,32079
2-Jan-17,95700.00,96200.00,94000.00,95500.00,28751
29-Dec-16,96800.00,96900.00,95600.00,95700.00,15919
28-Dec-16,96000.00,96900.00,95400.00,96100.00,23655
27-Dec-16,96200.00,97500.00,96100.00,97000.00,26149
26-Dec-16,96000.00,96800.00,95500.00,96200.00,23227
23-Dec-16,96300.00,97000.00,95200.00,96800.00,26422
22-Dec-16,97700.00,97700.00,95900.00,96000.00,36289
21-Dec-16,97900.00,98000.00,96000.00,97700.00,42670
20-Dec-16,98400.00,98500.00,95200.00,97500.00,58076
19-Dec-16,99200.00,100500.00,98000.00,98300.00,35634
16-Dec-16,97700.00,99500.00,97400.00,99500.00,41373
15-Dec-16,96800.00,98500.00,96800.00,98500.00,19610
14-Dec-16,98700.00,99200.00,96400.00,97600.00,56019
13-Dec-16,98400.00,99600.00,98000.00,99200.00,36199
12-Dec-16,98000.00,99700.00,97000.00,98400.00,71678
9-Dec-16,92500.00,97700.00,92500.00,97000.00,95182
8-Dec-16,91500.00,93600.00,90800.00,93300.00,50514
7-Dec-16,88900.00,91300.00,88400.00,91200.00,38384
6-Dec-16,89000.00,89200.00,87900.00,88600.00,34872
5-Dec-16,91000.00,91000.00,87900.00,87900.00,51743
2-Dec-16,91300.00,92300.00,89900.00,90500.00,37415
1-Dec-16,90400.00,91200.00,89500.00,90600.00,30822
30-Nov-16,91000.00,91000.00,89200.00,90000.00,34631
29-Nov-16,90300.00,91500.00,90100.00,90100.00,27642
28-Nov-16,90200.00,90400.00,89200.00,90300.00,25056
25-Nov-16,91200.00,91900.00,89800.00,90200.00,47001
24-Nov-16,92600.00,92900.00,90900.00,91200.00,29243
23-Nov-16,93500.00,94300.00,92500.00,92600.00,28783
22-Nov-16,93900.00,94600.00,92500.00,94400.00,41218
21-Nov-16,95200.00,95200.00,93000.00,94400.00,15657
18-Nov-16,98200.00,98200.00,94200.00,94600.00,44284
17-Nov-16,97500.00,98700.00,96200.00,97600.00,22890
16-Nov-16,95700.00,98200.00,95000.00,97900.00,60605
15-Nov-16,95500.00,96200.00,93700.00,94400.00,34547
14-Nov-16,93200.00,95300.00,93200.00,95100.00,51037
11-Nov-16,93900.00,94800.00,91800.00,92800.00,44800
10-Nov-16,92400.00,94600.00,92000.00,94000.00,62581
9-Nov-16,94000.00,94100.00,87700.00,92000.00,103958
8-Nov-16,92500.00,93700.00,92500.00,93500.00,33402
7-Nov-16,90900.00,92800.00,90900.00,92400.00,43736
4-Nov-16,91100.00,91500.00,89400.00,89800.00,64523
3-Nov-16,90300.00,92000.00,90300.00,91000.00,40569
2-Nov-16,92300.00,92300.00,90600.00,90800.00,71943
1-Nov-16,95000.00,95000.00,91400.00,93000.00,92503
31-Oct-16,98600.00,99300.00,94600.00,94700.00,102982
28-Oct-16,101000.00,103000.00,99000.00,99500.00,46938
27-Oct-16,102000.00,104000.00,100500.00,102000.00,53979
26-Oct-16,98300.00,105000.00,97100.00,101500.00,208691
25-Oct-16,97500.00,101500.00,97500.00,100500.00,87145
24-Oct-16,97000.00,97800.00,96600.00,96900.00,34026
21-Oct-16,97800.00,98200.00,96500.00,96900.00,35846
20-Oct-16,97200.00,98900.00,96800.00,97900.00,40030
19-Oct-16,97300.00,97800.00,95600.00,97100.00,63035
18-Oct-16,97600.00,98200.00,96600.00,97000.00,61368
17-Oct-16,101000.00,101000.00,97500.00,97600.00,57291
14-Oct-16,99600.00,102000.00,99500.00,100000.00,42497
13-Oct-16,103000.00,103000.00,99200.00,99500.00,63397
12-Oct-16,100500.00,103000.00,99900.00,102500.00,50048
11-Oct-16,97900.00,101000.00,97800.00,100000.00,84566
10-Oct-16,99100.00,99600.00,96700.00,97000.00,110947
7-Oct-16,104000.00,104500.00,98500.00,98600.00,171053
6-Oct-16,105500.00,106500.00,103500.00,104500.00,63651
5-Oct-16,103000.00,106000.00,102500.00,106000.00,35376
4-Oct-16,105000.00,105500.00,103000.00,104000.00,47101
30-Sep-16,106500.00,107000.00,104500.00,105000.00,55642
29-Sep-16,107500.00,109000.00,106500.00,107000.00,47763
28-Sep-16,108500.00,108500.00,106500.00,106500.00,28719
27-Sep-16,104500.00,108000.00,104500.00,108000.00,48439
26-Sep-16,105000.00,106000.00,103500.00,104500.00,34302
23-Sep-16,106500.00,107000.00,104500.00,104500.00,58803
22-Sep-16,107000.00,109500.00,105500.00,105500.00,88428
21-Sep-16,105500.00,107000.00,104000.00,106000.00,34666
20-Sep-16,103000.00,106000.00,102500.00,105000.00,58623
19-Sep-16,101000.00,104000.00,99500.00,103500.00,65658
13-Sep-16,105000.00,105500.00,101000.00,101000.00,81974
12-Sep-16,101500.00,106000.00,101500.00,104000.00,81647
9-Sep-16,103500.00,105000.00,103000.00,103500.00,85585
8-Sep-16,104500.00,106000.00,102000.00,104000.00,127072
7-Sep-16,107000.00,107500.00,103500.00,104500.00,159380
6-Sep-16,110500.00,111000.00,106500.00,107000.00,106013
5-Sep-16,111000.00,112500.00,110000.00,110500.00,37536
2-Sep-16,110000.00,112500.00,109500.00,110000.00,55193
1-Sep-16,109500.00,110000.00,108500.00,109500.00,40012
31-Aug-16,110000.00,111500.00,107500.00,109000.00,70254
30-Aug-16,109500.00,112000.00,109000.00,110500.00,48526
29-Aug-16,111500.00,112000.00,109000.00,109500.00,69411
26-Aug-16,113000.00,113500.00,111000.00,111500.00,68154
25-Aug-16,112000.00,116000.00,111000.00,113500.00,75425
24-Aug-16,112500.00,114000.00,109500.00,112000.00,106469
23-Aug-16,113000.00,113500.00,110500.00,111500.00,101772
22-Aug-16,117000.00,117500.00,112500.00,113500.00,127943
19-Aug-16,118000.00,118500.00,116000.00,116500.00,70260
18-Aug-16,122500.00,122500.00,116500.00,117500.00,143620
17-Aug-16,121500.00,123500.00,121500.00,122500.00,49041
16-Aug-16,126500.00,126500.00,121500.00,121500.00,86447
12-Aug-16,125000.00,126000.00,123500.00,126000.00,48866
11-Aug-16,126000.00,126500.00,124000.00,125000.00,40745
10-Aug-16,123000.00,127500.00,123000.00,126500.00,97380
9-Aug-16,121000.00,123500.00,120500.00,123500.00,31714
8-Aug-16,120500.00,123000.00,120500.00,121000.00,66056
5-Aug-16,125000.00,125500.00,119500.00,121000.00,118224
4-Aug-16,123500.00,126000.00,122500.00,124500.00,46906
3-Aug-16,123000.00,125000.00,122000.00,123000.00,28601
2-Aug-16,128000.00,129500.00,124000.00,124500.00,57885
1-Aug-16,126000.00,130000.00,126000.00,128000.00,48647
29-Jul-16,130000.00,130000.00,126000.00,126500.00,61285
28-Jul-16,124000.00,129500.00,123500.00,129000.00,101741
27-Jul-16,120000.00,125000.00,119500.00,124000.00,87709
26-Jul-16,121000.00,122000.00,119500.00,120000.00,52907
25-Jul-16,122000.00,123000.00,118000.00,121000.00,109375
22-Jul-16,122500.00,125000.00,120500.00,122500.00,62847
21-Jul-16,122000.00,122500.00,121000.00,122000.00,33708
20-Jul-16,123000.00,123500.00,121000.00,121500.00,34765
19-Jul-16,122000.00,123000.00,120500.00,122000.00,40813
18-Jul-16,122500.00,126000.00,121500.00,122000.00,75192
15-Jul-16,121000.00,122000.00,120000.00,121500.00,61973
14-Jul-16,120000.00,120500.00,118500.00,120000.00,40126
13-Jul-16,120500.00,122000.00,119000.00,119500.00,48383
12-Jul-16,117500.00,120500.00,117500.00,120500.00,61798
11-Jul-16,120500.00,120500.00,117500.00,117500.00,59836
8-Jul-16,119500.00,120000.00,116000.00,119000.00,122221
7-Jul-16,128500.00,129500.00,117500.00,118500.00,321498
6-Jul-16,129500.00,130000.00,125000.00,128000.00,45198
5-Jul-16,128000.00,130500.00,127500.00,129500.00,31301
4-Jul-16,129000.00,129000.00,126000.00,129000.00,41862
1-Jul-16,129000.00,131000.00,127500.00,128500.00,62995
30-Jun-16,127500.00,129500.00,125500.00,127500.00,53628
29-Jun-16,125500.00,128500.00,124500.00,126000.00,43320
28-Jun-16,123000.00,126500.00,122500.00,124500.00,39366
27-Jun-16,119000.00,124000.00,117500.00,123000.00,39023
24-Jun-16,132000.00,132000.00,120000.00,122000.00,104504
23-Jun-16,130000.00,132000.00,128500.00,129500.00,27970
22-Jun-16,129000.00,131000.00,127500.00,129500.00,22528
21-Jun-16,129500.00,130000.00,127000.00,129500.00,30231
20-Jun-16,125000.00,131000.00,124500.00,129500.00,54980
17-Jun-16,127500.00,129500.00,121000.00,123500.00,70619
16-Jun-16,128000.00,129000.00,125500.00,126000.00,33076
15-Jun-16,129000.00,130500.00,127000.00,128000.00,30865
14-Jun-16,129000.00,131500.00,128000.00,129000.00,37595
13-Jun-16,131500.00,131500.00,128500.00,129500.00,45988
10-Jun-16,131000.00,132500.00,129000.00,132000.00,66352
9-Jun-16,134000.00,136000.00,129000.00,130500.00,99540
8-Jun-16,136500.00,137500.00,133500.00,134000.00,81381
7-Jun-16,138500.00,140000.00,136000.00,137500.00,43067
3-Jun-16,138000.00,141000.00,137500.00,138500.00,37022
2-Jun-16,138000.00,139500.00,137000.00,138500.00,34063
1-Jun-16,140500.00,143500.00,137500.00,137500.00,49045
31-May-16,137500.00,141500.00,137000.00,141000.00,40369
30-May-16,137000.00,138500.00,135500.00,138000.00,19854
27-May-16,137500.00,139000.00,134500.00,136500.00,20261
26-May-16,138000.00,139000.00,136500.00,137000.00,28652
25-May-16,138000.00,141000.00,136500.00,138000.00,40237
24-May-16,138000.00,139500.00,136000.00,136500.00,20647
23-May-16,140500.00,141500.00,137500.00,138500.00,31129
20-May-16,134000.00,139500.00,133500.00,139000.00,50552
19-May-16,138000.00,138000.00,132500.00,133500.00,61372
18-May-16,143000.00,143000.00,137500.00,138000.00,47529
17-May-16,146000.00,146000.00,137500.00,142500.00,71056
16-May-16,145500.00,146500.00,143500.00,144500.00,19144
13-May-16,141000.00,147000.00,140500.00,145500.00,47452
12-May-16,141500.00,142500.00,140500.00,141000.00,33712
11-May-16,145500.00,145500.00,141500.00,143500.00,24439
10-May-16,143000.00,145000.00,141000.00,143500.00,40773
9-May-16,147000.00,147500.00,143000.00,143000.00,38810
4-May-16,145000.00,147000.00,144500.00,146000.00,36857
3-May-16,146500.00,149000.00,145000.00,147000.00,48024
2-May-16,149500.00,150500.00,145000.00,145500.00,44687
29-Apr-16,147500.00,151000.00,144000.00,150000.00,63601
