Date,Open,High,Low,Close,Volume
31-Mar-17,39200.00,39250.00,38600.00,39100.00,115703
30-Mar-17,39100.00,39400.00,38700.00,39000.00,121594
29-Mar-17,39100.00,39400.00,38100.00,38700.00,134513
28-Mar-17,38700.00,39200.00,38250.00,38600.00,113079
27-Mar-17,38800.00,39150.00,38000.00,38700.00,149152
24-Mar-17,39300.00,39350.00,38250.00,39000.00,223482
23-Mar-17,37600.00,39600.00,37500.00,39400.00,342631
22-Mar-17,37500.00,37800.00,37050.00,37150.00,186157
21-Mar-17,38650.00,38650.00,37550.00,37900.00,183652
20-Mar-17,38150.00,38550.00,38150.00,38450.00,114116
17-Mar-17,38750.00,38800.00,38200.00,38300.00,130448
16-Mar-17,38150.00,38650.00,38000.00,38500.00,244347
15-Mar-17,38100.00,38350.00,37350.00,37450.00,193602
14-Mar-17,38300.00,39000.00,37600.00,38250.00,289802
13-Mar-17,39400.00,39400.00,37800.00,38100.00,365755
10-Mar-17,39500.00,39700.00,38950.00,39100.00,181172
9-Mar-17,40050.00,40200.00,39400.00,39950.00,136064
8-Mar-17,39550.00,40500.00,39250.00,40000.00,171539
7-Mar-17,39100.00,39700.00,38800.00,39500.00,118667
6-Mar-17,39600.00,39750.00,39000.00,39250.00,152614
3-Mar-17,40050.00,40700.00,39900.00,39900.00,102851
2-Mar-17,41250.00,41650.00,40200.00,40300.00,238315
28-Feb-17,39700.00,41050.00,39700.00,40950.00,176400
27-Feb-17,40400.00,40400.00,39500.00,39950.00,82009
24-Feb-17,40300.00,40650.00,39600.00,39950.00,306327
23-Feb-17,41650.00,41650.00,40600.00,41000.00,111235
22-Feb-17,41600.00,41900.00,41300.00,41350.00,121651
21-Feb-17,40550.00,42500.00,40550.00,41450.00,291610
20-Feb-17,40300.00,40700.00,39850.00,40000.00,102731
17-Feb-17,40000.00,41000.00,40000.00,40300.00,101422
16-Feb-17,41200.00,41300.00,39950.00,40000.00,250482
15-Feb-17,41600.00,42000.00,41100.00,41800.00,132187
14-Feb-17,42100.00,42550.00,41350.00,41400.00,244380
13-Feb-17,40150.00,41450.00,39800.00,41300.00,254237
10-Feb-17,39700.00,40300.00,39550.00,39700.00,156150
9-Feb-17,39650.00,40450.00,39650.00,40100.00,109007
8-Feb-17,40500.00,40750.00,39350.00,40350.00,138381
7-Feb-17,40200.00,40300.00,38800.00,40300.00,236460
6-Feb-17,43100.00,43150.00,40100.00,40200.00,398969
3-Feb-17,43000.00,43900.00,42650.00,42700.00,150830
2-Feb-17,43550.00,43850.00,43050.00,43050.00,96245
1-Feb-17,43600.00,44050.00,42950.00,43700.00,137231
31-Jan-17,44150.00,44150.00,43250.00,43500.00,68172
26-Jan-17,43350.00,44300.00,43100.00,44000.00,100720
25-Jan-17,44750.00,44900.00,43650.00,43800.00,141054
24-Jan-17,43700.00,44050.00,42900.00,43950.00,117319
23-Jan-17,42900.00,43800.00,42900.00,43750.00,107724
20-Jan-17,43700.00,43900.00,42850.00,42900.00,84311
19-Jan-17,43150.00,44400.00,42700.00,43700.00,150519
18-Jan-17,43650.00,43700.00,42900.00,43150.00,112714
17-Jan-17,44350.00,45050.00,43400.00,44000.00,205903
16-Jan-17,44100.00,44800.00,43800.00,44300.00,179630
13-Jan-17,43950.00,44200.00,43300.00,43900.00,106664
12-Jan-17,44350.00,44750.00,43250.00,43800.00,211654
11-Jan-17,41300.00,44350.00,41300.00,44300.00,406359
10-Jan-17,41250.00,41550.00,40200.00,41250.00,192904
9-Jan-17,42900.00,42900.00,41550.00,41650.00,144618
6-Jan-17,42100.00,43200.00,41800.00,42900.00,273053
5-Jan-17,41400.00,42250.00,41100.00,41400.00,151670
4-Jan-17,41400.00,41700.00,40850.00,41250.00,130261
3-Jan-17,40900.00,42050.00,40250.00,41400.00,158676
2-Jan-17,40500.00,41150.00,40100.00,40750.00,63252
29-Dec-16,40700.00,40750.00,39650.00,40500.00,113066
28-Dec-16,40800.00,40900.00,40250.00,40300.00,81497
27-Dec-16,40650.00,41250.00,40400.00,41150.00,76345
26-Dec-16,41300.00,41500.00,40450.00,40600.00,127427
23-Dec-16,42200.00,42350.00,41500.00,41600.00,115819
