Date,Open,High,Low,Close,Volume
31-Mar-17,291500.00,294000.00,287000.00,291000.00,540912
30-Mar-17,286000.00,286000.00,282000.00,284000.00,244399
29-Mar-17,279500.00,287500.00,279500.00,286500.00,465661
28-Mar-17,275500.00,276500.00,269000.00,275500.00,309765
27-Mar-17,275500.00,276000.00,268000.00,270000.00,480574
24-Mar-17,282000.00,283000.00,275000.00,278500.00,328674
23-Mar-17,283500.00,286000.00,279500.00,281000.00,271687
22-Mar-17,277500.00,284000.00,276500.00,280500.00,532338
21-Mar-17,298000.00,298000.00,292500.00,293000.00,241811
20-Mar-17,292500.00,297500.00,291500.00,296500.00,242012
17-Mar-17,292000.00,297000.00,288000.00,291500.00,275042
16-Mar-17,284000.00,291500.00,283500.00,291500.00,415134
15-Mar-17,278500.00,281500.00,276500.00,277500.00,237854
14-Mar-17,282500.00,285500.00,279000.00,280000.00,271885
13-Mar-17,281500.00,285000.00,278000.00,281000.00,272214
10-Mar-17,285000.00,285500.00,280000.00,283000.00,265735
9-Mar-17,290500.00,292000.00,286000.00,286000.00,307680
8-Mar-17,287000.00,295000.00,286500.00,290000.00,342787
7-Mar-17,290000.00,290500.00,287000.00,288000.00,163830
6-Mar-17,289000.00,290000.00,284500.00,288500.00,201012
3-Mar-17,288500.00,289500.00,285500.00,287500.00,260980
2-Mar-17,291000.00,293500.00,287500.00,291500.00,459952
28-Feb-17,282000.00,288500.00,282000.00,283500.00,335012
27-Feb-17,278500.00,285500.00,277500.00,280000.00,246367
24-Feb-17,289000.00,289000.00,278500.00,280000.00,478995
23-Feb-17,291500.00,293000.00,289000.00,292000.00,213383
22-Feb-17,288000.00,293500.00,286500.00,293500.00,325619
21-Feb-17,286000.00,290000.00,285000.00,288500.00,291563
20-Feb-17,283000.00,286000.00,282000.00,284500.00,153039
17-Feb-17,279500.00,285500.00,278500.00,285000.00,312958
16-Feb-17,280000.00,281500.00,277500.00,281000.00,180345
15-Feb-17,282000.00,285000.00,279500.00,282000.00,268054
14-Feb-17,281500.00,286000.00,280000.00,282500.00,406116
13-Feb-17,279000.00,282000.00,277000.00,278500.00,302791
10-Feb-17,274500.00,276500.00,274000.00,275500.00,250939
9-Feb-17,270500.00,274000.00,267000.00,271500.00,246240
8-Feb-17,266000.00,270000.00,263500.00,268000.00,178267
7-Feb-17,260000.00,268000.00,258500.00,268000.00,226015
6-Feb-17,265000.00,267500.00,259000.00,262500.00,194465
3-Feb-17,274500.00,276500.00,262000.00,265500.00,406394
2-Feb-17,276000.00,278000.00,272500.00,272500.00,206130
1-Feb-17,269000.00,278500.00,268000.00,278000.00,302565
31-Jan-17,271500.00,278000.00,269000.00,271000.00,261084
26-Jan-17,262500.00,280500.00,262000.00,276000.00,516917
25-Jan-17,271000.00,273500.00,265500.00,267500.00,277971
24-Jan-17,269500.00,272000.00,267000.00,271000.00,242360
23-Jan-17,273000.00,274500.00,268000.00,270500.00,249084
20-Jan-17,274500.00,275500.00,270500.00,273000.00,262481
19-Jan-17,271000.00,279000.00,270500.00,278000.00,601540
18-Jan-17,266000.00,268500.00,263000.00,268000.00,263142
17-Jan-17,268000.00,271000.00,264000.00,265000.00,244551
16-Jan-17,269000.00,269500.00,264000.00,267500.00,177373
13-Jan-17,264000.00,271500.00,264000.00,267500.00,312489
12-Jan-17,270000.00,273000.00,266500.00,266500.00,435832
11-Jan-17,257000.00,269000.00,255000.00,269000.00,763831
10-Jan-17,244000.00,250500.00,243500.00,249500.00,310247
9-Jan-17,249000.00,249500.00,241500.00,244000.00,303239
6-Jan-17,250000.00,250000.00,245000.00,250000.00,291748
5-Jan-17,254500.00,256500.00,246500.00,247500.00,451858
4-Jan-17,256000.00,257500.00,253000.00,254500.00,245008
3-Jan-17,260000.00,260500.00,254000.00,256000.00,267446
2-Jan-17,256500.00,260500.00,255000.00,260500.00,143765
29-Dec-16,258000.00,259000.00,254000.00,257500.00,245439
28-Dec-16,256000.00,258000.00,255000.00,255500.00,199020
27-Dec-16,256000.00,259000.00,256000.00,258500.00,147700
26-Dec-16,263500.00,263500.00,255000.00,256000.00,269989
23-Dec-16,268000.00,269000.00,262000.00,264500.00,274361
22-Dec-16,266000.00,269500.00,260500.00,261500.00,289547
21-Dec-16,262000.00,266500.00,262000.00,264000.00,282939
20-Dec-16,258000.00,262000.00,257500.00,259000.00,272431
19-Dec-16,263500.00,264500.00,257500.00,258500.00,390255
16-Dec-16,266500.00,268500.00,263000.00,265500.00,343732
15-Dec-16,270000.00,271000.00,266000.00,268500.00,260259
14-Dec-16,266000.00,272000.00,264500.00,271000.00,369510
13-Dec-16,278000.00,280500.00,266000.00,268000.00,621519
12-Dec-16,277000.00,282500.00,274000.00,282500.00,400429
9-Dec-16,278000.00,279000.00,274000.00,279000.00,283744
8-Dec-16,270000.00,279000.00,268000.00,279000.00,761883
7-Dec-16,262000.00,264500.00,260500.00,263000.00,582931
6-Dec-16,252000.00,261000.00,251500.00,258500.00,425889
5-Dec-16,252000.00,253500.00,248500.00,249500.00,173823
2-Dec-16,252000.00,253500.00,249500.00,253000.00,226438
1-Dec-16,249500.00,254000.00,249500.00,251000.00,313264
30-Nov-16,250500.00,254000.00,248000.00,249500.00,598523
29-Nov-16,253000.00,254000.00,250000.00,252000.00,663287
28-Nov-16,261000.00,263500.00,258000.00,258500.00,235340
25-Nov-16,264000.00,265000.00,260500.00,263500.00,173175
24-Nov-16,262500.00,265000.00,259000.00,264500.00,234206
23-Nov-16,261000.00,264000.00,258500.00,263000.00,293392
22-Nov-16,254000.00,259500.00,251500.00,258500.00,265782
21-Nov-16,253000.00,253000.00,249500.00,253000.00,198048
18-Nov-16,251000.00,254000.00,249000.00,253000.00,185548
17-Nov-16,250000.00,254500.00,247500.00,253000.00,314306
16-Nov-16,255000.00,258000.00,251500.00,253500.00,388454
15-Nov-16,254000.00,260000.00,252500.00,254000.00,473613
14-Nov-16,248000.00,253000.00,241500.00,252000.00,491439
11-Nov-16,244500.00,251000.00,241000.00,249500.00,471156
10-Nov-16,236500.00,248500.00,236000.00,247000.00,657027
9-Nov-16,243500.00,244000.00,226500.00,231500.00,589918
8-Nov-16,245500.00,245500.00,242000.00,242500.00,138909
7-Nov-16,241000.00,245000.00,240000.00,244000.00,215597
4-Nov-16,238000.00,238000.00,234500.00,238000.00,164378
3-Nov-16,234500.00,237000.00,234000.00,237000.00,201639
2-Nov-16,237000.00,237000.00,231000.00,234000.00,293209
1-Nov-16,236000.00,239000.00,234500.00,238000.00,212724
31-Oct-16,234000.00,238000.00,234000.00,237000.00,236214
28-Oct-16,236000.00,238000.00,234000.00,235500.00,515268
27-Oct-16,248500.00,248500.00,238000.00,243000.00,634484
26-Oct-16,247500.00,249000.00,245000.00,248000.00,317085
25-Oct-16,247000.00,250500.00,244500.00,249000.00,386024
24-Oct-16,242500.00,247000.00,242000.00,246500.00,382163
21-Oct-16,242000.00,244000.00,239500.00,241500.00,348769
20-Oct-16,240500.00,241500.00,239000.00,239500.00,159239
19-Oct-16,240000.00,242500.00,238500.00,240000.00,298047
18-Oct-16,233500.00,240500.00,232000.00,240000.00,370120
17-Oct-16,233000.00,235000.00,231000.00,232000.00,198946
14-Oct-16,228500.00,232500.00,228000.00,231000.00,217224
13-Oct-16,234000.00,234500.00,227500.00,227500.00,302207
12-Oct-16,234000.00,236000.00,233000.00,234500.00,189377
11-Oct-16,233000.00,234000.00,232000.00,233500.00,248968
10-Oct-16,229500.00,233500.00,228500.00,229000.00,243751
7-Oct-16,230000.00,232000.00,225000.00,226000.00,197731
6-Oct-16,231500.00,233500.00,228500.00,230500.00,174277
5-Oct-16,227500.00,231500.00,226500.00,230000.00,253196
4-Oct-16,227000.00,232000.00,226000.00,231500.00,273660
30-Sep-16,228500.00,229000.00,225500.00,227000.00,264082
29-Sep-16,231500.00,234500.00,229000.00,230000.00,229027
28-Sep-16,229500.00,231500.00,228000.00,229500.00,176980
27-Sep-16,224000.00,233000.00,223500.00,230500.00,276220
26-Sep-16,225000.00,226500.00,223000.00,224000.00,165292
23-Sep-16,226500.00,227500.00,225000.00,227000.00,192950
22-Sep-16,228500.00,229000.00,225000.00,226000.00,181207
21-Sep-16,220000.00,225500.00,218500.00,225000.00,203336
20-Sep-16,221000.00,223000.00,216500.00,221500.00,255603
19-Sep-16,219000.00,221000.00,217500.00,220000.00,356983
13-Sep-16,227500.00,228500.00,222000.00,224000.00,300456
12-Sep-16,225500.00,228500.00,223500.00,224500.00,293731
9-Sep-16,227500.00,232500.00,227000.00,231500.00,315570
8-Sep-16,237000.00,237500.00,231500.00,231500.00,407613
7-Sep-16,236000.00,243500.00,236000.00,238500.00,442259
6-Sep-16,237500.00,238000.00,235000.00,237000.00,255468
5-Sep-16,231500.00,238000.00,231000.00,236500.00,285901
2-Sep-16,232000.00,234500.00,229000.00,231000.00,266869
1-Sep-16,230500.00,234500.00,228500.00,232000.00,253043
31-Aug-16,228000.00,234500.00,228000.00,231000.00,478640
30-Aug-16,229000.00,231000.00,226500.00,229500.00,295586
29-Aug-16,221500.00,227500.00,220000.00,226500.00,330620
26-Aug-16,224500.00,225500.00,222000.00,222500.00,204402
25-Aug-16,224500.00,227000.00,221000.00,224500.00,317705
24-Aug-16,217000.00,225500.00,217000.00,224000.00,321486
23-Aug-16,217000.00,219000.00,214500.00,217000.00,168800
22-Aug-16,218500.00,219000.00,215000.00,218000.00,116571
19-Aug-16,219500.00,221500.00,216500.00,218000.00,167029
18-Aug-16,222500.00,224500.00,219500.00,220000.00,168302
17-Aug-16,222500.00,223500.00,220000.00,223000.00,132777
16-Aug-16,223000.00,226000.00,221000.00,224500.00,346420
12-Aug-16,217000.00,222500.00,216500.00,221000.00,254756
11-Aug-16,219500.00,219500.00,215500.00,215500.00,189968
10-Aug-16,218000.00,222000.00,216500.00,220500.00,194058
9-Aug-16,214000.00,222000.00,213500.00,221000.00,247210
8-Aug-16,215000.00,217000.00,208000.00,214000.00,618856
5-Aug-16,218000.00,222000.00,216500.00,221500.00,180773
4-Aug-16,223500.00,224500.00,217000.00,218000.00,244904
3-Aug-16,224000.00,227000.00,222000.00,223000.00,244195
2-Aug-16,223500.00,228500.00,221500.00,227500.00,233822
1-Aug-16,225500.00,229500.00,224500.00,228000.00,181974
29-Jul-16,226500.00,229000.00,223000.00,226500.00,219729
28-Jul-16,229000.00,231000.00,227500.00,228500.00,198430
27-Jul-16,227000.00,230500.00,225500.00,227500.00,284822
26-Jul-16,220500.00,227000.00,218500.00,227000.00,402135
25-Jul-16,218500.00,222500.00,215500.00,222500.00,335080
22-Jul-16,216500.00,222500.00,215500.00,219500.00,326706
21-Jul-16,219500.00,219500.00,214000.00,215500.00,198976
20-Jul-16,217000.00,219000.00,215000.00,218500.00,348783
19-Jul-16,227500.00,228000.00,218000.00,220000.00,382882
18-Jul-16,227500.00,229500.00,224500.00,228000.00,400609
15-Jul-16,227000.00,229000.00,223500.00,224500.00,283922
14-Jul-16,226000.00,230000.00,223000.00,225500.00,492615
13-Jul-16,221000.00,227000.00,220000.00,227000.00,804986
12-Jul-16,209500.00,213000.00,208500.00,212500.00,378742
11-Jul-16,203500.00,208000.00,202500.00,207000.00,284605
8-Jul-16,200500.00,202000.00,197500.00,200500.00,302571
7-Jul-16,202500.00,203500.00,200500.00,202500.00,169715
6-Jul-16,206000.00,206000.00,199000.00,201000.00,298486
5-Jul-16,211000.00,211000.00,206500.00,207500.00,195063
4-Jul-16,203500.00,210000.00,202000.00,210000.00,412133
1-Jul-16,202500.00,203000.00,200500.00,201000.00,193457
30-Jun-16,204500.00,205000.00,199000.00,201500.00,231561
29-Jun-16,201000.00,204000.00,200500.00,202000.00,405292
28-Jun-16,195000.00,199500.00,194000.00,199000.00,395040
27-Jun-16,190000.00,196500.00,189500.00,196500.00,411601
24-Jun-16,206000.00,206500.00,188000.00,194000.00,878441
23-Jun-16,204000.00,205000.00,201000.00,204500.00,214334
22-Jun-16,207000.00,208000.00,204500.00,205000.00,203715
21-Jun-16,207000.00,207500.00,204000.00,206500.00,228836
20-Jun-16,202000.00,206000.00,201500.00,205000.00,292470
17-Jun-16,205000.00,206500.00,198000.00,199000.00,547671
16-Jun-16,208500.00,209500.00,202500.00,204000.00,280190
15-Jun-16,205000.00,209000.00,203500.00,206500.00,326571
14-Jun-16,210500.00,212500.00,204000.00,206000.00,395523
13-Jun-16,214000.00,217500.00,211000.00,211000.00,232433
10-Jun-16,217500.00,220000.00,216000.00,216500.00,241698
9-Jun-16,221000.00,224000.00,215500.00,216500.00,655552
8-Jun-16,218500.00,224500.00,218500.00,224500.00,485240
7-Jun-16,209000.00,217500.00,208500.00,217000.00,567177
3-Jun-16,207000.00,208000.00,202000.00,203000.00,291678
2-Jun-16,208500.00,209000.00,203000.00,205500.00,310534
1-Jun-16,206500.00,211000.00,206000.00,209000.00,233460
31-May-16,207000.00,209500.00,206000.00,208000.00,370263
30-May-16,209000.00,209500.00,205500.00,208000.00,150495
27-May-16,205000.00,209500.00,205000.00,208500.00,157083
26-May-16,209000.00,210000.00,206000.00,207000.00,155087
25-May-16,208000.00,210500.00,206000.00,207000.00,184081
24-May-16,208000.00,208000.00,203500.00,205000.00,206074
23-May-16,204500.00,208500.00,202500.00,207500.00,225397
20-May-16,204500.00,208000.00,203000.00,203000.00,171551
19-May-16,203000.00,209500.00,201500.00,204000.00,225116
18-May-16,204500.00,207500.00,202500.00,204000.00,372928
17-May-16,204500.00,205500.00,198000.00,202500.00,382447
16-May-16,200500.00,209000.00,200000.00,207500.00,350594
13-May-16,207000.00,208000.00,202000.00,203000.00,397095
12-May-16,209000.00,212500.00,208500.00,209500.00,317665
11-May-16,212000.00,213000.00,208500.00,210000.00,382664
10-May-16,205500.00,210500.00,203500.00,208500.00,651671
9-May-16,216500.00,217000.00,207500.00,208500.00,1012609
4-May-16,224000.00,227000.00,219000.00,219500.00,592897
3-May-16,229500.00,231000.00,227500.00,230000.00,331688
2-May-16,237500.00,238000.00,227000.00,228500.00,405911
29-Apr-16,235000.00,240500.00,235000.00,240500.00,242980
28-Apr-16,237000.00,239000.00,234000.00,236000.00,443469
27-Apr-16,237000.00,238000.00,232500.00,233000.00,401552
26-Apr-16,235000.00,239500.00,233500.00,234500.00,529734
25-Apr-16,246000.00,246500.00,236500.00,238000.00,612201
22-Apr-16,250000.00,252500.00,246500.00,249000.00,479614
21-Apr-16,244000.00,249000.00,243500.00,248500.00,533244
20-Apr-16,244500.00,246000.00,239500.00,239500.00,370826
19-Apr-16,248500.00,248500.00,238000.00,240000.00,406389
18-Apr-16,241000.00,247500.00,240500.00,247000.00,289299
15-Apr-16,247500.00,249500.00,244000.00,246500.00,386239
14-Apr-16,249000.00,249000.00,244500.00,247500.00,910931
12-Apr-16,237500.00,239000.00,236000.00,238000.00,230716
11-Apr-16,231500.00,238000.00,230000.00,237500.00,284409
8-Apr-16,229000.00,234000.00,225500.00,232500.00,247234
7-Apr-16,233500.00,236000.00,231000.00,232500.00,323870
6-Apr-16,222000.00,235000.00,222000.00,232500.00,776632
5-Apr-16,216500.00,221000.00,216500.00,220000.00,236975
4-Apr-16,215000.00,219500.00,214500.00,219000.00,276363
1-Apr-16,218000.00,218500.00,211500.00,213500.00,347465
31-Mar-16,221000.00,222000.00,217500.00,219500.00,474158
30-Mar-16,216000.00,220000.00,214500.00,219500.00,362370
29-Mar-16,211500.00,216000.00,210500.00,215000.00,308313
28-Mar-16,208000.00,210500.00,207000.00,210500.00,146064
25-Mar-16,210000.00,210500.00,207000.00,209500.00,125385
24-Mar-16,211500.00,212000.00,207000.00,209000.00,276741
23-Mar-16,212000.00,216500.00,211500.00,214500.00,223665
22-Mar-16,213500.00,213500.00,209000.00,212500.00,245437
21-Mar-16,216000.00,216000.00,209000.00,212500.00,326302
18-Mar-16,216500.00,218000.00,214000.00,216000.00,465094
17-Mar-16,206000.00,213000.00,206000.00,212000.00,487393
16-Mar-16,208500.00,208500.00,199000.00,203000.00,746188
15-Mar-16,210000.00,212000.00,207500.00,210000.00,334705
14-Mar-16,218500.00,219000.00,209000.00,209000.00,526347
11-Mar-16,219500.00,220500.00,214000.00,218500.00,281153
10-Mar-16,215000.00,219000.00,212500.00,218500.00,445110
9-Mar-16,218000.00,218000.00,213000.00,214500.00,507432
8-Mar-16,224000.00,224500.00,218000.00,222000.00,459825
7-Mar-16,219500.00,219500.00,212000.00,217500.00,433552
4-Mar-16,214500.00,218500.00,213500.00,217500.00,426523
3-Mar-16,217000.00,219500.00,212000.00,213500.00,748281
2-Mar-16,204500.00,212000.00,204000.00,211500.00,848500
29-Feb-16,195000.00,200500.00,194500.00,198500.00,358275
26-Feb-16,200000.00,200000.00,195000.00,195500.00,413205
25-Feb-16,200000.00,202000.00,198500.00,200500.00,327937
24-Feb-16,197500.00,202500.00,197500.00,202000.00,420815
23-Feb-16,200000.00,200500.00,197000.00,200500.00,424708
22-Feb-16,194000.00,197000.00,194000.00,196500.00,174676
19-Feb-16,195000.00,196000.00,192000.00,196000.00,282196
18-Feb-16,195000.00,198000.00,194500.00,196500.00,405841
17-Feb-16,191500.00,194000.00,187500.00,191500.00,325536
16-Feb-16,190000.00,196500.00,188000.00,192500.00,745778
15-Feb-16,181500.00,188500.00,180000.00,188500.00,574990
12-Feb-16,175500.00,178000.00,174500.00,177500.00,391060
11-Feb-16,174000.00,177500.00,174000.00,176500.00,369176
5-Feb-16,180000.00,182500.00,179500.00,181000.00,420580
4-Feb-16,176000.00,179500.00,174000.00,179000.00,415414
3-Feb-16,175000.00,175500.00,172000.00,173000.00,272398
2-Feb-16,175500.00,178000.00,171500.00,176500.00,360227
1-Feb-16,178500.00,179500.00,174500.00,178000.00,253257
29-Jan-16,177500.00,179000.00,173000.00,178500.00,569859
28-Jan-16,171500.00,177000.00,171000.00,174500.00,455855
27-Jan-16,175500.00,177000.00,172500.00,172500.00,430523
26-Jan-16,168000.00,173500.00,167000.00,170500.00,454467
25-Jan-16,164000.00,171000.00,163000.00,170000.00,662632
22-Jan-16,159500.00,162000.00,158500.00,161000.00,310446
21-Jan-16,158500.00,160500.00,155500.00,156000.00,311117
20-Jan-16,164000.00,164500.00,158000.00,158500.00,458416
19-Jan-16,163500.00,166500.00,161500.00,165500.00,347427
18-Jan-16,159000.00,165000.00,158500.00,165000.00,324398
15-Jan-16,163500.00,164500.00,160500.00,161500.00,316255
14-Jan-16,161000.00,161500.00,159500.00,161000.00,366390
13-Jan-16,160500.00,166000.00,160000.00,163500.00,310080
12-Jan-16,162000.00,163000.00,159000.00,160000.00,239731
11-Jan-16,162000.00,163000.00,161500.00,161500.00,186519
8-Jan-16,161000.00,166000.00,160500.00,165000.00,321769
7-Jan-16,167000.00,168500.00,164000.00,164000.00,308357
6-Jan-16,169500.00,171000.00,167500.00,168500.00,285303
5-Jan-16,165000.00,169000.00,165000.00,169000.00,298383
4-Jan-16,167000.00,169000.00,164000.00,164000.00,271549
30-Dec-15,170000.00,170500.00,164500.00,166500.00,410430
29-Dec-15,172000.00,173000.00,168500.00,169500.00,345192
28-Dec-15,178500.00,180000.00,175000.00,176000.00,363470
24-Dec-15,182000.00,183500.00,177000.00,177500.00,438044
23-Dec-15,173500.00,180500.00,173000.00,179000.00,719667
22-Dec-15,170000.00,173500.00,168000.00,173000.00,396234
21-Dec-15,165000.00,170000.00,165000.00,169000.00,381823
18-Dec-15,162500.00,166000.00,162000.00,164500.00,370413
17-Dec-15,166500.00,168000.00,164000.00,164500.00,311403
16-Dec-15,165500.00,167000.00,164000.00,166000.00,608405
15-Dec-15,163500.00,165000.00,161500.00,162000.00,440027
14-Dec-15,166000.00,166500.00,164000.00,164500.00,487368
11-Dec-15,172000.00,173000.00,169000.00,170000.00,412464
