Date,Open,High,Low,Close,Volume
31-Mar-17,24850.00,25000.00,24750.00,24800.00,12504
30-Mar-17,25100.00,25100.00,24800.00,24850.00,27948
29-Mar-17,25100.00,25100.00,24800.00,25100.00,37136
28-Mar-17,25150.00,25150.00,24850.00,24950.00,34413
27-Mar-17,25000.00,25300.00,24950.00,25150.00,17062
24-Mar-17,24850.00,25200.00,24700.00,25150.00,30516
23-Mar-17,24850.00,24850.00,24600.00,24700.00,18518
22-Mar-17,24600.00,24850.00,24550.00,24800.00,19705
21-Mar-17,24700.00,24800.00,24450.00,24500.00,20628
20-Mar-17,24650.00,24750.00,24450.00,24500.00,15414
17-Mar-17,24650.00,24900.00,24500.00,24650.00,22649
16-Mar-17,24600.00,24800.00,24500.00,24550.00,18054
15-Mar-17,24900.00,24900.00,24500.00,24600.00,41554
14-Mar-17,25000.00,25300.00,24950.00,25000.00,26578
13-Mar-17,25200.00,25350.00,24900.00,25300.00,20679
10-Mar-17,24850.00,25100.00,24700.00,25100.00,24720
9-Mar-17,24900.00,25150.00,24800.00,24800.00,25420
8-Mar-17,24400.00,25050.00,24400.00,25000.00,35909
7-Mar-17,24500.00,24850.00,24400.00,24550.00,26153
6-Mar-17,24650.00,24750.00,24250.00,24500.00,35990
3-Mar-17,24900.00,25100.00,24600.00,24650.00,33641
2-Mar-17,25250.00,25300.00,24900.00,24950.00,35391
28-Feb-17,25300.00,25300.00,25100.00,25100.00,20972
27-Feb-17,25000.00,25300.00,24950.00,25300.00,22565
24-Feb-17,25400.00,25500.00,24800.00,25000.00,61859
23-Feb-17,25900.00,25900.00,25450.00,25450.00,28166
22-Feb-17,25650.00,26100.00,25450.00,25800.00,60632
21-Feb-17,25550.00,25750.00,25400.00,25750.00,28479
20-Feb-17,25750.00,25800.00,25300.00,25550.00,29798
17-Feb-17,25800.00,25850.00,25600.00,25700.00,12645
16-Feb-17,26000.00,26050.00,25650.00,25700.00,30238
15-Feb-17,25800.00,26100.00,25800.00,26100.00,39287
14-Feb-17,25900.00,26000.00,25750.00,25800.00,32312
13-Feb-17,25850.00,25950.00,25750.00,25750.00,21502
10-Feb-17,26050.00,26150.00,25650.00,25700.00,46461
9-Feb-17,26050.00,26150.00,25800.00,26050.00,44273
8-Feb-17,26350.00,26600.00,26050.00,26050.00,36422
7-Feb-17,26400.00,26650.00,26350.00,26500.00,53287
6-Feb-17,26100.00,26650.00,25850.00,26350.00,79313
3-Feb-17,25750.00,26100.00,25600.00,25850.00,23317
2-Feb-17,26100.00,26350.00,25600.00,25600.00,34908
1-Feb-17,25900.00,26000.00,25750.00,26000.00,28535
31-Jan-17,25900.00,26250.00,25550.00,25900.00,31499
26-Jan-17,26050.00,26150.00,25650.00,25650.00,55524
25-Jan-17,26100.00,26100.00,25600.00,25600.00,31156
24-Jan-17,25850.00,26100.00,25850.00,26000.00,28367
23-Jan-17,26000.00,26200.00,25950.00,26000.00,28852
20-Jan-17,25850.00,26200.00,25850.00,26050.00,28667
19-Jan-17,26000.00,26200.00,25950.00,25950.00,23323
18-Jan-17,25800.00,26200.00,25800.00,26000.00,18993
17-Jan-17,25900.00,26250.00,25850.00,26000.00,31551
16-Jan-17,26100.00,26200.00,25600.00,25900.00,33765
13-Jan-17,25900.00,26050.00,25800.00,26050.00,23736
