Date,Open,High,Low,Close,Volume
29-Jul-15,219000.00,225000.00,207000.00,207000.00,247624
28-Jul-15,223000.00,224000.00,211500.00,219000.00,272922
27-Jul-15,231000.00,232000.00,220500.00,223500.00,76557
24-Jul-15,228000.00,233500.00,225000.00,233000.00,111327
23-Jul-15,222000.00,228000.00,219000.00,228000.00,78955
22-Jul-15,221000.00,222500.00,218500.00,220500.00,64830
21-Jul-15,224000.00,224000.00,218000.00,223500.00,63292
20-Jul-15,219500.00,224000.00,214000.00,222500.00,59026
17-Jul-15,209500.00,218000.00,209500.00,217500.00,70216
16-Jul-15,211500.00,215000.00,207500.00,209500.00,78459
15-Jul-15,211000.00,217000.00,208500.00,211500.00,96111
14-Jul-15,213000.00,219000.00,209000.00,211000.00,126122
13-Jul-15,210000.00,212000.00,212000.00,212000.00,86600
10-Jul-15,207000.00,214000.00,203500.00,210500.00,122724
9-Jul-15,196500.00,206500.00,191000.00,206000.00,113436
8-Jul-15,199000.00,204000.00,196500.00,197000.00,74013
7-Jul-15,196500.00,202000.00,195500.00,198500.00,62682
6-Jul-15,201500.00,202000.00,195000.00,196500.00,66133
3-Jul-15,205500.00,206000.00,198500.00,203000.00,67725
2-Jul-15,203500.00,206000.00,200000.00,205500.00,73057
1-Jul-15,198000.00,202500.00,196500.00,201000.00,55189
30-Jun-15,193000.00,200500.00,193000.00,198000.00,64200
29-Jun-15,195500.00,200000.00,193500.00,195000.00,78021
26-Jun-15,200000.00,203500.00,198000.00,201500.00,79628
25-Jun-15,193500.00,201000.00,192000.00,198000.00,86841
24-Jun-15,196500.00,200000.00,185000.00,194500.00,138585
23-Jun-15,200500.00,203500.00,195500.00,195500.00,72409
22-Jun-15,197000.00,204000.00,196000.00,200500.00,72802
19-Jun-15,194500.00,201500.00,193500.00,197500.00,123148
18-Jun-15,198000.00,198000.00,192500.00,194500.00,71947
17-Jun-15,190000.00,199000.00,188500.00,198000.00,86045
16-Jun-15,193000.00,194500.00,185500.00,190000.00,118325
15-Jun-15,192000.00,199500.00,190500.00,192500.00,98956
12-Jun-15,186500.00,193500.00,186000.00,191500.00,261372
11-Jun-15,192500.00,193500.00,185500.00,185500.00,321495
10-Jun-15,195500.00,197500.00,189000.00,191500.00,119819
9-Jun-15,200000.00,201000.00,194000.00,194000.00,118556
8-Jun-15,202500.00,207000.00,195500.00,200500.00,119389
5-Jun-15,196000.00,204500.00,195000.00,203500.00,166192
4-Jun-15,192500.00,203000.00,186000.00,196000.00,184704
3-Jun-15,199500.00,201000.00,194500.00,194500.00,116013
2-Jun-15,206000.00,206500.00,194000.00,198000.00,271526
1-Jun-15,184500.00,205500.00,184500.00,204000.00,508747
29-May-15,178000.00,185500.00,178000.00,179000.00,463579
28-May-15,174500.00,184000.00,174000.00,181500.00,160195
27-May-15,177500.00,181000.00,173500.00,173500.00,121224
26-May-15,178500.00,182000.00,176500.00,180000.00,77593
22-May-15,181500.00,182500.00,178500.00,180500.00,56960
21-May-15,180500.00,182500.00,178000.00,181500.00,71846
20-May-15,177500.00,183000.00,176000.00,181500.00,69850
19-May-15,177500.00,179500.00,175500.00,177500.00,41779
18-May-15,175500.00,179000.00,175000.00,178500.00,63007
15-May-15,178500.00,179500.00,175500.00,176000.00,59769
14-May-15,179500.00,180500.00,178000.00,178500.00,84938
13-May-15,180500.00,182500.00,178500.00,181500.00,68317
12-May-15,176500.00,182500.00,175500.00,181000.00,64367
11-May-15,178500.00,179500.00,176500.00,178500.00,57663
8-May-15,180500.00,182000.00,179000.00,179000.00,98616
7-May-15,183500.00,185000.00,180000.00,181000.00,76491
6-May-15,183500.00,187000.00,182500.00,184500.00,58546
4-May-15,184000.00,187000.00,183500.00,185000.00,52041
30-Apr-15,182500.00,187500.00,180000.00,185000.00,120700
29-Apr-15,184500.00,185500.00,178500.00,184000.00,137005
28-Apr-15,183500.00,185000.00,182000.00,183500.00,137707
27-Apr-15,180500.00,183000.00,178500.00,180500.00,107708
24-Apr-15,183000.00,186000.00,177500.00,180000.00,123936
23-Apr-15,178000.00,185000.00,174500.00,183000.00,195754
22-Apr-15,178000.00,181500.00,177000.00,178000.00,167271
21-Apr-15,176000.00,184000.00,175500.00,178000.00,317532
20-Apr-15,190000.00,190500.00,173500.00,174000.00,292443
17-Apr-15,174500.00,178000.00,173500.00,176000.00,73938
16-Apr-15,175000.00,179000.00,173500.00,175500.00,110800
15-Apr-15,170000.00,175000.00,170000.00,173000.00,66058
14-Apr-15,170000.00,175500.00,170000.00,172000.00,87907
13-Apr-15,172500.00,175000.00,170000.00,171000.00,78517
10-Apr-15,170500.00,174000.00,169000.00,173500.00,71094
9-Apr-15,170000.00,171000.00,168000.00,170000.00,67029
8-Apr-15,165500.00,173000.00,165500.00,171500.00,115236
7-Apr-15,166000.00,168000.00,164500.00,165000.00,74727
6-Apr-15,168500.00,168500.00,165000.00,165500.00,49250
3-Apr-15,168000.00,170000.00,167500.00,168000.00,35330
2-Apr-15,167000.00,169500.00,166500.00,168000.00,65628
1-Apr-15,169000.00,170500.00,166500.00,167500.00,67276
31-Mar-15,169500.00,171000.00,166500.00,170000.00,105138
30-Mar-15,174000.00,174000.00,168000.00,169500.00,52900
27-Mar-15,168000.00,174000.00,167500.00,171000.00,95722
26-Mar-15,169000.00,171000.00,166500.00,167500.00,88446
25-Mar-15,167000.00,168500.00,167000.00,167500.00,44873
24-Mar-15,165000.00,168500.00,164500.00,167500.00,62483
23-Mar-15,170000.00,170000.00,164500.00,165500.00,84251
20-Mar-15,170000.00,170500.00,165000.00,168500.00,124767
19-Mar-15,170500.00,171500.00,168500.00,170500.00,72798
18-Mar-15,173000.00,173000.00,166500.00,169500.00,108969
17-Mar-15,168500.00,172500.00,166500.00,171500.00,89075
16-Mar-15,166500.00,169000.00,164000.00,168000.00,63525
13-Mar-15,166500.00,168000.00,165000.00,167500.00,70932
12-Mar-15,165000.00,168500.00,163500.00,164500.00,126805
11-Mar-15,171500.00,172500.00,164500.00,165500.00,134008
10-Mar-15,172000.00,174500.00,169500.00,172500.00,56831
9-Mar-15,173000.00,175500.00,170500.00,172000.00,49796
6-Mar-15,175500.00,177000.00,173000.00,174500.00,58047
5-Mar-15,174000.00,177500.00,173500.00,175500.00,48689
4-Mar-15,173500.00,176500.00,173500.00,175500.00,39828
3-Mar-15,180500.00,182000.00,174000.00,174000.00,122461
2-Mar-15,185000.00,187000.00,180000.00,181500.00,67250
27-Feb-15,183500.00,186000.00,181000.00,186000.00,72091
