Date,Open,High,Low,Close,Volume
31-Mar-17,30700.00,30900.00,30500.00,30800.00,86455
30-Mar-17,30700.00,30800.00,30450.00,30600.00,75802
29-Mar-17,31050.00,31100.00,30450.00,30700.00,139568
28-Mar-17,30500.00,31300.00,30500.00,30900.00,145260
27-Mar-17,30700.00,30700.00,30250.00,30400.00,59688
24-Mar-17,30450.00,30900.00,30400.00,30550.00,122147
23-Mar-17,30200.00,30650.00,30200.00,30350.00,95722
22-Mar-17,30300.00,30500.00,30000.00,30200.00,101805
21-Mar-17,30500.00,30800.00,30400.00,30500.00,86408
20-Mar-17,30600.00,30600.00,30000.00,30350.00,96874
17-Mar-17,30800.00,30950.00,30300.00,30650.00,140417
16-Mar-17,30350.00,30800.00,30300.00,30450.00,111337
15-Mar-17,29950.00,30350.00,29900.00,30150.00,103155
14-Mar-17,30100.00,30350.00,29900.00,29950.00,152252
13-Mar-17,30650.00,30700.00,29900.00,30100.00,177696
10-Mar-17,30000.00,30600.00,29700.00,30550.00,150158
9-Mar-17,30750.00,30900.00,29700.00,29900.00,459704
8-Mar-17,31650.00,31650.00,30850.00,31050.00,111058
7-Mar-17,30650.00,31800.00,30600.00,31650.00,113982
6-Mar-17,30850.00,30850.00,30100.00,30550.00,172313
3-Mar-17,31000.00,31350.00,30650.00,31100.00,82850
2-Mar-17,31600.00,32000.00,31050.00,31150.00,116843
28-Feb-17,32050.00,32050.00,31350.00,31450.00,145486
27-Feb-17,32850.00,32900.00,31900.00,32050.00,112339
24-Feb-17,33000.00,33000.00,32300.00,32750.00,102055
23-Feb-17,32850.00,33200.00,32650.00,32950.00,95007
22-Feb-17,33600.00,33600.00,32600.00,32800.00,169046
21-Feb-17,32300.00,33400.00,32300.00,33400.00,138922
20-Feb-17,32950.00,33150.00,32400.00,32600.00,100079
17-Feb-17,32500.00,33550.00,32200.00,33150.00,158071
16-Feb-17,33350.00,33600.00,32400.00,32550.00,149439
15-Feb-17,33400.00,33600.00,33050.00,33300.00,98749
14-Feb-17,33850.00,33850.00,33100.00,33250.00,118817
13-Feb-17,33150.00,33950.00,33050.00,33750.00,160908
10-Feb-17,31500.00,33700.00,31350.00,33250.00,399945
9-Feb-17,30800.00,31550.00,30800.00,31200.00,77873
8-Feb-17,31300.00,31450.00,30850.00,30850.00,90381
7-Feb-17,32100.00,32150.00,31100.00,31500.00,142986
6-Feb-17,31600.00,32100.00,30900.00,31950.00,151339
3-Feb-17,31300.00,31700.00,31100.00,31350.00,107267
2-Feb-17,31450.00,31900.00,31300.00,31400.00,129811
1-Feb-17,31050.00,31900.00,30950.00,31750.00,93147
31-Jan-17,31100.00,31250.00,30600.00,31050.00,77049
