Date,Open,High,Low,Close,Volume
31-Mar-17,253500.00,254500.00,252000.00,252000.00,107461
30-Mar-17,252500.00,256500.00,250500.00,255500.00,262922
29-Mar-17,259500.00,260000.00,251500.00,252500.00,198011
28-Mar-17,259500.00,260500.00,254500.00,260500.00,145772
27-Mar-17,261500.00,265500.00,259000.00,259500.00,135200
24-Mar-17,262500.00,265000.00,259000.00,260000.00,114585
23-Mar-17,258500.00,266000.00,255500.00,262500.00,249036
22-Mar-17,254500.00,260500.00,254000.00,259500.00,273281
21-Mar-17,251500.00,255000.00,250000.00,253000.00,172235
20-Mar-17,249000.00,252500.00,247000.00,251000.00,157918
17-Mar-17,255500.00,256500.00,249000.00,250000.00,199139
16-Mar-17,257500.00,259000.00,254500.00,256000.00,228557
15-Mar-17,248000.00,258000.00,245500.00,257500.00,436461
14-Mar-17,247500.00,250000.00,245000.00,245500.00,230277
13-Mar-17,246000.00,247000.00,242500.00,245000.00,233998
10-Mar-17,249000.00,252000.00,246000.00,247000.00,310342
9-Mar-17,245500.00,249000.00,244000.00,248000.00,386906
8-Mar-17,233500.00,243500.00,232500.00,241000.00,565086
7-Mar-17,233500.00,234500.00,231000.00,231000.00,83238
6-Mar-17,232500.00,236000.00,231500.00,232000.00,154854
3-Mar-17,229500.00,236500.00,229500.00,233000.00,181195
2-Mar-17,233000.00,233500.00,229500.00,229500.00,143361
28-Feb-17,233000.00,233500.00,229500.00,231500.00,176915
27-Feb-17,233000.00,233000.00,230500.00,232000.00,90502
24-Feb-17,232000.00,233000.00,230000.00,231500.00,151218
23-Feb-17,231500.00,232000.00,229000.00,231000.00,157616
22-Feb-17,227000.00,231000.00,226500.00,231000.00,194040
21-Feb-17,227000.00,228500.00,226500.00,227500.00,87041
20-Feb-17,225500.00,226500.00,224000.00,226500.00,57784
17-Feb-17,224000.00,227500.00,223500.00,226500.00,73365
16-Feb-17,225000.00,227000.00,224000.00,225500.00,128170
15-Feb-17,228000.00,228500.00,224500.00,225000.00,99800
14-Feb-17,229500.00,230000.00,225500.00,229000.00,109828
13-Feb-17,228500.00,229500.00,227000.00,229500.00,117773
10-Feb-17,226500.00,227500.00,224500.00,227500.00,174527
