Date,Open,High,Low,Close,Volume
16-Feb-17,2365.00,2560.00,2355.00,2385.00,5580759
15-Feb-17,2530.00,2590.00,2365.00,2395.00,3849659
14-Feb-17,2625.00,2675.00,2500.00,2525.00,4256051
13-Feb-17,2590.00,2845.00,2505.00,2790.00,7319668
10-Feb-17,2680.00,2775.00,2525.00,2595.00,4119956
9-Feb-17,2850.00,2900.00,2630.00,2685.00,3965067
8-Feb-17,2940.00,3025.00,2850.00,2850.00,3532954
7-Feb-17,2990.00,3010.00,2845.00,2930.00,5026039
6-Feb-17,3360.00,3430.00,3025.00,3090.00,9582536
3-Feb-17,3030.00,3145.00,2835.00,2950.00,8876463
2-Feb-17,3150.00,3540.00,2765.00,2890.00,25265179
1-Feb-17,2550.00,3280.00,2540.00,3280.00,33476713
31-Jan-17,2490.00,2575.00,2365.00,2525.00,3793929
26-Jan-17,2480.00,2540.00,2395.00,2495.00,3530632
25-Jan-17,2435.00,2675.00,2395.00,2465.00,10250912
24-Jan-17,2390.00,2550.00,2325.00,2395.00,4553366
23-Jan-17,2505.00,2855.00,2350.00,2350.00,12991012
20-Jan-17,2675.00,2690.00,2500.00,2535.00,3917463
19-Jan-17,2720.00,2795.00,2575.00,2670.00,8192429
18-Jan-17,2675.00,2930.00,2450.00,2735.00,25382289
17-Jan-17,2900.00,2970.00,2490.00,2640.00,14121004
16-Jan-17,3570.00,3620.00,2915.00,3015.00,18007979
13-Jan-17,3750.00,4070.00,2840.00,3215.00,63940388
12-Jan-17,3040.00,3580.00,3040.00,3480.00,37483734
11-Jan-17,2350.00,2760.00,2260.00,2760.00,32033285
10-Jan-17,1995.00,2405.00,1955.00,2125.00,12938460
9-Jan-17,1880.00,2080.00,1870.00,2010.00,5613435
6-Jan-17,1870.00,1945.00,1855.00,1875.00,2240782
5-Jan-17,1830.00,2025.00,1790.00,1870.00,5592710
4-Jan-17,1750.00,1985.00,1735.00,1865.00,9017228
3-Jan-17,1700.00,1810.00,1675.00,1725.00,1790918
2-Jan-17,1730.00,1730.00,1675.00,1690.00,690884
29-Dec-16,1690.00,1730.00,1660.00,1660.00,797908
28-Dec-16,1680.00,1800.00,1610.00,1705.00,2242784
27-Dec-16,1655.00,1930.00,1610.00,1680.00,9726479
26-Dec-16,1835.00,1915.00,1555.00,1605.00,3281104
23-Dec-16,1875.00,1885.00,1820.00,1885.00,1073433
22-Dec-16,1930.00,1935.00,1855.00,1880.00,1326014
21-Dec-16,1910.00,1950.00,1845.00,1920.00,2367755
20-Dec-16,1925.00,1955.00,1900.00,1905.00,1701934
19-Dec-16,1900.00,2015.00,1880.00,1905.00,2380514
16-Dec-16,2020.00,2040.00,1890.00,1890.00,4416384
15-Dec-16,2140.00,2180.00,1995.00,2060.00,3230185
