Date,Open,High,Low,Close,Volume
14-Apr-14,358.00,418.00,358.00,409.00,3937060
11-Apr-14,500.00,500.00,400.00,403.00,3239670
10-Apr-14,530.00,561.00,420.00,422.00,3563000
9-Apr-14,500.00,607.00,500.00,525.00,2939940
8-Apr-14,450.00,598.00,450.00,572.00,4911570
7-Apr-14,500.00,500.00,416.00,416.00,4782580
4-Apr-14,750.00,750.00,600.00,600.00,7486970
5-Feb-14,5600.00,5760.00,5530.00,5550.00,201710
4-Feb-14,5380.00,5950.00,5290.00,5550.00,930350
3-Feb-14,5420.00,5570.00,5330.00,5390.00,151540
29-Jan-14,5360.00,5690.00,5360.00,5490.00,324240
28-Jan-14,6060.00,6060.00,5470.00,5490.00,471390
27-Jan-14,6450.00,6460.00,6180.00,6180.00,215730
24-Jan-14,6720.00,6800.00,6540.00,6600.00,144450
23-Jan-14,6820.00,6880.00,6720.00,6720.00,103010
22-Jan-14,6740.00,7000.00,6670.00,6820.00,191220
21-Jan-14,6760.00,6830.00,6660.00,6700.00,141480
20-Jan-14,6930.00,6940.00,6780.00,6800.00,137850
17-Jan-14,6940.00,6940.00,6820.00,6880.00,90700
16-Jan-14,6890.00,6940.00,6830.00,6900.00,101060
15-Jan-14,6790.00,7020.00,6790.00,6830.00,230050
14-Jan-14,6900.00,7240.00,6810.00,6980.00,456020
13-Jan-14,7330.00,7470.00,6940.00,6970.00,555780
10-Jan-14,6980.00,7040.00,6840.00,7030.00,147110
9-Jan-14,6960.00,7070.00,6870.00,6980.00,241400
8-Jan-14,7000.00,7000.00,6790.00,6840.00,113990
7-Jan-14,7100.00,7170.00,6850.00,6890.00,223940
6-Jan-14,6810.00,7540.00,6720.00,7100.00,945400
3-Jan-14,6740.00,6870.00,6720.00,6770.00,69410
2-Jan-14,6710.00,6890.00,6650.00,6790.00,147070
30-Dec-13,6700.00,6730.00,6560.00,6700.00,113540
27-Dec-13,6640.00,6940.00,6500.00,6660.00,229090
26-Dec-13,6770.00,6780.00,6600.00,6640.00,165160
24-Dec-13,7120.00,7120.00,6750.00,6760.00,318680
23-Dec-13,6940.00,7090.00,6660.00,6720.00,238850
20-Dec-13,6790.00,6850.00,6120.00,6850.00,729940
19-Dec-13,6700.00,7050.00,6700.00,6790.00,497520
18-Dec-13,6700.00,6790.00,6520.00,6690.00,246050
17-Dec-13,6990.00,7300.00,6650.00,6670.00,671580
16-Dec-13,6630.00,7450.00,6510.00,7130.00,1573150
13-Dec-13,6960.00,6960.00,6400.00,6550.00,736650
12-Dec-13,8050.00,8120.00,7010.00,7100.00,959520
11-Dec-13,7900.00,8640.00,7820.00,8000.00,1166760
10-Dec-13,7810.00,8200.00,7530.00,8150.00,321630
9-Dec-13,8650.00,8650.00,7520.00,7870.00,1008090
6-Dec-13,8890.00,8890.00,8450.00,8500.00,247070
5-Dec-13,8670.00,9180.00,8620.00,8890.00,310490
4-Dec-13,9140.00,9160.00,8650.00,8730.00,354590
3-Dec-13,9310.00,9390.00,9100.00,9130.00,212280
2-Dec-13,9400.00,9450.00,9230.00,9260.00,258410
29-Nov-13,9550.00,9760.00,9280.00,9410.00,379810
28-Nov-13,9640.00,9870.00,9420.00,9650.00,871150
27-Nov-13,9300.00,10450.00,9290.00,10200.00,2987850
