Date,Open,High,Low,Close,Volume
31-Mar-17,5550.00,5560.00,5430.00,5500.00,1985963
30-Mar-17,5530.00,5560.00,5480.00,5540.00,1869207
29-Mar-17,5590.00,5620.00,5490.00,5510.00,2818370
28-Mar-17,5540.00,5570.00,5410.00,5450.00,2512148
27-Mar-17,5600.00,5770.00,5500.00,5500.00,3695394
24-Mar-17,5480.00,5630.00,5430.00,5600.00,3007450
23-Mar-17,5430.00,5580.00,5360.00,5480.00,4045027
22-Mar-17,5550.00,5650.00,5380.00,5430.00,6168777
21-Mar-17,5670.00,5720.00,5580.00,5650.00,4189211
20-Mar-17,5500.00,5840.00,5400.00,5640.00,5125387
17-Mar-17,5560.00,5590.00,5400.00,5480.00,4491183
16-Mar-17,5160.00,5550.00,5150.00,5550.00,8264917
15-Mar-17,5180.00,5180.00,5090.00,5100.00,1874332
14-Mar-17,5180.00,5320.00,5130.00,5150.00,2697663
13-Mar-17,5220.00,5240.00,5120.00,5150.00,2024652
10-Mar-17,5050.00,5240.00,4990.00,5210.00,4059481
9-Mar-17,5240.00,5250.00,5020.00,5070.00,4799283
8-Mar-17,5280.00,5400.00,5080.00,5240.00,5021185
7-Mar-17,5410.00,5420.00,5250.00,5280.00,3933813
6-Mar-17,5230.00,5390.00,5150.00,5360.00,4235184
3-Mar-17,5100.00,5260.00,5050.00,5230.00,5200139
2-Mar-17,5210.00,5250.00,5020.00,5120.00,4623146
28-Feb-17,4790.00,5260.00,4720.00,5170.00,11449654
27-Feb-17,4970.00,4970.00,4795.00,4810.00,2843203
24-Feb-17,4995.00,5060.00,4820.00,4930.00,4209937
23-Feb-17,4780.00,5000.00,4780.00,4975.00,5403353
22-Feb-17,4955.00,5070.00,4730.00,4740.00,6995753
21-Feb-17,4620.00,4940.00,4620.00,4900.00,8787903
20-Feb-17,4620.00,4640.00,4470.00,4615.00,3718529
17-Feb-17,4510.00,4850.00,4495.00,4600.00,8477137
16-Feb-17,4455.00,4510.00,4350.00,4475.00,4211599
15-Feb-17,4295.00,4455.00,4295.00,4415.00,4744024
14-Feb-17,4210.00,4310.00,4175.00,4295.00,3701008
13-Feb-17,4235.00,4250.00,4175.00,4210.00,2556844
10-Feb-17,4085.00,4245.00,4070.00,4210.00,4872067
9-Feb-17,4055.00,4115.00,3995.00,4090.00,2124445
8-Feb-17,3955.00,4050.00,3935.00,4035.00,2363787
7-Feb-17,3845.00,3940.00,3835.00,3940.00,1414249
6-Feb-17,3860.00,3900.00,3820.00,3840.00,1450076
3-Feb-17,3820.00,3935.00,3820.00,3840.00,1777000
2-Feb-17,3960.00,3960.00,3775.00,3825.00,2972357
1-Feb-17,3850.00,3975.00,3820.00,3955.00,1352275
31-Jan-17,3885.00,3905.00,3830.00,3850.00,1664704
26-Jan-17,3885.00,3915.00,3855.00,3915.00,871171
25-Jan-17,3890.00,3935.00,3845.00,3890.00,790016
24-Jan-17,3965.00,3995.00,3870.00,3890.00,1783080
23-Jan-17,4050.00,4075.00,3975.00,3980.00,1450159
20-Jan-17,4155.00,4195.00,4025.00,4050.00,1431498
19-Jan-17,4090.00,4225.00,4090.00,4160.00,3933169
18-Jan-17,4110.00,4115.00,4025.00,4055.00,665064
17-Jan-17,4080.00,4125.00,4065.00,4100.00,995780
16-Jan-17,4045.00,4130.00,3990.00,4095.00,1685493
13-Jan-17,4115.00,4210.00,4000.00,4020.00,2695779
12-Jan-17,4095.00,4195.00,3995.00,4120.00,3996277
11-Jan-17,3950.00,4100.00,3950.00,4095.00,2107210
10-Jan-17,4025.00,4030.00,3950.00,3965.00,808298
9-Jan-17,4055.00,4080.00,3995.00,4025.00,778858
6-Jan-17,4050.00,4115.00,4045.00,4070.00,1256778
5-Jan-17,4085.00,4120.00,4040.00,4050.00,952945
4-Jan-17,4035.00,4085.00,4005.00,4080.00,1536465
3-Jan-17,4000.00,4030.00,3965.00,4025.00,1464272
2-Jan-17,3985.00,3990.00,3925.00,3945.00,643284
29-Dec-16,3955.00,3995.00,3915.00,3985.00,997978
28-Dec-16,3850.00,3980.00,3850.00,3945.00,876477
27-Dec-16,3930.00,3935.00,3850.00,3855.00,1323125
26-Dec-16,4015.00,4045.00,3930.00,3930.00,1179032
23-Dec-16,4000.00,4010.00,3930.00,3960.00,1426491
22-Dec-16,3890.00,3990.00,3880.00,3985.00,2061763
21-Dec-16,3850.00,3885.00,3840.00,3845.00,859243
20-Dec-16,3870.00,3885.00,3835.00,3865.00,1053247
19-Dec-16,3800.00,3895.00,3765.00,3855.00,1223926
16-Dec-16,3800.00,3830.00,3705.00,3830.00,2230753
15-Dec-16,3820.00,3835.00,3780.00,3800.00,2000593
14-Dec-16,3855.00,3900.00,3820.00,3860.00,1196358
13-Dec-16,3870.00,3875.00,3810.00,3840.00,1604125
12-Dec-16,3955.00,3955.00,3865.00,3885.00,1202466
9-Dec-16,3900.00,3970.00,3800.00,3945.00,1671250
8-Dec-16,4010.00,4045.00,3915.00,3915.00,2082838
7-Dec-16,4005.00,4085.00,3975.00,4050.00,3541356
6-Dec-16,4025.00,4060.00,3975.00,4000.00,2238902
5-Dec-16,4000.00,4065.00,3920.00,4025.00,1150359
2-Dec-16,4075.00,4135.00,4030.00,4040.00,1909349
1-Dec-16,3950.00,4110.00,3895.00,4075.00,2211091
30-Nov-16,3925.00,4040.00,3920.00,3930.00,1216468
29-Nov-16,3910.00,3980.00,3865.00,3955.00,1228791
28-Nov-16,3900.00,3915.00,3800.00,3900.00,1704332
25-Nov-16,3940.00,3975.00,3895.00,3910.00,1989154
24-Nov-16,4100.00,4125.00,3910.00,3975.00,2562079
23-Nov-16,4020.00,4175.00,4015.00,4095.00,1574423
22-Nov-16,4100.00,4185.00,3995.00,4055.00,2233631
21-Nov-16,4200.00,4215.00,4110.00,4120.00,1809318
18-Nov-16,4145.00,4280.00,4115.00,4175.00,6508321
17-Nov-16,4075.00,4140.00,4005.00,4085.00,3026574
16-Nov-16,3945.00,4030.00,3915.00,4005.00,1680074
15-Nov-16,4000.00,4040.00,3880.00,3900.00,2479986
14-Nov-16,4050.00,4130.00,3935.00,4075.00,3999199
