Date,Open,High,Low,Close,Volume
31-Mar-17,58600.00,59200.00,58500.00,58500.00,6984
30-Mar-17,59500.00,59500.00,58000.00,58700.00,24393
29-Mar-17,59100.00,60000.00,58600.00,59500.00,9207
28-Mar-17,60000.00,60400.00,59600.00,60100.00,7017
27-Mar-17,60200.00,60700.00,58200.00,60700.00,8624
24-Mar-17,59600.00,60900.00,59100.00,60400.00,10823
23-Mar-17,59400.00,60000.00,58200.00,59100.00,7638
22-Mar-17,58100.00,59300.00,57900.00,59300.00,9779
21-Mar-17,60200.00,60200.00,57900.00,58100.00,16656
20-Mar-17,60600.00,60700.00,59800.00,60000.00,5130
17-Mar-17,61900.00,61900.00,59900.00,60500.00,13055
16-Mar-17,62100.00,63300.00,61300.00,62000.00,9425
15-Mar-17,63000.00,63500.00,62200.00,62400.00,7400
14-Mar-17,63000.00,63500.00,62100.00,63000.00,7181
13-Mar-17,64800.00,65000.00,62900.00,63000.00,14431
10-Mar-17,66000.00,66100.00,63600.00,65200.00,12409
9-Mar-17,66100.00,66500.00,65500.00,66000.00,4600
8-Mar-17,65600.00,66400.00,65400.00,66400.00,4939
7-Mar-17,66700.00,66800.00,65500.00,66100.00,3851
6-Mar-17,65700.00,66700.00,65500.00,66100.00,3873
3-Mar-17,66000.00,67300.00,65600.00,66100.00,5786
2-Mar-17,67800.00,69400.00,65800.00,66000.00,18749
28-Feb-17,70600.00,70600.00,67600.00,67800.00,14400
27-Feb-17,70000.00,70900.00,69600.00,70100.00,2613
24-Feb-17,69300.00,70900.00,69300.00,69900.00,5149
23-Feb-17,69200.00,70100.00,69100.00,70000.00,3591
22-Feb-17,70900.00,70900.00,68400.00,69000.00,29795
21-Feb-17,70000.00,71100.00,70000.00,70800.00,6508
20-Feb-17,70500.00,71100.00,69800.00,70600.00,3836
17-Feb-17,70400.00,71300.00,70000.00,70700.00,4895
16-Feb-17,71900.00,71900.00,70300.00,71000.00,3748
15-Feb-17,70300.00,71700.00,70300.00,71600.00,5498
14-Feb-17,71000.00,71500.00,70400.00,70900.00,5199
13-Feb-17,70200.00,71000.00,70200.00,70700.00,4248
10-Feb-17,70800.00,71100.00,69100.00,70200.00,8717
9-Feb-17,71700.00,71900.00,70100.00,70800.00,6786
8-Feb-17,70700.00,71900.00,70100.00,70900.00,10947
7-Feb-17,71600.00,71600.00,69900.00,71400.00,4105
6-Feb-17,69500.00,71900.00,69000.00,70900.00,15704
3-Feb-17,68600.00,69300.00,67500.00,69000.00,11810
2-Feb-17,67500.00,69000.00,67400.00,68600.00,5595
1-Feb-17,68300.00,68900.00,67700.00,68600.00,7842
31-Jan-17,66500.00,67800.00,65000.00,67800.00,4524
26-Jan-17,66500.00,66500.00,64900.00,66100.00,2817
25-Jan-17,66600.00,66600.00,65100.00,65900.00,3909
24-Jan-17,67700.00,67700.00,65000.00,66000.00,8961
23-Jan-17,67200.00,68200.00,66000.00,66800.00,6357
20-Jan-17,67800.00,67800.00,66500.00,67000.00,5719
19-Jan-17,68900.00,69000.00,66700.00,67800.00,10466
18-Jan-17,69200.00,69200.00,67200.00,68800.00,6950
17-Jan-17,68500.00,69000.00,67200.00,68900.00,4760
16-Jan-17,68400.00,68700.00,66600.00,68300.00,5004
13-Jan-17,68300.00,68300.00,67000.00,67600.00,10426
12-Jan-17,67800.00,68100.00,67200.00,68000.00,7263
11-Jan-17,66500.00,67500.00,66300.00,67100.00,4608
10-Jan-17,66300.00,67700.00,65700.00,67100.00,7316
9-Jan-17,67100.00,68000.00,66700.00,66900.00,5678
6-Jan-17,67900.00,68100.00,66600.00,67600.00,8832
5-Jan-17,67000.00,68100.00,67000.00,67800.00,9206
4-Jan-17,67100.00,68000.00,66900.00,67600.00,10415
3-Jan-17,67700.00,67900.00,66500.00,67800.00,8020
2-Jan-17,67600.00,68300.00,67000.00,67700.00,11982
29-Dec-16,66800.00,67300.00,66300.00,67000.00,14290
