Date,Open,High,Low,Close,Volume
31-Mar-17,13000.00,13050.00,12750.00,12850.00,1451051
30-Mar-17,12800.00,12900.00,12600.00,12850.00,1290081
29-Mar-17,12950.00,12950.00,12600.00,12750.00,1281875
28-Mar-17,12600.00,12800.00,12500.00,12750.00,1511406
27-Mar-17,12800.00,12850.00,12300.00,12400.00,2213431
24-Mar-17,13050.00,13100.00,12650.00,12850.00,1601733
23-Mar-17,12550.00,13100.00,12500.00,13000.00,2604102
22-Mar-17,12500.00,12800.00,12400.00,12550.00,2472864
21-Mar-17,12800.00,12850.00,12650.00,12700.00,1136775
20-Mar-17,12950.00,12950.00,12550.00,12850.00,1535896
17-Mar-17,13000.00,13200.00,12850.00,12900.00,1927113
16-Mar-17,12600.00,13000.00,12550.00,13000.00,3867237
15-Mar-17,12450.00,12550.00,12100.00,12400.00,2438206
14-Mar-17,12450.00,12800.00,12300.00,12400.00,2997074
13-Mar-17,12550.00,12650.00,12100.00,12450.00,3036198
10-Mar-17,12450.00,12750.00,12250.00,12600.00,4146669
9-Mar-17,13000.00,13100.00,12450.00,12450.00,6750547
8-Mar-17,13400.00,13700.00,13150.00,13300.00,2894517
7-Mar-17,13200.00,13700.00,13150.00,13500.00,3698950
6-Mar-17,13000.00,13350.00,12800.00,13300.00,3554954
3-Mar-17,12550.00,13100.00,12500.00,13050.00,5387144
2-Mar-17,12550.00,12900.00,12500.00,12650.00,3562591
28-Feb-17,12100.00,12400.00,11950.00,12400.00,2420206
27-Feb-17,11350.00,12450.00,11350.00,12150.00,7063485
24-Feb-17,12200.00,12400.00,11750.00,11800.00,3063023
23-Feb-17,12350.00,12400.00,12100.00,12250.00,1414622
22-Feb-17,12100.00,12400.00,11850.00,12350.00,2569325
21-Feb-17,11650.00,12050.00,11600.00,12050.00,2180725
20-Feb-17,12200.00,12250.00,11500.00,11600.00,4153774
17-Feb-17,12200.00,12450.00,12050.00,12250.00,1588691
16-Feb-17,12450.00,12500.00,12200.00,12400.00,1160582
15-Feb-17,12700.00,12750.00,12400.00,12500.00,1468215
14-Feb-17,12400.00,12750.00,12300.00,12750.00,1779990
13-Feb-17,12900.00,12900.00,12350.00,12400.00,2039658
10-Feb-17,12800.00,13000.00,12650.00,12850.00,1483294
9-Feb-17,12250.00,12800.00,12200.00,12800.00,2757880
8-Feb-17,12550.00,12600.00,12200.00,12250.00,1265948
7-Feb-17,12400.00,12550.00,12100.00,12500.00,2026623
6-Feb-17,12550.00,12700.00,12400.00,12500.00,1247668
3-Feb-17,12400.00,12800.00,12300.00,12600.00,2469253
2-Feb-17,12750.00,12800.00,12400.00,12400.00,2558464
1-Feb-17,12600.00,12950.00,12500.00,12800.00,4542396
31-Jan-17,12050.00,12600.00,11950.00,12600.00,3901032
26-Jan-17,11450.00,12100.00,11450.00,12000.00,4798607
25-Jan-17,11600.00,11700.00,11250.00,11550.00,2269748
24-Jan-17,11500.00,11650.00,11350.00,11650.00,1860701
23-Jan-17,10800.00,11700.00,10750.00,11600.00,4068928
20-Jan-17,10650.00,10900.00,10650.00,10750.00,1065999
19-Jan-17,11100.00,11100.00,10600.00,10700.00,1751440
18-Jan-17,10800.00,11000.00,10600.00,11000.00,2150691
17-Jan-17,10950.00,11200.00,10700.00,10800.00,3629976
16-Jan-17,11650.00,11700.00,10700.00,11250.00,5706744
13-Jan-17,11600.00,11800.00,11500.00,11650.00,2076877
12-Jan-17,11200.00,11750.00,11150.00,11650.00,4044308
11-Jan-17,10850.00,11300.00,10850.00,11250.00,2150498
10-Jan-17,11050.00,11100.00,10850.00,10950.00,1413543
9-Jan-17,11000.00,11150.00,10800.00,11150.00,1279736
6-Jan-17,11050.00,11150.00,10900.00,11050.00,1241043
5-Jan-17,10950.00,11100.00,10800.00,11050.00,1673976
4-Jan-17,10750.00,11000.00,10600.00,10950.00,2436705
3-Jan-17,10500.00,10700.00,10350.00,10700.00,1480769
2-Jan-17,10300.00,10450.00,10200.00,10450.00,750366
29-Dec-16,10450.00,10650.00,10300.00,10300.00,986247
28-Dec-16,10200.00,10500.00,10150.00,10450.00,1085857
27-Dec-16,10450.00,10450.00,10150.00,10150.00,997236
26-Dec-16,10600.00,10650.00,10350.00,10450.00,875724
23-Dec-16,10500.00,10600.00,10350.00,10550.00,805270
22-Dec-16,10650.00,10800.00,10350.00,10450.00,1394155
21-Dec-16,10150.00,10650.00,10150.00,10600.00,2460825
20-Dec-16,10250.00,10350.00,10000.00,10100.00,1254478
19-Dec-16,10400.00,10400.00,10150.00,10250.00,1016394
16-Dec-16,10400.00,10550.00,10250.00,10450.00,1601162
15-Dec-16,10150.00,10500.00,10000.00,10400.00,1942094
14-Dec-16,9940.00,10400.00,9910.00,10250.00,3507903
13-Dec-16,9890.00,9930.00,9700.00,9870.00,1123597
12-Dec-16,9300.00,9900.00,9300.00,9850.00,2488482
9-Dec-16,9150.00,9260.00,9150.00,9240.00,816633
8-Dec-16,9170.00,9270.00,9060.00,9150.00,1072353
7-Dec-16,9390.00,9400.00,9050.00,9170.00,1721190
6-Dec-16,9470.00,9530.00,9360.00,9390.00,948154
5-Dec-16,9690.00,9700.00,9410.00,9450.00,853436
2-Dec-16,9800.00,9930.00,9670.00,9720.00,1006548
1-Dec-16,9600.00,9900.00,9540.00,9750.00,1307163
30-Nov-16,9480.00,9580.00,9380.00,9480.00,416216
29-Nov-16,9400.00,9670.00,9400.00,9490.00,800795
28-Nov-16,9590.00,9590.00,9360.00,9390.00,760620
25-Nov-16,9390.00,9500.00,9360.00,9480.00,477121
24-Nov-16,9660.00,9760.00,9400.00,9430.00,949365
23-Nov-16,10100.00,10100.00,9710.00,9720.00,800015
22-Nov-16,10050.00,10050.00,9790.00,9850.00,797759
21-Nov-16,9770.00,10100.00,9770.00,9970.00,928973
18-Nov-16,10150.00,10200.00,9800.00,9840.00,1219559
17-Nov-16,10200.00,10200.00,10050.00,10150.00,438896
16-Nov-16,10100.00,10250.00,9990.00,10200.00,1056658
15-Nov-16,10150.00,10150.00,9940.00,10050.00,988646
