Date,Open,High,Low,Close,Volume
31-Mar-17,91400.00,95500.00,91300.00,95100.00,39768
30-Mar-17,92000.00,92200.00,90100.00,90900.00,10642
29-Mar-17,91500.00,92100.00,89700.00,91400.00,20674
28-Mar-17,91500.00,91900.00,89300.00,90800.00,24736
27-Mar-17,94000.00,94000.00,90700.00,91000.00,24314
24-Mar-17,96200.00,96400.00,92600.00,92700.00,30104
23-Mar-17,94800.00,97200.00,93900.00,96100.00,27522
22-Mar-17,95200.00,96800.00,92900.00,93800.00,83427
21-Mar-17,101000.00,101500.00,96600.00,96900.00,46002
20-Mar-17,101000.00,102500.00,100000.00,101000.00,7833
17-Mar-17,102000.00,103000.00,99500.00,102000.00,21443
16-Mar-17,102000.00,102500.00,99300.00,101500.00,30471
15-Mar-17,99300.00,101000.00,98900.00,100000.00,24534
14-Mar-17,102000.00,102500.00,98400.00,98700.00,51511
13-Mar-17,107000.00,107000.00,100000.00,101000.00,57956
10-Mar-17,106000.00,107500.00,104500.00,106500.00,20251
9-Mar-17,107500.00,108000.00,106000.00,107500.00,17976
8-Mar-17,108000.00,110500.00,108000.00,109000.00,22050
7-Mar-17,109500.00,110500.00,108000.00,110000.00,19003
6-Mar-17,112000.00,113500.00,108000.00,110500.00,24521
3-Mar-17,115500.00,115500.00,112000.00,113500.00,8495
2-Mar-17,115000.00,117500.00,113000.00,115500.00,32299
28-Feb-17,114000.00,115000.00,111000.00,112000.00,21345
27-Feb-17,109500.00,113500.00,108000.00,113000.00,16777
24-Feb-17,110500.00,110500.00,104500.00,109000.00,48797
23-Feb-17,109000.00,111500.00,108500.00,110500.00,19683
22-Feb-17,111500.00,113500.00,108500.00,109000.00,21036
21-Feb-17,113000.00,115500.00,107000.00,112000.00,37464
20-Feb-17,112500.00,113500.00,109500.00,112500.00,18252
17-Feb-17,107000.00,113000.00,106500.00,113000.00,20654
16-Feb-17,109500.00,111000.00,108500.00,108500.00,5720
15-Feb-17,112000.00,112000.00,108500.00,109500.00,17239
14-Feb-17,112000.00,114000.00,110000.00,112000.00,15203
13-Feb-17,110000.00,113500.00,109000.00,112000.00,19557
10-Feb-17,109000.00,111500.00,108000.00,109500.00,21497
9-Feb-17,107000.00,108500.00,105500.00,108000.00,11684
8-Feb-17,107500.00,108000.00,104000.00,107500.00,27502
7-Feb-17,101500.00,108500.00,99900.00,108500.00,41806
6-Feb-17,104000.00,104000.00,97600.00,102000.00,42111
3-Feb-17,101500.00,105000.00,100500.00,102500.00,30899
2-Feb-17,105000.00,105500.00,94600.00,101000.00,141017
1-Feb-17,108000.00,111500.00,107000.00,110000.00,22843
31-Jan-17,111500.00,111500.00,107000.00,108000.00,22080
26-Jan-17,112500.00,114500.00,110000.00,111500.00,21482
25-Jan-17,112500.00,116000.00,108000.00,112500.00,49587
24-Jan-17,108500.00,109000.00,105500.00,109000.00,18964
23-Jan-17,108000.00,109500.00,105000.00,107500.00,35334
20-Jan-17,103500.00,107000.00,102000.00,107000.00,36051
19-Jan-17,102500.00,107000.00,102000.00,103500.00,36590
18-Jan-17,102500.00,104000.00,100500.00,103000.00,39719
17-Jan-17,106500.00,107000.00,101500.00,102000.00,37264
16-Jan-17,109000.00,109500.00,104000.00,105000.00,25707
13-Jan-17,103000.00,109000.00,102000.00,108000.00,40370
12-Jan-17,103500.00,106500.00,100500.00,104500.00,37594
11-Jan-17,95600.00,103000.00,95000.00,102500.00,64585
10-Jan-17,96900.00,96900.00,93300.00,95600.00,28251
9-Jan-17,94700.00,97000.00,94400.00,96700.00,32882
6-Jan-17,91500.00,95200.00,91000.00,94500.00,27773
5-Jan-17,91600.00,92600.00,90300.00,91700.00,30362
4-Jan-17,92300.00,92800.00,91300.00,91900.00,32807
3-Jan-17,95900.00,95900.00,91300.00,92000.00,34975
2-Jan-17,92600.00,95800.00,91000.00,94600.00,18861
29-Dec-16,92800.00,94300.00,90900.00,92600.00,14876
28-Dec-16,90900.00,93500.00,90100.00,92600.00,26161
