Date,Open,High,Low,Close,Volume
31-Mar-17,14400.00,14450.00,14250.00,14400.00,250
30-Mar-17,14550.00,14550.00,14300.00,14400.00,529
29-Mar-17,14700.00,14700.00,14500.00,14600.00,801
28-Mar-17,14450.00,14900.00,14150.00,14750.00,4367
27-Mar-17,14350.00,14450.00,14150.00,14350.00,1209
24-Mar-17,14250.00,14350.00,14250.00,14350.00,75
23-Mar-17,14250.00,14350.00,14150.00,14300.00,602
22-Mar-17,14300.00,14400.00,14150.00,14250.00,1587
21-Mar-17,14400.00,14400.00,14100.00,14350.00,891
20-Mar-17,14400.00,14450.00,14100.00,14350.00,1814
17-Mar-17,14400.00,14500.00,14300.00,14400.00,267
16-Mar-17,14450.00,14900.00,14250.00,14300.00,5336
15-Mar-17,14750.00,15000.00,14500.00,14700.00,6086
14-Mar-17,15100.00,15200.00,14600.00,14750.00,6660
13-Mar-17,15000.00,15200.00,15000.00,15150.00,681
10-Mar-17,15850.00,15850.00,14850.00,15000.00,2014
9-Mar-17,15000.00,15750.00,14750.00,15550.00,3041
8-Mar-17,14800.00,15200.00,14800.00,15000.00,723
7-Mar-17,14400.00,14950.00,14050.00,14750.00,2570
6-Mar-17,14350.00,14500.00,14250.00,14400.00,1234
3-Mar-17,14550.00,14700.00,14250.00,14400.00,4345
2-Mar-17,14200.00,14800.00,14200.00,14600.00,1336
28-Feb-17,15150.00,15150.00,14500.00,14500.00,1775
27-Feb-17,15200.00,15350.00,15200.00,15300.00,842
24-Feb-17,15300.00,15350.00,15050.00,15200.00,1374
23-Feb-17,15300.00,15450.00,15200.00,15200.00,1649
22-Feb-17,15400.00,15500.00,15300.00,15400.00,1187
21-Feb-17,15450.00,15750.00,15300.00,15500.00,923
20-Feb-17,15500.00,15650.00,15250.00,15350.00,1183
17-Feb-17,15950.00,15950.00,15400.00,15800.00,3149
16-Feb-17,16050.00,16050.00,15650.00,16000.00,232
15-Feb-17,15750.00,16000.00,15700.00,16000.00,398
14-Feb-17,15550.00,16250.00,15500.00,15750.00,2146
13-Feb-17,15600.00,15850.00,15350.00,15550.00,4185
10-Feb-17,15150.00,15550.00,15000.00,15550.00,7589
9-Feb-17,15050.00,15200.00,14900.00,15100.00,991
8-Feb-17,14850.00,15150.00,14850.00,15000.00,2538
7-Feb-17,15300.00,15300.00,14700.00,14750.00,1256
6-Feb-17,15200.00,15350.00,14900.00,15300.00,1855
3-Feb-17,15000.00,15500.00,15000.00,15150.00,1690
2-Feb-17,15900.00,15900.00,15050.00,15100.00,12817
1-Feb-17,16050.00,16050.00,15400.00,15800.00,1280
31-Jan-17,15600.00,16600.00,15600.00,15800.00,3753
26-Jan-17,15400.00,16700.00,15250.00,15700.00,7378
25-Jan-17,15650.00,15650.00,15250.00,15550.00,2026
24-Jan-17,15600.00,16300.00,15500.00,15650.00,4856
23-Jan-17,16300.00,16500.00,15100.00,15450.00,11994
