Date,Open,High,Low,Close,Volume
31-Mar-17,13150.00,13150.00,12950.00,13000.00,807113
30-Mar-17,13100.00,13100.00,13000.00,13050.00,650037
29-Mar-17,13250.00,13300.00,13000.00,13100.00,880385
28-Mar-17,13150.00,13200.00,13000.00,13200.00,933832
27-Mar-17,13300.00,13300.00,12950.00,13050.00,1613567
24-Mar-17,13400.00,13500.00,13250.00,13300.00,716423
23-Mar-17,13350.00,13500.00,13200.00,13300.00,1402231
22-Mar-17,13500.00,13500.00,13200.00,13300.00,1854296
21-Mar-17,13850.00,13850.00,13550.00,13650.00,1084868
20-Mar-17,13750.00,13850.00,13650.00,13750.00,700102
17-Mar-17,13550.00,13850.00,13550.00,13850.00,1312271
16-Mar-17,13600.00,13800.00,13500.00,13550.00,1012939
15-Mar-17,13800.00,13850.00,13600.00,13650.00,1612827
14-Mar-17,13900.00,14150.00,13750.00,13800.00,2168152
13-Mar-17,13600.00,13900.00,13600.00,13850.00,2127577
10-Mar-17,13400.00,13700.00,13350.00,13600.00,1277446
9-Mar-17,13550.00,13700.00,13350.00,13400.00,1044271
8-Mar-17,13450.00,13650.00,13350.00,13550.00,1051013
7-Mar-17,13100.00,13600.00,13100.00,13550.00,1237284
6-Mar-17,13450.00,13500.00,13200.00,13200.00,927193
3-Mar-17,13600.00,13650.00,13350.00,13400.00,1055562
2-Mar-17,13600.00,13750.00,13400.00,13550.00,1859420
28-Feb-17,13200.00,13400.00,13150.00,13300.00,1108880
27-Feb-17,13550.00,13600.00,13100.00,13150.00,1466926
24-Feb-17,13550.00,13650.00,13450.00,13550.00,874125
23-Feb-17,13550.00,13600.00,13400.00,13500.00,587986
22-Feb-17,13600.00,13600.00,13450.00,13550.00,987689
21-Feb-17,13400.00,13700.00,13350.00,13700.00,984008
20-Feb-17,13500.00,13550.00,13350.00,13400.00,559731
17-Feb-17,13500.00,13700.00,13450.00,13600.00,693092
16-Feb-17,13700.00,13750.00,13300.00,13450.00,1314527
15-Feb-17,13750.00,13800.00,13650.00,13700.00,746758
14-Feb-17,13800.00,13800.00,13550.00,13700.00,1208008
13-Feb-17,13850.00,13850.00,13650.00,13800.00,577583
10-Feb-17,13850.00,13850.00,13650.00,13750.00,909333
9-Feb-17,13500.00,13800.00,13500.00,13800.00,1507182
8-Feb-17,13550.00,13750.00,13450.00,13600.00,1271892
7-Feb-17,13350.00,13600.00,13200.00,13600.00,1250992
6-Feb-17,13400.00,13850.00,13250.00,13250.00,2306958
3-Feb-17,13350.00,13500.00,13200.00,13200.00,1016883
2-Feb-17,13300.00,13450.00,13250.00,13250.00,1176098
1-Feb-17,13150.00,13400.00,13100.00,13400.00,1576112
31-Jan-17,13100.00,13250.00,13050.00,13100.00,1314885
26-Jan-17,12900.00,13200.00,12850.00,13050.00,1139101
25-Jan-17,12750.00,12950.00,12700.00,12900.00,1166768
24-Jan-17,12700.00,12800.00,12650.00,12700.00,966050
23-Jan-17,13050.00,13100.00,12750.00,12850.00,1091873
20-Jan-17,13050.00,13150.00,13000.00,13050.00,701362
19-Jan-17,13000.00,13150.00,12900.00,13000.00,853667
18-Jan-17,13000.00,13100.00,12950.00,13000.00,913559
17-Jan-17,12800.00,13100.00,12700.00,13050.00,1467465
16-Jan-17,12600.00,12900.00,12600.00,12750.00,1294249
13-Jan-17,12750.00,12800.00,12500.00,12600.00,1190585
12-Jan-17,12700.00,12850.00,12650.00,12800.00,1348249
11-Jan-17,12550.00,12800.00,12500.00,12700.00,1237613
10-Jan-17,12400.00,12650.00,12350.00,12600.00,1507594
9-Jan-17,12350.00,12500.00,12250.00,12450.00,1409689
6-Jan-17,12300.00,12400.00,12150.00,12400.00,1557061
5-Jan-17,12650.00,12650.00,12250.00,12300.00,2739151
4-Jan-17,12700.00,12750.00,12600.00,12700.00,1375788
3-Jan-17,12650.00,12750.00,12550.00,12700.00,991811
2-Jan-17,12650.00,12750.00,12550.00,12600.00,596967
29-Dec-16,12900.00,12900.00,12550.00,12750.00,1219533
28-Dec-16,12750.00,12950.00,12700.00,12850.00,1347935
27-Dec-16,13250.00,13250.00,13100.00,13150.00,1559908
26-Dec-16,13250.00,13300.00,13150.00,13250.00,1161809
23-Dec-16,13350.00,13400.00,13150.00,13250.00,1595117
22-Dec-16,13400.00,13400.00,13200.00,13350.00,1028083
21-Dec-16,13400.00,13450.00,13350.00,13350.00,923813
20-Dec-16,13350.00,13500.00,13250.00,13300.00,1050840
19-Dec-16,13350.00,13450.00,13200.00,13350.00,1001103
16-Dec-16,13200.00,13350.00,13150.00,13350.00,6623257
15-Dec-16,12900.00,13100.00,12850.00,13100.00,1673792
14-Dec-16,13000.00,13050.00,12800.00,13000.00,1488320
13-Dec-16,13300.00,13300.00,12850.00,12950.00,2802284
12-Dec-16,13100.00,13250.00,13000.00,13250.00,1125423
9-Dec-16,13050.00,13100.00,12800.00,13000.00,1512749
8-Dec-16,12700.00,13000.00,12600.00,13000.00,3050878
7-Dec-16,12550.00,12700.00,12450.00,12600.00,1489861
6-Dec-16,12400.00,12550.00,12300.00,12550.00,1692136
5-Dec-16,12400.00,12450.00,12200.00,12300.00,989562
2-Dec-16,12400.00,12500.00,12300.00,12400.00,1274606
1-Dec-16,12050.00,12500.00,12050.00,12450.00,1810535
30-Nov-16,12150.00,12200.00,12000.00,12000.00,1376795
29-Nov-16,12150.00,12300.00,12100.00,12100.00,1032477
28-Nov-16,12250.00,12300.00,12100.00,12200.00,822287
25-Nov-16,12300.00,12350.00,12200.00,12250.00,608889
24-Nov-16,12250.00,12400.00,12200.00,12300.00,1191447
23-Nov-16,12000.00,12300.00,12000.00,12200.00,1965271
22-Nov-16,12050.00,12200.00,12050.00,12050.00,919199
21-Nov-16,12200.00,12200.00,12000.00,12150.00,923602
18-Nov-16,12150.00,12250.00,11950.00,12200.00,1550510
17-Nov-16,12050.00,12200.00,11900.00,12050.00,1265807
16-Nov-16,12150.00,12150.00,11950.00,12050.00,1737876
15-Nov-16,12100.00,12250.00,11850.00,12100.00,2670995
14-Nov-16,12850.00,12850.00,12050.00,12200.00,4450821
11-Nov-16,12650.00,12900.00,12550.00,12750.00,2840203
10-Nov-16,12500.00,12750.00,12400.00,12500.00,3060352
9-Nov-16,12500.00,12650.00,12000.00,12150.00,3179401
8-Nov-16,12550.00,12600.00,12400.00,12450.00,796794
7-Nov-16,12500.00,12600.00,12350.00,12450.00,905625
4-Nov-16,12350.00,12450.00,12300.00,12450.00,1002249
3-Nov-16,12300.00,12450.00,12300.00,12300.00,874112
2-Nov-16,12400.00,12450.00,12250.00,12350.00,1083650
1-Nov-16,12500.00,12600.00,12300.00,12400.00,1647290
31-Oct-16,12450.00,12700.00,12400.00,12500.00,1868989
28-Oct-16,12500.00,12550.00,12400.00,12450.00,1035221
27-Oct-16,12450.00,12700.00,12400.00,12500.00,1484176
26-Oct-16,12750.00,12800.00,12350.00,12400.00,1944301
25-Oct-16,12750.00,12900.00,12650.00,12800.00,1879363
24-Oct-16,12500.00,12800.00,12500.00,12800.00,1543059
21-Oct-16,12450.00,12700.00,12350.00,12550.00,1451922
20-Oct-16,12550.00,12650.00,12350.00,12450.00,2539288
19-Oct-16,12000.00,12750.00,11850.00,12550.00,6644424
18-Oct-16,11650.00,12000.00,11550.00,11950.00,2775980
17-Oct-16,11600.00,11700.00,11550.00,11600.00,1130536
14-Oct-16,11450.00,11650.00,11450.00,11500.00,1157401
13-Oct-16,11550.00,11600.00,11350.00,11450.00,1449649
12-Oct-16,11800.00,11850.00,11550.00,11600.00,1327480
11-Oct-16,11650.00,11850.00,11550.00,11800.00,1667128
10-Oct-16,11400.00,11600.00,11350.00,11550.00,904167
7-Oct-16,11400.00,11500.00,11300.00,11350.00,704418
6-Oct-16,11450.00,11500.00,11400.00,11450.00,657972
5-Oct-16,11550.00,11550.00,11450.00,11450.00,747603
4-Oct-16,11400.00,11600.00,11400.00,11550.00,1043605
30-Sep-16,11600.00,11750.00,11400.00,11400.00,2297601
29-Sep-16,11800.00,11850.00,11600.00,11750.00,1424603
28-Sep-16,11600.00,11800.00,11600.00,11800.00,1232995
27-Sep-16,11400.00,11800.00,11300.00,11750.00,1671202
26-Sep-16,11550.00,11600.00,11400.00,11400.00,1261476
23-Sep-16,11300.00,11500.00,11200.00,11350.00,1634065
22-Sep-16,11600.00,11650.00,11150.00,11200.00,2331690
21-Sep-16,11200.00,11600.00,11200.00,11550.00,1980966
20-Sep-16,11100.00,11350.00,11100.00,11200.00,1141253
19-Sep-16,11100.00,11200.00,10900.00,11200.00,1628524
13-Sep-16,11550.00,11600.00,11200.00,11200.00,1957245
12-Sep-16,11100.00,11550.00,11050.00,11500.00,2632905
9-Sep-16,11250.00,11400.00,11200.00,11200.00,1877703
8-Sep-16,11400.00,11500.00,11250.00,11350.00,1928307
7-Sep-16,11200.00,11400.00,11150.00,11350.00,1864810
6-Sep-16,11100.00,11250.00,11050.00,11250.00,1412503
5-Sep-16,11050.00,11200.00,11000.00,11100.00,1394472
2-Sep-16,10850.00,11100.00,10750.00,11000.00,2534897
1-Sep-16,10600.00,10850.00,10550.00,10850.00,1554018
31-Aug-16,10700.00,10700.00,10550.00,10600.00,1666585
30-Aug-16,10650.00,10800.00,10600.00,10650.00,2242136
29-Aug-16,10400.00,10700.00,10350.00,10600.00,3232202
26-Aug-16,10400.00,10450.00,10350.00,10400.00,1053294
25-Aug-16,10400.00,10450.00,10350.00,10450.00,1449173
24-Aug-16,10400.00,10450.00,10350.00,10450.00,979498
23-Aug-16,10350.00,10400.00,10300.00,10400.00,1441993
22-Aug-16,10350.00,10350.00,10200.00,10250.00,1123458
19-Aug-16,10250.00,10350.00,10200.00,10350.00,790550
18-Aug-16,10350.00,10400.00,10250.00,10300.00,1066143
17-Aug-16,10300.00,10350.00,10200.00,10350.00,630931
16-Aug-16,10450.00,10450.00,10250.00,10300.00,1619411
12-Aug-16,10350.00,10450.00,10300.00,10400.00,1998821
11-Aug-16,10350.00,10400.00,10250.00,10300.00,787207
10-Aug-16,10350.00,10400.00,10300.00,10350.00,889138
9-Aug-16,10350.00,10450.00,10200.00,10400.00,2167550
8-Aug-16,10100.00,10350.00,10050.00,10300.00,2106653
5-Aug-16,9930.00,10100.00,9920.00,10000.00,1355787
4-Aug-16,10000.00,10050.00,9890.00,9920.00,1351388
3-Aug-16,10050.00,10100.00,9960.00,10000.00,1462151
2-Aug-16,10200.00,10250.00,10050.00,10100.00,985355
1-Aug-16,10100.00,10300.00,10100.00,10250.00,1171283
29-Jul-16,10150.00,10250.00,10050.00,10100.00,1498215
28-Jul-16,10350.00,10400.00,10100.00,10150.00,1728090
27-Jul-16,10400.00,10400.00,10300.00,10400.00,1156968
26-Jul-16,10350.00,10500.00,10300.00,10400.00,3214895
25-Jul-16,10150.00,10400.00,10100.00,10300.00,3780733
22-Jul-16,10150.00,10200.00,10050.00,10150.00,2373508
21-Jul-16,10150.00,10250.00,10100.00,10200.00,2805655
20-Jul-16,10150.00,10250.00,10050.00,10150.00,4181290
19-Jul-16,10250.00,10250.00,10000.00,10200.00,1801155
18-Jul-16,10100.00,10200.00,10050.00,10200.00,1394899
15-Jul-16,9980.00,10100.00,9970.00,10100.00,2412615
14-Jul-16,9930.00,9960.00,9850.00,9930.00,1048398
13-Jul-16,9800.00,9950.00,9790.00,9950.00,1555599
12-Jul-16,9630.00,9780.00,9590.00,9780.00,1444628
11-Jul-16,9520.00,9600.00,9470.00,9590.00,1118745
8-Jul-16,9480.00,9490.00,9400.00,9450.00,915360
7-Jul-16,9450.00,9510.00,9400.00,9480.00,1095213
6-Jul-16,9530.00,9550.00,9390.00,9430.00,1278401
5-Jul-16,9610.00,9620.00,9560.00,9620.00,845204
4-Jul-16,9630.00,9680.00,9580.00,9620.00,876032
1-Jul-16,9530.00,9610.00,9510.00,9610.00,1014664
30-Jun-16,9600.00,9620.00,9440.00,9520.00,1533220
29-Jun-16,9470.00,9530.00,9420.00,9500.00,1916899
28-Jun-16,9420.00,9490.00,9360.00,9400.00,2266573
27-Jun-16,9400.00,9650.00,9390.00,9480.00,4205941
24-Jun-16,10300.00,10350.00,9600.00,9780.00,4443604
23-Jun-16,10150.00,10250.00,10150.00,10250.00,1048375
22-Jun-16,10100.00,10300.00,10050.00,10250.00,1266743
21-Jun-16,10100.00,10150.00,10050.00,10150.00,838875
20-Jun-16,9980.00,10100.00,9960.00,10100.00,1222232
17-Jun-16,10000.00,10050.00,9860.00,9860.00,1123561
16-Jun-16,9990.00,10050.00,9920.00,9970.00,1043128
15-Jun-16,10050.00,10050.00,9900.00,9980.00,1768690
14-Jun-16,10150.00,10200.00,10000.00,10100.00,1337978
13-Jun-16,10150.00,10200.00,10050.00,10150.00,1410461
10-Jun-16,10100.00,10300.00,10050.00,10150.00,1812062
9-Jun-16,10200.00,10300.00,10000.00,10000.00,2956092
