Date,Open,High,Low,Close,Volume
31-Mar-17,12250.00,12250.00,12150.00,12200.00,809821
30-Mar-17,12200.00,12300.00,12150.00,12250.00,1294251
29-Mar-17,12350.00,12350.00,12150.00,12200.00,1181723
28-Mar-17,12350.00,12350.00,12200.00,12300.00,1491258
27-Mar-17,12400.00,12450.00,12300.00,12350.00,1521155
24-Mar-17,12450.00,12550.00,12400.00,12500.00,1010787
23-Mar-17,12450.00,12500.00,12350.00,12450.00,1294656
22-Mar-17,12450.00,12500.00,12300.00,12400.00,1958181
21-Mar-17,12700.00,12700.00,12500.00,12550.00,1115373
20-Mar-17,12750.00,12800.00,12550.00,12650.00,868001
17-Mar-17,12550.00,12800.00,12500.00,12800.00,1606983
16-Mar-17,12700.00,12750.00,12450.00,12550.00,2312876
15-Mar-17,12600.00,12700.00,12500.00,12700.00,1401653
14-Mar-17,12700.00,12900.00,12550.00,12600.00,3033200
13-Mar-17,12550.00,12650.00,12500.00,12600.00,2013838
10-Mar-17,12450.00,12550.00,12350.00,12500.00,1208099
9-Mar-17,12400.00,12600.00,12400.00,12400.00,1505129
8-Mar-17,12300.00,12450.00,12250.00,12400.00,1447343
7-Mar-17,12200.00,12300.00,12200.00,12250.00,1297593
6-Mar-17,12400.00,12500.00,12250.00,12250.00,1215155
3-Mar-17,12450.00,12550.00,12350.00,12350.00,1426060
2-Mar-17,12500.00,12650.00,12400.00,12500.00,1982165
28-Feb-17,12400.00,12500.00,12300.00,12350.00,1519122
27-Feb-17,12600.00,12650.00,12350.00,12400.00,1033168
24-Feb-17,12600.00,12700.00,12550.00,12550.00,1244092
23-Feb-17,12600.00,12650.00,12450.00,12500.00,875095
22-Feb-17,12600.00,12600.00,12450.00,12550.00,1163669
21-Feb-17,12450.00,12600.00,12450.00,12550.00,846212
20-Feb-17,12550.00,12600.00,12450.00,12450.00,823365
17-Feb-17,12500.00,12650.00,12450.00,12550.00,978325
16-Feb-17,12750.00,12850.00,12400.00,12500.00,2739185
15-Feb-17,13300.00,13300.00,12650.00,12750.00,4690643
14-Feb-17,13300.00,13350.00,13150.00,13300.00,791383
13-Feb-17,13300.00,13400.00,13200.00,13250.00,948343
10-Feb-17,13250.00,13300.00,13100.00,13300.00,951960
9-Feb-17,12850.00,13250.00,12850.00,13250.00,1619128
8-Feb-17,13000.00,13100.00,12800.00,12850.00,1350472
7-Feb-17,12850.00,13050.00,12700.00,13050.00,1061253
6-Feb-17,13000.00,13150.00,12800.00,12800.00,1754599
3-Feb-17,12800.00,12950.00,12750.00,12850.00,892037
2-Feb-17,12900.00,12950.00,12700.00,12800.00,1108790
1-Feb-17,12750.00,13000.00,12700.00,12900.00,1223671
31-Jan-17,12750.00,12950.00,12700.00,12700.00,1368337
26-Jan-17,12650.00,12800.00,12550.00,12750.00,1005372
25-Jan-17,12700.00,12750.00,12550.00,12600.00,1145658
24-Jan-17,12600.00,12700.00,12500.00,12650.00,916914
23-Jan-17,13000.00,13050.00,12550.00,12550.00,1413566
20-Jan-17,12800.00,13000.00,12800.00,12900.00,906112
19-Jan-17,12900.00,13000.00,12750.00,12850.00,869045
18-Jan-17,12700.00,13000.00,12650.00,12900.00,1548964
17-Jan-17,12750.00,12850.00,12650.00,12800.00,1552591
16-Jan-17,12300.00,12800.00,12250.00,12700.00,2803674
13-Jan-17,12400.00,12400.00,12200.00,12250.00,1525012
12-Jan-17,12400.00,12500.00,12350.00,12400.00,1544684
11-Jan-17,12200.00,12500.00,12200.00,12450.00,1468853
10-Jan-17,12300.00,12300.00,12150.00,12250.00,1191106
9-Jan-17,12350.00,12400.00,12200.00,12300.00,1352233
6-Jan-17,12400.00,12400.00,12250.00,12400.00,1548174
5-Jan-17,12650.00,12700.00,12300.00,12400.00,2175803
4-Jan-17,12700.00,12750.00,12600.00,12700.00,1415153
3-Jan-17,12600.00,12750.00,12550.00,12750.00,1349971
2-Jan-17,12650.00,12750.00,12550.00,12600.00,719943
29-Dec-16,13000.00,13050.00,12600.00,12700.00,1682636
28-Dec-16,13000.00,13200.00,12950.00,13050.00,1165128
27-Dec-16,13500.00,13550.00,13400.00,13450.00,1478829
26-Dec-16,13450.00,13600.00,13400.00,13600.00,982786
23-Dec-16,13350.00,13500.00,13300.00,13450.00,991899
22-Dec-16,13350.00,13400.00,13200.00,13350.00,1012857
21-Dec-16,13550.00,13600.00,13300.00,13350.00,1340490
20-Dec-16,13500.00,13550.00,13400.00,13500.00,550221
19-Dec-16,13550.00,13650.00,13450.00,13500.00,705026
16-Dec-16,13550.00,13700.00,13500.00,13650.00,1354201
15-Dec-16,13550.00,13600.00,13400.00,13500.00,699490
14-Dec-16,13450.00,13550.00,13400.00,13500.00,918330
13-Dec-16,13800.00,13800.00,13400.00,13450.00,1383313
12-Dec-16,13850.00,13850.00,13700.00,13800.00,523821
9-Dec-16,13750.00,13800.00,13600.00,13750.00,1009354
8-Dec-16,13650.00,13900.00,13650.00,13850.00,1659666
7-Dec-16,13450.00,13600.00,13400.00,13550.00,784957
6-Dec-16,13350.00,13500.00,13250.00,13450.00,1022218
5-Dec-16,13300.00,13400.00,13200.00,13250.00,856645
2-Dec-16,13250.00,13400.00,13250.00,13350.00,841699
1-Dec-16,13100.00,13300.00,13050.00,13200.00,1053313
30-Nov-16,13150.00,13250.00,13050.00,13050.00,1245056
29-Nov-16,13150.00,13250.00,13050.00,13200.00,774720
28-Nov-16,13250.00,13300.00,13100.00,13200.00,514630
25-Nov-16,13500.00,13550.00,13200.00,13250.00,574405
24-Nov-16,13450.00,13550.00,13300.00,13500.00,1275614
23-Nov-16,12950.00,13450.00,12900.00,13400.00,2407826
22-Nov-16,12950.00,13050.00,12900.00,12950.00,785509
21-Nov-16,13050.00,13050.00,12900.00,13000.00,822594
18-Nov-16,13150.00,13200.00,13000.00,13050.00,852903
17-Nov-16,13050.00,13150.00,13000.00,13050.00,951382
16-Nov-16,13300.00,13350.00,13050.00,13150.00,1065986
15-Nov-16,13150.00,13350.00,12950.00,13250.00,1321386
14-Nov-16,13500.00,13550.00,13000.00,13150.00,1721653
11-Nov-16,13450.00,13800.00,13350.00,13600.00,1982405
10-Nov-16,13250.00,13450.00,13100.00,13350.00,2046174
9-Nov-16,13050.00,13400.00,12650.00,12950.00,2820186
8-Nov-16,13050.00,13100.00,12950.00,13000.00,623004
7-Nov-16,13050.00,13100.00,12950.00,13000.00,604309
4-Nov-16,12900.00,13050.00,12900.00,13000.00,731325
3-Nov-16,13050.00,13050.00,12900.00,12950.00,801695
2-Nov-16,13050.00,13100.00,12900.00,13050.00,1104430
1-Nov-16,13200.00,13250.00,12900.00,13050.00,1119578
31-Oct-16,13000.00,13350.00,13000.00,13200.00,1020518
28-Oct-16,13000.00,13100.00,12950.00,13100.00,815911
27-Oct-16,13200.00,13350.00,13000.00,13100.00,974886
26-Oct-16,13350.00,13450.00,13000.00,13150.00,1435618
25-Oct-16,13350.00,13500.00,13300.00,13400.00,1362089
24-Oct-16,13050.00,13400.00,13000.00,13400.00,1681084
21-Oct-16,13150.00,13150.00,13000.00,13050.00,1237865
20-Oct-16,13000.00,13200.00,12950.00,13150.00,895791
19-Oct-16,12900.00,13200.00,12800.00,13050.00,2352749
18-Oct-16,12500.00,13000.00,12450.00,12850.00,2702940
17-Oct-16,12450.00,12550.00,12400.00,12450.00,1189749
14-Oct-16,12250.00,12450.00,12200.00,12350.00,1127924
13-Oct-16,12400.00,12450.00,12200.00,12250.00,1146475
12-Oct-16,12400.00,12550.00,12250.00,12450.00,1815548
11-Oct-16,12200.00,12450.00,12150.00,12400.00,1795098
10-Oct-16,11850.00,12200.00,11800.00,12150.00,1530007
7-Oct-16,11750.00,11850.00,11700.00,11750.00,800865
6-Oct-16,11900.00,11950.00,11750.00,11800.00,930281
5-Oct-16,11900.00,12000.00,11850.00,11900.00,802765
4-Oct-16,12000.00,12050.00,11950.00,11950.00,729500
30-Sep-16,12000.00,12050.00,11900.00,11950.00,937532
29-Sep-16,12100.00,12200.00,12100.00,12150.00,746806
28-Sep-16,12100.00,12150.00,12000.00,12100.00,630664
27-Sep-16,12000.00,12150.00,11900.00,12100.00,717010
26-Sep-16,11950.00,12050.00,11900.00,12050.00,791048
23-Sep-16,11850.00,12050.00,11800.00,12000.00,909053
22-Sep-16,11950.00,12000.00,11850.00,11900.00,874770
21-Sep-16,11850.00,12050.00,11750.00,12000.00,870082
20-Sep-16,11800.00,11900.00,11700.00,11900.00,870084
19-Sep-16,11850.00,11900.00,11800.00,11850.00,799594
13-Sep-16,12300.00,12350.00,11900.00,11950.00,1456128
12-Sep-16,12050.00,12400.00,11950.00,12300.00,2013991
9-Sep-16,12100.00,12250.00,12000.00,12100.00,1099283
8-Sep-16,12100.00,12150.00,12000.00,12150.00,1700960
7-Sep-16,11800.00,12100.00,11800.00,12050.00,1447720
