Date,Open,High,Low,Close,Volume
31-Mar-17,842000.00,855000.00,832000.00,850000.00,645
30-Mar-17,835000.00,849000.00,826000.00,849000.00,1889
29-Mar-17,815000.00,832000.00,803000.00,830000.00,1192
28-Mar-17,797000.00,816000.00,797000.00,815000.00,990
27-Mar-17,779000.00,801000.00,775000.00,797000.00,1172
24-Mar-17,765000.00,780000.00,765000.00,779000.00,760
23-Mar-17,767000.00,774000.00,756000.00,765000.00,771
22-Mar-17,773000.00,778000.00,750000.00,774000.00,1264
21-Mar-17,769000.00,769000.00,759000.00,767000.00,519
20-Mar-17,741000.00,764000.00,733000.00,764000.00,614
17-Mar-17,749000.00,761000.00,742000.00,742000.00,567
16-Mar-17,768000.00,768000.00,745000.00,749000.00,370
15-Mar-17,753000.00,763000.00,744000.00,753000.00,624
14-Mar-17,766000.00,777000.00,750000.00,751000.00,652
13-Mar-17,760000.00,780000.00,760000.00,767000.00,694
10-Mar-17,776000.00,776000.00,760000.00,765000.00,635
9-Mar-17,755000.00,774000.00,755000.00,764000.00,968
8-Mar-17,753000.00,769000.00,746000.00,767000.00,864
7-Mar-17,737000.00,765000.00,735000.00,761000.00,1008
6-Mar-17,738000.00,742000.00,730000.00,731000.00,1195
3-Mar-17,754000.00,783000.00,746000.00,746000.00,1607
2-Mar-17,774000.00,790000.00,754000.00,754000.00,1925
28-Feb-17,748000.00,774000.00,736000.00,769000.00,1817
27-Feb-17,744000.00,747000.00,730000.00,745000.00,308
24-Feb-17,714000.00,749000.00,712000.00,748000.00,1096
23-Feb-17,722000.00,724000.00,716000.00,717000.00,732
22-Feb-17,727000.00,727000.00,720000.00,720000.00,416
21-Feb-17,728000.00,737000.00,726000.00,729000.00,274
20-Feb-17,731000.00,732000.00,719000.00,726000.00,693
17-Feb-17,737000.00,740000.00,728000.00,736000.00,319
16-Feb-17,746000.00,752000.00,733000.00,733000.00,338
15-Feb-17,753000.00,755000.00,742000.00,753000.00,384
14-Feb-17,750000.00,754000.00,740000.00,753000.00,341
13-Feb-17,744000.00,749000.00,736000.00,747000.00,338
10-Feb-17,740000.00,743000.00,735000.00,741000.00,386
9-Feb-17,737000.00,749000.00,729000.00,732000.00,510
8-Feb-17,740000.00,753000.00,734000.00,741000.00,463
7-Feb-17,744000.00,750000.00,733000.00,749000.00,383
6-Feb-17,750000.00,755000.00,733000.00,737000.00,369
3-Feb-17,748000.00,750000.00,723000.00,743000.00,629
2-Feb-17,726000.00,755000.00,726000.00,748000.00,559
1-Feb-17,734000.00,735000.00,722000.00,734000.00,558
31-Jan-17,721000.00,729000.00,714000.00,729000.00,403
26-Jan-17,726000.00,726000.00,714000.00,718000.00,491
25-Jan-17,749000.00,749000.00,723000.00,726000.00,527
24-Jan-17,741000.00,745000.00,732000.00,742000.00,315
23-Jan-17,745000.00,754000.00,735000.00,735000.00,194
20-Jan-17,737000.00,755000.00,734000.00,742000.00,374
19-Jan-17,752000.00,762000.00,743000.00,743000.00,278
