Date,Open,High,Low,Close,Volume
31-Mar-17,157000.00,160000.00,157000.00,158500.00,15678
30-Mar-17,159000.00,160000.00,157000.00,158000.00,13036
29-Mar-17,158000.00,158500.00,155000.00,158000.00,22594
28-Mar-17,156500.00,159000.00,156000.00,158500.00,29935
27-Mar-17,150500.00,159500.00,150500.00,157500.00,60966
24-Mar-17,151500.00,153000.00,150500.00,152500.00,21564
23-Mar-17,153500.00,154000.00,150500.00,151000.00,27551
22-Mar-17,156000.00,156000.00,152500.00,152500.00,22036
21-Mar-17,156000.00,157500.00,153500.00,155500.00,28837
20-Mar-17,154000.00,155500.00,152500.00,155000.00,23248
17-Mar-17,154000.00,155000.00,153000.00,154000.00,25098
16-Mar-17,153500.00,154500.00,152000.00,154000.00,28694
15-Mar-17,152000.00,153000.00,150000.00,152500.00,36151
14-Mar-17,153500.00,154500.00,151000.00,151500.00,28703
13-Mar-17,154500.00,155000.00,152000.00,155000.00,33367
10-Mar-17,149500.00,155000.00,149500.00,154500.00,46243
9-Mar-17,150500.00,152500.00,150000.00,150500.00,32811
8-Mar-17,149500.00,151000.00,148500.00,149500.00,23956
7-Mar-17,150000.00,150500.00,149000.00,149500.00,16923
6-Mar-17,149000.00,151500.00,149000.00,149000.00,30409
3-Mar-17,148500.00,150000.00,147000.00,149500.00,22183
2-Mar-17,153000.00,153000.00,147500.00,148000.00,33404
28-Feb-17,154500.00,154500.00,149000.00,151500.00,31469
27-Feb-17,152500.00,155000.00,152000.00,153500.00,42136
24-Feb-17,149500.00,153000.00,149000.00,152500.00,40449
23-Feb-17,146500.00,150500.00,146000.00,149500.00,56132
22-Feb-17,147000.00,148000.00,146000.00,146000.00,17199
21-Feb-17,147000.00,148500.00,145500.00,147000.00,23715
20-Feb-17,148000.00,149500.00,146000.00,147500.00,22408
17-Feb-17,147000.00,149000.00,145000.00,147000.00,25728
16-Feb-17,147000.00,147500.00,144000.00,147000.00,24036
15-Feb-17,143500.00,149000.00,141500.00,147000.00,62568
14-Feb-17,141000.00,143000.00,140000.00,143000.00,15470
13-Feb-17,141500.00,143500.00,141000.00,142000.00,23683
10-Feb-17,141000.00,142000.00,140000.00,141000.00,15194
9-Feb-17,142500.00,143000.00,140000.00,140500.00,21297
8-Feb-17,142000.00,143500.00,139500.00,143000.00,28640
7-Feb-17,140000.00,142500.00,138500.00,142500.00,25256
6-Feb-17,143500.00,143500.00,139000.00,140500.00,27951
3-Feb-17,144000.00,144000.00,141500.00,142500.00,15252
2-Feb-17,143000.00,144500.00,142000.00,142000.00,16740
1-Feb-17,138500.00,145000.00,138000.00,144500.00,33454
31-Jan-17,139000.00,140500.00,137000.00,138000.00,29549
26-Jan-17,137500.00,140500.00,137500.00,139000.00,24669
25-Jan-17,141000.00,142000.00,137000.00,138000.00,35728
24-Jan-17,143500.00,144000.00,140000.00,141000.00,55547
23-Jan-17,145500.00,145500.00,143500.00,144500.00,10375
20-Jan-17,145000.00,148500.00,144500.00,145000.00,20262
19-Jan-17,147500.00,148000.00,145000.00,146000.00,25499
18-Jan-17,148000.00,150500.00,147000.00,148000.00,23985
17-Jan-17,148000.00,148500.00,147500.00,148000.00,12729
16-Jan-17,151000.00,151000.00,147000.00,147500.00,23906
13-Jan-17,146500.00,151500.00,146000.00,149500.00,50102
12-Jan-17,150000.00,151000.00,146000.00,147000.00,66719
11-Jan-17,151000.00,152500.00,150500.00,152000.00,30512
10-Jan-17,153500.00,153500.00,151000.00,151500.00,32322
9-Jan-17,159500.00,160000.00,153000.00,154500.00,36565
6-Jan-17,160000.00,160000.00,158000.00,159000.00,19953
5-Jan-17,157500.00,162000.00,157000.00,161000.00,63378
4-Jan-17,155500.00,158000.00,154500.00,157000.00,37454
3-Jan-17,157500.00,157500.00,154500.00,155500.00,25182
2-Jan-17,157500.00,158000.00,154000.00,156000.00,12075
29-Dec-16,160000.00,160000.00,156000.00,157000.00,15886
28-Dec-16,161500.00,161500.00,157500.00,160000.00,30201
27-Dec-16,156500.00,158000.00,154500.00,157500.00,18179
26-Dec-16,155000.00,158000.00,154000.00,155500.00,33475
23-Dec-16,154500.00,156500.00,151500.00,154000.00,16931
22-Dec-16,157500.00,157500.00,152500.00,153500.00,17473
21-Dec-16,157000.00,157000.00,153500.00,156000.00,19510
20-Dec-16,156500.00,157500.00,154000.00,155000.00,22997
19-Dec-16,156500.00,156500.00,153000.00,153500.00,13694
16-Dec-16,156000.00,158000.00,154000.00,156500.00,19313
15-Dec-16,154000.00,159500.00,153500.00,158000.00,36449
14-Dec-16,156000.00,159000.00,154500.00,156500.00,54031
13-Dec-16,147500.00,156000.00,147500.00,154500.00,66780
12-Dec-16,145000.00,148000.00,143000.00,147000.00,45039
9-Dec-16,140000.00,143500.00,140000.00,143000.00,27484
8-Dec-16,140000.00,141500.00,138500.00,141500.00,40892
7-Dec-16,144000.00,144000.00,136500.00,139500.00,61384
6-Dec-16,144000.00,145000.00,142000.00,143000.00,22514
5-Dec-16,140000.00,144500.00,139000.00,142000.00,28360
2-Dec-16,144000.00,144000.00,142000.00,142000.00,30627
1-Dec-16,147000.00,147000.00,141000.00,144000.00,38905
30-Nov-16,143000.00,146500.00,143000.00,146500.00,44698
29-Nov-16,140000.00,144500.00,140000.00,143000.00,67253
28-Nov-16,141000.00,142000.00,139500.00,140000.00,58500
25-Nov-16,141000.00,142000.00,139500.00,140000.00,86354
24-Nov-16,140500.00,142000.00,136000.00,138500.00,74890
23-Nov-16,149000.00,150000.00,138500.00,140000.00,164549
22-Nov-16,149500.00,153000.00,148000.00,151000.00,22089
21-Nov-16,153000.00,155000.00,150000.00,151000.00,28310
18-Nov-16,155000.00,157000.00,152000.00,154500.00,26347
17-Nov-16,158500.00,159000.00,154500.00,155000.00,30755
16-Nov-16,159500.00,160500.00,158000.00,158500.00,38041
15-Nov-16,160000.00,160500.00,158000.00,160000.00,27886
14-Nov-16,160000.00,162000.00,158000.00,160000.00,33016
11-Nov-16,165000.00,165000.00,159000.00,160000.00,71763
10-Nov-16,155000.00,165000.00,154500.00,164000.00,161407
9-Nov-16,150500.00,150500.00,141000.00,148000.00,51596
