Date,Open,High,Low,Close,Volume
31-Mar-17,8020.00,8080.00,8000.00,8050.00,62516
30-Mar-17,7980.00,8040.00,7960.00,8030.00,60524
29-Mar-17,7990.00,8030.00,7950.00,7980.00,32490
28-Mar-17,8030.00,8050.00,7970.00,7990.00,58788
27-Mar-17,8030.00,8040.00,7960.00,7990.00,91878
24-Mar-17,7950.00,8050.00,7920.00,8020.00,80208
23-Mar-17,7900.00,7970.00,7900.00,7920.00,99463
22-Mar-17,8010.00,8020.00,7890.00,7920.00,197080
21-Mar-17,7960.00,8030.00,7950.00,7980.00,64651
20-Mar-17,7970.00,8030.00,7940.00,8020.00,48264
17-Mar-17,8020.00,8030.00,7950.00,7990.00,72724
16-Mar-17,8040.00,8050.00,7970.00,8020.00,77259
15-Mar-17,7970.00,8050.00,7970.00,8040.00,59061
14-Mar-17,7970.00,8020.00,7960.00,7980.00,61030
13-Mar-17,7970.00,8020.00,7960.00,7980.00,35926
10-Mar-17,7990.00,8050.00,7940.00,7980.00,99119
9-Mar-17,8010.00,8040.00,7960.00,7980.00,84721
8-Mar-17,8010.00,8070.00,8000.00,8010.00,34650
7-Mar-17,8060.00,8170.00,7980.00,8010.00,110673
6-Mar-17,8000.00,8070.00,7980.00,8030.00,105155
3-Mar-17,8050.00,8090.00,8000.00,8060.00,53994
2-Mar-17,8180.00,8200.00,8080.00,8090.00,72410
28-Feb-17,8300.00,8300.00,8110.00,8140.00,84768
27-Feb-17,8300.00,8330.00,8180.00,8280.00,77788
24-Feb-17,8170.00,8300.00,8160.00,8280.00,75925
23-Feb-17,8350.00,8360.00,8160.00,8260.00,105494
22-Feb-17,8290.00,8370.00,8240.00,8300.00,87740
21-Feb-17,8120.00,8270.00,8100.00,8220.00,75097
20-Feb-17,8120.00,8180.00,8070.00,8110.00,42174
17-Feb-17,8200.00,8210.00,8070.00,8150.00,38673
16-Feb-17,8260.00,8260.00,8150.00,8170.00,53089
15-Feb-17,8270.00,8290.00,8220.00,8280.00,39004
14-Feb-17,8260.00,8270.00,8170.00,8270.00,38544
13-Feb-17,8230.00,8270.00,8170.00,8230.00,49327
10-Feb-17,8180.00,8200.00,8080.00,8200.00,40608
9-Feb-17,8120.00,8130.00,8050.00,8110.00,42668
8-Feb-17,8130.00,8160.00,8070.00,8070.00,43962
7-Feb-17,8250.00,8250.00,8110.00,8140.00,42109
6-Feb-17,8260.00,8290.00,8150.00,8250.00,37269
3-Feb-17,8180.00,8280.00,8150.00,8240.00,39375
2-Feb-17,8170.00,8270.00,8130.00,8270.00,54276
1-Feb-17,8080.00,8250.00,8050.00,8230.00,79089
31-Jan-17,8050.00,8130.00,8000.00,8080.00,69146
26-Jan-17,8090.00,8090.00,7950.00,8020.00,56820
25-Jan-17,8070.00,8070.00,8000.00,8010.00,69237
24-Jan-17,8030.00,8060.00,7990.00,8060.00,35226
23-Jan-17,8080.00,8080.00,8010.00,8060.00,50976
20-Jan-17,8060.00,8090.00,8020.00,8080.00,40075
19-Jan-17,8100.00,8110.00,8050.00,8060.00,28129
18-Jan-17,8050.00,8110.00,8010.00,8110.00,58518
17-Jan-17,8100.00,8100.00,8000.00,8050.00,87199
16-Jan-17,8080.00,8100.00,8010.00,8050.00,52519
13-Jan-17,8000.00,8090.00,8000.00,8080.00,49332
12-Jan-17,8030.00,8120.00,8000.00,8070.00,69574
11-Jan-17,7970.00,8060.00,7970.00,8020.00,47042
10-Jan-17,8000.00,8030.00,7930.00,8000.00,123065
9-Jan-17,8040.00,8060.00,7960.00,8040.00,76414
6-Jan-17,8050.00,8080.00,8010.00,8040.00,54065
5-Jan-17,7980.00,8090.00,7980.00,8040.00,105328
4-Jan-17,8030.00,8050.00,7910.00,7950.00,134555
3-Jan-17,8110.00,8150.00,8030.00,8030.00,107561
2-Jan-17,8130.00,8160.00,8090.00,8110.00,46626
29-Dec-16,8090.00,8190.00,8080.00,8130.00,119335
28-Dec-16,8170.00,8210.00,8090.00,8140.00,95586
27-Dec-16,8260.00,8290.00,8230.00,8280.00,109955
26-Dec-16,8250.00,8270.00,8170.00,8270.00,97798
23-Dec-16,8260.00,8260.00,8150.00,8200.00,114603
22-Dec-16,8260.00,8320.00,8200.00,8230.00,91371
21-Dec-16,8310.00,8350.00,8270.00,8280.00,81838
20-Dec-16,8270.00,8320.00,8230.00,8290.00,108106
19-Dec-16,8250.00,8310.00,8200.00,8270.00,73813
16-Dec-16,8270.00,8330.00,8190.00,8230.00,98115
15-Dec-16,8310.00,8330.00,8210.00,8300.00,56957
14-Dec-16,8330.00,8420.00,8250.00,8250.00,128731
13-Dec-16,8430.00,8470.00,8320.00,8400.00,119748
12-Dec-16,8360.00,8400.00,8270.00,8400.00,65686
9-Dec-16,8270.00,8380.00,8270.00,8360.00,31014
8-Dec-16,8160.00,8350.00,8160.00,8350.00,71276
7-Dec-16,8310.00,8340.00,8150.00,8170.00,89231
6-Dec-16,8290.00,8450.00,8250.00,8280.00,71456
5-Dec-16,8090.00,8200.00,8050.00,8190.00,66122
2-Dec-16,8250.00,8290.00,8170.00,8210.00,78802
1-Dec-16,8210.00,8280.00,8190.00,8200.00,63658
30-Nov-16,8350.00,8370.00,8160.00,8290.00,78710
29-Nov-16,8290.00,8350.00,8190.00,8290.00,67852
28-Nov-16,8200.00,8340.00,8180.00,8200.00,77483
25-Nov-16,8260.00,8360.00,8180.00,8190.00,111176
24-Nov-16,8370.00,8420.00,8180.00,8380.00,116803
23-Nov-16,8650.00,8650.00,8320.00,8320.00,123589
22-Nov-16,8560.00,8710.00,8500.00,8560.00,107565
21-Nov-16,8880.00,8880.00,8640.00,8660.00,83675
18-Nov-16,8810.00,8900.00,8710.00,8880.00,97782
17-Nov-16,8870.00,8900.00,8750.00,8900.00,109654
16-Nov-16,8790.00,8850.00,8690.00,8850.00,114834
15-Nov-16,8790.00,8790.00,8630.00,8710.00,112524
14-Nov-16,8470.00,8750.00,8470.00,8690.00,156272
11-Nov-16,8480.00,8490.00,8330.00,8460.00,58908
10-Nov-16,8220.00,8430.00,8200.00,8430.00,91496
9-Nov-16,8470.00,8490.00,8070.00,8140.00,156821
8-Nov-16,8450.00,8470.00,8370.00,8430.00,64476
7-Nov-16,8500.00,8580.00,8350.00,8370.00,83868
4-Nov-16,8480.00,8480.00,8200.00,8300.00,91090
3-Nov-16,8130.00,8410.00,8130.00,8380.00,91624
2-Nov-16,8250.00,8340.00,8130.00,8150.00,92327
1-Nov-16,8240.00,8330.00,8220.00,8270.00,77406
