Date,Open,High,Low,Close,Volume
31-Mar-17,13950.00,14000.00,13500.00,13950.00,221677
30-Mar-17,13650.00,14050.00,13600.00,13850.00,271519
29-Mar-17,13000.00,13700.00,12950.00,13650.00,384993
28-Mar-17,12500.00,12950.00,12450.00,12900.00,130077
27-Mar-17,12450.00,12600.00,12350.00,12500.00,75322
24-Mar-17,12400.00,12600.00,12350.00,12450.00,64695
23-Mar-17,12450.00,12550.00,12350.00,12350.00,100094
22-Mar-17,12700.00,12750.00,12350.00,12400.00,201873
21-Mar-17,12700.00,12900.00,12650.00,12750.00,68899
20-Mar-17,12950.00,13050.00,12650.00,12650.00,98518
17-Mar-17,13150.00,13200.00,12850.00,13100.00,94873
16-Mar-17,13250.00,13300.00,12950.00,13200.00,84806
15-Mar-17,13100.00,13250.00,13000.00,13200.00,61398
14-Mar-17,13500.00,13600.00,12950.00,13100.00,118051
13-Mar-17,13650.00,13700.00,13350.00,13450.00,73411
10-Mar-17,13450.00,13650.00,13300.00,13650.00,52399
9-Mar-17,13500.00,13650.00,13450.00,13500.00,65315
8-Mar-17,13450.00,13600.00,13350.00,13500.00,86005
7-Mar-17,13300.00,13450.00,13150.00,13450.00,78214
6-Mar-17,13050.00,13400.00,12800.00,13350.00,67681
3-Mar-17,13000.00,13000.00,12700.00,13000.00,68408
2-Mar-17,12800.00,13000.00,12650.00,12950.00,89125
28-Feb-17,12650.00,12800.00,12250.00,12650.00,272533
27-Feb-17,13150.00,13150.00,12800.00,13000.00,42239
24-Feb-17,13350.00,13450.00,12950.00,13000.00,101395
23-Feb-17,13700.00,13750.00,13250.00,13450.00,73234
22-Feb-17,13700.00,13850.00,13550.00,13600.00,131632
21-Feb-17,13200.00,13700.00,13050.00,13600.00,170548
20-Feb-17,13250.00,13250.00,13050.00,13100.00,42280
17-Feb-17,12950.00,13250.00,12850.00,13200.00,93242
16-Feb-17,13000.00,13050.00,12800.00,13000.00,51636
15-Feb-17,12800.00,13000.00,12600.00,13000.00,84897
14-Feb-17,13100.00,13150.00,12700.00,12800.00,80953
13-Feb-17,13150.00,13150.00,12800.00,13100.00,58075
10-Feb-17,13100.00,13250.00,13000.00,13100.00,78030
9-Feb-17,12850.00,13100.00,12750.00,13100.00,72740
8-Feb-17,12850.00,12900.00,12700.00,12750.00,42791
7-Feb-17,13000.00,13000.00,12650.00,12750.00,68406
6-Feb-17,12800.00,13000.00,12800.00,13000.00,47604
3-Feb-17,13050.00,13250.00,12650.00,12700.00,101925
2-Feb-17,13500.00,13600.00,13000.00,13000.00,128636
1-Feb-17,13400.00,13600.00,13250.00,13500.00,80760
31-Jan-17,13350.00,13500.00,13200.00,13400.00,117515
26-Jan-17,13750.00,13750.00,13400.00,13550.00,116113
25-Jan-17,12700.00,13700.00,12550.00,13600.00,298782
24-Jan-17,12450.00,12700.00,12250.00,12700.00,45973
23-Jan-17,12450.00,12650.00,12400.00,12450.00,20227
20-Jan-17,12500.00,12650.00,12300.00,12500.00,34903
19-Jan-17,12350.00,12650.00,12350.00,12500.00,48948
18-Jan-17,12200.00,12500.00,12150.00,12500.00,48266
17-Jan-17,12400.00,12450.00,12150.00,12150.00,31868
16-Jan-17,12450.00,12600.00,12100.00,12400.00,38958
13-Jan-17,12500.00,12550.00,12250.00,12450.00,42422
12-Jan-17,12700.00,12750.00,12350.00,12550.00,61928
11-Jan-17,12600.00,12750.00,12400.00,12650.00,38404
10-Jan-17,12450.00,12600.00,12400.00,12500.00,32726
9-Jan-17,12700.00,12900.00,12500.00,12600.00,28385
6-Jan-17,12500.00,12900.00,12500.00,12700.00,39657
5-Jan-17,12600.00,12700.00,12450.00,12500.00,22809
4-Jan-17,12950.00,12950.00,12600.00,12600.00,32735
3-Jan-17,12900.00,13000.00,12800.00,12900.00,64963
2-Jan-17,12900.00,13000.00,12800.00,13000.00,60882
29-Dec-16,12600.00,13050.00,12500.00,12900.00,131459
28-Dec-16,12600.00,12650.00,12400.00,12600.00,52717
27-Dec-16,12700.00,12750.00,12550.00,12650.00,70459
26-Dec-16,12650.00,12800.00,12600.00,12700.00,54555
23-Dec-16,12600.00,12750.00,12500.00,12600.00,56341
22-Dec-16,12600.00,12700.00,12500.00,12550.00,42125
21-Dec-16,12400.00,12650.00,12350.00,12600.00,85196
