Date,Open,High,Low,Close,Volume
31-Mar-17,24100.00,24200.00,23750.00,24100.00,142540
30-Mar-17,23650.00,24150.00,23500.00,24000.00,135262
29-Mar-17,23650.00,23650.00,23450.00,23550.00,79526
28-Mar-17,24000.00,24050.00,23500.00,23600.00,198296
27-Mar-17,24100.00,24500.00,23850.00,23950.00,179438
24-Mar-17,23150.00,24250.00,23050.00,24200.00,396473
23-Mar-17,23250.00,23300.00,23050.00,23100.00,100092
22-Mar-17,23150.00,23350.00,23050.00,23200.00,174276
21-Mar-17,23450.00,23550.00,23100.00,23150.00,200098
20-Mar-17,23950.00,23950.00,23250.00,23400.00,142689
17-Mar-17,23450.00,24050.00,23100.00,23750.00,244039
16-Mar-17,23250.00,23450.00,23000.00,23400.00,153909
15-Mar-17,23500.00,23600.00,22950.00,23150.00,257931
14-Mar-17,23850.00,23950.00,23450.00,23500.00,184660
13-Mar-17,24200.00,24350.00,23850.00,23900.00,128401
10-Mar-17,23600.00,24050.00,23500.00,24000.00,114200
9-Mar-17,23550.00,23800.00,23500.00,23650.00,112172
8-Mar-17,23800.00,23850.00,23450.00,23500.00,110407
7-Mar-17,23850.00,23950.00,23650.00,23750.00,90713
6-Mar-17,23450.00,23950.00,23450.00,23750.00,132961
3-Mar-17,23950.00,24000.00,23550.00,23600.00,165389
2-Mar-17,24750.00,24950.00,24000.00,24050.00,197676
28-Feb-17,24700.00,24750.00,24400.00,24700.00,96291
27-Feb-17,25000.00,25200.00,24500.00,24700.00,164945
24-Feb-17,24800.00,25250.00,24750.00,25000.00,161055
23-Feb-17,24600.00,25100.00,24550.00,24800.00,168865
22-Feb-17,25000.00,25050.00,24550.00,24600.00,142100
21-Feb-17,24200.00,25150.00,24150.00,24900.00,227465
20-Feb-17,24100.00,24200.00,24000.00,24100.00,69001
17-Feb-17,23900.00,24300.00,23850.00,24100.00,97424
16-Feb-17,24050.00,24150.00,23900.00,23900.00,85067
15-Feb-17,23900.00,24100.00,23800.00,24000.00,120098
14-Feb-17,24200.00,24200.00,23800.00,23850.00,155096
13-Feb-17,23950.00,24250.00,23800.00,24100.00,107224
10-Feb-17,23750.00,24100.00,23500.00,23850.00,153192
9-Feb-17,23700.00,23850.00,23300.00,23600.00,158470
8-Feb-17,24150.00,24150.00,23600.00,23700.00,136045
7-Feb-17,24400.00,24900.00,24250.00,24300.00,199816
6-Feb-17,23500.00,24400.00,23250.00,24250.00,277304
3-Feb-17,24900.00,24900.00,22900.00,23400.00,834242
2-Feb-17,25250.00,25400.00,25100.00,25150.00,153174
1-Feb-17,25200.00,25400.00,25050.00,25350.00,103173
31-Jan-17,24800.00,25350.00,24800.00,25200.00,125647
26-Jan-17,25450.00,25500.00,24750.00,24850.00,244721
